annotations_ambiguous,annotations_figurative,annotations_literal,error,idiom,intended_ambiguous,intended_ambiguous_retrial,intended_figurative,intended_figurative_retrial,intended_literal,intended_literal_retrial,iter,maxvote - for sort,maxvote_ambiguous,maxvote_figurative,maxvote_literal,meaning,not_found,well_formed
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",False,saved his neck,He saved his neck,,He saved his neck by coming up with a brilliant idea,,He saved his neck from a noose by pulling away quickly,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to manage to escape from serious danger or trouble,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",False,scrape the bottom of the barrel,He had to scrape the bottom of the barrel,,He had to scrape the bottom of the barrel to find a desperate solution to the problem,,He had to scrape the bottom of the barrel to get the last drops of oil,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"It is a phrase used to describe something you know is not in good condition, but you have to select it since you don't have an option of choosing the better one.",False,True
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,scratch the surface,He only scratched the surface,,He only scratched the surface when discussing the issue; he failed to explore the deeper implications,,He only scratched the surface of the wall to clean off the paint,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to deal with only a small part of a problem,False,True
"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,seal of approval,I got my seal of approval,,I got my seal of approval when my boss agreed to the project plan,,I got my seal of approval when I ordered a stamp with my signature on it,,,ambiguous : figurative : literal,ambiguous,figurative,literal,an official sign of approval,False,True
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,second wind,She got her second wind,<found a second wind>,She got her second wind after watching the inspiring movie,"after a short break, the marathon runner <found a second wind> and continued running",She got her second wind after barely finishing the marathon,"while searching through the attic, he <found a second wind> chime to add to his collection",0.0,figurative : figurative : figurative,figurative,figurative,figurative,another burst of energy when you had been too tired to finish,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,see eye to eye,They don't see eye to eye,,They don't see eye to eye when discussing their beliefs and opinions,,They don't see eye to eye if they stand in front of each other,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to agree fully with someone,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,see light at end of tunnel,I can see the light at end of tunnel,,I can see the light at end of tunnel as hope blossomed in my heart,,I can see the light at end of tunnel which means the end of the long and dark tunnel is near,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to see signs of hope for the future after a long period of difficulty,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,see the light,He finally saw the light,,He finally saw the light after much contemplation and struggle,,He finally saw the light when the dawn broke,,,ambiguous : figurative : literal,ambiguous,figurative,literal,realise or understand something,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",False,set the bar,You set the bar,,You set the bar high with your success which made everyone push to surpass your achievements,,You set the bar on the ground as you completed your work out,,,ambiguous : figurative : literal,ambiguous,figurative,literal,fix the standards acceptable for the task,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,shades of grey,It's not all shades of grey,,It's not all shades of grey – there's a larger spectrum of emotions and complexities in life,,"It's not all shades of grey – there's also black, white and other colors as well",,,ambiguous : figurative : literal,ambiguous,figurative,literal,refers to a situation where things are not really clear,False,True
"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,shake a leg,"Hurry up and shake a leg"" ",,Hurry up and shake a leg before it's too late,,Hurry up and shake a leg so you can get your blood flowing,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"to go fast, hurry",False,True
"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'literal']","['figurative', 'literal', 'literal']",False,shoot from the hip,He's always shooting from the hip,,"He's always shooting from the hip, which means he speaks without thinking or weighs his words",,"He's always shooting from the hip, which means he pulls out and shoots his gun quickly",,,ambiguous : figurative : literal,ambiguous,figurative,literal,"speak directly or bluntly, without caring for consequences",False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,short fuse,He has a short fuse,<has a short fuse>,"He has a short fuse, resulting in outbursts of anger when something doesn't go his way","be careful around him, he <has a short fuse> and gets angry easily","He has a short fuse, making him unable to handle the stress of the situation","the firecracker <has a short fuse>, so it will explode quickly after lighting it",0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,to get angry quickly.,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",False,shot in the dark,It was a shot in the dark,,It was a shot in the dark when I said I think I know the answer,,It was a shot in the dark when I closed my eyes and threw the dart,,,ambiguous : figurative : literal,ambiguous,figurative,literal,an attempt to guess something when you have no information or knowledge about the subject and therefore cannot possibly know what the answer is,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,show the door,He showed the door,,He showed the door to the unruly guest,,He showed the door so people could find their way out,,,ambiguous : figurative : literal,ambiguous,figurative,literal,make it clear that somebody must leave,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'figurative']",False,show true colors,He showed his true colors,<showed their true colors>,He showed his true colors by being dishonest about the details,"when the pressure was on, they <showed their true colors> and revealed their true intentions",He showed his true colors when he finally painted the walls in his room the color of his choice,the chameleon <showed their true colors> when it stopped blending in with the environment,0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,to reveal what one is really like,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,silver spoon,She had a silver spoon,,She had a silver spoon when it came to her education since her parents could afford to send her to the best schools,,She had a silver spoon when she was born meaning that her parents gave her a sterling silver spoon as a gift,,,ambiguous : figurative : literal,ambiguous,figurative,literal,having a rich or privileged background,False,True
"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,sink or swim,He's in a sink or swim situation,,"He's in a sink or swim situation, where he will either be incredibly successful or completely fail",,"He's in a sink or swim situation, where he will either be able to stay afloat or be underwater",,,ambiguous : figurative : literal,ambiguous,figurative,literal,"having to do something alone, and their success or failure depends entirely on their own efforts",False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,sit on the fence,I'm sitting on the fence,,I'm sitting on the fence and not picking a side in the argument,,I'm sitting on the fence because it's the highest spot in the yard,,,ambiguous : figurative : literal,ambiguous,figurative,literal,delay or avoid making a decision or choice,False,True
"['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'figurative']","['figurative', 'ambiguous', 'figurative']",True,sit tight,We had to sit tight,,We had to sit tight and wait for better news,,We had to sit tight because the bus was full,,,figurative : literal : figurative,figurative,literal,figurative,wait patiently,False,False
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['ambiguous', 'ambiguous', 'ambiguous']",False,sitting duck,He's a sitting duck,<like a sitting duck>,"He's a sitting duck, always vulnerable in these types of situations","without any protection, he was <like a sitting duck> for his opponents",He's a sitting duck in the pond,"the decoy in the pond was <like a sitting duck>, attracting the real ducks",0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,to be an easy target,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,skating on thin ice,He's skating on thin ice,,He's skating on thin ice as he's balancing on the edge of disaster,,He's skating on thin ice and he could break through it at any moment,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to do something considered quite dangerous or risky,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,skeleton in the closet,She had a skeleton in the closet,,She had a skeleton in the closet when it came to her failed marriage,,She had a skeleton in the closet that she put there for decoration,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"a secret of an embarrassing, guilty or shameful nature that you don't want to disclose",False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,sleep on,Let's sleep on it,<sleep on the decision>,Let's sleep on it and decide after some time for thought,"it's a tough choice, so I'll <sleep on the decision> and let you know tomorrow",Let's sleep on it and decide tomorrow morning,"with no bed available, he had to <sleep on the decision> he made by using a pile of papers",0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,postpone making a choice until the following day.,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,smell a rat,She smelt a rat,,She smelt a rat when the story changed and knew something was off,,She smelt a rat when it ran past her,,,ambiguous : figurative : literal,ambiguous,figurative,literal,sense that something is not right,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,smell something fishy,I smell something fishy,,I smell something fishy when I heard about his new career move,,I smell something fishy coming from the kitchen,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to have a suspicion that something is wrong,False,True
"['figurative', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['ambiguous', 'ambiguous', 'literal']",False,smooth his ruffled feathers,I tried to smooth his ruffled feathers,<smooth his ruffled feathers>,I tried to smooth his ruffled feathers by telling him a joke so he wouldn't be angry at me anymore,I had to apologize to <smooth his ruffled feathers> after our disagreement,I tried to smooth his ruffled feathers as they were sticking out when he got mad,the bird handler had to <smooth his ruffled feathers> before the photoshoot,0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,to make someone feel less angry or offended,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",False,smooth sailing,It's been smooth sailing,,It's been smooth sailing for me since I moved to a new city,,It's been smooth sailing since we went on our boat trip yesterday,,,ambiguous : figurative : literal,ambiguous,figurative,literal,easy progress without impediment or difficulty,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'ambiguous']",False,snake in the grass,There was a snake in the grass,<found a snake in the grass>,There was a snake in the grass within the group of colleagues - someone who was planning something behind everyone's back,he <found a snake in the grass> when he discovered his friend's betrayal,"There was a snake in the grass yesterday, so we had to stay careful","while walking through the field, she <found a snake in the grass> slithering away",0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,a hidden army,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'ambiguous']",False,snake in the shoes,There was a snake in the shoes,<found a snake in the shoes>,"There was a snake in the shoes metaphorically speaking, implying that disaster was about to happen",he <found a snake in the shoes> when he discovered his best friend was betraying him,There was a snake in the shoes when I opened the box,"while cleaning the garage, he <found a snake in the shoes> he had left there",0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,to be in a state of fear,False,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",False,snow under,She was snowed under,,She was snowed under with work and came close to a breakdown,,She was snowed under with all the snowfall last night,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to bury or cover something or somebody in the snow (Literal meaning),False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']",False,spanner in the works,There's been a spanner in the works,,There's been a spanner in the works and our plan has gone awry,,There's been a spanner in the works and it's caused our machine to malfunction,,,ambiguous : figurative : literal,ambiguous,figurative,literal,a roadblock that prevents an activity from succeeding,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,spill the beans,She spilled the beans,,She spilled the beans about the surprise party when she blurted out the details,,She spilled the beans all over the kitchen floor after the jar slipped from her hands,,,ambiguous : figurative : literal,ambiguous,figurative,literal,disclose a secret or reveal something prematurely,False,True
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,spin a yarn,"Yesterday, he spun a yarn",<spun a yarn together>,"Yesterday, he spun a yarn to make his grandkids believe the story he was telling them",they <spun a yarn together> about their adventurous trip to the mountains,"Yesterday, he spun a yarn by using cotton fibers to make a fabric",the two knitters <spun a yarn together> to create a beautiful scarf,0.0,figurative : figurative : literal,figurative,figurative,literal,to tell a tale,False,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,spitting image,He is the spitting image,,"He is the spitting image of his father, always wanting to copy everything he does",,"He is the spitting image, as saliva from his mouth sprayed on his father's face",,,ambiguous : figurative : literal,ambiguous,figurative,literal,look exactly like someone else,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,stab in the back,He gave me a stab in the back,,He gave me a stab in the back when he broke his promise,,He gave me a stab in the back when he poked me with a pin,,,ambiguous : figurative : literal,ambiguous,figurative,literal,a disloyalty,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,stack the deck,He stacked the deck,,He stacked the deck in his favor by rigging the competition,,He stacked the deck of cards so he can play a game,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to be against someone or something,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,stand out,John stands out,,John stands out amongst all his peers as he is highly talented,,John stands out in a crowd because of his tall height,,,ambiguous : figurative : literal,ambiguous,figurative,literal,extend beyond or above a surface,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,step on his toes,I stepped on his toes,,I stepped on his toes when I questionned his authority,,I stepped on his toes when he didn't move away fast enough,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to annoy or irritate someone by intervening in a situation that is their responsibility,False,True
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']",False,stick in his throat,The news stuck in his throat,<stuck in his throat>,The news stuck in his throat when he heard it since he never wanted it to be true,the insincere compliment <stuck in his throat> as he tried to praise his rival,The news stuck in his throat when he tried to say it out loud,the fish bone <stuck in his throat> while he was eating dinner,0.0,figurative : figurative : figurative,figurative,figurative,figurative,difficulty of accepting and makes you angry or resentful,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,stiff upper lip,She kept a stiff upper lip,,She kept a stiff upper lip when tragedy struck and never showed her true emotions,,She kept a stiff upper lip as she physically pressed her lips together,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to be brave in the face of adversity,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,stir up a hornet's nest,He stirred up a hornet's nest,,He stirred up a hornet's nest with his controversial statement,,He stirred up a hornet's nest when he was tending to his garden,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to create trouble,False,True
"['ambiguous', 'ambiguous', 'figurative']","['literal', 'figurative', 'figurative']","['figurative', 'literal', 'figurative']",False,stop by,We stopped by yesterday,<stop by the store>,We stopped by yesterday to see how our friends were doing,I'll <stop by the store> to pick up some groceries on my way home,We stopped by yesterday to fetch some supplies,"during our walk, we decided to <stop by the store> to take shelter from the sudden downpour",1.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,to meet someone or go somewhere in a brief and informal manner,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,stop the rot,We need to stop the rot,,We need to stop the rot to restore our credibility in the industry,,We need to stop the rot from spreading on the vegetables,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"when you prevent a situation from deteriorating, especially in business or politics",False,True
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",False,straight from the horse's mouth,He heard it straight from the horse's mouth,,He heard it straight from the horse's mouth so you know it's true,,He heard it straight from the horse's mouth because he was standing right next to it,,,ambiguous : figurative : literal,ambiguous,figurative,literal,from a dependable or reliable source,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,straight shooter,He's a straight shooter,,He's a straight shooter when it comes to giving advice,,He's a straight shooter when it comes to shooting hoops,,,ambiguous : figurative : literal,ambiguous,figurative,literal,someone who speaks the truth,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,straighten up and fly right,He decided to straighten up and fly right,,"He decided to straighten up and fly right, determined to make smarter choices from now on",,"He decided to straighten up and fly right, adjusting the position of his wings to gain more elevation",,,ambiguous : figurative : literal,ambiguous,figurative,literal,to get serious and stop acting absurd anymore.,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,strike while the iron is hot,He struck while the iron is hot,,He struck while the iron is hot and got the deal he wanted,,He struck while the iron is hot so he can make a permanent mark,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to take advantage of a situation,False,True
"['ambiguous', 'ambiguous', 'literal']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,suited and booted,He arrived suited and booted,,He arrived suited and booted when he got to the interview,,He arrived suited and booted with his shoes and belt totally polished,,,ambiguous : figurative : literal,ambiguous,figurative,literal,formally dressed; well dressed,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,sweep under the rug,They swept it under the rug,,They swept it under the rug and pretended the problem never existed,,They swept it under the rug to clean up the mess,,,ambiguous : figurative : literal,ambiguous,figurative,literal,try to hide a problem or keep a problem secret instead of dealing with it,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,take a back seat,I decided to take a back seat,,I decided to take a back seat and let someone else lead the project,,I decided to take a back seat on the bus so I could have more leg room,,,ambiguous : figurative : literal,ambiguous,figurative,literal,take a less important position.,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,take a beating,He took a beating,,He took a beating when he was criticized for his mistake,,He took a beating when he got into a bar fight,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to be defeated in doing something and be reprimanded for the same,False,True
"['figurative', 'ambiguous', 'figurative']","['literal', 'ambiguous', 'figurative']","['literal', 'ambiguous', 'figurative']",False,take a cue from,We should take a cue from him,<take a cue from her>,We should take a cue from him and act accordingly,you should <take a cue from her> and start organizing your time better,We should take a cue from him and play the same game,"during the pool game, he decided to <take a cue from her> and use her favorite one",0.0,figurative : ambiguous : ambiguous,figurative,ambiguous,ambiguous,to do what is recommended by someone else,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",False,take a hike,I took a hike,<take a hike>,I took a hike to get away from the stressful atmosphere and clear my head,"when he insulted her, she told him to <take a hike>",I took a hike in the mountains for two days,"on a sunny day, they decided to <take a hike> in the nearby forest",1.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,go away,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,take a leaf out of someone's book,We took a leaf out of their book,,We took a leaf out of their book and started using their ideas to increase our profit margins,,We took a leaf out of their book and put it in our scrapbook,,,ambiguous : figurative : literal,ambiguous,figurative,literal,implement actionable advice,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",False,take it on the chin,I took it on the chin,<took it on the chin>,I took it on the chin and moved on from the painful situation,"despite the harsh criticism, he <took it on the chin> and kept working",I took it on the chin and almost got knocked out,"during the boxing match, he <took it on the chin> and fell to the ground",0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,this is a boxing metaphor meaning don't shy away from difficulty,False,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",False,take stock,He was taking stock,,"He was taking stock of his life, wondering how he got there",,"He was taking stock of the office supplies, ensuring they had what they needed",,,ambiguous : figurative : literal,ambiguous,figurative,literal,to think carefully about a situation in order to make a decision,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,take the biscuit,That took the biscuit,,That took the biscuit as the worst thing he's ever done,,That took the biscuit as he picked it up from the table,,,ambiguous : figurative : literal,ambiguous,figurative,literal,be the most remarkable or foolish of its kind,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",False,take the bull by the horns,I took the bull by the horns,,I took the bull by the horns and made a difficult decision,,I took the bull by the horns and moved it to the other side of the pen,,,ambiguous : figurative : literal,ambiguous,figurative,literal,decisively deal with a difficult or dangerous situation,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,take the edge off,I need to take the edge off,,I need to take the edge off this stressful day by taking a break and resting my mind,,I need to take the edge off this blade to make it safer to work with,,,ambiguous : figurative : literal,ambiguous,figurative,literal,blunt the effect of,False,True
"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",False,take turns,They took turns,,"They took turns as a way to share their love, caring for one another in an equitable way",,They took turns driving all night,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to alternate doing something,False,True
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'figurative']",False,take up the cudgels,She took up the cudgels,<took up the cudgels for her>,She took up the cudgels to tackle the issue of poverty,he <took up the cudgels for her> when she was unfairly criticized,She took up the cudgels to start the next fight,"during the historical reenactment, he <took up the cudgels for her> when she dropped hers",0.0,figurative : figurative : ambiguous,figurative,figurative,ambiguous,argue strongly in support or against somebody or something,False,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,take with a grain of salt,I take it with a grain of salt,,I take it with a grain of salt because some of it didn't seem entirely accurate,,I take it with a grain of salt because I literally put a grain of salt in it,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to understand that something is not completely true or right,False,True
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,takes two to tango,It takes two to tango,,It takes two to tango and both parties need to work together to achieve their goals,,It takes two to tango and they both need to be physically able to dance together,,,ambiguous : figurative : literal,ambiguous,figurative,literal,certain actions or activities cannot be performed alone - they  need two people to participate,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,taking your medicine,He's taking his medicine,,He's taking his medicine by enduring the consequences of his mistakes,,He's taking his medicine to treat his infection,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to accept the consequences of something you have done wrong,False,True
"['ambiguous', 'figurative', 'figurative']","['figurative', 'ambiguous', 'figurative']","['literal', 'figurative', 'literal']",False,tall poppy,She's a tall poppy,<a tall poppy among them>,"She's a tall poppy in the field, so everyone takes notice of her","she was <a tall poppy among them>, always standing out with her exceptional achievements",She's a tall poppy within her gardening planters since she's the tallest one,"in the field of wildflowers, there was <a tall poppy among them>, reaching higher than the rest",0.0,figurative : figurative : literal,figurative,figurative,literal,a privileged or distinguished person.,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,tar with the same brush,He tarred them with the same brush,,He tarred them with the same brush and judged them for one mistake,,He tarred them with the same brush by actually covering them in tar,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to think that somebody has the same bad qualities as others in a similar surrounding,False,True
"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,taste of own medicine,She got a taste of own medicine,,She got a taste of own medicine when another person treated her the same way she treated them,,She got a taste of own medicine when she accidentally drank her own prescription medication,,,ambiguous : figurative : literal,ambiguous,figurative,literal,when someone gets the same bad treatment that he has been giving others,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",False,tasted blood,She tasted blood,,She tasted blood when she won her first game,,She tasted blood when her mouth got cut by accident,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"to experience something thrilling and exciting, and want to experience it again.",False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,tearing a strip off,My mother was tearing a strip off me,,My mother was tearing a strip off me for not cleaning up my bedroom,,My mother was tearing a strip off me when the fabric of my shirt got caught in a zipper,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to reprimand someone severely for doing something wrong,False,True
"['ambiguous', 'figurative', 'figurative']","['figurative', 'ambiguous', 'figurative']","['literal', 'figurative', 'ambiguous']",False,that's going too far,He said that's going too far,<that's going too far>,He said that's going too far when I asked him to donate to charity,insulting her family was <that's going too far> and crossed the line,He said that's going too far when I tried to walk across the room without bending my knees,"driving 200 miles for a cup of coffee, <that's going too far> for a simple pleasure",0.0,figurative : figurative : ambiguous,figurative,figurative,ambiguous,to do something that is considered extreme or unacceptable,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,the ball is in your court,The ball is in your court,<the ball is in your court now>,"The ball is in your court, so the decision is now yours to make","I've done my part, <the ball is in your court now> to make the decision","The ball is in your court, so you are now the one who has to hit it back","after I hit the tennis ball over the net, <the ball is in your court now>",0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,the initiative for taking action lies with somebody,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,the ball rolling,He got the ball rolling,,He got the ball rolling by organizing the events for the new project,,He got the ball rolling by pushing it down the hill,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to start a conversation in a social setting,False,True
"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,the bottom line,It was the bottom line,,"It was the bottom line in the negotiation, so we had to accept the offer",,It was the bottom line on the page so I knew it was the last sentence,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"in the final analysis, the most important fact in a situation.",False,True
