idiom,meaning,example
there's no place like home,to have an affinity for one's home over every other place,The troops finally retreated and the men get to go home to their families now. There is no place like home.
discretion is the greater part of valour,to be quiet about it after helping someone out,The man I admire the most has always taught me that discretion is the greater part of valour.
the early bird catches the worm,it refers to people who arrive earlier are the ones who get the best deals,The admissions in this college get filled in very early. If you really want to enroll your son here then you should remember that the early bird catches the worm.
never look a gift horse in the mouth,it is an advice to be grateful for gifts,My sister got furious when I tried to see how valuable the diamond on the ring she gifted me was and told me to never look a gift horse in the mouth
God helps those who help themselves,to be able to come out of a bad situation by self-help rather than hoping for divine intervention,The businessman refused to help you this time because he realized that you run to him every time you have the slightest difficulty. Please remember that he has a business to run and God helps only those who help themselves.
a watched pot never boils,if you wait for something to happen it takes longer,I kept waiting for hours near my phone but there was no news from my daughter from the war zone yet because a watched pot never boils.
beggars can't be choosers,do not ask more or customize what you get when you have got it after asking for it,In this village you are only going to get these many options for furniture. Learn to live it because beggars can't be choosers.
all good things must come to an end,"everything that is deemed nice, ends",The band breaking up was a terrible things but I guess all good things must come to an end.
there's no time like the present,right now is the best time,The master chef always told me that there's no time like the present to start working on your signature dish.
familiarity breeds contempt,to start disliking something when one gets to know too much about it,The couple could not stay together long after their wedding because familiarity breeds contempt.
two heads are better than one,to have more than one participant in an activity to make it better,The company engaged with another marketing consultant because it is an important project and two heads are better than one.
grass is always greener on the other side,to think that other's part is better than mine,The lawyer always thought that the grass is greener on the other side and left his profession to become an MBA graduate. Guess what? He is still struggling to find a job.
the pen is mightier than the sword,the power of mass appeal is stronger than the force used against it,I totally believe that the pen is mightier than the sword and will continue to write about my honest opinions even if it irks a few.
roaring trade,to do business quickly,The vegetable vendor was doing a roaring trade in the market today.
"when in Rome, do as the Romans",to copy popular culture in order to blend in,"My mother always told us that when in Rome, do as the Romans. That is how today we are able to get along with any kind of people."
cold hearted,"very cruel, unkind person","Don't be so cold hearted, forgive them and speak with your children."
twist of fate,to experience a change in circumstances,to experience a change in circumstances
black and blue,"hurt, either bodily, emotionally or psychologically",The man beat his own mother black and blue! How could someone do such a horrible act? The mother is still praying for the best for him though.
a needle in a haystack,something very small amidst something very big,"You must be kidding when you say that you would like to find evidence in this case, it is like trying to find a needle in a haystack."
dream come true,fulfilment of a wish after a long time,This house is my dream come true.
pass the torch,to pass on the responsibility,The director of the company passed the torch after he got too sick to take care of the company matters.
get under skin,to be irritating,The new manager is getting under my skin.
heads up,to inform about something beforehand,"Heads up! This machine is used to trim grass, please handle with care."
run a tight ship,to be strict about something,"Martha runs a tight ship at home. With 4 kids to take care of at home, she cannot have it any other way."
come down with,to have (usually a disease),"The Joshi's have all come down with the flu, so none of them will be able to attend your wedding."
two wrongs don't make a right,the fact that responding to a negative situation in the same manner will not make things better in any sense,You cannot leave the kitty because she was rude to you. Two wrongs don't make a right.
learn the ropes,to learn the tricks in order to do something well,It is important that you learn the ropes and know your father's business well before you take it over.
beef up,to become big and muscular,Google has beefed up it's search algorithm to provide the best quality search result to its users.
stack the deck,to be against someone or something,The manager had stacked the deck against me but I was able to prove through the system that the error could be apportioned to me.
old habits die hard,difficult to discontinue of an aged habit,"The colonel still sleeps with a loaded pistol by his side, even though he has retired from the army ten years backs. As they say, old habits die hard."
batten down the hatches,to get ready for trouble,The army is wise to batten down the hatches near the border when our neighbouring country seems to be so hostile.
turning point,the point after which things become better,The turning point in the story came when the protagonist lost his sister in a car accident.
in the meantime,simultaneously,The party prepared to move to another location in the meantime
a cut above,noticeably greater to,This diamond is a cut above the rest. You will like it because you have an expensive taste.
being in love,to have strong feelings of love for someone,"Being in love doesn't mean that you forget about all your responsibilities towards your parents, does it?"
outbreak,the beginning of something suddenly,the beginning of something suddenly
breakout,to escape from somewhere violently,The breakout was so sudden that the guards did not even have the time to process what happened.
status quo,the existing condition,The countries are now trying to maintain a status quo with regards to their nuclear arsenal which will help them if the situation gets any worse.
honesty is the best policy,being honest is always good and fruitful,"The company has high moral standards and has the words ""honesty is the best policy"" written all over its premises."
glass ceiling,"an unseen (glass) barrier for women and people who belong to minority groups in climbing up the corporate, political or the ladder of success regardless of whether they are qualified for the job",The woman made every attempt but could not break the highest and the toughest glass ceiling.
ballpark figure,to be near about the exact (usually in amount),The management was given a ballpark figure at the very beginning of the presentation.
get over it,accept something and move on,"I know you are bitter about losing that job, but try to get over it and find another one."
give the slip,to get away,The police were on the criminal's trail but in the end he managed to give them the slip.
go down like a lead balloon,be poorly received by an audience,The joke he cracked went down like a lead balloon.
go for broke,risk everything and go for an all out effort,"Realizing that they would be out of the competition if they lost this match, the players went for broke."
good Samaritan,someone who tries to help people in trouble or need,The beggar was lying shivering on the road when a good Samaritan came along and gave him a blanket and some warm clothes.
great minds think alike,thoughts of very intelligent people are similar to each other,"The two of us had the same idea at the same time. Well, great minds think alike!"
gut feeling,"a personal, intuitive feeling","I had a gut feeling that he had been lying, and sure enough, it was later proved that he had been."
haste makes waste,"if you do things too quickly, you can make mistakes","Try not to rush through things, even though you are in a hurry. After all, haste makes waste."
lose head,not have control over your emotions,He is usually very calm and does not lose his head in stressful situations.
get down to brass tacks,talk about the important things,We have been chatting around for quite some time. Let's get down to brass tacks and discuss what we are really here for.
going to hell in a handbasket,in extremely bad state and becoming worse,"With corruption and malpractices everywhere, the political leadership seem to be going to hell in a handbasket."
idle hands are the devil's tools,"if you have nothing to do, you are likely to do some mischief",All the kids should be kept busy while you are away; idle hands are the devil's tools.
in the bag,have something as good as secured or certain,The deal was finally in the bag after a few rounds of tough negotiations.
every nook and cranny,to look for something everywhere,"The lawyers searched every nook and cranny to find more evidence but alas, there was none."
in the buff,naked,The model created a sensation when she posed for a magazine cover in the buff.
in your face,"a bold, defiant or aggressive manner","Unable to tolerate Jack's in your face attitude anymore, his boss fired him from the job."
it's anyone's call,a competition where the outcome is difficult to predict or judge,I think this year's election would be anyone's call. Both the candidates seem to have an equally divided support base.
keep body and soul together,manage to stay alive with very little money,"When he first came to the city, he earned barely enough to keep body and soul together."
knee jerk reaction,an automatic response to something,It was a typical knee jerk reaction. He said no immediately without considering our proposal.
knock on wood (touch wood),tap knuckle on wood in order to avoid bad luck,"I am expecting a promotion and a big pay hike this year, touch wood."
icing on the cake,when something good is added to another good thing that you already have,Everyone expected him to do well in the exams. Getting first rank was the icing on the cake.
rags to riches,go from being very poor to being very wealthy,He went from rags to riches after his roadside performances were noticed by a famous movie maker and he was offered roles in his movies.
foam at the mouth,be extremely angry,She was foaming at the mouth when she heard of her child's misdeeds.
flip the bird,show someone the middle finger as an act of contempt or anger,"When he could not get the man to agree with him, he flipped him the bird and went off cursing."
dog days,"hot, sultry days","During the dog days of summer, people prefer to remain indoors and go out as little as possible."
joined at the hip,two people who are inseparable,Chris and Jenny have been joined at the hip since they started dating each other a year ago. You would never see one without the other.
end of story,there is  nothing more to add to the matter under discussion,I did not invite her because I did not want her to come to my party. End of story.
ask out,"invite someone to go out, especially on a date","When he finally asked her out, she readily accepted, and very soon they were dating on a regular basis."
a bird in the hand is worth two in the bush,what you already have is more valuable than the prospect to have something greater,"You may not like your job, but don't quit merely on the hope of finding a better one. A bird in the hand is worth two in the bush."
toss-up,a situation where the result is unclear and can go either way,"They had a tough time selecting the team for the big match. In the end, it was a toss-up between having the most experienced players and having a youthful team full of raw energy."
all bark and no bite,"threatening, aggressive, but not willing to engage in a fight","I heard he has threatened you with dire consequences if you don not stop that construction. Don't worry, he is all bark and no bite."
all Greek to me,used to convey that you cannot understand what is being said or written,Don't try to explain the technicalities of how this machine works; it would be all Greek to me.
beat around the bush,avoid talking about the main topic,Will you please stop beating about the bush and get to the point?
chow down,"to eat something, usually quickly or vigorously",Is the food ready yet? I am hungry and ready to chow down all you have got.
"close, but no cigar",be very close to accomplishing a goal but fall short,"You did quite well for someone who was playing for the first time. You attempt for close, but no cigar."
blood is thicker than water,family relations and bonds are closer than other relationships,"When you get into trouble, usually your family will be the ones to bail you out, not your friends. After all, blood is thicker than water."
come hell or high water,come what may,"I want to complete this report by today, come hell or high water."
cup of joe,a cup of coffee,"When I wake up in the morning, the first thing I do is make myself a cup of joe."
curiosity killed the cat,too much curiosity can lead to dangerous situations,"When he started asking too many questions of his neighbours about their whereabouts during the weekend, they warned him that curiosity killed the cat."
don't look a gift horse in the mouth,don't be ungrateful when you receive a gift,"I know you don't like the dress very much, but it was a gift; you should not look a gift horse in the mouth."
down to the wire,a situation where the outcome is not decided until the very end,"With both teams being equally matched and putting up an exceptional display, the match was very exiting and went down to the wire."
drop like flies,many people falling ill or dying around the same time,It was flu season and people in our office were dropping like flies.
everything but the kitchen sink,almost everything that one can think of,"When he moved out of the house, he took along everything but the kitchen sink."
field day,have a great time doing something enjoyable,The children had a field day when they were taken on a trip to the museum.
flash in the pan,"something that cannot be repeated, usually a positive concept","His initial good performances were a mere flash in the pan. Nowadays, he delivers only mediocre work."
last but not least,"someone or something that is last in sequence, but not less in importance","After the success of his first book, the author thanked his publisher, editor, and, last but not the least, his family."
lend me your ears,ask for someone's full attention,"Lend me your ears, and I will tell you about my adventures in the mountains."
level playing field,a situation that is fair to everyone,These set of rules would provide a level playing field to all the competitors and all would have a fair chance of succeeding.
like a chicken with its head cut off,act in a frenzied manner,Does he know how to handle the situation? He has been running around all morning like a chicken with its head cut off.
young blood,new members that provide various new schemes and ideas for the organization,The Peace corps is in need of a young blood like Adam.
you've got to be kidding,implies that something that someone said is a joke,"Dan said. ""I got a job as an associate professor in the university! Wow!"" Tina replied. ""You've got to be kidding!"""
come what may,anything happens; whatever come about,The girl has decided to marry him come what may. She will proceed even if her entire family is against her decision.
you bet,for sure,The manager will pull this deal off. You bet on something else about him because this is definitely happening.
made it,used to indicated the completion of a task,"""It is so amazing that you made it because we heard that it was a very difficult task."""
take breath away,astonish; surprise; amaze or astound somebody,The ring literally took my breath away. There was a monster of a diamond on it.
surgical strike,to cause injury or damage to the intended targets,The surgical strikes that the Indian army carried out in the year 2016 were an example of the strength that they hold. The enemy better not mess around here.
kill time,to wait for something by doing something or nothing,The team was killing time at the stadium before it was their turn to play.
brought forward,to bring forth,The meeting has been brought forward by the board and we have to start preparing for it right away.
building blocks,something that is a basic element (of the subject),"The building blocks of success, in my view, come from perseverance and hard work."
make sense,to be able to reason something out,The presentation did not make sense at all. It was way off the topic.
in the pipeline,to be underway,The project has been in the pipeline since forever. I am not sure if it will ever get completed.
baker's dozen, not 12 in numbers but 13,The fellow gave me a baker's dozen of cookies. It made my children very happy.
race against time,effort to do something as soon as possible,The completion of this project was honestly a race against time. The client needed to have filed the documents in the court by today at any cost.
just in case,to do something as a precautionary measure,The cake was ordered just in case the desert that she made did not turn up well.
way around,"to find an alternative for something, someone or to perform a task",The way around such a problem would mean that we lose another 6 months in the completion of this project.
come across,to meet someone,The men had never come across a failure and hence did not know how to deal with it.
must have,to be done in a compulsory manner,The must haves this season include a tunic and a head scarf.
stop by,to meet someone or go somewhere in a brief and informal manner,The gardener stopped by the nursery to get some soil for his garden.
upper hand,to have the authority to make decisions over someone or something,The man has an upper hand to his wife. It is reflected in the way he speaks with her.
rat race,"to be following a routine that is both, exhaustive as well as competitive",The man has been in a rat race all his life. No wonder he is enjoying his retired life to the fullest.
you know better than that,used to express disappointment when someone makes a mistake which they probably shouldn't have,"She told me that you abused her, you know better than that."
cutting edge,to be among the latest and the best (often used for technological advancements),The company has introduced cutting edge technology which will handle all client servicing issues.
you wish,used to make a sardonic comment,"I told her that we have been dating for 5 years now and she said ""you wish!"""
you've made your bed,to make a decision and to accept the consequences of those decisions,"Don't come back when it is all over and you have nowhere to go. Once you've made your bed , you'll have to lie in it."
loose cannon,somebody whose activities are uncommon and out of control,He was a loose cannon and could not be risked in front of the press.
mum's the word,keep quiet and say nothing,"We are throwing a party for our friend Jeremy, but its a surprise, so don't tell him anything about it. Mum's the word."
nest egg,"an amount of money that has been saved, especially for future use",The stock market has given me good returns and helped me build a nest egg for my retirement.
New York minute,in a very short amount of time,I'll get that job done in a New York minute if you give it to me.
no dice,not agree for something,"The children asked whether they could all go out for a camping trip, but no dice, their parents refused."
no room to swing a cat,a very small place,How do you expect all four of us to stay in that room? There's no room to swing a cat in there.
off on the wrong foot,off to a bad start,Their relationship started off on the wrong foot when they had a huge misunderstanding.
off the hook,free of a difficult situation,"Since it was his first offence, and a minor one at that, he was let off the hook with just a warning."
off the record,an informal or unofficial statement,"I will give you the information regarding what really happened, but strictly off the record."
on pins and needles,being anxious or nervous,We have been on pins and needles since we got the news that she had been stranded in the hills amidst a landslide.
on the same page,everyone in agreement,"Before we begin with the discussion, I want to make sure that all of us are on the same page."
out on the town,go out and enjoy yourself at one or more places in the town,All of us slept till late afternoon after we had a night out on the town and returned after dawn.
pedal to the metal,do something at full speed,I need to submit this assignment in two days' time. I have to put pedal to the metal else I will miss the deadline.
zenith of career or life,the highest pinnacle of a person's career or life,The birth of his daughter was the zenith of his life.
Young Turk,a young person who has many new ideas and wants a reform,Dan Mannix is one of the investment industry's Young Turks but his contact book bulges with seasoned veterans.
unring the bell,"once something has been done you cannot run away from it, you can only face the aftermath","Remember Tom, you cannot unring the bell once you have sent out that mail."
year-round,happening in continuation throughout the whole year,The park provides free food for orphans year-round as a service to the God and humanity.
yellow streak,people who  have an inclination towards being fainthearted.,Ginna's got a yellow streak which shows up the moment she is asked to stand up against Nick.
zip your lip,to stop talking,"Why don't you just zip your lip, I am tired of being nagged all morning."
pig in a poke,something that is bought without examining properly,"If you buy a used car without examining it thoroughly first, you might end up buying a pig in a poke."
yes man,a person who only agrees with the crowd or a group of people in order to please them or look good in front of them,You really can't trust what Donald might say in front of the boss. Everyone knows that he is just a yes man and I am not even sure if he has his own views on anything.
you can't win them all,indicates the reality that it is not possible to always succeed," To be very frank, I am very disappointed that they did not give me the post of  the manager as I feel I truly deserved it after 5 years of work experience. Oh well, you can't win them all you see."
absence makes the heart grow fonder,to miss and love someone more when they are not around,The couple reunited after almost a year and understood that the absence had made their hearts grow fonder.
too many cooks spoil the broth,to mean that something does not go well when there are too many ways to do it,The company management had 11 decision makers. No wonder it closed operations since too many cooks spoil the broth.
strike while the iron is hot,to take advantage of a situation,"The study plans were such that it required you to read when your mind was fresh, strike while the iron is hot."
mend fences,to try and improve a bad relationship with another party,"After the nasty fight with her sister, Alice decided to mend fences by buying her sister some presents."
playing second fiddle,to play a secondary or minor role with regards to someone else,Sheila was determined to be the star of the show and she was not going to play second fiddle to anyone.
skating on thin ice,to do something considered quite dangerous or risky,Sebastian using all his savings to buy blue chip stocks is definitely skating on thin ice.
throw the baby out with the bathwater,to remove something good in the bid of getting rid of something bad,Janet quitting her job because her ex started working there is a classic example of throwing out the baby with the bathwater.
sitting duck,to be an easy target,The fact that she had no backup plan in case she got caught made her a sitting duck.
roll the dice,to gamble or take a chance on something or someone,The bartender decided to roll the dice and use rum for the cocktail since they were out of gin.
time after time,to repeat something,The narrator repeated her name time after time in the story but I could not understand her connection with the plot until the very end of the story.
at the drop of a dime,something that can happen very fast without hesitation,"The play can begin at the drop of a dime, you just need to say the word."
a voice crying in the wilderness,to say something that is not popular,The tales are interesting if you are into that kind of thing but for me it is like listening to a voice crying in the wilderness.
cry me a river,usually used sarcastically to someone who is constantly complaining,"""My baby wouldn't sleep last night, I am so tired."" ""Cry me a river, Joan. I haven't had a good night's sleep in years."""
zero-sum game,to be in a situation where the outcomes can either be to win or to lose,The budget division is a zero-sum game.
fit of anger,"to display a very bad temper, often by screaming a lot","When she didn't get her way, she drove off in a fit of anger."
on a silver platter,to get something without having to work for it,She has never had to work a day in her life. Her parents hand her everything on a silver platter.
eat crow,being proven wrong after taking a strong stand,No that my brother has proved that I was wrong I will have to eat crow.
figure out,to solve something by using reasoning,It doesn't matter how long it takes. I am going to figure out this math problem.
sea change,to have a big change in perspective,There was a sea change in his personality after he married his wife.
pardon me,it is a way of apologising for something that has been said or done,Pardon me for offending you. I didn't realise that you were sensitive to the subject.
catnap,"a short sleep, usually during the day",I had a very late night last night. I think that I will have a catnap during my lunch hour.
hold tongue,to keep quiet when one would rather speak,When she said that she was very hardworking I had to hold my tongue.
warm-hearted,to be kind and loving,"My grandmother is a very warm-hearted person, everybody loves her."
zip past,to move past (someone or something) very fast,The guy just zipped past me in the queue today without bothering about the rules of the organization.
eat words,to take back what was said,I can't believe that he didn't trust that we could win. He will have to eat his words.
time will tell,something that will not be proven until a later date,"I don't think that he studied for his test, even though he says he did. Only time will tell."
silence is golden,it is often better to say nothing at all,"Do not tell your mom that I broke her vase! Remember, silence is golden."
take stock,to think carefully about a situation in order to make a decision,"Before deciding on which job to take, Peter has decided to take stock in order to make an informed decision on which choice would be best for him and his family."
as simple as that,extremely easy to understand or comprehend,"There can be no exceptions. Every new recruit has to undergo an orientation course, it's as simple as that."
learning curve,the rate of learning new skills,Every employee undergoes a learning curve while getting to know the company.
pain in the neck,Mathematics is generally a real pain in the neck for most of the school and college students.,Mathematics is generally a real pain in the neck for most of the school and college students.
all the best,a polite way to end a letter or email,We would like to wish you all the best in the year to come.
give up,to stop trying to figure something out,John was so tired of trying to fix the stove that he decided to give up and phone an electrician.
in a huff,to be upset or angry about something,"June was very upset because her mother would not buy her a new pair of shoes, so she stormed out of the room in a huff."
cheat sheet,a cheat sheet is a sheet containing information,"John got caught using a cheat sheet during the test, he will be receiving a failing grade and will be in detention for the next three months."
point blank,to fire something at such close range that it cannot be missed,"I asked the boy whether he thought that I was pretty, he said ""no"" point blank, without even trying to spare my feelings."
say what,used when asking someone to repeat what they have said,"They are going out tonight, even though we told them to stay at home. ""Say what!"""
never mind,to urge somebody not to worry about something,"Never mind, I will do it myself."
weak in the knees,"to be overcome by a strong feeling, usually desire",The man makes me weak in the knees when he kisses me.
a sight for sore eyes,a way of saying that you are happy to see someone,I can't believe that I haven't seen you in a year! You are a sight for sore eyes.
count on,it means that you are able to depend on somebody or something,"It doesn't matter what happens, you will always be able to count on."
run out,to not have enough of something,I cannot believe that we have run out of milk! Just when I wanted to make a cup of tea.
come over,to go to someone else's house,"June and her sister will come over for lunch on Sunday, we are having chicken pie."
eager beaver,someone who is very eager to perform tasks and is always offering to do more,"Don't be such an eager beaver, we have plenty of time to complete the task."
in touch,"to remain in contact with someone, especially when separated by time or distance",We will definitely keep in touch with each other when you move to Australia.
fall out,to disagree with someone about something,I had a fall out with my mom about her losing my earrings.
end of the day,to look at all the possibilities and then to make a final decision,"At the end of the day, I have decided that law school would be the best path for me."
paint the town red,to celebrate and have a wild time,I can't wait to go out with my best friend and paint the town red!
of course,with absolute certainty,"Of course, I will help you to move. That's what friends are for."
spanner in the works,a roadblock that prevents an activity from succeeding,The lack of power has thrown a spanner in the works regarding our MS-PowerPoint presentation.
see the light,realise or understand something,After my terrible grade in mathematics I saw the light and started working harder.
black hole,a place in which things are lost never to be seen again,My handbag is a black hole. You can try and find the keys in there but I can't promise anything.
take over,to take control of something - often by force,I can't believe that they were able to launch a takeover of our company.
lost on,it means that someone did not understand the remark or joke,"She seems like a very smart lady, but my sense of humour seems to be lost on her."
lose it,go insane or crazy,I thought he had lost it when he told me how much his new car had cost.
earworm,a situation when a song that comes to your mind again and again,This new PitBull song is a real earworm. I haven't been able to get it out of my head since last week.
all the rage,when something is the height of popularity,My parents used to love the Beatles. They were all the rage when they were teenagers.
on the mend,to improve in health after an illness,After a long illness he is finally on the mend.
get off,to leave a place in order to start a journey,If we get off before five o'clock the traffic will not be as bad.
prone to,having a tendency to something - usually awful or unfortunate,Kindly drive slow; this road is prone to accidents.
over and over again,again and again,I have cleaned up this mess over and over again but ever time I come back it is dirty again.
over and out,said when someone is finished talking,I have told you that you will not be going to the party. There will be no further discussion. Over and out.
over and above,in addition to,Firefighters always go over and above to ensure that people are safe.
slip of the tongue,a mistake in speech (or writing),"The election bill was altered, by what I believe was a slip of the pen."
road to recovery,the procedure of becoming healthy again,The Grecian Government was supposed to put Europe on the road to recovery from the Economic and financial crisis.
stand out,extend beyond or above a surface,The blood vessels in the back of his right leg stood out.
piece of work,"a complex, tricky, or odd person","My friend has the weirdest of opinions, he's a real piece of work."
speak soon,talk to you soon,"Thank you so much for your assistance Sandra, speak soon."
piece of writing,"the work of a writer, anything expressed in letters of the alphabet (especially when considered from the point of view of style and effect)",The editorial was a fine piece of writing.
get your goat,irritate somebody,She got my goat the moment she said my mother was no good at parenting.
under the radar,"going unnoticed, avoiding unnecessary attention","They managed to stay under the radar for years, after stealing all that money from their friends."
neck and neck,extremely near one another,The two athletes have been neck and neck for this entire race.
go with the flow,to do what other people are doing in any particular situation,"Kevin didn't want to be part of the protest, but all his friends wanted to stand for something, so he chose to go with the flow."
"Mr Right, Ms Right",the best future life partner for someone,I wish that I could meet Mr Right. All of the men that I meet seem so immature.
all day long,"the whole day, throughout the entire day",The beggar had to beg all day long before getting enough money to feed his hungry children.
meet halfway,to reach a compromise,"I don't enjoy camping and my husband hates the cold. So, we had to meet halfway and go to the beach for the weekend."
take care,be careful,"Thanks for the visit, Peter, take care."
in a row,to happen a couple of consecutive times without break,He has been sick for three days in a row.
take on,someone's take on something is their opinion on a matter,"I don't agree with your take on the matter, but I will respect your choice."
hang up,to disconnect a phone call. It is often used when someone does not want to continue a conversation,If you do not stop complaining then I will hang up on you.
up to the mark,to be good enough,Your exam results this term were not up to the mark.
wind up,to be annoyed by someone,My sister really knows how to wind me up.
cut the crap,a very crude way of telling someone to stop doing something that you do not like,Please cut the crap and tell us what really happened at his birthday party.
high roller,"a wealthy person or company who spends their money in a risky way, often by making risky investments that can offer large rewards",I would never invest money in their company. They are high rollers and I cannot afford that kind of risk.
take turns,to alternate doing something,"I understand that everybody wants to try driving, but you will have to take turns."
give a shot,to have a try at something,"I have never eaten sushi, but I will give it a shot."
the best is yet to come,whatever is happening now will be surpassed by something better in the future,"I am glad that you are enjoying your holiday,the best is yet to come."
you can't teach an old dog new tricks,you cannot make others change their habits,I tried to make my grandmother learn how to use a smartphone but it was just like you can't teach an old dog new tricks.
take it on the chin,this is a boxing metaphor meaning don't shy away from difficulty,You're going to have to take it on the chin when your father gets home and sees what you've done.
point out,to identify something within a group,I have to go to the office to point out the person that keeps jamming the printer.
fat chance,when there is little or no chance of something happening,Did you really think that he would show up to work the day after a long weekend? Fat chance!
miles to go before I sleep,you have a lot to do before you can rest,We need to get all of these files completed before anyone leaves. There are miles to go before I sleep.
heart and soul,with all the effort you can put into it,He's dedicated to the project heart and soul.
pot calling the kettle black,criticizing someone for a fault that you have too,I can't believe that you are upset because I was late. That is the pot calling the kettle black. 
knight in shining armour,used to describe someone who saves you from a difficult situation,Thank you so much for fixing my flat tire. You are a knight in shining armour.
red herring,something irrelevant that distracts you from something important,The new law is just a red herring meant to draw our attention away from the issues regarding education.
in stitches,to laugh so hard that you are not able to control yourself,The movie had everyone in the theatre in stitches.
larger than life,something or someone that is very impressive,His father is a great man. He is larger than life.
ups and downs,good times and bad times,Every relationship has its ups and downs. It is important to stick it out.
carry on,to continue with something,After the huge earthquake the children are still carrying on with their shock.
slow day,"a day in which not much happens, so it feels like it is taking very long to pass","The shop did not make a lot of money today, we had a slow day."
head start,to start ahead of the official start of an event,"I know that the paper only has to be in next week, but I would like to get a head start."
if it's the last thing I do,indicates determination to achieve something,I am going to get this house cleaned today if it's the last thing I do.
like father like son,the man/boy being talked about is very much like/exactly like his father ,"Joe's doing really well on the football team this season. He has nearly matched Joe senior's reputation for being a sharp shooter! I guess it's a case of like father, like son."
memory like a sieve,poor memory,I'm so sorry I forgot your birthday - I've got a memory like a sieve!
bang head against wall,to be frustrated in your efforts to change something or make something happen,Trying to keep this place clean and tidy is like hitting my head against a brick wall.
head and shoulders above,significantly better than everybody else in the field,"I'm so proud of our boy, Johnny - he was head and shoulders above the rest of his class in his school project."
do justice to,to speak of or otherwise show a person or thing in its true light,Your plan is excellent - it really does justice to all of the ideas we put forward.
the last thing I want,I don't want,"The report showed up all the flaws in the project, and that was the last thing I wanted!"
household name,to be very popular,The character is a household name because people are able to identify with the struggles that he faces.
page-turner,a thrilling book,The book is a page-turner and now I cannot take a break until I complete reading it.
spine-tingling,to be very horrific,The movie has the most spine-tingling end that you would never be able to guess.
tear-jerking,a story that is purposefully sentimental,This movie is a total tear-jerking for anyone who has lost a parent.
blow your own trumpet,to say things that makes your own self or kin look good,The crew tried to blow their own trumpet but the manager did not buy their story.
just what the doctor ordered,exactly what was wanted or needed,"I was so hungry, and that meal was absolutely delicious! It was just what the doctor ordered."
take a hike,go away,We're all sick of you saying the same things over and over again. Why don't you just take a hike?
keep your hair on,to request someone to stay calm and not get annoyed,The general kept his hair on during the meeting this time.
feel the pinch,experience financial hardship,"Since Farrokh was made redundant, we've really felt the pinch. We can't even afford to buy the kids new shoes."
that's the way the cookie crumbles,"no matter how unfair the situation is, it must be accepted","The manager was fired from his job after making such a huge mistake, but that's the way the cookie crumbles."
break the mould,to do something different from what is expected,His method of teaching physics breaks the mould.
button your lip,to stop speaking,"""His continuous talking makes me wish he could button his lip."""
back against the wall,to be in a tough situation with limited options,"The company has its back against the wall and if the employees do not help out now, it will be bankrupt soon."
bon appetit,enjoy your meal/food,"I want to thank you all for coming to my dinner party, and I'd like to wish you all bon appetit!"
not the sharpest tool in the shed,"someone who is not very clever, according to others","Joe doesn't seem to understand that we're working to a different schedule now, since the workload has doubled.  He's not the sharpest tool in the shed."
the eleventh hour,at the very last minute before an event,"Just minutes before the deadline, he definitely submitted his assignment at the eleventh hour."
a trip to the sun,something which is very unlikely,My dream has always been to settle in Australia. But I know it's like a trip to the sun. I just have to make peace with this place.
eat like a horse,to eat a lot,He eats like a horse - there's never enough left for everyone else once he's been at the buffet.
many hands make light work,to come together for a cause,The workers gathered when the company was facing financial trouble to raise capital and proved that many hands make light work.
"where there's a will, there's a way",willpower will defeat any difficulty,"The man drove through eight countries in his car. It is true, where there is a will, there is a way. "
look before you leap,to make sure that everything is alright before doing something important which you cannot revert,You better check out the costs that you will have to incur through the duration of this lawsuit before filling it. It is always better to look before you leap.
it's better to be safe than sorry,being careful may keep away unpleasant situation,They have taught their kids to play any sport only after wearing its gear because it is better to be safe than sorry.
first things first,to have a priority order,"The deal is on but first things first, let's discuss how the remuneration for the work will be done."
still waters run deep,to have passion or furore underneath a calm expression,"Though he rarely speaks in class, still waters run deep."
"if it ain't broke, don't fix it",to not try to mend things that do not require it,"Their marriage does not need a councillor. You should keep out and if it ain't broke, don't fix it."
learn to walk before you run,to take smaller steps initially,The plan will gradually get the company the revenue that they need to sustain in this market but you need to learn to walk before you run.
money doesn't grow on trees,to have to put an effort in earning money,"The kids need to understand that even though they have been born with a silver spoon in their mouths, that money doesn't grow on trees."
hands are tied,to not be able to do anything about a situation,"The manager tried his best to explain the situation after such a terrible mess created by the employee in the account. In the end, his hands were tied and he had to fire the staff members responsible for the mistake."
tip of the iceberg,to only know a very small part of the problem,The manager-employee problems in this company are just the tip of the iceberg.
no news is good news,"to assume that since there is no news, it will not be bad news",The exam results are not yet out and I feel no news is good news.
"if you scratch my back, I'll scratch yours",to return a favour for a favour,"The government cannot expect any progress in the society with a ""if you scratch my back, I'll scratch yours"" attitude."
ignorance is bliss,to not get affected by something that is not known,The farmers were using these pesticides in their fields without even considering the harmful effects it has on the land. Ignorance is bliss.
"out of sight, out of mind",to not stay an active issue when something is not immediately visible,"The company's top managers do not consider these government policy changes and important for their strategic planning. It is out of sight, out of mind for them but that is not a good thing in any way."
forbidden fruit is always the sweetest,to desire something that is not within a feasible reach,The guy thinks that the forbidden fruit is always the sweetest and keeps asking her out even though she has refused him several times. I seem to think that this is becoming unhealthy and obsessive.
