idiom,meaning,example,source,dupl,idiom_set,idiom_dict,meaning_dict,example_dict,idiom_pfbt,meaning_pfbt
there's no time like the present,right now is the best time,The master chef always told me that there's no time like the present to start working on your signature dish.,dict,0,"frozenset({'present', 'time', 'like'})",there's no time like the present,right now is the best time,The master chef always told me that there's no time like the present to start working on your signature dish.,,
familiarity breeds contempt,to start disliking something when one gets to know too much about it,The couple could not stay together long after their wedding because familiarity breeds contempt.,dict,0,"frozenset({'familiar', 'contempt', 'breed'})",familiarity breeds contempt,to start disliking something when one gets to know too much about it,The couple could not stay together long after their wedding because familiarity breeds contempt.,,
two heads are better than one,to have more than one participant in an activity to make it better,The company engaged with another marketing consultant because it is an important project and two heads are better than one.,dict,0,"frozenset({'one', 'better', 'two', 'head'})",two heads are better than one,to have more than one participant in an activity to make it better,The company engaged with another marketing consultant because it is an important project and two heads are better than one.,,
grass is always greener on the other side,to think that other's part is better than mine,The lawyer always thought that the grass is greener on the other side and left his profession to become an MBA graduate. Guess what? He is still struggling to find a job.,dict,0,"frozenset({'alway', 'side', 'greener', 'grass'})",grass is always greener on the other side,to think that other's part is better than mine,The lawyer always thought that the grass is greener on the other side and left his profession to become an MBA graduate. Guess what? He is still struggling to find a job.,,
the pen is mightier than the sword,the power of mass appeal is stronger than the force used against it,I totally believe that the pen is mightier than the sword and will continue to write about my honest opinions even if it irks a few.,dict,0,"frozenset({'sword', 'pen', 'mightier'})",the pen is mightier than the sword,the power of mass appeal is stronger than the force used against it,I totally believe that the pen is mightier than the sword and will continue to write about my honest opinions even if it irks a few.,,
roaring trade,to do business quickly,The vegetable vendor was doing a roaring trade in the market today.,dict,0,"frozenset({'trade', 'roar'})",roaring trade,to do business quickly,The vegetable vendor was doing a roaring trade in the market today.,,
"when in Rome, do as the Romans",to copy popular culture in order to blend in,"My mother always told us that when in Rome, do as the Romans. That is how today we are able to get along with any kind of people.",dict,0,"frozenset({'roman', 'rome'})","when in Rome, do as the Romans",to copy popular culture in order to blend in,"My mother always told us that when in Rome, do as the Romans. That is how today we are able to get along with any kind of people.",,
cold hearted,"very cruel, unkind person","Don't be so cold hearted, forgive them and speak with your children.",dict,0,"frozenset({'cold', 'heart'})",cold hearted,"very cruel, unkind person","Don't be so cold hearted, forgive them and speak with your children.",,
twist of fate,to experience a change in circumstances,to experience a change in circumstances,dict,0,"frozenset({'twist', 'fate'})",twist of fate,to experience a change in circumstances,to experience a change in circumstances,,
black and blue,"hurt, either bodily, emotionally or psychologically",The man beat his own mother black and blue! How could someone do such a horrible act? The mother is still praying for the best for him though.,dict,1,"frozenset({'black', 'blue'})",black and blue,"hurt, either bodily, emotionally or psychologically",The man beat his own mother black and blue! How could someone do such a horrible act? The mother is still praying for the best for him though.,black and blue,with dark marks on your skin caused by being hit or having an accident
a needle in a haystack,something very small amidst something very big,"You must be kidding when you say that you would like to find evidence in this case, it is like trying to find a needle in a haystack.",dict,1,"frozenset({'haystack', 'needl'})",a needle in a haystack,something very small amidst something very big,"You must be kidding when you say that you would like to find evidence in this case, it is like trying to find a needle in a haystack.",needle in a haystack,"something that is impossible or extremely difficult to find, especially because the area you have to search is too large"
dream come true,fulfilment of a wish after a long time,This house is my dream come true.,dict,0,"frozenset({'dream', 'come', 'true'})",dream come true,fulfilment of a wish after a long time,This house is my dream come true.,,
pass the torch,to pass on the responsibility,The director of the company passed the torch after he got too sick to take care of the company matters.,dict,0,"frozenset({'torch', 'pass'})",pass the torch,to pass on the responsibility,The director of the company passed the torch after he got too sick to take care of the company matters.,,
get under skin,to be irritating,The new manager is getting under my skin.,dict,0,"frozenset({'get', 'skin', 'under'})",get under skin,to be irritating,The new manager is getting under my skin.,,
heads up,to inform about something beforehand,"Heads up! This machine is used to trim grass, please handle with care.",dict,0,"frozenset({'up', 'head'})",heads up,to inform about something beforehand,"Heads up! This machine is used to trim grass, please handle with care.",,
run a tight ship,to be strict about something,"Martha runs a tight ship at home. With 4 kids to take care of at home, she cannot have it any other way.",dict,0,"frozenset({'tight', 'run', 'ship'})",run a tight ship,to be strict about something,"Martha runs a tight ship at home. With 4 kids to take care of at home, she cannot have it any other way.",,
come down with,to have (usually a disease),"The Joshi's have all come down with the flu, so none of them will be able to attend your wedding.",dict,0,"frozenset({'come', 'down'})",come down with,to have (usually a disease),"The Joshi's have all come down with the flu, so none of them will be able to attend your wedding.",,
two wrongs don't make a right,the fact that responding to a negative situation in the same manner will not make things better in any sense,You cannot leave the kitty because she was rude to you. Two wrongs don't make a right.,dict,0,"frozenset({'make', 'right', 'two', 'wrong'})",two wrongs don't make a right,the fact that responding to a negative situation in the same manner will not make things better in any sense,You cannot leave the kitty because she was rude to you. Two wrongs don't make a right.,,
learn the ropes,to learn the tricks in order to do something well,It is important that you learn the ropes and know your father's business well before you take it over.,dict,0,"frozenset({'learn', 'rope'})",learn the ropes,to learn the tricks in order to do something well,It is important that you learn the ropes and know your father's business well before you take it over.,,
beef up,to become big and muscular,Google has beefed up it's search algorithm to provide the best quality search result to its users.,dict,0,"frozenset({'beef', 'up'})",beef up,to become big and muscular,Google has beefed up it's search algorithm to provide the best quality search result to its users.,,
stack the deck,to be against someone or something,The manager had stacked the deck against me but I was able to prove through the system that the error could be apportioned to me.,dict,0,"frozenset({'deck', 'stack'})",stack the deck,to be against someone or something,The manager had stacked the deck against me but I was able to prove through the system that the error could be apportioned to me.,,
old habits die hard,difficult to discontinue of an aged habit,"The colonel still sleeps with a loaded pistol by his side, even though he has retired from the army ten years backs. As they say, old habits die hard.",dict,0,"frozenset({'die', 'habit', 'old', 'hard'})",old habits die hard,difficult to discontinue of an aged habit,"The colonel still sleeps with a loaded pistol by his side, even though he has retired from the army ten years backs. As they say, old habits die hard.",,
batten down the hatches,to get ready for trouble,The army is wise to batten down the hatches near the border when our neighbouring country seems to be so hostile.,dict,0,"frozenset({'hatch', 'batten', 'down'})",batten down the hatches,to get ready for trouble,The army is wise to batten down the hatches near the border when our neighbouring country seems to be so hostile.,,
turning point,the point after which things become better,The turning point in the story came when the protagonist lost his sister in a car accident.,dict,0,"frozenset({'turn', 'point'})",turning point,the point after which things become better,The turning point in the story came when the protagonist lost his sister in a car accident.,,
in the meantime,simultaneously,The party prepared to move to another location in the meantime,dict,0,frozenset({'meantim'}),in the meantime,simultaneously,The party prepared to move to another location in the meantime,,
a cut above,noticeably greater to,This diamond is a cut above the rest. You will like it because you have an expensive taste.,dict,0,"frozenset({'abov', 'cut'})",a cut above,noticeably greater to,This diamond is a cut above the rest. You will like it because you have an expensive taste.,,
being in love,to have strong feelings of love for someone,"Being in love doesn't mean that you forget about all your responsibilities towards your parents, does it?",dict,0,frozenset({'love'}),being in love,to have strong feelings of love for someone,"Being in love doesn't mean that you forget about all your responsibilities towards your parents, does it?",,
outbreak,the beginning of something suddenly,the beginning of something suddenly,dict,0,frozenset({'outbreak'}),outbreak,the beginning of something suddenly,the beginning of something suddenly,,
breakout,to escape from somewhere violently,The breakout was so sudden that the guards did not even have the time to process what happened.,dict,0,frozenset({'breakout'}),breakout,to escape from somewhere violently,The breakout was so sudden that the guards did not even have the time to process what happened.,,
status quo,the existing condition,The countries are now trying to maintain a status quo with regards to their nuclear arsenal which will help them if the situation gets any worse.,dict,0,"frozenset({'quo', 'status'})",status quo,the existing condition,The countries are now trying to maintain a status quo with regards to their nuclear arsenal which will help them if the situation gets any worse.,,
honesty is the best policy,being honest is always good and fruitful,"The company has high moral standards and has the words ""honesty is the best policy"" written all over its premises.",dict,0,"frozenset({'best', 'honesti', 'polici'})",honesty is the best policy,being honest is always good and fruitful,"The company has high moral standards and has the words ""honesty is the best policy"" written all over its premises.",,
glass ceiling,"an unseen (glass) barrier for women and people who belong to minority groups in climbing up the corporate, political or the ladder of success regardless of whether they are qualified for the job",The woman made every attempt but could not break the highest and the toughest glass ceiling.,dict,0,"frozenset({'ceil', 'glass'})",glass ceiling,"an unseen (glass) barrier for women and people who belong to minority groups in climbing up the corporate, political or the ladder of success regardless of whether they are qualified for the job",The woman made every attempt but could not break the highest and the toughest glass ceiling.,,
ballpark figure,to be near about the exact (usually in amount),The management was given a ballpark figure at the very beginning of the presentation.,dict,0,"frozenset({'ballpark', 'figur'})",ballpark figure,to be near about the exact (usually in amount),The management was given a ballpark figure at the very beginning of the presentation.,,
get over it,accept something and move on,"I know you are bitter about losing that job, but try to get over it and find another one.",dict,0,"frozenset({'get', 'over'})",get over it,accept something and move on,"I know you are bitter about losing that job, but try to get over it and find another one.",,
give the slip,to get away,The police were on the criminal's trail but in the end he managed to give them the slip.,dict,0,"frozenset({'give', 'slip'})",give the slip,to get away,The police were on the criminal's trail but in the end he managed to give them the slip.,,
go down like a lead balloon,be poorly received by an audience,The joke he cracked went down like a lead balloon.,dict,0,"frozenset({'lead', 'down', 'like', 'go', 'balloon'})",go down like a lead balloon,be poorly received by an audience,The joke he cracked went down like a lead balloon.,,
go for broke,risk everything and go for an all out effort,"Realizing that they would be out of the competition if they lost this match, the players went for broke.",dict,0,"frozenset({'broke', 'go'})",go for broke,risk everything and go for an all out effort,"Realizing that they would be out of the competition if they lost this match, the players went for broke.",,
good Samaritan,someone who tries to help people in trouble or need,The beggar was lying shivering on the road when a good Samaritan came along and gave him a blanket and some warm clothes.,dict,0,"frozenset({'samaritan', 'good'})",good Samaritan,someone who tries to help people in trouble or need,The beggar was lying shivering on the road when a good Samaritan came along and gave him a blanket and some warm clothes.,,
great minds think alike,thoughts of very intelligent people are similar to each other,"The two of us had the same idea at the same time. Well, great minds think alike!",dict,0,"frozenset({'great', 'think', 'mind', 'alik'})",great minds think alike,thoughts of very intelligent people are similar to each other,"The two of us had the same idea at the same time. Well, great minds think alike!",,
gut feeling,"a personal, intuitive feeling","I had a gut feeling that he had been lying, and sure enough, it was later proved that he had been.",dict,0,"frozenset({'feel', 'gut'})",gut feeling,"a personal, intuitive feeling","I had a gut feeling that he had been lying, and sure enough, it was later proved that he had been.",,
haste makes waste,"if you do things too quickly, you can make mistakes","Try not to rush through things, even though you are in a hurry. After all, haste makes waste.",dict,0,"frozenset({'hast', 'make', 'wast'})",haste makes waste,"if you do things too quickly, you can make mistakes","Try not to rush through things, even though you are in a hurry. After all, haste makes waste.",,
lose head,not have control over your emotions,He is usually very calm and does not lose his head in stressful situations.,dict,0,"frozenset({'lose', 'head'})",lose head,not have control over your emotions,He is usually very calm and does not lose his head in stressful situations.,,
get down to brass tacks,talk about the important things,We have been chatting around for quite some time. Let's get down to brass tacks and discuss what we are really here for.,dict,0,"frozenset({'get', 'brass', 'down', 'tack'})",get down to brass tacks,talk about the important things,We have been chatting around for quite some time. Let's get down to brass tacks and discuss what we are really here for.,,
going to hell in a handbasket,in extremely bad state and becoming worse,"With corruption and malpractices everywhere, the political leadership seem to be going to hell in a handbasket.",dict,0,"frozenset({'handbasket', 'go', 'hell'})",going to hell in a handbasket,in extremely bad state and becoming worse,"With corruption and malpractices everywhere, the political leadership seem to be going to hell in a handbasket.",,
idle hands are the devil's tools,"if you have nothing to do, you are likely to do some mischief",All the kids should be kept busy while you are away; idle hands are the devil's tools.,dict,0,"frozenset({'hand', 'idl', 'tool', 'devil'})",idle hands are the devil's tools,"if you have nothing to do, you are likely to do some mischief",All the kids should be kept busy while you are away; idle hands are the devil's tools.,,
in the bag,have something as good as secured or certain,The deal was finally in the bag after a few rounds of tough negotiations.,dict,0,frozenset({'bag'}),in the bag,have something as good as secured or certain,The deal was finally in the bag after a few rounds of tough negotiations.,,
every nook and cranny,to look for something everywhere,"The lawyers searched every nook and cranny to find more evidence but alas, there was none.",dict,0,"frozenset({'everi', 'nook', 'cranni'})",every nook and cranny,to look for something everywhere,"The lawyers searched every nook and cranny to find more evidence but alas, there was none.",,
in the buff,naked,The model created a sensation when she posed for a magazine cover in the buff.,dict,0,frozenset({'buff'}),in the buff,naked,The model created a sensation when she posed for a magazine cover in the buff.,,
in your face,"a bold, defiant or aggressive manner","Unable to tolerate Jack's in your face attitude anymore, his boss fired him from the job.",dict,0,frozenset({'face'}),in your face,"a bold, defiant or aggressive manner","Unable to tolerate Jack's in your face attitude anymore, his boss fired him from the job.",,
it's anyone's call,a competition where the outcome is difficult to predict or judge,I think this year's election would be anyone's call. Both the candidates seem to have an equally divided support base.,dict,0,frozenset({'anycal'}),it's anyone's call,a competition where the outcome is difficult to predict or judge,I think this year's election would be anyone's call. Both the candidates seem to have an equally divided support base.,,
keep body and soul together,manage to stay alive with very little money,"When he first came to the city, he earned barely enough to keep body and soul together.",dict,0,"frozenset({'bodi', 'keep', 'soul', 'togeth'})",keep body and soul together,manage to stay alive with very little money,"When he first came to the city, he earned barely enough to keep body and soul together.",,
knee jerk reaction,an automatic response to something,It was a typical knee jerk reaction. He said no immediately without considering our proposal.,dict,0,"frozenset({'reaction', 'knee', 'jerk'})",knee jerk reaction,an automatic response to something,It was a typical knee jerk reaction. He said no immediately without considering our proposal.,,
knock on wood (touch wood),tap knuckle on wood in order to avoid bad luck,"I am expecting a promotion and a big pay hike this year, touch wood.",dict,0,"frozenset({'knock', 'wood', 'touch'})",knock on wood (touch wood),tap knuckle on wood in order to avoid bad luck,"I am expecting a promotion and a big pay hike this year, touch wood.",,
icing on the cake,when something good is added to another good thing that you already have,Everyone expected him to do well in the exams. Getting first rank was the icing on the cake.,dict,0,"frozenset({'ice', 'cake'})",icing on the cake,when something good is added to another good thing that you already have,Everyone expected him to do well in the exams. Getting first rank was the icing on the cake.,,
rags to riches,go from being very poor to being very wealthy,He went from rags to riches after his roadside performances were noticed by a famous movie maker and he was offered roles in his movies.,dict,0,"frozenset({'rag', 'rich'})",rags to riches,go from being very poor to being very wealthy,He went from rags to riches after his roadside performances were noticed by a famous movie maker and he was offered roles in his movies.,,
foam at the mouth,be extremely angry,She was foaming at the mouth when she heard of her child's misdeeds.,dict,0,"frozenset({'mouth', 'foam'})",foam at the mouth,be extremely angry,She was foaming at the mouth when she heard of her child's misdeeds.,,
flip the bird,show someone the middle finger as an act of contempt or anger,"When he could not get the man to agree with him, he flipped him the bird and went off cursing.",dict,0,"frozenset({'flip', 'bird'})",flip the bird,show someone the middle finger as an act of contempt or anger,"When he could not get the man to agree with him, he flipped him the bird and went off cursing.",,
dog days,"hot, sultry days","During the dog days of summer, people prefer to remain indoors and go out as little as possible.",dict,0,"frozenset({'day', 'dog'})",dog days,"hot, sultry days","During the dog days of summer, people prefer to remain indoors and go out as little as possible.",,
joined at the hip,two people who are inseparable,Chris and Jenny have been joined at the hip since they started dating each other a year ago. You would never see one without the other.,dict,0,"frozenset({'join', 'hip'})",joined at the hip,two people who are inseparable,Chris and Jenny have been joined at the hip since they started dating each other a year ago. You would never see one without the other.,,
end of story,there is  nothing more to add to the matter under discussion,I did not invite her because I did not want her to come to my party. End of story.,dict,0,"frozenset({'stori', 'end'})",end of story,there is  nothing more to add to the matter under discussion,I did not invite her because I did not want her to come to my party. End of story.,,
ask out,"invite someone to go out, especially on a date","When he finally asked her out, she readily accepted, and very soon they were dating on a regular basis.",dict,0,"frozenset({'out', 'ask'})",ask out,"invite someone to go out, especially on a date","When he finally asked her out, she readily accepted, and very soon they were dating on a regular basis.",,
a bird in the hand is worth two in the bush,what you already have is more valuable than the prospect to have something greater,"You may not like your job, but don't quit merely on the hope of finding a better one. A bird in the hand is worth two in the bush.",dict,0,"frozenset({'worth', 'bird', 'hand', 'bush', 'two'})",a bird in the hand is worth two in the bush,what you already have is more valuable than the prospect to have something greater,"You may not like your job, but don't quit merely on the hope of finding a better one. A bird in the hand is worth two in the bush.",,
toss-up,a situation where the result is unclear and can go either way,"They had a tough time selecting the team for the big match. In the end, it was a toss-up between having the most experienced players and having a youthful team full of raw energy.",dict,0,"frozenset({'toss', 'up'})",toss-up,a situation where the result is unclear and can go either way,"They had a tough time selecting the team for the big match. In the end, it was a toss-up between having the most experienced players and having a youthful team full of raw energy.",,
all bark and no bite,"threatening, aggressive, but not willing to engage in a fight","I heard he has threatened you with dire consequences if you don not stop that construction. Don't worry, he is all bark and no bite.",dict,0,"frozenset({'bite', 'all', 'bark'})",all bark and no bite,"threatening, aggressive, but not willing to engage in a fight","I heard he has threatened you with dire consequences if you don not stop that construction. Don't worry, he is all bark and no bite.",,
all Greek to me,used to convey that you cannot understand what is being said or written,Don't try to explain the technicalities of how this machine works; it would be all Greek to me.,dict,0,"frozenset({'all', 'greek'})",all Greek to me,used to convey that you cannot understand what is being said or written,Don't try to explain the technicalities of how this machine works; it would be all Greek to me.,,
beat around the bush,avoid talking about the main topic,Will you please stop beating about the bush and get to the point?,dict,0,"frozenset({'around', 'bush', 'beat'})",beat around the bush,avoid talking about the main topic,Will you please stop beating about the bush and get to the point?,,
chow down,"to eat something, usually quickly or vigorously",Is the food ready yet? I am hungry and ready to chow down all you have got.,dict,0,"frozenset({'down', 'chow'})",chow down,"to eat something, usually quickly or vigorously",Is the food ready yet? I am hungry and ready to chow down all you have got.,,
"close, but no cigar",be very close to accomplishing a goal but fall short,"You did quite well for someone who was playing for the first time. You attempt for close, but no cigar.",dict,0,"frozenset({'but', 'close', 'cigar'})","close, but no cigar",be very close to accomplishing a goal but fall short,"You did quite well for someone who was playing for the first time. You attempt for close, but no cigar.",,
blood is thicker than water,family relations and bonds are closer than other relationships,"When you get into trouble, usually your family will be the ones to bail you out, not your friends. After all, blood is thicker than water.",dict,0,"frozenset({'water', 'thicker', 'blood'})",blood is thicker than water,family relations and bonds are closer than other relationships,"When you get into trouble, usually your family will be the ones to bail you out, not your friends. After all, blood is thicker than water.",,
come hell or high water,come what may,"I want to complete this report by today, come hell or high water.",dict,0,"frozenset({'water', 'hell', 'come', 'high'})",come hell or high water,come what may,"I want to complete this report by today, come hell or high water.",,
cup of joe,a cup of coffee,"When I wake up in the morning, the first thing I do is make myself a cup of joe.",dict,0,"frozenset({'cup', 'joe'})",cup of joe,a cup of coffee,"When I wake up in the morning, the first thing I do is make myself a cup of joe.",,
curiosity killed the cat,too much curiosity can lead to dangerous situations,"When he started asking too many questions of his neighbours about their whereabouts during the weekend, they warned him that curiosity killed the cat.",dict,0,"frozenset({'cat', 'kill', 'curios'})",curiosity killed the cat,too much curiosity can lead to dangerous situations,"When he started asking too many questions of his neighbours about their whereabouts during the weekend, they warned him that curiosity killed the cat.",,
don't look a gift horse in the mouth,don't be ungrateful when you receive a gift,"I know you don't like the dress very much, but it was a gift; you should not look a gift horse in the mouth.",dict,0,"frozenset({'gift', 'hors', 'look', 'mouth'})",don't look a gift horse in the mouth,don't be ungrateful when you receive a gift,"I know you don't like the dress very much, but it was a gift; you should not look a gift horse in the mouth.",,
down to the wire,a situation where the outcome is not decided until the very end,"With both teams being equally matched and putting up an exceptional display, the match was very exiting and went down to the wire.",dict,0,"frozenset({'down', 'wire'})",down to the wire,a situation where the outcome is not decided until the very end,"With both teams being equally matched and putting up an exceptional display, the match was very exiting and went down to the wire.",,
drop like flies,many people falling ill or dying around the same time,It was flu season and people in our office were dropping like flies.,dict,0,"frozenset({'fli', 'drop', 'like'})",drop like flies,many people falling ill or dying around the same time,It was flu season and people in our office were dropping like flies.,,
everything but the kitchen sink,almost everything that one can think of,"When he moved out of the house, he took along everything but the kitchen sink.",dict,0,"frozenset({'but', 'sink', 'kitchen', 'everyth'})",everything but the kitchen sink,almost everything that one can think of,"When he moved out of the house, he took along everything but the kitchen sink.",,
field day,have a great time doing something enjoyable,The children had a field day when they were taken on a trip to the museum.,dict,0,"frozenset({'day', 'field'})",field day,have a great time doing something enjoyable,The children had a field day when they were taken on a trip to the museum.,,
flash in the pan,"something that cannot be repeated, usually a positive concept","His initial good performances were a mere flash in the pan. Nowadays, he delivers only mediocre work.",dict,0,"frozenset({'flash', 'pan'})",flash in the pan,"something that cannot be repeated, usually a positive concept","His initial good performances were a mere flash in the pan. Nowadays, he delivers only mediocre work.",,
last but not least,"someone or something that is last in sequence, but not less in importance","After the success of his first book, the author thanked his publisher, editor, and, last but not the least, his family.",dict,0,"frozenset({'but', 'last', 'least'})",last but not least,"someone or something that is last in sequence, but not less in importance","After the success of his first book, the author thanked his publisher, editor, and, last but not the least, his family.",,
lend me your ears,ask for someone's full attention,"Lend me your ears, and I will tell you about my adventures in the mountains.",dict,0,"frozenset({'lend', 'ear'})",lend me your ears,ask for someone's full attention,"Lend me your ears, and I will tell you about my adventures in the mountains.",,
level playing field,a situation that is fair to everyone,These set of rules would provide a level playing field to all the competitors and all would have a fair chance of succeeding.,dict,0,"frozenset({'level', 'play', 'field'})",level playing field,a situation that is fair to everyone,These set of rules would provide a level playing field to all the competitors and all would have a fair chance of succeeding.,,
like a chicken with its head cut off,act in a frenzied manner,Does he know how to handle the situation? He has been running around all morning like a chicken with its head cut off.,dict,0,"frozenset({'chicken', 'off', 'cut', 'head', 'like'})",like a chicken with its head cut off,act in a frenzied manner,Does he know how to handle the situation? He has been running around all morning like a chicken with its head cut off.,,
young blood,new members that provide various new schemes and ideas for the organization,The Peace corps is in need of a young blood like Adam.,dict,0,"frozenset({'blood', 'young'})",young blood,new members that provide various new schemes and ideas for the organization,The Peace corps is in need of a young blood like Adam.,,
you've got to be kidding,implies that something that someone said is a joke,"Dan said. ""I got a job as an associate professor in the university! Wow!"" Tina replied. ""You've got to be kidding!""",dict,0,"frozenset({'kid', 'got'})",you've got to be kidding,implies that something that someone said is a joke,"Dan said. ""I got a job as an associate professor in the university! Wow!"" Tina replied. ""You've got to be kidding!""",,
come what may,anything happens; whatever come about,The girl has decided to marry him come what may. She will proceed even if her entire family is against her decision.,dict,0,"frozenset({'come', 'may'})",come what may,anything happens; whatever come about,The girl has decided to marry him come what may. She will proceed even if her entire family is against her decision.,,
you bet,for sure,The manager will pull this deal off. You bet on something else about him because this is definitely happening.,dict,0,frozenset({'bet'}),you bet,for sure,The manager will pull this deal off. You bet on something else about him because this is definitely happening.,,
made it,used to indicated the completion of a task,"""It is so amazing that you made it because we heard that it was a very difficult task.""",dict,0,frozenset({'made'}),made it,used to indicated the completion of a task,"""It is so amazing that you made it because we heard that it was a very difficult task.""",,
take breath away,astonish; surprise; amaze or astound somebody,The ring literally took my breath away. There was a monster of a diamond on it.,dict,0,"frozenset({'take', 'away', 'breath'})",take breath away,astonish; surprise; amaze or astound somebody,The ring literally took my breath away. There was a monster of a diamond on it.,,
surgical strike,to cause injury or damage to the intended targets,The surgical strikes that the Indian army carried out in the year 2016 were an example of the strength that they hold. The enemy better not mess around here.,dict,0,"frozenset({'surgic', 'strike'})",surgical strike,to cause injury or damage to the intended targets,The surgical strikes that the Indian army carried out in the year 2016 were an example of the strength that they hold. The enemy better not mess around here.,,
kill time,to wait for something by doing something or nothing,The team was killing time at the stadium before it was their turn to play.,dict,0,"frozenset({'time', 'kill'})",kill time,to wait for something by doing something or nothing,The team was killing time at the stadium before it was their turn to play.,,
brought forward,to bring forth,The meeting has been brought forward by the board and we have to start preparing for it right away.,dict,0,"frozenset({'brought', 'forward'})",brought forward,to bring forth,The meeting has been brought forward by the board and we have to start preparing for it right away.,,
building blocks,something that is a basic element (of the subject),"The building blocks of success, in my view, come from perseverance and hard work.",dict,0,"frozenset({'block', 'build'})",building blocks,something that is a basic element (of the subject),"The building blocks of success, in my view, come from perseverance and hard work.",,
make sense,to be able to reason something out,The presentation did not make sense at all. It was way off the topic.,dict,0,"frozenset({'make', 'sens'})",make sense,to be able to reason something out,The presentation did not make sense at all. It was way off the topic.,,
in the pipeline,to be underway,The project has been in the pipeline since forever. I am not sure if it will ever get completed.,dict,0,frozenset({'pipelin'}),in the pipeline,to be underway,The project has been in the pipeline since forever. I am not sure if it will ever get completed.,,
baker's dozen, not 12 in numbers but 13,The fellow gave me a baker's dozen of cookies. It made my children very happy.,dict,0,"frozenset({'dozen', 'baker'})",baker's dozen, not 12 in numbers but 13,The fellow gave me a baker's dozen of cookies. It made my children very happy.,,
race against time,effort to do something as soon as possible,The completion of this project was honestly a race against time. The client needed to have filed the documents in the court by today at any cost.,dict,0,"frozenset({'time', 'against', 'race'})",race against time,effort to do something as soon as possible,The completion of this project was honestly a race against time. The client needed to have filed the documents in the court by today at any cost.,,
just in case,to do something as a precautionary measure,The cake was ordered just in case the desert that she made did not turn up well.,dict,0,"frozenset({'just', 'case'})",just in case,to do something as a precautionary measure,The cake was ordered just in case the desert that she made did not turn up well.,,
way around,"to find an alternative for something, someone or to perform a task",The way around such a problem would mean that we lose another 6 months in the completion of this project.,dict,0,"frozenset({'around', 'way'})",way around,"to find an alternative for something, someone or to perform a task",The way around such a problem would mean that we lose another 6 months in the completion of this project.,,
come across,to meet someone,The men had never come across a failure and hence did not know how to deal with it.,dict,0,"frozenset({'across', 'come'})",come across,to meet someone,The men had never come across a failure and hence did not know how to deal with it.,,
must have,to be done in a compulsory manner,The must haves this season include a tunic and a head scarf.,dict,0,"frozenset({'have', 'must'})",must have,to be done in a compulsory manner,The must haves this season include a tunic and a head scarf.,,
stop by,to meet someone or go somewhere in a brief and informal manner,The gardener stopped by the nursery to get some soil for his garden.,dict,0,frozenset({'stop'}),stop by,to meet someone or go somewhere in a brief and informal manner,The gardener stopped by the nursery to get some soil for his garden.,,
upper hand,to have the authority to make decisions over someone or something,The man has an upper hand to his wife. It is reflected in the way he speaks with her.,dict,0,"frozenset({'hand', 'upper'})",upper hand,to have the authority to make decisions over someone or something,The man has an upper hand to his wife. It is reflected in the way he speaks with her.,,
rat race,"to be following a routine that is both, exhaustive as well as competitive",The man has been in a rat race all his life. No wonder he is enjoying his retired life to the fullest.,dict,0,"frozenset({'rat', 'race'})",rat race,"to be following a routine that is both, exhaustive as well as competitive",The man has been in a rat race all his life. No wonder he is enjoying his retired life to the fullest.,,
you know better than that,used to express disappointment when someone makes a mistake which they probably shouldn't have,"She told me that you abused her, you know better than that.",dict,0,"frozenset({'better', 'know'})",you know better than that,used to express disappointment when someone makes a mistake which they probably shouldn't have,"She told me that you abused her, you know better than that.",,
cutting edge,to be among the latest and the best (often used for technological advancements),The company has introduced cutting edge technology which will handle all client servicing issues.,dict,0,"frozenset({'edg', 'cut'})",cutting edge,to be among the latest and the best (often used for technological advancements),The company has introduced cutting edge technology which will handle all client servicing issues.,,
you wish,used to make a sardonic comment,"I told her that we have been dating for 5 years now and she said ""you wish!""",dict,0,frozenset({'wish'}),you wish,used to make a sardonic comment,"I told her that we have been dating for 5 years now and she said ""you wish!""",,
you've made your bed,to make a decision and to accept the consequences of those decisions,"Don't come back when it is all over and you have nowhere to go. Once you've made your bed , you'll have to lie in it.",dict,1,"frozenset({'made', 'bed'})",you've made your bed,to make a decision and to accept the consequences of those decisions,"Don't come back when it is all over and you have nowhere to go. Once you've made your bed , you'll have to lie in it.",you've made your bed,this means that someone will have to live with the consequences of their own actions
loose cannon,somebody whose activities are uncommon and out of control,He was a loose cannon and could not be risked in front of the press.,dict,1,"frozenset({'cannon', 'loos'})",loose cannon,somebody whose activities are uncommon and out of control,He was a loose cannon and could not be risked in front of the press.,loose cannon,an unpredictable or uncontrolled person who is likely to cause unintentional damage
mum's the word,keep quiet and say nothing,"We are throwing a party for our friend Jeremy, but its a surprise, so don't tell him anything about it. Mum's the word.",dict,0,"frozenset({'word', 'mum'})",mum's the word,keep quiet and say nothing,"We are throwing a party for our friend Jeremy, but its a surprise, so don't tell him anything about it. Mum's the word.",,
nest egg,"an amount of money that has been saved, especially for future use",The stock market has given me good returns and helped me build a nest egg for my retirement.,dict,0,"frozenset({'nest', 'egg'})",nest egg,"an amount of money that has been saved, especially for future use",The stock market has given me good returns and helped me build a nest egg for my retirement.,,
New York minute,in a very short amount of time,I'll get that job done in a New York minute if you give it to me.,dict,0,"frozenset({'new', 'york', 'minut'})",New York minute,in a very short amount of time,I'll get that job done in a New York minute if you give it to me.,,
