idiom,meaning,example
not give a damn,to not care,Their son does not give a damn about their health. His ill habits are costing the entire family now.
chop and change,"ing: repeatedly change. Example: One day she's going to be a doctor, the next she wants to study architecture - she'll have to stop chopping and changing and make her mindExample: ing: repeatedly change. ","One day she's going to be a doctor, the next she wants to study architecture - she'll have to stop chopping and changing and make her mindExample: ing: repeatedly change. Example: One day she's going to be a doctor, the next she wants to study architecture - she'll have to stop chopping and changing and make her mind"
chapter and verse,ing: verbatim; word for word details. Example: I was asked if I could give a chapter and verse account of what had happened that night at the paExample: ing: verbatim; word for word details. ,I was asked if I could give a chapter and verse account of what had happened that night at the paExample: ing: verbatim; word for word details. Example: I was asked if I could give a chapter and verse account of what had happened that night at the pa
camp follower,"a person who is supportive of the cause, person or organisation",The only issue of being related to a celebrity is that the camp followers never leave you alone.
come up with,to find a new thought,The team has to come up with cost saving ideas soon otherwise the budget cut will cost them a lot.
come up,ing: happen unexpectedly. Example: He will not be able to attend the meeting if something else comes upExample: ing: happen unexpectedly. ,He will not be able to attend the meeting if something else comes upExample: ing: happen unexpectedly. Example: He will not be able to attend the meeting if something else comes upRead on
come on,to request to hurry (something),The waiter asked us to come on and get the table before the people who had reserved it would arrive. Big tips do work!
come to a head,to reach a point in a situation where action needs to be taken,The negative political climate in America seems to have come to a head.
cost an arm and a leg,very expensive,"I'd like to have a new farmhouse, but it may cost me an arm and a leg."
carry out,"ing: put something into action, to accomplish something, to do something. Example: The scientist wanted to carry out several experiments before announcing the sending of human to the planet mExample: ing: put something into action, to accomplish something, to do something. ","The scientist wanted to carry out several experiments before announcing the sending of human to the planet mExample: ing: put something into action, to accomplish something, to do something. Example: The scientist wanted to carry out several experiments before announcing the sending of human to the planet m"
a cinch,an extremely easy task,I have been preparing for this presentation for the last six months. This promotion will be a cinch for me.
come to a pretty pass,a bad situation,Things have come to such a pretty pass that nowadays parents are afraid of advising their children.
choke up,make a person become overemotional and speechless,He chokes up every time someone brings up the topic of their sudden movement to a new country. Perhaps there is a story behind it that we do not know about.
go through channels,to follow the correct steps in order to get something done,If you want to get a new licence you will have to go through the proper channels. Otherwise it will not be legal.
head in the clouds,daydreaming or absentminded,He roams around all night with his head in the clouds.
cash in,to earn out of something in big amounts,He has cashed in on the estate that his father created. I do not believe he has anything to call his own out there.
creme de la creme,to be exclusive,The children of the crème de la crème crowd go to this school. Needless to say that it is among the costliest in town.
to the core,totally,"Stella's plan was rotten to the core, it would not work in today's world."
cut and dried,ready-made,The rules in our school are cut and dried. Everyone is expected to follow them.
come again,to request someone to repeat what has just been told,"The waiter could not understand what I was saying and kept repeating ""come again"" every time I named a dish to be ordered."
in a clover,"ing: prosperous, living well. Example: After we earn a million in our new business of gold, we'll hopefully be in a cloverExample: ing: prosperous, living well. ","After we earn a million in our new business of gold, we'll hopefully be in a cloverExample: ing: prosperous, living well. Example: After we earn a million in our new business of gold, we'll hopefully be in a cloverRead on"
cloak and dagger,ing: of or characteristic of the activities of spies and undercover agents. Example: Do we need to go for cloak-and-dagger way? Why can't we just meet in a cafe like everyone eExample: ing: of or characteristic of the activities of spies and undercover agents. ,Do we need to go for cloak-and-dagger way? Why can't we just meet in a cafe like everyone eExample: ing: of or characteristic of the activities of spies and undercover agents. Example: Do we need to go for cloak-and-dagger way? Why can't we just meet in a cafe like everyone e
chicken hearted,ing: not brave. Example: These chicken hearted bosses always seem to give in at the first sign of a strExample: ing: not brave. ,These chicken hearted bosses always seem to give in at the first sign of a strExample: ing: not brave. Example: These chicken hearted bosses always seem to give in at the first sign of a str
the chattering classes,ing: educated people who like to discuss and give their opinions about political and social matters. Example: The royal baby's birth was a historic event and has recently become a trendy topic among the chattering classesExample: ing: educated people who like to discuss and give their opinions about political and social matters. ,The royal baby's birth was a historic event and has recently become a trendy topic among the chattering classesExample: ing: educated people who like to discuss and give their opinions about political and social matters. Example: The royal baby's birth was a historic event and has recently become a trendy topic among the chattering classesRead on
your sins will find you out,"ing: things you do wrong will become known. Example: He usually cheats his customers by selling duplicate material, and now he lost his business completely, truly said, your sins will find you outExample: ing: things you do wrong will become known. ","He usually cheats his customers by selling duplicate material, and now he lost his business completely, truly said, your sins will find you outExample: ing: things you do wrong will become known. Example: He usually cheats his customers by selling duplicate material, and now he lost his business completely, truly said, your sins will find you outRead on"
x marks the spot,"ing: when someone finds something looking for, this is the exact spot, mark something with X on target. Example 1: X marks the spot, so let's go and dig up treasure. Example 2: I pointed to the location on the map and told the recruits ""x marks the spot"". Example 3: We looked at the Google map and saw that X marked the spot where it was the cloud brust and killed many people. Origin: What is said upon finding your target has been marked out derived from an X on pirate treasure maps. The phrase was put into common usage by the British army, who performed executions by marking a piece of paper with a black x and positioning it on the heart of someone sentenced to de","ing: when someone finds something looking for, this is the exact spot, mark something with X on target. Example 1: X marks the spot, so let's go and dig up treasure. Example 2: I pointed to the location on the map and told the recruits ""x marks the spot"". Example 3: We looked at the Google map and saw that X marked the spot where it was the cloud brust and killed many people. Origin: What is said upon finding your target has been marked out derived from an X on pirate treasure maps. The phrase was put into common usage by the British army, who performed executions by marking a piece of paper with a black x and positioning it on the heart of someone sentenced to de"
volte face,to change beliefs (suddenly) from something to its complete opposite,The current prime minister thinks it is a joke to volte face on the plans that he announces publicly.
vice versa,a reverse in position,"I do not like my sister's new husband, and vice versa."
vent spleen,to exhibit your rage,The board members in the annual meeting witnessed the company's shareholders venting their spleen over them as they were angry.
quantum leap,to make a significant improvement or dramatic advancement,The store has taken a quantum leap from where it was and seems to be headed strongly in the right direction.
"quote, unquote",to use a phrase which has been coined by someone else but saying it in disbelief,She wants to practice law because it is a quote – respected – unquote - field. 
queer pitch,spoil somebody's chance of doing something.,He queered my pitch by asking for promotion before I did.
early bird,an early rising person,"If you are an early bird, you know that watching the sunrise is how breathtaking."
Jack of all trades,someone who is competent at many things but does not excel at any of them,I am very glad that my husband is a Jack of all trades; it saved us a lot of money when it came to renovating our house.
the calm before the storm,an extremely peaceful atmosphere right before any serious incident or crisis,"The family's meeting on property dispute begins today and I'm just sitting down with a cup of coffee, enjoying the calm before the storm."
cut and thrust,"furious contest, discussion, etc.",The man is not sure if he has it in him to appreciate the cut and thrust of such a huge organisational business.
cry wolf,"to keep asking for help, even when you don't need it. When you really need help, no one believes you.",The little boy had cried wolf so many times that when he was really sick no one believed him.
as the crow flies,in a straight line,The nearest hotel is about 24 kilometers away as the crow flies.
"easy come, easy go",readily won and readily lost,"I won a lot of money at the casino last night but lost it on my way out. Oh well, easy come, easy go."
behind closed doors,in clandestine,"The planning board of the finance division constantly meets behind closed doors, in case its negotiations become known in advance."
in due course,quite soon in the future,All candidates will be informed of our decision in due course.
in the cahoots,to do something in hiding or secret because it is morally or socially not acceptable,It is usually the close circle of celebrities who are in the cahoots with the paparazzi. This is how celebrity outings are caught on tape so often.
cool heels,to wait or take rest,The prisoner has been awarded the death penalty is cooling his heels until the President evaluates if mercy can be sanctioned.
come to pass,to happen,The lady has come to pass that she will be in labour soon.
coin money,ing: make a great deal of money easily or very quickly. Example: With a monopoly in urban as well as rural markets the company could coin moneyExample: ing: make a great deal of money easily or very quickly. ,With a monopoly in urban as well as rural markets the company could coin moneyExample: ing: make a great deal of money easily or very quickly. Example: With a monopoly in urban as well as rural markets the company could coin moneyRead on
feet of clay,ing: have a flaw or weakness most people are unaware of. Example: Some of the greatest people in history had feet of clayExample: ing: have a flaw or weakness most people are unaware of. ,Some of the greatest people in history had feet of clayExample: ing: have a flaw or weakness most people are unaware of. Example: Some of the greatest people in history had feet of clayRead on
chime in,to interject a remark,The family always chimes in with the others so they never feel like they have joined the social network from out of town.
cave in,"to fall for something, either literally or metaphorically",The building caved in by itself after being erect for almost 70 years.
catch napping,"ing: surprise, take unawares. Example: The government was really caught napping the day the protesters planned to jam the highways and roads of the tExample: ing: surprise, take unawares. ","The government was really caught napping the day the protesters planned to jam the highways and roads of the tExample: ing: surprise, take unawares. Example: The government was really caught napping the day the protesters planned to jam the highways and roads of the t"
carte blanche,to have complete authority,The guy has carte blanche over who works and who does not in this company.
call names,to insult someone,"She was afraid that if she wore spectacles to her school, the other kids would call her names."
cut coat according to cloth,"ing: adapt to one's circumstances, make sure one's plans are appropriate to one's resources. Example: Of course, we'd love a luxurious car, but you have to cut your coat according to your clothExample: ing: adapt to one's circumstances, make sure one's plans are appropriate to one's resources. ","Of course, we'd love a luxurious car, but you have to cut your coat according to your clothExample: ing: adapt to one's circumstances, make sure one's plans are appropriate to one's resources. Example: Of course, we'd love a luxurious car, but you have to cut your coat according to your clothRead on"
cut down,to reduce the amount of something (usually bad),I am trying to cut down on sugar this month. I would like to lose some weight before going on holiday.
off the cuff,in an unguarded way,She has a habit of making off-the-cuff remarks which she later denies.
cut both ways,"ing: have two different effects at the same time, usually one good and one bad. Example: Watching TV cuts both ways; it makes people know what is real going on, but it also make them lazy, addicted and sExample: ing: have two different effects at the same time, usually one good and one bad. ","Watching TV cuts both ways; it makes people know what is real going on, but it also make them lazy, addicted and sExample: ing: have two different effects at the same time, usually one good and one bad. Example: Watching TV cuts both ways; it makes people know what is real going on, but it also make them lazy, addicted and s"
curry favour,seek to gain advantage by flattery,Her uncle is so rich that she feels compelled to curry favor with him lest she does not get mentioned in the will!
cut corners,"economise on time, money, materials or effort, perhaps unwisely",It is certainly not a sensible move to cut corners with national security.
on cue,to happen at the precise moment,The race started right on cue. It was indeed enthralling to watch.
take up the cudgels,argue strongly in support or against somebody or something,The whole country has taken up the cudgels for the two men accused of breaking into the school.
crystal clear,"ing: absolutely clear, easy to understand. Example: The instructions for preparing the dish are crystal clearExample: ing: absolutely clear, easy to understand. ","The instructions for preparing the dish are crystal clearExample: ing: absolutely clear, easy to understand. Example: The instructions for preparing the dish are crystal clearRead on"
cup of tea,to like something,This music is much more my cup of tea than this new stuff.
full cry,to talk about a subject in an eager tone,The opposition party was in full cry in the parliament yesterday to ensure that the changes proposed by the government are not passed as legislation.
comes to the crunch,"ing: in a critical moment or crucial time, or in a tight corner. Example: It's always the same, she promise help, but as soon as when it comes to the crunch she invents excuExample: ing: in a critical moment or crucial time, or in a tight corner. ","It's always the same, she promise help, but as soon as when it comes to the crunch she invents excuExample: ing: in a critical moment or crucial time, or in a tight corner. Example: It's always the same, she promise help, but as soon as when it comes to the crunch she invents excu"
crowning glory,ing: The greatest or most beautiful thing Example: The crowning glory of her career came six years later when the Council for British Research awarded Cynthia the Royal Prize for her great wExample: ing: The greatest or most beautiful thing ,The crowning glory of her career came six years later when the Council for British Research awarded Cynthia the Royal Prize for her great wExample: ing: The greatest or most beautiful thing Example: The crowning glory of her career came six years later when the Council for British Research awarded Cynthia the Royal Prize for her great w
caught in the crossfire,"ing: be badly affected by a situation where two people or group are arguing with each other. Example: When parents fight over trifles, their children are often caught in the crossfireExample: ing: be badly affected by a situation where two people or group are arguing with each other. ","When parents fight over trifles, their children are often caught in the crossfireExample: ing: be badly affected by a situation where two people or group are arguing with each other. Example: When parents fight over trifles, their children are often caught in the crossfireRead on"
on the crest of a wave,to reach the highest point of success,"The music band comprising engineering students is currently on the crest of a wave, with a launch of new album it has planned for next year."
get cracking,to hurry something up,The laundry man better get cracking with our clothes else we will miss the event.
blow cover,to reveal the true identity,The custom's officer recognised the man from a wanted poster and blew his cover right out.
count chicken,make plans based on events that may or may not happen,It is not good to start counting your chickens when you do not even have the cash to start your own venture.
couch potato,a chronic television viewer,My younger sister is a great couch potato; she can watch TV 24 hours a day.
wrap in cotton wool,to be overprotective towards somebody,The mother wrapped the child up in cotton wool as if it would protect him from all the dangers of the world.
the corridors of power,the offices of the powerful leaders.,"As personal adviser to the Prime Minister, he thought he'd get his foot inside the corridors of power."
cool as cucumber,"be very calm and relaxed, particularly when it's astonishing","There he stood, cool as cucumber and totally oblivious to the violence that had shattered the very fabric of the society."
to heart's content,to gain full satisfaction,The man ate food at the buffet to his heart's content. He seemed really happy as he left for home.
cold feet,loss of courage,He got cold feet when heard the news of his transfer to remote area of the country which is hundreds of miles from his home town.
conspiracy of silence,"ing: general agreement to keep silent about a subject for the purpose of secrecy. Example: On the airport security check, there is a conspiracy of silence; most of guards bypass the known visitors without checkExample: ing: general agreement to keep silent about a subject for the purpose of secrecy. ","On the airport security check, there is a conspiracy of silence; most of guards bypass the known visitors without checkExample: ing: general agreement to keep silent about a subject for the purpose of secrecy. Example: On the airport security check, there is a conspiracy of silence; most of guards bypass the known visitors without check"
show true colors,to reveal what one is really like,"I trusted her blindly, but when I was in need too much and called her for help, she showed her true colors."
be on a collision course,ing: doing or saying things which are certain to cause a serious disagreement or a fight between them. Example: All the ambassadorial attempts have failed and the United States and Iran emerges to be on a collision courseExample: ing: doing or saying things which are certain to cause a serious disagreement or a fight between them. ,All the ambassadorial attempts have failed and the United States and Iran emerges to be on a collision courseExample: ing: doing or saying things which are certain to cause a serious disagreement or a fight between them. Example: All the ambassadorial attempts have failed and the United States and Iran emerges to be on a collision courseRead on
pour cold water on,deter or discourage somebody,It is not nice to pour cold water on someone's plan when you do not want to be a part of it in the first place.
catch a cold,"ing: suffer a financial loss. Example: Like my elder brother Brian Reddik tried the offshore business of education, but he catches a cold just after its one month, and there is no sign of his growth tillExample: ing: suffer a financial loss. ","Like my elder brother Brian Reddik tried the offshore business of education, but he catches a cold just after its one month, and there is no sign of his growth tillExample: ing: suffer a financial loss. Example: Like my elder brother Brian Reddik tried the offshore business of education, but he catches a cold just after its one month, and there is no sign of his growth till"
coin a phrase,as one might say,"She was, to coin a phrase, as clever as fox."
under a cloud,under suspicion,The luxury transport industry is under a cloud at the moment after newspapers revealed that many indulged in illegal activities.
cock and bull story,"complicated, ridiculous, or unbelievable story",She started to tell some cock and bull story to the police officers about how she found a huge bag containing 5 pounds of gold.
cloud nine,very happy,She's been on cloud nine since she heard the news of her engagement.
out of the closet,go public about something private or hidden,He was in his late teens when he came out of the closet.
closed book,ing: something that one knows or understands nothing about. Example: I'm afraid that this new physics formula will always be a closed book toExample: ing: something that one knows or understands nothing about. ,I'm afraid that this new physics formula will always be a closed book toExample: ing: something that one knows or understands nothing about. Example: I'm afraid that this new physics formula will always be a closed book to
clear the decks,ing: get ready for action. Example: The British Petroleum company is clearing the decks for setting up many huge new projects around glExample: ing: get ready for action. ,The British Petroleum company is clearing the decks for setting up many huge new projects around glExample: ing: get ready for action. Example: The British Petroleum company is clearing the decks for setting up many huge new projects around gl
clean sweep,an irresistible victory,The forecasters are predicting of making a clean sweep for the ruling party in the approaching election.
come clean,to make a disclosure,The guy came clean after the police had started their investigation about the robbery.
round the clock,continuously or interrupted,The counselor has been working round the clock with patients. His dedication has been acknowledged by the hospital through this award.
put the clock back,ing: change to a lower level or earlier time. Example: The Common Rules in the company has put the clock back ten yeExample: ing: change to a lower level or earlier time. ,The Common Rules in the company has put the clock back ten yeExample: ing: change to a lower level or earlier time. Example: The Common Rules in the company has put the clock back ten ye
cold comfort,"insufficient ease, sympathy, or encouragement",A small increment after two years is cold comfort.
clean slate,to wipe the past out and begin afresh,The criminal has completed his sentence and has come out as a clean slate.
Hobson's choice,given two options when in fact there is only one choice,"This is the dirtiest hotel that I have ever slept in! It is this room or out on the street, it's Hobson's choice."
come full circle,"ing: return to an earlier position or decision. Example: After changing couple of jobs in last three years, Jane Stuart come full circle in her first companyExample: ing: return to an earlier position or decision. ","After changing couple of jobs in last three years, Jane Stuart come full circle in her first companyExample: ing: return to an earlier position or decision. Example: After changing couple of jobs in last three years, Jane Stuart come full circle in her first company"
go round in circles,"ing: work at something but keep failing to make progress with it. Example: In the absence of adequate data, the surveyors are just going round in circlesExample: ing: work at something but keep failing to make progress with it. ","In the absence of adequate data, the surveyors are just going round in circlesExample: ing: work at something but keep failing to make progress with it. Example: In the absence of adequate data, the surveyors are just going round in circlesRead on"
strike a chord,to trigger a strong memory or feeling based on which there can be a mutual interest,The two immediately struck a note on the basis of the fact that they follow the same faith. This has led to a beautiful marriage and a lifelong companionship.
when the chips are down,ing: when a situation is urgent or desperate. Example: She's the person you would like to have around when the chips are downExample: ing: when a situation is urgent or desperate. ,She's the person you would like to have around when the chips are downExample: ing: when a situation is urgent or desperate. Example: She's the person you would like to have around when the chips are downRead on
chink in armour,ing: a susceptible or vulnerable area. Example: She is a brilliant social worker but her lack of political awareness may be the chink in her armourExample: ing: a susceptible or vulnerable area. ,She is a brilliant social worker but her lack of political awareness may be the chink in her armourExample: ing: a susceptible or vulnerable area. Example: She is a brilliant social worker but her lack of political awareness may be the chink in her armourRead on
three cheers for,"ing: good for, congratulations to, hurrah for. Example 1: Three cheers for Liverpool Football Club for great victory of Grand Final match. Example 2: Three cheers for your beautiful, newly born b","ing: good for, congratulations to, hurrah for. Example 1: Three cheers for Liverpool Football Club for great victory of Grand Final match. Example 2: Three cheers for your beautiful, newly born b"
charity begins at home,"the family comes first, and one should help their family before helping others","She spends the little money that she earns on social work and neglects her own family, forgetting that charity begins at home."
throw caution to the winds,to take a decision without caring about the negative effects that come with it,The caretaker threw caution to the winds when taking the baby out of the house even though he was already sick.
change of heart,change one's opinion or the way one feels about something,The call-back of the military and troops from Afghanistan shows a change of heart by the British government.
catch-22,the particular situation in which one cannot win,"I couldn't start my own business until I have got money, and I couldn't get the money until I start my own business, oh my God, this is the real Catch-22 situation."
let the cat out of the bag,to let a secret out in the open,The Mason's let the cat out of the bag at the end minute. Until then nobody at the party knew about the performance by such a famous film star in a regular party.
castles in the air,thinking of some impossible task,"She keeps talking about her big-time ambitions, but it's all castles in the air."
put the cart before the horse,to do things in the wrong order or sequence,Aren't you putting the cart before the horse in decorating your new office? You haven't even been awarded the job yet.
carrot and stick,mixture of rewards and punishments,He said the carrot and stick approach is in effective when it comes to management.
card up sleeve,to have a secret advantage that is suddenly revealed to change the game,"He did not just leave his house. He had a card up his sleeve that he did not even reveal to his family, which was his new flat in a posh locality."
in the can,to be completed,The work is almost entirely in the can if only he can convince the managing directors to give him a raise now.
sell like hot cakes,be a great commercial success,These books are selling like hotcakes.
a piece of cake,very easy task,"Don't worry, Sophie - this job interview will be a piece of cake for you - you have all the skills they need and I think you're absolutely the best candidate."
crack of dawn,very early in the morning,"We shared, cared and cheered until we were at the crack of dawn."
on the case,to do what is the best course of action in the given situation,The best detective from the police department is on the case and we will be hearing about the culprit being nabbed very soon now
can of worms,"to get into something that is messy, has problems and is unwanted",The can of worms was wide open when he asked her about her past.
burst at the seams,to be filled up to the brim,The meal was absolutely delicious but now I am bursting at the seams.
beg to differ,to politely refuse something,The argument was quite wonderful in his opinion but I beg to differ. I never enjoy political debates.
in the black,to not be in debt,The employees were in the black until the management wrapped up the entire business.
close the books,set the ending to a concerned issue,The accountant closed the books and that was the end of your 40 year old favourite sweet shop.
betwixt and between,to be undecided about something,The girl was betwixt and between which of her parents to choose during the divorce trial.
by the way,incidentally,"I will not be going to the party. By the way, I do not like him too much."
break down,to stop working,His car broke down.
better off,to shun someone or something away so that it becomes better than before,The family is better off without this guy who respects nobody and thinks that he is the centre of the universe at all times.
buzz word,a phrase that is used to describe a word or phrase that is popular in a group of people,The college students these days have many buzz words that their parents do not understand.
build bridges,to foster good relationships,A non-governmental organization is engaged in building bridges between different communal groups in the city.
go by the book,"do things strictly according to the written rules, etc.",The most successful officers are not those who always go by the book but use their initiative.
blue-collar,"of or relating to industrial work, especially the semiskilled and unskilled",They hope the new manufacturing unit on the small town's outskirts will open up the doors for many more blue-collar jobs.
bee in bonnet,be possessed with one thought or scheme,The man has a real bee in his bonnet in trying to find out about how people would react in this situation.
after blood,"to want to revenge or punish someone, because they have made you angry",John is after blood who damage his car in the parking.
bitter medicine,something difficult to accept,"Initially, the lockdown during the pandemic was bitter medicine for all."
make it big,become very successful or famous,I always knew that someday my life would flip and I would make it big.
belly laugh,to laugh uncontrollably,The books by this author always give me a belly laugh.
take a beating,to be defeated in doing something and be reprimanded for the same,The younger sibling never takes a beating even if they have done the mischief. It is always the older child who is blamed.
stab in the back,a disloyalty,"I have done everything for her, but she left me because of that guy, she stabbed in my back."
bad-mouth,to say something bad about something,The social parties in this area are just meant for old ladies to gather around and bad-mouth everyone who did not show up. I would never go for one.
mean business,to be focused about achieving a goal,She meant business when she said that she will take the number one position in the tennis world.
hide light under a bushel,to show modesty towards something or someone,The man kept hiding his light under a bushel even though the whole neighbourhood is aware of his cleanliness initiatives for the society.
burn fingers,to bear an unpleasant result of an action that has been taken in the past,The minister was warned not to venture into this sort of a contract. If he wants to burn his fingers in spite of that then he may continue.
at bottom,to the core of the object,"At bottom she is her father's daughter. No matter how much the family curses him, she will always be on his side."
born yesterday,naive; inexperienced,"Susan might look young, but she was not born yesterday. She is not going to fall for your lies."
bona fide,"to be genuine, verified","The text on this website is bona fides, always."
blue blood,a member of an upper-class family,The new student is very arrogant because his blood is blue.
bird of passage,a transient,She moves out nearly every year; she's a true bird of passage.
butterflies in stomach,to feel very nervous and restless,He had butterflies in his stomach as he walked out onto the stage for his dance performance.
turn back on,choose not to speak to,"The client has been given a commitment, we cannot turn back on the project now even if it means working for extra hours."
let bygones be bygones,what's done is done,The two international rivals shook hands and agreed to let bygones be bygones.
as busy as a bee,very busy,I am trying to complete my assignment by the weekend and am as busy as a bee. Could we rather meet up next week?
on the back burner,to put something (that is to be done) for later,The assignment is on the back burner while I concentrate on writing this play.
burn the midnight oil,work long hours and hard,"It is very very hard assignment, and I had to burn the midnight oil to get it completed on time."
take the bull by the horns,decisively deal with a difficult or dangerous situation,Jone decided to take the bull by the horns and organise things for himself.
bull in a china shop,"extremely awkward, clumsy person",The president has been attacking foreign ministers and even the people in his own party like a bull in a china shop. This has not only led to a lot of criticism but people have started alienating from him.
burn bridges,"remove someone's all options of retreat, act decisively",She has already burned his bridges with his previous employer by publicly criticizing their marketing policy.
bear the brunt of,to be bearing the main force that came from a blow,The family has borne the brunt of his misdeed for a very long time. I think they should be excused now.
bread and butter,to indicate what a person earns or earns for,"The person depends on you for his bread and butter, how can you be so thoughtless?"
think outside the box,think differently,The team always thinks outside the box to come up with unique advertisements for all its clients.
make no bones about,"to talk openly about something, instead of being silent",She makes no bones about his feelings towards the protestors.
draw a blank,to get no response from someone,The bank manager will question you on why you need such a big amount as loan. You have to be confident in your answers and for heaven's sake do not draw a blank at that time.
in black and white,printed form of a document,Bank demanded in submit the proposal in black and white.
black sheep,a disgrace,I have always been the black sheep of my family. Everyone else has responsible jobs while I have chosen to be an artist.
bite tongue,to keep yourself from saying something that you really want to say,I had to bite my tongue when Peter said that he was hard-working.
bite off more than can chew,try to do more than one is able to do,"By accepting two part-time jobs, he is clearly biting off more than he can chew."
bite the hand that feed,to turn against someone who has been a benefactor in the past,The strategies of the state government are not perfect but the people should not bite the hand that feeds them since many lucrative policies have been brought about by this government for the common people.
bite the dust,to fall to the ground,The soldier bit the dust after a very long fight and even at that he managed to take many enemy soldiers with him.
big deal,important thing,Winning a scholarship is no big deal for him.
bits and pieces,miscellaneous small objects,"After the accident, there were bits and pieces of the wreckage spread all over the road."
a bird in the hand,a possession that is worthy,The fact is that he did not realise that a bird in the hand was worth more and went after having an extra marital affair. Now he neither has his wife nor his girlfriend.
foot the bill,pay the bill,It was a splendid party and I'm glad that I don't have to foot that particular bill.
fill the bill,be exactly suitable for a particular situation,The person who claims he fills the bill for the role of such an important office should at least be decent with his communication on social networks. This guy is not worth the people's while.
back to the drawing board,back to the planning stage,"My experiment was a failure, so I'm back to the drawing board."
big cheese,to be an important and successful individual,The guy is among the big cheeses in the region and his word rules.
bide time,to wait for the perfect moment to do something,The big tiger bides time until the zebra had to make its way to the water fountain and then struck.
beyond a shadow of doubt,to be certain about something's validity,The government has clarified beyond a shadow of doubt that the people who have been evading taxes so far will be caught very soon.
the better of,to become superior to someone or thing,The man has seen many troubled times and is determined to give the better of days to his children.
better half,spouse,I think a two-bedroom flat would suit us but I'd better confirm it with my better half.
better late than never,it is better for somebody or something to be late than never to arrive or to happen,All of us have been waiting for you for two hours - but better late than never.
safe bet,ing: fair assumption; reasonable guess; opinion or view that is likely to prove correct. Example: The party president decided that the 75-year-old sitting legislator was still a safe bet for re-electExample: ing: fair assumption; reasonable guess; opinion or view that is likely to prove correct. ,The party president decided that the 75-year-old sitting legislator was still a safe bet for re-electExample: ing: fair assumption; reasonable guess; opinion or view that is likely to prove correct. Example: The party president decided that the 75-year-old sitting legislator was still a safe bet for re-elect
make the best of,to look for a positive side of a seemingly negative situation,The sun was shining so he made the best of his day and went to the beach with his family.
below the belt,to be mean and unfair (in a fight),The shot that he took at him was completely below the belt. Decent people do not compete like this.
raining cats and dogs,too much heavy rain,It's raining cats and dogs I am worried about how my kids will reach home.
a bed of roses,easy option,"Weight loss is a challenging task, not a bed of roses."
tighten belt,to save your money,I have had to tighten my belt since I lost my job at the ice cream factory.
baying for blood,ing: want somebody to be hurt or punished. Example: The victims' families could be seen baying for blood of the assaulter's during the trExample: ing: want somebody to be hurt or punished. ,The victims' families could be seen baying for blood of the assaulter's during the trExample: ing: want somebody to be hurt or punished. Example: The victims' families could be seen baying for blood of the assaulter's during the tr
pass on the baton,"ing: give responsibility for something important to another person. Example: The governor of the State Bank of India resigns this month, passing on the baton to one of his closest associaExample: ing: give responsibility for something important to another person. ","The governor of the State Bank of India resigns this month, passing on the baton to one of his closest associaExample: ing: give responsibility for something important to another person. Example: The governor of the State Bank of India resigns this month, passing on the baton to one of his closest associa"
bated breath,to wait in a nervous and excited manner,The announcer announced the last number with bated breath which made the audience very anxious of the result.
beat a hasty retreat,abandon something (speedily),"Once I realized that John was going to be at the party, I beat a hasty retreat."
at bay,to keep something dangerous at a safe distance,The scientists were able to keep the disease at bay with the help of modern medicine.
back to basics,ing: start to give your attention to the simplest and most important matters after ignoring them for a while. Example: The president's economic package has failed to win the financial institutions' trust and he will have to get back to basExample: ing: start to give your attention to the simplest and most important matters after ignoring them for a while. ,The president's economic package has failed to win the financial institutions' trust and he will have to get back to basExample: ing: start to give your attention to the simplest and most important matters after ignoring them for a while. Example: The president's economic package has failed to win the financial institutions' trust and he will have to get back to bas
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,It was a very sensitive case and yet for over one year the investigators kept barking up the wrong tree.
go with a bang,"ing: very exciting and successful. Example: We take part in the events organized by Jack and Rose Events Company, because they go with a real bangExample: ing: very exciting and successful. ","We take part in the events organized by Jack and Rose Events Company, because they go with a real bangExample: ing: very exciting and successful. Example: We take part in the events organized by Jack and Rose Events Company, because they go with a real bangRead on"
bang on,to be exact; to be correct; to be proper,The documentary was bang on the subject of female foeticide.
banana republic,"a small, poor country with a weak, corrupt or dishonest government","If the current Prime Minister wins the election again, nobody can save our country from becoming a banana republic."
have a ball,to have a great time,The team had a ball at the corporate event. Rarely are such parties so interesting for the employees.
a bag or bundle of nerves,"ing: very nervous person. Example: Before the interview, he was a bundle of nervesExample: ing: very nervous person. ","Before the interview, he was a bundle of nervesExample: ing: very nervous person. Example: Before the interview, he was a bundle of nervesRead on"
bag and baggage,"ing: (with) all one's belongings. Example: Tired of their tantrums, the landlady asked her tenants to vacate the house, bag and baggage, in a week's tiExample: ing: (with) all one's belongings. ","Tired of their tantrums, the landlady asked her tenants to vacate the house, bag and baggage, in a week's tiExample: ing: (with) all one's belongings. Example: Tired of their tantrums, the landlady asked her tenants to vacate the house, bag and baggage, in a week's ti"
take a back seat,ing: take a less important position. Example: The founder of the company decided to take a back seat and let the board members run the businExample: ing: take a less important position. ,The founder of the company decided to take a back seat and let the board members run the businExample: ing: take a less important position. Example: The founder of the company decided to take a back seat and let the board members run the busin
back door,to take indirect or unofficial route to get something done,The agency was given to him because he slid into the contract through the back door.
on the brink of,to be on the verge of doing something,The dam was on the brink of pouring over when the officials decided to open the gates and let the water out.
