idiom,instance,label,meaning,gold,revision,TimeMe,AssignmentId,WorkerId,gold_0,revision_0,gold_1,revision_1,gold_2,revision_2,gold_3,revision_3,maxVote
ring a bell,the teacher asked me to ring a bell for them to signal the end of recess,literal,something that sounds familiar,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[120.176, 71.559, 88.855, 91.763]","['3U0SRXB7CTL7AWPW5YTPG502C4WNRH', '3LJ7UR74RXT09QNYUMXC8CPSKQD4NG', '3AMW0RGHOTIMYJ9HS6P0BA0NBMAPNT', '3J4Q2Z4UTEJXLPJAKKVC7Y3O9UZWQH']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']",literal,{},literal,{},literal,{},literal,{},literal
hide light under a bushel,"during the game of hide and seek, he was hiding light under a bushel to avoid being found",literal,to show modesty towards something or someone,"[1, 3, 2, 1]","['{}', '{}', 'during the game he hid light under a bushel for protection', '{}']","[135.839, 405.333, 177.902, 161.337]","['3W2LOLRXLRV62Q4T8L19ODJYI9RRKG', '3NJM2BJS4CM37FCQ3GGMVZ6BCIVCPX', '3LUY3GC63FGXVYHUCZ8BFDEXB74P7H', '3GM6G9ZBK3DE8THOXMJK35CKVZLMTV']","['A1HKYY6XI2OHO1', 'A1I7H6RDJS4EKN', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},discard,{},ambiguous,during the game he hid light under a bushel for protection,literal,{},literal
keep the wolf from the door,"with a sturdy fence, the farmer kept the wolf from the door of his sheep pen",literal,to have sufficient money to prevent starvation or hunger,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[117.035, 105.707, 177.537, 77.092]","['3X4MXAO0BW4XXQYAXZKCCODT5G1WRI', '3Y54SXRO111XL1MX6OA6UFTE8LMTUS', '3Z3ZLGNNSYA0URHMA0KA21SRB13Q33', '3U4J9857OURVR4GKTUQAKT98U3P7BE']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",literal,{},literal,{},literal,{},literal,{},literal
rock the boat,rocked the boat a bit,ambiguous,to make trouble.,"[2, 2, 2, 2]","['{}', '{}', 'she rocked the boat a bit', 'She rocked the boat a bit and cause drama']","[35.951, 90.688, 190.121, 199.167]","['3YDTZAI2WDWXVJG9PZZEB5CPHL8410', '3HWRJOOETLIFH5CWROQBGSBPKACESX', '37U1UTWH9B2M7P2SZW46Y8A7N5C8RL', '3R6BYFZZPNSFJ0YRG9G4XIDHBQVXF8']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},ambiguous,she rocked the boat a bit,ambiguous,She rocked the boat a bit and cause drama,ambiguous
dig one's own grave,"by spreading false rumors about the boss, he was digging his own grave at work",figurative,"to do something that has negative consequences for you, even though these consequences can be easily seen.","[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[144.596, 45.055, 35.646, 168.028]","['32AT8R96G1PW619IHO5GKAXS628US4', '32EYX73OYGPK5M952Z5BU0SWK0PURG', '3VFJCI1K4FF1048AIUGUQLR5BSBRGE', '3EFE17QCRSLR1F3YHPYH1V82CU6SH1']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
bang head against wall,banging head against the wall,ambiguous,to be frustrated in your efforts to change something or make something happen,"[2, 2, 2, 2]","['{}', '{}', 'she was banging her head against the wall', '{}']","[35.951, 90.688, 190.121, 199.167]","['3YDTZAI2WDWXVJG9PZZEB5CPHL8410', '3HWRJOOETLIFH5CWROQBGSBPKACESX', '37U1UTWH9B2M7P2SZW46Y8A7N5C8RL', '3R6BYFZZPNSFJ0YRG9G4XIDHBQVXF8']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},ambiguous,she was banging her head against the wall,ambiguous,{},ambiguous
the devil is beating his wife,"while the sun was shining, it started raining, and people said the devil is beating his wife",figurative,raining whereas the sun is shining.,"[0, 0, 0, 0]","['{}', 'it started raining, and people said the devil is beating his wife', 'the sun was still shining when the rain started, so people were saying devils beat their wives then', '{}']","[135.839, 405.333, 177.902, 161.337]","['3W2LOLRXLRV62Q4T8L19ODJYI9RRKG', '3NJM2BJS4CM37FCQ3GGMVZ6BCIVCPX', '3LUY3GC63FGXVYHUCZ8BFDEXB74P7H', '3GM6G9ZBK3DE8THOXMJK35CKVZLMTV']","['A1HKYY6XI2OHO1', 'A1I7H6RDJS4EKN', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",figurative,{},figurative,"it started raining, and people said the devil is beating his wife",figurative,"the sun was still shining when the rain started, so people were saying devils beat their wives then",figurative,{},figurative
Dutch uncle,"he gave me advice like a Dutch uncle, always straightforward and honest",figurative,"criticize, scold or lecture someone","[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[117.035, 105.707, 177.537, 77.092]","['3X4MXAO0BW4XXQYAXZKCCODT5G1WRI', '3Y54SXRO111XL1MX6OA6UFTE8LMTUS', '3Z3ZLGNNSYA0URHMA0KA21SRB13Q33', '3U4J9857OURVR4GKTUQAKT98U3P7BE']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
mind your own beeswax,on minding your own beeswax,ambiguous,do not interfere into someone else's matter,"[2, 0, 2, 0]","['{}', '{}', '{}', '{}']","[48.669, 165.551, 53.92, 261.584]","['3S0TNUHWK9YS6FJNHV9MTJT384N8DH', '39GXDJN2O9UE0WJ98G9GZ5ZA8BA8VZ', '3TE22NPXPRSENIDSCHIG93JST5H44C', '3Z7EFSHGNPU8GOEHP7Q3PCSEED3XCX']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'A38DXFI1TZA295', 'AX8NXTT8QMGHC']",ambiguous,{},figurative,{},ambiguous,{},figurative,{},discard
eat him alive,eat him alive in the competition,ambiguous,to criticize someone severely because you are angry with them,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[48.669, 165.551, 53.92, 261.584]","['3S0TNUHWK9YS6FJNHV9MTJT384N8DH', '39GXDJN2O9UE0WJ98G9GZ5ZA8BA8VZ', '3TE22NPXPRSENIDSCHIG93JST5H44C', '3Z7EFSHGNPU8GOEHP7Q3PCSEED3XCX']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'A38DXFI1TZA295', 'AX8NXTT8QMGHC']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
weather the storm,"during the hurricane, we huddled in the basement and weathered the storm together",literal,handle a difficult period of time successfully,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[120.176, 71.559, 88.855, 91.763]","['3U0SRXB7CTL7AWPW5YTPG502C4WNRH', '3LJ7UR74RXT09QNYUMXC8CPSKQD4NG', '3AMW0RGHOTIMYJ9HS6P0BA0NBMAPNT', '3J4Q2Z4UTEJXLPJAKKVC7Y3O9UZWQH']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']",literal,{},literal,{},literal,{},literal,{},literal
know the ropes,he knew the ropes well,ambiguous,to know all the ways and means to get something done,"[2, 2, 2, 2]","['{}', '{}', '{}', '{}']","[48.669, 165.551, 53.92, 261.584]","['3S0TNUHWK9YS6FJNHV9MTJT384N8DH', '39GXDJN2O9UE0WJ98G9GZ5ZA8BA8VZ', '3TE22NPXPRSENIDSCHIG93JST5H44C', '3Z7EFSHGNPU8GOEHP7Q3PCSEED3XCX']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'A38DXFI1TZA295', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
halfway house,staying at the halfway house,ambiguous,"mid-point in recovery, treatment, or progress","[1, 2, 2, 0]","['{}', '{}', '{}', 'She is staying at the halfway house']","[133.736, 163.983, 99.469, 73.894]","['3DH6GAKTYE5AOMF1MHWDJO08P1HYZ1', '3U088ZLJV099XWEB3M1XSSC6WMYW08', '3M0BCWMB8BCAHJHL12YMC98PNQXBWB', '36NEMU28XVT60ALISROVQPJJZP1WML']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'A38DXFI1TZA295', 'AX8NXTT8QMGHC']",literal,{},ambiguous,{},ambiguous,{},figurative,She is staying at the halfway house,ambiguous
in the cross hairs,"during the paintball match, she was caught in the cross hairs of her opponent's gun",literal,in a position where one might receive severe criticism,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[130.348, 73.722, 156.548, 101.169]","['3AWETUDC9I8OYM0WIZAAX06KZMLZI6', '34PGFRQON4RGZ2FXPUB3AXR2VZ6WJP', '3OWEPKL08PSXSD5HWKVJBO92BS4N7K', '3J88R45B2WERADNLUCC99CRLD0IPXB']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",literal,{},literal,{},literal,{},literal,{},literal
whole nine yards,she went the whole nine yards,ambiguous,"everything, all of something","[2, 2, 2, 0]","['{}', '{}', '{}', 'She did the whole nine yards.']","[133.736, 163.983, 99.469, 73.894]","['3DH6GAKTYE5AOMF1MHWDJO08P1HYZ1', '3U088ZLJV099XWEB3M1XSSC6WMYW08', '3M0BCWMB8BCAHJHL12YMC98PNQXBWB', '36NEMU28XVT60ALISROVQPJJZP1WML']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'A38DXFI1TZA295', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},ambiguous,{},figurative,She did the whole nine yards.,ambiguous
come clean,"after hiding the truth for so long, he decided to come clean about his past",figurative,to make a disclosure,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[128.458, 154.897, 76.57, 140.975]","['31QTRG6Q29TGAIDVZ8YBSQYUF6CPYH', '3O6CYIULETHPDIQR1TFHHZ0DCF5WUM', '3ZWFC4W1UANVM4CF7AAC80RTADBRFF', '3YW4XOSQK61WCHAO45QWO9AJG2WU1L']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ', 'AX8NXTT8QMGHC']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
drop a bombshell,the CEO dropped a bombshell during the meeting when he announced the company's bankruptcy,figurative,"make an unexpected, startling or disturbing announcement","[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[137.48, 81.461, 51.312, 93.159]","['3C8HJ7UOPNAAU5QN3E82PTD1GV5ZMM', '3W2LOLRXLRV62Q4T8L19ODJYI9SRKH', '3A4NIXBJ7MFQPG9JODHTHE231MZLMR', '36DSNE9QZLE8UT6VY8KTT3EGSX8JO1']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'AURYD2FH3FUOQ']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
gets it out of his system,he needs to vent his frustrations to gets it out of his system,figurative,get rid of a strong emotion or desire by expressing it openly or trying to fulfill it,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[117.035, 105.707, 177.537, 77.092]","['3X4MXAO0BW4XXQYAXZKCCODT5G1WRI', '3Y54SXRO111XL1MX6OA6UFTE8LMTUS', '3Z3ZLGNNSYA0URHMA0KA21SRB13Q33', '3U4J9857OURVR4GKTUQAKT98U3P7BE']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
lose it,she lost it during the meeting when she could n't handle the pressure anymore,figurative,go insane or crazy,"[0, 1, 0, 0]","['{}', '{}', '{}', '{}']","[116.909, 76.968, 157.366, 97.357]","['3E337GFOLPOGL6GIPNZDH1MVAVLNGL', '3FQ5JJ51214LNSC1FEKSFTEOHC2KNL', '37M28K1J06TJSPCUOPFBS8UB3G5JA3', '32RIADZIS8KXP3F32IEY76ZY7PM4ST']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",figurative,{},literal,{},figurative,{},figurative,{},figurative
all Greek to me,"since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",literal,used to convey that you cannot understand what is being said or written,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[131.145, 83.68, 102.126, 174.94]","['3IJXV6UZ1DZFWVE58IGXBX4LQ52RI5', '3R8YZBNQ9XYIVAI9CCN0FI47G3PQ78', '3TDXMTX3CRAMACGLGUDZ02DPUIQ6IO', '3IUZPWIU14NBAMLF7FBFBCRFAO6KWC']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},literal,{},literal,{},literal,{},literal
silver spoon,"in a unique family tradition, every child was born with a silver spoon placed beside them",literal,having a rich or privileged background,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[128.458, 154.897, 76.57, 140.975]","['31QTRG6Q29TGAIDVZ8YBSQYUF6CPYH', '3O6CYIULETHPDIQR1TFHHZ0DCF5WUM', '3ZWFC4W1UANVM4CF7AAC80RTADBRFF', '3YW4XOSQK61WCHAO45QWO9AJG2WU1L']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ', 'AX8NXTT8QMGHC']",literal,{},literal,{},literal,{},literal,{},literal
on the money,the coin landed right on the money that was placed on the table,literal,being right about something.,"[1, 1, 1, 1]","['{}', '{}', '{}', 'the coin landed right on the money already on the table']","[137.48, 81.461, 51.312, 93.159]","['3C8HJ7UOPNAAU5QN3E82PTD1GV5ZMM', '3W2LOLRXLRV62Q4T8L19ODJYI9SRKH', '3A4NIXBJ7MFQPG9JODHTHE231MZLMR', '36DSNE9QZLE8UT6VY8KTT3EGSX8JO1']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'AURYD2FH3FUOQ']",literal,{},literal,{},literal,{},literal,the coin landed right on the money already on the table,literal
cut down,to cut down the tree,ambiguous,to reduce the amount of something (usually bad),"[2, 2, 1, 2]","['{}', '{}', '{}', '{}']","[25.455, 77.099, 166.453, 82.418]","['3H8DHMCCWPRC1GLOQK6PJO2U34HDK5', '3G5F9DBFO5D7T7K2BK3MCIS9BUYHVL', '3A9AA95ATC2I8U3BO6TEHT01KX85P9', '3AQF3RZ55OY20LEVFM7EX50XEMD6F4']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},literal,{},ambiguous,{},ambiguous
fall between the cracks,fell between the cracks,ambiguous,be ignored or unobserved,"[2, 2, 2, 2]","['{}', '{}', 'it fell between the cracks', '{}']","[25.455, 77.099, 166.453, 82.418]","['3H8DHMCCWPRC1GLOQK6PJO2U34HDK5', '3G5F9DBFO5D7T7K2BK3MCIS9BUYHVL', '3A9AA95ATC2I8U3BO6TEHT01KX85P9', '3AQF3RZ55OY20LEVFM7EX50XEMD6F4']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},ambiguous,it fell between the cracks,ambiguous,{},ambiguous
sit tight,to sit tight and wait,ambiguous,wait patiently,"[2, 2, 0, 0]","['{}', '{}', '{}', '{}']","[25.455, 77.099, 166.453, 82.418]","['3H8DHMCCWPRC1GLOQK6PJO2U34HDK5', '3G5F9DBFO5D7T7K2BK3MCIS9BUYHVL', '3A9AA95ATC2I8U3BO6TEHT01KX85P9', '3AQF3RZ55OY20LEVFM7EX50XEMD6F4']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},figurative,{},figurative,{},discard
get over it,he finally got over it by climbing the fence,literal,accept something and move on,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[128.458, 154.897, 76.57, 140.975]","['31QTRG6Q29TGAIDVZ8YBSQYUF6CPYH', '3O6CYIULETHPDIQR1TFHHZ0DCF5WUM', '3ZWFC4W1UANVM4CF7AAC80RTADBRFF', '3YW4XOSQK61WCHAO45QWO9AJG2WU1L']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ', 'AX8NXTT8QMGHC']",literal,{},literal,{},literal,{},literal,{},literal
field day,had a field day,ambiguous,have a great time doing something enjoyable,"[2, 2, 0, 2]","['{}', '{}', 'they had a field day', 'They had a field day']","[25.455, 77.099, 166.453, 82.418]","['3H8DHMCCWPRC1GLOQK6PJO2U34HDK5', '3G5F9DBFO5D7T7K2BK3MCIS9BUYHVL', '3A9AA95ATC2I8U3BO6TEHT01KX85P9', '3AQF3RZ55OY20LEVFM7EX50XEMD6F4']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},figurative,they had a field day,ambiguous,They had a field day,ambiguous
in deep water,he found himself in deep water,ambiguous,a very serious situation,"[2, 2, 2, 0]","['{}', '{}', '{}', '{}']","[26.843, 146.658, 29.018, 88.44]","['3XUHV3NRV0EQVD5N5TL98KYAY6Z5H5', '3DR23U6WELUGW5PBGOV1QX7BMTQETM', '3FQ5JJ51214LNSC1FEKSFTEOH80NKE', '3WS1NTTKEES7MASGDXRXO4Q61J8F0T']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'A2OVOVZBJYUO', 'AEK2SAEL9GG39']",ambiguous,{},ambiguous,{},ambiguous,{},figurative,{},ambiguous
paddle own canoe,they had to paddle their own canoe to reach the other side of the lake,literal,To be able to act without having to depend on anyone.,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[116.909, 76.968, 157.366, 97.357]","['3E337GFOLPOGL6GIPNZDH1MVAVLNGL', '3FQ5JJ51214LNSC1FEKSFTEOHC2KNL', '37M28K1J06TJSPCUOPFBS8UB3G5JA3', '32RIADZIS8KXP3F32IEY76ZY7PM4ST']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",literal,{},literal,{},literal,{},literal,{},literal
play cat and mouse,the children played cat and mouse by pretending to be animals in their game,literal,to play with or tease someone,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[131.145, 83.68, 102.126, 174.94]","['3IJXV6UZ1DZFWVE58IGXBX4LQ52RI5', '3R8YZBNQ9XYIVAI9CCN0FI47G3PQ78', '3TDXMTX3CRAMACGLGUDZ02DPUIQ6IO', '3IUZPWIU14NBAMLF7FBFBCRFAO6KWC']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},literal,{},literal,{},literal,{},literal
ate her alive,"in the horror movie, the monster found her hiding spot and it ate her alive",literal,to criticize someone severely because you are angry with them,"[1, 1, 1, 0]","['{}', '{}', '{}', '{}']","[128.458, 154.897, 76.57, 140.975]","['31QTRG6Q29TGAIDVZ8YBSQYUF6CPYH', '3O6CYIULETHPDIQR1TFHHZ0DCF5WUM', '3ZWFC4W1UANVM4CF7AAC80RTADBRFF', '3YW4XOSQK61WCHAO45QWO9AJG2WU1L']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ', 'AX8NXTT8QMGHC']",literal,{},literal,{},literal,{},figurative,{},literal
elephant in the room,"at the wildlife conservation conference, the speaker decided to address the elephant in the room and talk about habitat preservation",literal,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward","[0, 1, 0, 2]","['{}', '{}', '{}', '{}']","[137.48, 81.461, 51.312, 93.159]","['3C8HJ7UOPNAAU5QN3E82PTD1GV5ZMM', '3W2LOLRXLRV62Q4T8L19ODJYI9SRKH', '3A4NIXBJ7MFQPG9JODHTHE231MZLMR', '36DSNE9QZLE8UT6VY8KTT3EGSX8JO1']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'AURYD2FH3FUOQ']",figurative,{},literal,{},figurative,{},ambiguous,{},figurative
body and soul,committed body and soul,ambiguous,with all one's effort and ability,"[0, 0, 2, 2]","['{}', 'she committed body and soul', '{}', '{}']","[69.854, 184.122, 162.639, 48.197]","['32Q90QCQ181HTMZOMFH9P6KF3GHEKY', '336YQZE83BUCNR6YWQ1M0P66FSX5MD', '31N2WW6R976332RDWK9GQ2OD4VSF3O', '3M68NM076XNZ3BJ46H78EUEGHA76RI']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AKQAI78JTXXC9', 'APGX2WZ59OWDN']",figurative,{},figurative,she committed body and soul,ambiguous,{},ambiguous,{},discard
in a pickle,the tiny figurines found themselves in a pickle when they were accidentally placed inside a jar of pickles,literal,to be in a difficult situation,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[116.909, 76.968, 157.366, 97.357]","['3E337GFOLPOGL6GIPNZDH1MVAVLNGL', '3FQ5JJ51214LNSC1FEKSFTEOHC2KNL', '37M28K1J06TJSPCUOPFBS8UB3G5JA3', '32RIADZIS8KXP3F32IEY76ZY7PM4ST']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",literal,{},literal,{},literal,{},literal,{},literal
turn the tables,they turned the tables on her by revealing her secret plan,figurative,change your position with respect to someone else.,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[131.145, 83.68, 102.126, 174.94]","['3IJXV6UZ1DZFWVE58IGXBX4LQ52RI5', '3R8YZBNQ9XYIVAI9CCN0FI47G3PQ78', '3TDXMTX3CRAMACGLGUDZ02DPUIQ6IO', '3IUZPWIU14NBAMLF7FBFBCRFAO6KWC']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
bad egg,"despite his charming demeanor, he turned out to be a bad egg in the company",figurative,someone who fails to meet expectations,"[0, 0, 0, 0]","['{}', '{}', 'despite his charming demeanor, he turned out to be a bad egg at the company', '{}']","[69.854, 184.122, 162.639, 48.197]","['32Q90QCQ181HTMZOMFH9P6KF3GHEKY', '336YQZE83BUCNR6YWQ1M0P66FSX5MD', '31N2WW6R976332RDWK9GQ2OD4VSF3O', '3M68NM076XNZ3BJ46H78EUEGHA76RI']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AKQAI78JTXXC9', 'APGX2WZ59OWDN']",figurative,{},figurative,{},figurative,"despite his charming demeanor, he turned out to be a bad egg at the company",figurative,{},figurative
at the heels of,the dog was at the heels of the leader during the hike,literal,close behind or soon after something,"[1, 1, 1, 2]","['{}', '{}', '{}', '{}']","[137.48, 81.461, 51.312, 93.159]","['3C8HJ7UOPNAAU5QN3E82PTD1GV5ZMM', '3W2LOLRXLRV62Q4T8L19ODJYI9SRKH', '3A4NIXBJ7MFQPG9JODHTHE231MZLMR', '36DSNE9QZLE8UT6VY8KTT3EGSX8JO1']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'AURYD2FH3FUOQ']",literal,{},literal,{},literal,{},ambiguous,{},literal
the bottom line,the bottom line of the situation,ambiguous,"in the final analysis, the most important fact in a situation.","[0, 2, 0, 0]","['{}', '{}', '{}', '{}']","[124.048, 87.123, 160.598, 149.105]","['3F6HPJW4JTGGT6HPI95BBG5LTKK2W0', '3P59JYT7610O1PDVN400OWYMPQ12T9', '3AZHRG4CUK0C6YCNT2QVNV19YT530A', '3C8HJ7UOPNAAU5QN3E82PTD1GR3ZMC']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AKQAI78JTXXC9']",figurative,{},ambiguous,{},figurative,{},figurative,{},figurative
sweep under the rug,they swept the issue under the rug,ambiguous,try to hide a problem or keep a problem secret instead of dealing with it,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[124.048, 87.123, 160.598, 149.105]","['3F6HPJW4JTGGT6HPI95BBG5LTKK2W0', '3P59JYT7610O1PDVN400OWYMPQ12T9', '3AZHRG4CUK0C6YCNT2QVNV19YT530A', '3C8HJ7UOPNAAU5QN3E82PTD1GR3ZMC']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AKQAI78JTXXC9']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
bad egg,turned out to be a bad egg,ambiguous,someone who fails to meet expectations,"[2, 2, 0, 2]","['{}', '{}', 'she turned out to be a bad egg', 'it turned out to be a bad egg']","[124.048, 87.123, 160.598, 149.105]","['3F6HPJW4JTGGT6HPI95BBG5LTKK2W0', '3P59JYT7610O1PDVN400OWYMPQ12T9', '3AZHRG4CUK0C6YCNT2QVNV19YT530A', '3C8HJ7UOPNAAU5QN3E82PTD1GR3ZMC']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AKQAI78JTXXC9']",ambiguous,{},ambiguous,{},figurative,she turned out to be a bad egg,ambiguous,it turned out to be a bad egg,ambiguous
stick in his throat,the insincere compliment stuck in his throat as he tried to praise his rival,figurative,difficulty of accepting and makes you angry or resentful,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[128.458, 154.897, 76.57, 140.975]","['31QTRG6Q29TGAIDVZ8YBSQYUF6CPYH', '3O6CYIULETHPDIQR1TFHHZ0DCF5WUM', '3ZWFC4W1UANVM4CF7AAC80RTADBRFF', '3YW4XOSQK61WCHAO45QWO9AJG2WU1L']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ', 'AX8NXTT8QMGHC']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
on the ball,she stayed on the ball and managed to finish the project before the deadline,figurative,"alert to new trends, ideas, and methods","[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[137.48, 81.461, 51.312, 93.159]","['3C8HJ7UOPNAAU5QN3E82PTD1GV5ZMM', '3W2LOLRXLRV62Q4T8L19ODJYI9SRKH', '3A4NIXBJ7MFQPG9JODHTHE231MZLMR', '36DSNE9QZLE8UT6VY8KTT3EGSX8JO1']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'AURYD2FH3FUOQ']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
a roof over your head,finding a job is essential for having a roof over your head,figurative,a place to live,"[1, 0, 0, 1]","['{}', '{}', '{}', '{}']","[109.546, 116.956, 61.554, 63.179]","['3NAPMVF0ZCV13RGOA1XZJ0640TA27X', '3EWIJTFFV4NFGWSKIM7R6M56PIV0EY', '3R0T90IZ18SXU2JR0XQZ1QSJBN5CGI', '34FNN24DC2PCH8VCFTPXUKTDO2S5YK']","['A110KENBXU7SUJ', 'A1HKYY6XI2OHO1', 'A1SN7EOZUW5VP3', 'A2A6FH0F7LD9ND']",literal,{},figurative,{},figurative,{},literal,{},discard
