idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,t_f_brkt_ko,t_l_brkt_ko,t_f_ko,t_l_ko,t_f_a_ko,t_l_a_ko,t_f_brkt_zh,t_l_brkt_zh,t_f_zh,t_l_zh,t_f_a_zh,t_l_a_zh,p_f_ko_gpt4,p_l_ko_gpt4,p_a_ko_gpt4,p_f_ko_nllb,p_l_ko_nllb,p_a_ko_nllb
cut the cord,to end a connection with someone,He decided to [[cut the cord with her]] and end their toxic relationship,The nurse [[cut the cord with her]] after the baby was born,He decided to cut the cord with her and end their toxic relationship,The nurse cut the cord with her after the baby was born,cut the cord with her,그는 그녀와의 [[연을 끊고]] 불량한 관계에 끝을 가져왔습니다,아기가 태어난 후 간호사는 그녀와의 [[탯줄을 끊었습니다]],그는 그녀와의 연을 끊고 불량한 관계에 끝을 가져왔습니다,아기가 태어난 후 간호사는 그녀와의 탯줄을 끊었습니다,연을 끊고,탯줄을 끊었습니다,他决定[[结束他和她之间]]这种有害的[[关系]]。,护士在孩子出生后[[和她一起剪断了脐带]]。,他决定结束他和她之间这种有害的关系。,护士在孩子出生后和她一起剪断了脐带。,结束他和她之间 关系,和她一起剪断了脐带,그는 그녀와의 관계를 끊고 유해한 관계를 끝내기로 결정했다.,아기가 태어난 후 간호사가 그녀와 함께 줄을 잘랐습니다.,그녀와의 관계를 끊으세요.,그는 그녀와의 연결고리를 끊고 독성적인 관계를 끝내기로 결정했습니다,간호사는 아기를 낳은 후에 그 여자와 밧줄을 잘라내어,그 여자로 밧줄을 잘라
cut the mustard,to succeed,"Despite his efforts, he [[couldn't cut the mustard]] in the competitive sales environment","With a dull knife, she [[couldn't cut the mustard]] for her sandwich","Despite his efforts, he couldn't cut the mustard in the competitive sales environment","With a dull knife, she couldn't cut the mustard for her sandwich",couldn't cut the mustard,그의 노력에도 불구하고 그는 경쟁적인 판매 환경에서 [[충분한 성과를 거두지 못했습니다]],무딘 칼로는 그녀는 그녀의 샌드위치 속 [[겨자를 자르지 못했습니다]],그의 노력에도 불구하고 그는 경쟁적인 판매 환경에서 충분한 성과를 거두지 못했습니다,무딘 칼로는 그녀는 그녀의 샌드위치 속 겨자를 자르지 못했습니다,충분한 성과를 거두지 못했습니다,겨자를 자르지 못했습니다,尽管他努力了，但还是[[无法]]在这么激烈的环境中[[成功]]。,她[[无法]]用这么钝的刀给她的三明治[[切芥末]]。,尽管他努力了，但还是无法在这么激烈的环境中成功。,她无法用这么钝的刀给她的三明治切芥末。,无法 成功,无法 切芥末,"그의 노력에도 불구하고, 그는 경쟁력 있는 영업 환경에서 자리를 잡지 못했다.",둔한 칼로 그녀는 샌드위치를 위한 겨자를 자를 수 없었습니다.,설익지 못했다.,그의 노력에도 불구하고 그는 경쟁적인 판매 환경에서 겨자 잘리지 못했습니다,지루한 칼을 가지고 샌드위치에 한 마리가 잘리지 못했어요,한두를 잘리지 못했어요
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,"By revealing company secrets, he [[cut his own throat]] and ruined his career","While shaving, he accidentally [[cut his own throat]] with the razor","By revealing company secrets, he cut his own throat and ruined his career","While shaving, he accidentally cut his own throat with the razor",cut his own throat,회사 비밀을 공개함으로써 그는 [[자멸을 초래했고]] 자신의 커리어를 망쳤습니다,면도를 하던 그는 실수로 면도날로 [[자신의 목을 베었습니다]],회사 비밀을 공개함으로써 그는 자멸을 초래했고 자신의 커리어를 망쳤습니다,면도를 하던 그는 실수로 면도날로 자신의 목을 베었습니다,자멸을 초래했고,자신의 목을 베었습니다,因为泄露公司机密，他[[搬起石头砸了自己的脚]]，毁了事业。,他刮胡子时，不小心用刮胡刀[[切到了自己的喉咙]]。,因为泄露公司机密，他搬起石头砸了自己的脚，毁了事业。,他刮胡子时，不小心用刮胡刀切到了自己的喉咙。,搬起石头砸了自己的脚,切到了自己的喉咙,회사의 비밀을 폭로함으로써 그는 자신의 목을 베고 직업을 망쳤다.,면도를 하다가 그는 실수로 면도기로 목을 베어버렸다.,그는 자신의 목을 베었다.,회사 비밀을 드러내면서 자신의 목을 잘라서 자신의 경력을 망쳤어요,"면도하는 동안, 그는 실수로 면도기로 목을 자르고",자신의 목을 잘라
dance to tune,to do what someone else forces you to do,He always [[danced to the tune]] of his boss's demands,"At the party, they [[danced to the tune]] of their favorite song",He always danced to the tune of his boss's demands,"At the party, they danced to the tune of their favorite song",danced to the tune,그는 항상 상사의 [[비위를 맞춰 행동했습니다]],파티에서 그들은 자신들이 좋아하는 [[노래에 맞춰 춤을 췄습니다]],그는 항상 상사의 비위를 맞춰 행동했습니다,파티에서 그들은 자신들이 좋아하는 노래에 맞춰 춤을 췄습니다,비위를 맞춰 행동했습니다,노래에 맞춰 춤을 췄습니다,他对老板的要求[[言听计从]]。,在舞会上，他们[[随着]]他们最喜欢的歌曲的[[曲调起舞]],他对老板的要求言听计从。,在舞会上，他们随着他们最喜欢的歌曲的曲调起舞,言听计从,随着 曲调起舞,그는 항상 상사의 요구에 맞춰 춤을 추었다.,파티에서 그들은 자신들이 가장 좋아하는 노래의 곡에 맞춰 춤을 추었다.,노래에 맞춰 춤을 추다,그는 항상 그의 상사의 요구에 맞춰 춤을 추고,"파티에서, 그들은 그들의 좋아하는 노래의 음향에 맞춰 춤을 췄습니다",노래에 맞춰 춤을 추고
deep down,felt strongly and often hidden from other people,He knew [[deep down in the ocean]] of his heart that he had made the right decision,The divers explored the shipwreck [[deep down in the ocean]],He knew deep down in the ocean of his heart that he had made the right decision,The divers explored the shipwreck deep down in the ocean,deep down in the ocean,그는 그의 [[마음 깊이]] 스스로가 올바른 결정을 내렸음을 알고 있었습니다,잠수부들은 [[바다 깊숙한 곳에 있는]] 난파선을 탐험했습니다,그는 그의 마음 깊이 스스로가 올바른 결정을 내렸음을 알고 있었습니다,잠수부들은 바다 깊숙한 곳에 있는 난파선을 탐험했습니다,마음 깊이,바다 깊숙한 곳에 있는,他[[在内心深处]]知道他做了正确的决定,潜水员[[在深海]]检查沉船,他在内心深处知道他做了正确的决定,潜水员在深海检查沉船,在内心深处,在深海,그는 마음 속 깊은 바다에서 올바른 결정을 내린 것임을 알고 있었다.,다이버들은 깊은 바다 속에 있는 난파선을 탐험했다.,심해의 바닷속에서,그는 심장의 깊은 곳에서 자신이 올바른 결정을 내렸다는 것을 알고 있었습니다,잠수자들은 바다 깊숙한 곳에서 배가 붕괴된 것을 탐구했습니다.,바다 깊숙한 곳
deliver the goods,do what is required,The new employee [[delivered the goods on time]] by meeting all the project deadlines,The courier [[delivered the goods on time]] to the customer's doorstep,The new employee delivered the goods on time by meeting all the project deadlines,The courier delivered the goods on time to the customer's doorstep,delivered the goods on time,새로운 직원은 모든 프로젝트 마감일을 준수하여 [[해야할 일을 했습니다]],택배 기사는 [[시간에 맞춰 상품을]] 고객의 문앞까지 배송했습니다,새로운 직원은 모든 프로젝트 마감일을 준수하여 해야할 일을 했습니다,택배 기사는 시간에 맞춰 상품을 고객의 문앞까지 배송했습니다,해야할 일을 했습니다,시간에 맞춰 상품을,新雇员[[准时]]在截止日期前[[完成了工作]]。,快递员[[把东西准时送到]]顾客门口。,新雇员准时在截止日期前完成了工作。,快递员把东西准时送到顾客门口。,准时 完成了工作,把东西准时送到,새로운 직원은 모든 프로젝트 마감 기한을 지켜서 상품을 제시간에 배송했습니다.,택배 기사는 고객의 문앞에 물건을 제때 배달했습니다.,정시에 상품을 배송하였습니다.,새로운 직원은 모든 프로젝트 일정을 충족시켜서 상품을 시간 내에 배달했습니다,택배 가객 이 의 문 에 물품 을 시간 에 배달 하였다,상품을 시간적으로 배달
die in harness,to expire while working,"The dedicated employee [[died in harness]], working tirelessly until the end",The poor horse [[died in harness]] while pulling the heavy load,"The dedicated employee died in harness, working tirelessly until the end",The poor horse died in harness while pulling the heavy load,died in harness,열심히 일하던 직원은 임종까지 지치지 않고 일하다가 [[순직하였습니다]],불쌍한 말은 무거운 짐을 끌다가 [[마구에서 죽었습니다]],열심히 일하던 직원은 임종까지 지치지 않고 일하다가 순직하였습니다,불쌍한 말은 무거운 짐을 끌다가 마구에서 죽었습니다,순직하였습니다,마구에서 죽었습니다,这名勤劳的雇员[[在工作时去世]]，一直工作到死。,这匹马在拉重物时[[死了]]。,这名勤劳的雇员在工作时去世，一直工作到死。,这匹马在拉重物时死了。,在工作时去世,死了,열정적인 직원은 끝까지 지치지 않고 일하다가 업무 중에 숨을 거뒀습니다.,가난한 말은 무거운 짐을 끌면서 마구에 매여 죽었습니다.,말 몰이 중에 죽다,"헌신적 인 직원 은 무단 히 죽었고, 끝까지 끊임없이 일 하였다",가난한 말은 무거운 짐을 끌어들이면서 에 갇혀 죽었습니다,에 죽었어
do the trick,successfully achieve a result,"Adding a little more salt to the soup, [[that should do the trick]]","Performing a magic act, the magician said '[[that should do the trick]]' as he pulled a rabbit from his hat","Adding a little more salt to the soup, that should do the trick","Performing a magic act, the magician said 'that should do the trick' as he pulled a rabbit from his hat",that should do the trick,스프에 조금 더 소금을 넣으면 [[그게 딱 알맞습니다]],마술쇼에서 마술사는 자신의 모자에서 토끼를 꺼내며 [[트릭을 해냈다]]고 말했습니다,스프에 조금 더 소금을 넣으면 그게 딱 알맞습니다,마술쇼에서 마술사는 자신의 모자에서 토끼를 꺼내며 트릭을 해냈다고 말했습니다,그게 딱 알맞습니다,트릭을 해냈다,在汤里加点盐，[[就可以了]],表演魔术师，魔术师一边说[[这就来了]]，一边从帽子里拿出一只兔子。,在汤里加点盐，就可以了,表演魔术师，魔术师一边说这就来了，一边从帽子里拿出一只兔子。,就可以了,这就来了,국에 조금 더 소금을 넣으면 딱 좋을 것 같아요.,마술 공연을 하던 마술사가 모자에서 토끼를 꺼내며 '이걸로 됐네'라고 말했다.,그것이 문제를 해결해야 합니다.,소프에 더 많은 소금을 넣으면 그 효과가 있을 겁니다.,"마법사에게 마술을 한 마술사는 ""그것이 해낼 수 있을 것""이라고 말했다. 그는 모자에서 토끼를 꺼내",그게 잘 될 거야
dodge a bullet,to narrowly avoid a very serious problem or a disaster,"When the company went bankrupt, I realized I [[dodged a bullet there]] by not investing","During the paintball game, he [[dodged a bullet there]] by quickly ducking behind a barrier","When the company went bankrupt, I realized I dodged a bullet there by not investing","During the paintball game, he dodged a bullet there by quickly ducking behind a barrier",dodged a bullet there,회사가 파산하자 나는 투자하지 않아서 [[최악을 피했다]]는 것을 깨달았습니다,"페인트볼 게임 도중, 그는 빠르게 장애물 뒤로 숨어서 [[총알을 피했습니다]]",회사가 파산하자 나는 투자하지 않아서 최악을 피했다는 것을 깨달았습니다,"페인트볼 게임 도중, 그는 빠르게 장애물 뒤로 숨어서 총알을 피했습니다",최악을 피했다,총알을 피했습니다,公司破产时，我才发现我[[逃过一劫]]。,玩彩蛋游戏时，他为了[[躲子弹]]，快速跑到堡垒后。,公司破产时，我才发现我逃过一劫。,玩彩蛋游戏时，他为了躲子弹，快速跑到堡垒后。,逃过一劫,躲子弹,"회사가 파산했을 때, 투자하지 않음으로써 거기서 총알을 피한 것을 깨달았습니다.",페인트볼 게임 중에 그는 장애물 뒤로 빠르게 몸을 움켜잡고 총알을 피했습니다.,거기서 총알을 피했네.,"회사가 파산했을 때, 저는 투자하지 않고 총알을 피했다는 것을 깨달았습니다.","페인트볼 경기 중, 그는 벽 뒤에 빠르게 몸을 감추어 총알을 피했습니다",총알을 피해서
does exactly what it says on the tin,someone or something is exactly as they seem,The new software [[does exactly what it says on the tin]] and is very user-friendly,The paint [[does exactly what it says on the tin]] and dries in just 30 minutes,The new software does exactly what it says on the tin and is very user-friendly,The paint does exactly what it says on the tin and dries in just 30 minutes,does exactly what it says on the tin,새로운 소프트웨어는 [[설명에 있는 그대로 동작하며]] 매우 사용자 친화적입니다,페인트는 페인트 [[통에 적힌 대로]] 단 30분만에 마릅니다,새로운 소프트웨어는 설명에 있는 그대로 동작하며 매우 사용자 친화적입니다,페인트는 페인트 통에 적힌 대로 단 30분만에 마릅니다,설명에 있는 그대로 동작하며,통에 적힌 대로,这个软件[[确实名副其实]]，对用户很友好。,这个油漆[[确实如锡盒上说的]]，三十分钟就干了。,这个软件确实名副其实，对用户很友好。,这个油漆确实如锡盒上说的，三十分钟就干了。,确实名副其实,确实如锡盒上说的,새로운 소프트웨어는 표시된 대로 정확히 작동하며 사용자 친화적입니다.,"페인트는 통에 적힌 대로 정확히 작동하며, 단지 30분 만에 건조됩니다.",통에 적힌 대로 정확히 그대로 하는 것입니다.,새로운 소프트웨어는 바로 소재에 쓰여진 대로 하고 사용자 친화적입니다.,페인트가 정확히 캔에 표시된 대로 하다가 30분 안에 건조합니다,에 나오는 대로 하는
down to earth,"decent, simple, realistic","Despite her fame, she remained [[a down-to-earth person]] who was easy to talk to","The astronaut, once back from space, became [[a down-to-earth person]] again","Despite her fame, she remained a down-to-earth person who was easy to talk to","The astronaut, once back from space, became a down-to-earth person again",a down-to-earth person,그녀의 명성에도 불구하고 그녀는 말 걸기가 쉬운 [[실제적이고 현실적인]] 사람으로 남았습니다,한때 우주에서 돌아온 우주 비행사는 [[지구로 다시 돌아온 사람]]입니다,그녀의 명성에도 불구하고 그녀는 말 걸기가 쉬운 실제적이고 현실적인 사람으로 남았습니다,한때 우주에서 돌아온 우주 비행사는 지구로 다시 돌아온 사람입니다,실제적이고 현실적인,지구로 다시 돌아온 사람,虽然她很有名，但她还是[[很接地气]]，很容易交流。,宇航员从太空回来后，又变成了[[接地气的人]]。,虽然她很有名，但她还是很接地气，很容易交流。,宇航员从太空回来后，又变成了接地气的人。,很接地气,接地气的人,"그녀의 명성에도 불구하고, 그녀는 다가가기 쉽고 대화하기 쉬운 현실적인 사람으로 남았습니다.",우주 비행사는 우주에서 돌아온 후 다시 발을 뗀 사람이 되었습니다.,현실적인 사람,"유명함에도 불구하고, 그녀는 여전히 쉽게 대화 할 수 있는 솔직한 사람","우주 비행사, 우주에서 돌아온 한 번, 다시 지구에 내려가는 사람이 되었습니다.",땅으로 내려가는 사람이
draw a blank,to get no response from someone,"When asked about the details of the project, he [[was drawing a blank]]",The artist [[was drawing a blank]] canvas to prepare for her next masterpiece,"When asked about the details of the project, he was drawing a blank",The artist was drawing a blank canvas to prepare for her next masterpiece,was drawing a blank,프로젝트의 세부사항에 대해 물었을 때 그는 [[아무것도 기억해내지 못했습니다]],화가는 그녀의 다음 걸작을 준비하기 위해 [[빈]] 캔버스를 [[그렸습니다]],프로젝트의 세부사항에 대해 물었을 때 그는 아무것도 기억해내지 못했습니다,화가는 그녀의 다음 걸작을 준비하기 위해 빈 캔버스를 그렸습니다,아무것도 기억해내지 못했습니다,빈 그렸습니다,被问到这个项目的细节，他[[脑子一片空白]]。,这个艺术家[[拿出一张空白的画布]]，准备下一个精品。,被问到这个项目的细节，他脑子一片空白。,这个艺术家拿出一张空白的画布，准备下一个精品。,脑子一片空白,拿出一张空白的画布,"프로젝트의 세부 사항에 대해 물어보았을 때, 그는 기억이 나지 않았다.",다음 걸작을 준비하기 위해 화가는 빈 캔버스를 그리고 있었다.,빈칸을 그리고 있었다,프로젝트의 세부 사항에 대해 물었을 때 그는 빈 그림을 그렸습니다.,예술가는 다음 걸작을 준비하기 위해 빈 캔버스를 그리고 있었습니다.,빈 공간에 그림을 그렸어요
