idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt,p_l_he_gpt
take a hike,go away,"When he insulted her, she told him [[to take a hike]]","On a sunny day, they decided [[to take a hike]] in the nearby forest","When he insulted her, she told him to take a hike","On a sunny day, they decided to take a hike in the nearby forest",to take a hike,einen Spaziergang machen,"Als er sie beleidigte, sagte sie ihm, er solle verschwinden.","An einem sonnigen Tag beschlossen sie, eine Wanderung im nahegelegenen Wald zu machen.",ללכת לטיול ברגל,"כשהוא העליב אותה, היא אמרה לו ללכת לטייל.",ביום שמשי הם החליטו לצאת לטיול ביער הקרוב.
take a leaf out of someone's book,implement actionable advice,"To improve my work ethic, I decided to [[take a leaf out of her book]] and wake up early","To press and preserve the leaf, I had to carefully [[take a leaf out of her book]] of botanical specimens","To improve my work ethic, I decided to take a leaf out of her book and wake up early","To press and preserve the leaf, I had to carefully take a leaf out of her book of botanical specimens",take a leaf out of her book,Nimm dir ein Beispiel an ihr.,"Um meine Arbeitsmoral zu verbessern, beschloss ich, eine Seite aus ihrem Buch zu nehmen und früh aufzustehen.","Um das Blatt zu pressen und zu konservieren, musste ich sorgfältig ein Blatt aus ihrem Buch mit botanischen Proben entnehmen.",קח עמך עלה מהספר שלה,"כדי לשפר את האתיקה של עבודתי, החלטתי לקחת דף מהספר שלה ולהתעורר מוקדם.","כדי ללחוץ ולשמור את העלה, הייתי צריך לקחת בזהירות עלה מספר הדגמים הבוטניים שלה."
take it on the chin,this is a boxing metaphor meaning don't shy away from difficulty,"Despite the harsh criticism, [[he took it on the chin]] and kept working","During the boxing match, [[he took it on the chin]] and fell to the ground","Despite the harsh criticism, he took it on the chin and kept working","During the boxing match, he took it on the chin and fell to the ground",he took it on the chin,Er hat es hingenommen.,Trotz der harten Kritik hat er es hingenommen und weitergearbeitet.,Während des Boxkampfes hat er es hingenommen und ist auf den Boden gefallen.,הוא ספג את זה על הסנטר,"למרות הביקורת הקשה, הוא קיבל את זה על הסנטים והמשיך לעבוד.","במהלך המשחק בכדורגל, הוא ספג מכה חזקה ונפל לקרקע."
take up the cudgels,argue strongly in support or against somebody or something,[[He took up the cudgels for her]] when she was unfairly criticized,"During the historical reenactment, [[he took up the cudgels for her]] when she dropped hers",He took up the cudgels for her when she was unfairly criticized,"During the historical reenactment, he took up the cudgels for her when she dropped hers",He took up the cudgels for her,Er hat sich für sie eingesetzt.,"Er hat sich für sie eingesetzt, als sie unfair kritisiert wurde.","Während der historischen Nachstellung nahm er für sie die Keule auf, als sie ihre fallen ließ.",הוא תמך בה.,הוא תמך בה כשהיא נבזתה בצורה לא הוגנת.,"במהלך החזרת היסטורית, הוא תמך בה כשהיא הפילה את שלה."
take with a grain of salt,to understand that something is not completely true or right,"When listening to his stories, it's best [[to take it with a grain of salt]]","To balance the flavor, she decided [[to take it with a grain of salt]] and sprinkled it on her dish","When listening to his stories, it's best to take it with a grain of salt","To balance the flavor, she decided to take it with a grain of salt and sprinkled it on her dish",to take it with a grain of salt,Es mit einer Prise Salz nehmen.,"Wenn man seinen Geschichten zuhört, ist es am besten, es mit einer Prise Salz zu nehmen.","Um den Geschmack auszugleichen, entschied sie sich, es mit einer Prise Salz zu nehmen und auf ihr Gericht zu streuen.",לקחת את זה עם גריגרת מלח,"כשאתה מקשיב לסיפוריו, הכי טוב לקחת אותם עם גריגר של מלח.","כדי לאזן את הטעם, היא החליטה לקחת את זה עם גריגרות מלח וזרקה על המנה שלה."
takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate,"When it comes to resolving conflicts, remember that [[it takes two to tango]]","In a dance competition, the judges reminded the participants that [[it takes two to tango]]","When it comes to resolving conflicts, remember that it takes two to tango","In a dance competition, the judges reminded the participants that it takes two to tango",it takes two to tango,"Es braucht zwei, um Tango zu tanzen.","Wenn es darum geht, Konflikte zu lösen, denken Sie daran, dass dazu zwei gehören.","In einem Tanzwettbewerb erinnerten die Richter die Teilnehmer daran, dass es zwei braucht, um Tango zu tanzen.",צריך שניים כדי לרקוד טנגו,"כשמדובר בפתרון סכסוכים, זכור שצריך שניים כדי לרקוד טנגו.","בתחרות ריקודים, השופטים תזכירו למשתתפים שצריך שניים כדי לרקוד טנגו."
tall poppy,a privileged or distinguished person.,"She was [[a tall poppy among them]], always standing out with her exceptional achievements","In the field of wildflowers, there was [[a tall poppy among them]], reaching higher than the rest","She was a tall poppy among them, always standing out with her exceptional achievements","In the field of wildflowers, there was a tall poppy among them, reaching higher than the rest",a tall poppy among them,eine hohe Mohnblume unter ihnen,"Sie war unter ihnen eine hohe Mohnblume, die immer mit ihren außergewöhnlichen Leistungen herausragte.","Im Feld der Wildblumen gab es eine hohe Mohnblume unter ihnen, die höher als der Rest ragte.",פרח גבוה בקרבם,"היא הייתה פרח גבוה בקרבם, תמיד דוגלת בהישגיה המצוינים.","בשדה של פרחי בר, היה פרג גבוה בקרבם, מגיע גבוה יותר מכולם."
tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,It's unfair to judge all politicians [[by tarring them with the same brush]],The painter made a mistake [[by tarring them with the same brush]] instead of using separate brushes for each color,It's unfair to judge all politicians by tarring them with the same brush,The painter made a mistake by tarring them with the same brush instead of using separate brushes for each color,by tarring them with the same brush,indem man sie über einen Kamm schert,"Es ist unfair, alle Politiker über einen Kamm zu scheren.","Der Maler hat einen Fehler gemacht, indem er sie mit demselben Pinsel teerte, anstatt separate Pinsel für jede Farbe zu verwenden.",באמצעות ציורם במברשת אחת,זה לא הוגן לשפוט את כל הפוליטיקאים על פי אותם מדבקות.,הצייר טעה כשהשתמש במברשת אחת לצביעת כל הצבעים במקום להשתמש במברשות נפרדות לכל צבע.
taste of own medicine,when someone gets the same bad treatment that he has been giving others,"When he tried to prank her, [[she gave him a taste of his own medicine]] by pranking him back",[[She gave him a taste of his own medicine]] by making him try the bitter concoction he had prepared for her,"When he tried to prank her, she gave him a taste of his own medicine by pranking him back",She gave him a taste of his own medicine by making him try the bitter concoction he had prepared for her,she gave him a taste of his own medicine,Sie gab ihm eine Dosis seiner eigenen Medizin.,"Als er versuchte, sie hereinzulegen, gab sie ihm eine Kostprobe seiner eigenen Medizin, indem sie ihn zurück hereinlegte.","Sie gab ihm eine Kostprobe seiner eigenen Medizin, indem sie ihn die bittere Mischung probieren ließ, die er für sie zubereitet hatte.",היא נתנה לו טעם מהרפואה שלו.,"כשניסה לעשות לה רמאות, היא נתנה לו טעם מהרפואה שלו על ידי עשיית רמאות חזרה לו.",היא נתנה לו טעם מהרפואה שלו על ידי כך שהורידה אותו לנסות את התערובת המרה שהוא הכין עבורה.
tearing a strip off,to reprimand someone severely for doing something wrong,The boss [[was tearing a strip off the fabric]] of our team's morale with his harsh criticism,She [[was tearing a strip off the fabric]] to make a patch for her jeans,The boss was tearing a strip off the fabric of our team's morale with his harsh criticism,She was tearing a strip off the fabric to make a patch for her jeans,was tearing a strip off the fabric,Ich riss einen Streifen vom Stoff ab.,Der Chef zerriss mit seiner harten Kritik ein Stück des Stoffes unserer Team-Moral.,"Sie riss ein Stück Stoff ab, um einen Flicken für ihre Jeans zu machen.",קורע רצועה מהבד,המנהל היה קורע רצועה מהבד של מורל הצוות שלנו עם הביקורת הקשה שלו.,היא קורעת רצועה מהבד כדי לעשות תיקון לג'ינסיה.
that's going too far,to do something that is considered extreme or unacceptable,Insulting her family was [[that's going too far]] and crossed the line,"Driving 200 miles for a cup of coffee, [[that's going too far]] for a simple pleasure",Insulting her family was that's going too far and crossed the line,"Driving 200 miles for a cup of coffee, that's going too far for a simple pleasure",that's going too far,Das geht zu weit.,Ihre Familie zu beleidigen ging zu weit und hat die Grenze überschritten.,"200 Meilen für eine Tasse Kaffee zu fahren, das geht zu weit für ein einfaches Vergnügen.",זה הולך יותר מדי,הצעקה על משפחתה היא עבר את הגבול והלך יותר מדי.,"נהיגה של 200 מייל עבור כוס קפה, זה הולך יותר מדי עבור הנאה פשוטה."
the ball is in your court,the initiative for taking action lies with somebody,"I've done my part, [[the ball is in your court now]] to make the decision","After I hit the tennis ball over the net, [[the ball is in your court now]]","I've done my part, the ball is in your court now to make the decision","After I hit the tennis ball over the net, the ball is in your court now",the ball is in your court now,Der Ball liegt jetzt bei dir.,"Ich habe meinen Teil erledigt, jetzt liegt der Ball in deinem Feld, um die Entscheidung zu treffen.","Nachdem ich den Tennisball über das Netz geschlagen habe, ist der Ball jetzt bei dir.",הכדור נמצא כעת בכפות ידיך,"עשיתי את חלקי, הכדור עכשיו במגרש שלך לקבל החלטה.","לאחר שהכדור טניס עובר את הרשת, הכדור נמצא כעת בכפוף שלך."
the ball rolling,to start a conversation in a social setting,"To start the meeting, we need to [[get the ball rolling]] with introductions","To play soccer, you must [[get the ball rolling]] by kicking it","To start the meeting, we need to get the ball rolling with introductions","To play soccer, you must get the ball rolling by kicking it",get the ball rolling,Den Stein ins Rollen bringen.,"Um das Meeting zu beginnen, müssen wir mit Vorstellungen in Gang kommen.","Um Fußball zu spielen, musst du den Ball ins Rollen bringen, indem du ihn trittst.",התחילו את הכדור לגלגל.,"כדי להתחיל את הפגישה, אנחנו צריכים להתחיל את התהליך עם היכרות.","כדי לשחק בכדורגל, עליך להתחיל את המשחק על ידי זריקת הכדור בבעיטה."
the devil is beating his wife,raining whereas the sun is shining.,"While the sun was shining, it started raining, and people said [[the devil is beating his wife]]","In the theatrical performance, the actor playing Satan acted out a scene where [[the devil is beating his wife]]","While the sun was shining, it started raining, and people said the devil is beating his wife","In the theatrical performance, the actor playing Satan acted out a scene where the devil is beating his wife",the devil is beating his wife,Der Teufel schlägt seine Frau.,"Während die Sonne schien, fing es an zu regnen, und die Leute sagten, der Teufel schlägt seine Frau.","In der Theateraufführung spielte der Schauspieler, der Satan darstellte, eine Szene, in der der Teufel seine Frau schlägt.",השטן מכה את אשתו.,"כשהשמש זרחה, התחיל לגשום ואנשים אמרו שהשטן מכה את אשתו.","בהופעה התיאטרלית, השחקן שמגלם את השטן הציג סצינה בה השטן מכה את אשתו."
the early bird catches the worm,it refers to people who arrive earlier are the ones who get the best deals,"She always wakes up at 5 am and finishes her tasks efficiently, proving that [[the early bird catches the worm]]","In the documentary, we saw how [[the early bird catches the worm]] to feed its young","She always wakes up at 5 am and finishes her tasks efficiently, proving that the early bird catches the worm","In the documentary, we saw how the early bird catches the worm to feed its young",the early bird catches the worm,Der frühe Vogel fängt den Wurm.,"Sie wacht immer um 5 Uhr auf und erledigt ihre Aufgaben effizient, was beweist, dass der frühe Vogel den Wurm fängt.","In der Dokumentation haben wir gesehen, wie der frühe Vogel den Wurm fängt, um seine Jungen zu füttern.",הציפור המוקדמת מכנסת את התולעת,"היא תמיד מתעוררת בשעה 5 בבוקר ומסיימת את המשימות שלה ביעילות, מוכיחה כי הצפור המוקדמת מכניסה את התולעת.","בסרט התיעודי, ראינו כיצד הציפור המוקדמת מחטיאה את התולעת כדי להאכיל את צעיריה."
the eleventh hour,at the very last minute before an event,"He finished the project [[at the eleventh hour]], just before the deadline",She decided to go for a walk [[at the eleventh hour]] of the night,"He finished the project at the eleventh hour, just before the deadline",She decided to go for a walk at the eleventh hour of the night,at the eleventh hour,in letzter Minute,"Er hat das Projekt in letzter Minute fertiggestellt, kurz vor dem Abgabetermin.","Sie beschloss, in der elften Stunde der Nacht spazieren zu gehen.",בשעה האחת עשרה,"סיים את הפרויקט בשעה האחרונה, כמה רגעים לפני המועד הסופי.",היא החליטה לצאת להליכה בשעה האחת עשרה של הלילה.
the last straw,to be the last in a sequence of unpleasant things,"When he insulted her cooking, [[that was the last straw]] and she decided to leave","After using all the other straws, [[that was the last straw]] in the box","When he insulted her cooking, that was the last straw and she decided to leave","After using all the other straws, that was the last straw in the box",that was the last straw,Das war der letzte Strohhalm.,"Als er ihr Kochen beleidigte, war das der letzte Tropfen und sie beschloss zu gehen.","Nachdem alle anderen Strohhalme benutzt wurden, war das der letzte Strohhalm in der Schachtel.",זה היה הקש שבקשר.,"כשהוא העליב את הבישול שלה, זה היה הקש שהמים עברו והיא החליטה לעזוב.","אחרי שהשתמשתי בכל המקלות האחרות, זה היה המקל האחרון בקופסה."
the lion's den,a place which is uncomfortable,"By confronting the angry mob, he [[entered the lion's den]] and risked his safety","As a zookeeper, she [[entered the lion's den]] to feed the animals","By confronting the angry mob, he entered the lion's den and risked his safety","As a zookeeper, she entered the lion's den to feed the animals",entered the lion's den,Betrat die Löwengrube.,"Indem er der wütenden Menge gegenübertrat, betrat er die Höhle des Löwen und riskierte seine Sicherheit.","Als Tierpflegerin betrat sie das Löwengehege, um die Tiere zu füttern.",נכנס לגורי הארי,"על ידי התמודדות עם המונה הכועס, הוא נכנס לכנסיית האריות וסיכן את בטחונו.","כגננת חיות, היא נכנסה לכלוב האריות כדי להאכיל את החיות."
the other side of the coin,"the opposite aspect, contrasting arguments.","Before making a decision, it's important to [[consider the other side of the coin]] and weigh the pros and cons","When flipping a quarter, you should [[consider the other side of the coin]] as well, since it has a 50% chance of landing","Before making a decision, it's important to consider the other side of the coin and weigh the pros and cons","When flipping a quarter, you should consider the other side of the coin as well, since it has a 50% chance of landing",consider the other side of the coin,Betrachte die andere Seite der Medaille.,"Bevor man eine Entscheidung trifft, ist es wichtig, die andere Seite der Medaille zu betrachten und Vor- und Nachteile abzuwägen.","Wenn man eine Münze wirft, sollte man auch die andere Seite der Münze berücksichtigen, da sie eine 50%ige Chance hat, zu landen.",שקול את הצד השני של המטבע,"לפני שאת/ה עושה החלטה, חשוב לשקול את הצד השני של המטבע ולשקול את היתרונות והחסרונות.","כאשר מפכים מטבע, עליך לשקול גם את הצד השני של המטבע, מאחר שיש לו 50% סיכוי לנפול."
the sun rises and sets on them,to believe that someone is the most wonderful and important person in the world; to love and adore someone more than anyone else,She adores her children so much that [[the sun rises and sets on them]] in her eyes,"Living on a remote island, [[the sun rises and sets on them]] every day",She adores her children so much that the sun rises and sets on them in her eyes,"Living on a remote island, the sun rises and sets on them every day",the sun rises and sets on them,Die Sonne geht auf und unter ihnen.,"Sie verehrt ihre Kinder so sehr, dass die Sonne in ihren Augen für sie auf- und untergeht.",Auf einer abgelegenen Insel lebt die Sonne jeden Tag für sie auf und unter.,השמש זורחת ושוקעת עליהם,היא מעריצה את ילדיה כל כך שהשמש זורחת ושוקעת עליהם בעיניה.,"חיים על אי מרוחק, השמש עולה ושוקעת עליהם מדי יום."
throw it over the wall,"to deal with part of a problem or project, then pass the responsibility to another person or department without any communication or coordination","After finishing the design, the team decided [[to throw it over the wall]] to the developers",He decided [[to throw it over the wall]] to get the ball back from the neighbor's yard,"After finishing the design, the team decided to throw it over the wall to the developers",He decided to throw it over the wall to get the ball back from the neighbor's yard,to throw it over the wall,Es über die Mauer werfen.,"Nachdem das Design fertiggestellt wurde, beschloss das Team, es den Entwicklern über den Zaun zu werfen.","Er entschied sich, es über die Mauer zu werfen, um den Ball aus dem Garten des Nachbarn zurückzuholen.",לזרוק את זה מעל הקיר,"לאחר שסיימו את העיצוב, הצוות החליט לזרוק אותו מעל הקיר למפתחים.",הוא החליט לזרוק את זה מעל הגדר כדי להחזיר את הכדור מחצר השכן.
throw the baby out with the bathwater,to remove something good in the bid of getting rid of something bad,"In their haste to modernize the company, they decided to [[throw the baby out with the bathwater]] and discard valuable traditions",It would be absurd to accidentally [[throw the baby out with the bathwater]] while emptying the tub,"In their haste to modernize the company, they decided to throw the baby out with the bathwater and discard valuable traditions",It would be absurd to accidentally throw the baby out with the bathwater while emptying the tub,throw the baby out with the bathwater,Das Kind mit dem Bade ausschütten.,"In ihrer Eile, das Unternehmen zu modernisieren, beschlossen sie, das Kind mit dem Bade auszuschütten und wertvolle Traditionen zu verwerfen.","Es wäre absurd, das Baby versehentlich mit dem Bade auszuschütten, während man die Badewanne entleert.",זרוק את התינוק יחד עם מים האמבטיה.,"במהירותם למצוא דרכים למודרנזציה של החברה, הם החליטו לזרוק את התינוק עם מים האמבטיה ולזרוק מסורות יקרות.",זה יהיה מגוחך לזרוק את התינוק בטעות יחד עם המים של האמבטיה בזמן ריקון האמבטיה.
tie the knot,to get married,They [[tied the knot together]] in a beautiful ceremony surrounded by friends and family,The two sailors [[tied the knot together]] to secure the rope,They tied the knot together in a beautiful ceremony surrounded by friends and family,The two sailors tied the knot together to secure the rope,tied the knot together,haben zusammen den Knoten gebunden,"Sie haben gemeinsam in einer schönen Zeremonie, umgeben von Freunden und Familie, den Knoten gebunden.","Die beiden Matrosen banden den Knoten zusammen, um das Seil zu sichern.",קשרו את הקשר יחד.,קשרו את הקשר ביחד בטקס יפהפה מוקף חברים ומשפחה.,המלחין השני קשר את הקשר יחד כדי לקבוע את החבל.
tight spot,to be in a very difficult situation,They [[found themselves in a tight spot]] when they had to choose between two important events,The spelunkers [[found themselves in a tight spot]] while navigating the narrow cave,They found themselves in a tight spot when they had to choose between two important events,The spelunkers found themselves in a tight spot while navigating the narrow cave,found themselves in a tight spot,fanden sich in einer schwierigen Situation wieder,"Sie befanden sich in einer schwierigen Situation, als sie zwischen zwei wichtigen Ereignissen wählen mussten.","Die Höhlenforscher befanden sich in einer schwierigen Situation, als sie sich durch die enge Höhle navigierten.",מצאו את עצמם במצוקה,הם מצאו את עצמם במצוקה כאשר הייתה עליהם לבחור בין שני אירועים חשובים.,הספלאונקרים מצאו את עצמם במצוקה בזמן שהם ניווטו במערה הצרה.
tighten belt,to save your money,"Due to the economic downturn, we had [[to tighten the belt a bit]] and cut some expenses","After losing some weight, he had [[to tighten the belt a bit]] to keep his pants up","Due to the economic downturn, we had to tighten the belt a bit and cut some expenses","After losing some weight, he had to tighten the belt a bit to keep his pants up",to tighten the belt a bit,Den Gürtel etwas enger schnallen.,Aufgrund der wirtschaftlichen Flaute mussten wir den Gürtel etwas enger schnallen und einige Ausgaben kürzen.,"Nachdem er etwas Gewicht verloren hatte, musste er den Gürtel ein bisschen enger schnallen, um seine Hose oben zu halten.",להצמין את החגורה קצת,"בגלל המצוקה הכלכלית, היינו חייבים להצמיח את החגורה קצת ולחתוך כמה הוצאות.","לאחר שהוא הפסיד משקל מסוים, היה עליו להחזיק את החגורה קצת יותר חזק כדי לשמור על המכנסיים שלו מתפוצצים."
tip of the iceberg,to only know a very small part of the problem,The problems we discovered were [[just the tip of the iceberg]] in this company,"As we approached the glacier, we saw [[just the tip of the iceberg]] above the water",The problems we discovered were just the tip of the iceberg in this company,"As we approached the glacier, we saw just the tip of the iceberg above the water",just the tip of the iceberg,nur die Spitze des Eisbergs,"Die Probleme, die wir entdeckt haben, waren nur die Spitze des Eisbergs in diesem Unternehmen.","Als wir uns dem Gletscher näherten, sahen wir nur die Spitze des Eisbergs über dem Wasser.",רק קצה הקרחון,הבעיות שגילינו הן רק קצה הקרחון בחברה זו.,"כשנקרב לקרחון, ראינו רק את קצה הקרח על המים."
to see the back of,to be glad that you no longer have to deal with someone,She was relieved [[to see the back of the problem]] after finding a solution,He had [[to see the back of the problem]] by flipping the paper over,She was relieved to see the back of the problem after finding a solution,He had to see the back of the problem by flipping the paper over,to see the back of the problem,Das Problem hinter sich lassen.,"Sie war erleichtert, das Problem loszuwerden, nachdem sie eine Lösung gefunden hatte.","Er musste die Rückseite des Problems sehen, indem er das Papier umdrehte.",לראות את הגב של הבעיה,היא הרגישה מרווחת לראות את הסוף של הבעיה לאחר שמצאה פתרון.,הוא היה צריך לראות את הצד האחורי של הבעיה על ידי הפיכת הנייר.
to the core,totally,The news of the tragedy left her [[shaken to the core]],The powerful earthquake had [[shaken to the core]] of the Earth,The news of the tragedy left her shaken to the core,The powerful earthquake had shaken to the core of the Earth,shaken to the core,zutiefst erschüttert,Die Nachricht von der Tragödie hat sie bis ins Mark erschüttert.,Das starke Erdbeben hatte den Kern der Erde erschüttert.,רעדה עד למחיצה,החדשות על הטרגדיה השאירו אותה מרוטטת עד המח עמוק.,הרעידת אדמה העזה רעדה את לב הארץ.
toot one's own horn,speak boastfully about oneself,He was always [[tooting his own horn]] about his accomplishments,"During the parade, he was [[tooting his own horn]] as part of the marching band",He was always tooting his own horn about his accomplishments,"During the parade, he was tooting his own horn as part of the marching band",tooting his own horn,Mit seinem eigenen Horn stoßen.,Er hat immer mit seinen Leistungen geprahlt.,Während der Parade spielte er als Teil der Marschkapelle seine eigene Trompete.,מתפאר בעצמו,הוא תמיד התגאה בהישגיו.,"במהלך הפרייד, הוא הפך את החצוצרה שלו כחלק מהלהקה המצעדת."
top dog,"The term ""top dog"" means a person, group, or thing in a position of power, particularly after struggling or winning a grueling competition.","After years of hard work, she [[became the top dog]] in her company","At the dog show, her well-trained canine [[became the top dog]] among all the competitors","After years of hard work, she became the top dog in her company","At the dog show, her well-trained canine became the top dog among all the competitors",became the top dog,wurde der Spitzenreiter,Nach Jahren harter Arbeit wurde sie der Top-Hund in ihrer Firma.,Auf der Hundeausstellung wurde ihr gut ausgebildeter Hund zum Top-Hund unter allen Konkurrenten.,הפך לכלב המוביל,"לאחר שנים של עבודה קשה, היא הפכה למובילה בחברתה.","בתחרות הכלבים, הכלבה המאומנת שלה הפכה לכלב המנצח בין כל המתחרים."
tore your hair out,to be extremely agitated or distressed about something,You [[tore your hair out]] trying to solve that complex math problem,You accidentally [[tore your hair out]] while removing the tangled hairbrush,You tore your hair out trying to solve that complex math problem,You accidentally tore your hair out while removing the tangled hairbrush,tore your hair out,riss dir die Haare aus,"Du hast dir die Haare ausgerissen, um dieses komplexe Matheproblem zu lösen.",Du hast versehentlich beim Entfernen der verfilzten Haarbürste deine Haare herausgerissen.,קרעת את השיער שלך,קרעת את השיער שלך בניסיון לפתור את בעיה המתמטית המורכבת זו.,קרעת בטעות את השיער שלך בזמן הסרת מברשת השיער מתולתלת.
treasure trove,a priceless or valuable discovery,"When they found the old library, [[they discovered a treasure trove]] of knowledge","While digging in the backyard, [[they discovered a treasure trove]] filled with gold coins","When they found the old library, they discovered a treasure trove of knowledge","While digging in the backyard, they discovered a treasure trove filled with gold coins",they discovered a treasure trove,Sie entdeckten einen Schatz.,"Als sie die alte Bibliothek fanden, entdeckten sie einen Schatz an Wissen.","Während sie im Hinterhof gruben, entdeckten sie eine Schatzkammer voller Goldmünzen.",גילו אוצר מטמון,"כשמצאו את הספרייה הישנה, הם גילו אוצר של ידע.","בזמן שחפרו בחצר האחורית, הם גילו אוצר מלא במטבעות זהב."
turn back on,choose not to speak to,[[She turned back on the situation]] when she refused to help her friend,[[She turned back on the situation]] to avoid witnessing the accident,She turned back on the situation when she refused to help her friend,She turned back on the situation to avoid witnessing the accident,She turned back on the situation,Sie wandte sich von der Situation ab.,"Sie hat die Situation hinter sich gelassen, als sie sich weigerte, ihrer Freundin zu helfen.","Sie wandte sich von der Situation ab, um den Unfall nicht mit ansehen zu müssen.",היא הפכה על המצב,היא הפכה על המצב כשסרבה לעזור לחברה שלה.,היא הפכה על המצב כדי להימנע מצפייה בתאונה.
turn down a glass,to decline something that someone has offered.,"At the party, he politely [[turned down a glass]] when offered a drink",She [[turned down a glass]] upside down to let it dry,"At the party, he politely turned down a glass when offered a drink",She turned down a glass upside down to let it dry,turned down a glass,lehnte ein Glas ab.,"Auf der Party lehnte er höflich ein Glas ab, als ihm ein Getränk angeboten wurde.","Sie drehte ein Glas umgedreht, um es trocknen zu lassen.",סירב לכוס.,"במסיבה, הוא סירב באופן מנומס לכוס כשהוצע לו משקה.",היא הפכה כוס על הפניים כדי שתיבש.
twist arm,to make someone do what you want by making it difficult for them to refuse,She [[twisted his arm]] to convince him to join the party,"During the wrestling match, he accidentally [[twisted his arm]] and felt pain",She twisted his arm to convince him to join the party,"During the wrestling match, he accidentally twisted his arm and felt pain",twisted his arm,verdrehte seinen Arm,"Sie verdrehte seinen Arm, um ihn zu überreden, der Party beizutreten.",Während des Ringkampfes verdrehte er versehentlich seinen Arm und verspürte Schmerzen.,כפף את הזרוע שלו,היא סיבכה את זרועו כדי לשכנע אותו להצטרף למסיבה.,"במהלך המאבק, הוא כיפף את זרועו בטעות והרגיש כאב."
ugly duckling,a young person who turns out to be beautiful or talented against all expectations.,Her transformation from a shy girl to a confident woman was [[an ugly duckling story]],The children's book featured [[an ugly duckling story]] about a young bird finding its true identity,Her transformation from a shy girl to a confident woman was an ugly duckling story,The children's book featured an ugly duckling story about a young bird finding its true identity,an ugly duckling story,Eine Geschichte vom hässlichen Entlein.,Ihre Verwandlung von einem schüchternen Mädchen zu einer selbstbewussten Frau war eine Geschichte vom hässlichen Entlein.,"Das Kinderbuch handelte von einer Geschichte über ein hässliches Entlein, das seine wahre Identität findet.",סיפור הברווז המכוער,ההמרה שלה מבחורה שעירה לאישה בטוחה הייתה סיפור של ברווז המכוער,הספר לילדים כלל סיפור על ברווז נוצה מכוער שמוצא את הזהות האמיתית שלו.
under the radar,"going unnoticed, avoiding unnecessary attention",He [[was working under the radar]] to avoid drawing attention to his project,The technician [[was working under the radar]] equipment to fix a malfunction,He was working under the radar to avoid drawing attention to his project,The technician was working under the radar equipment to fix a malfunction,was working under the radar,Ich arbeitete unter dem Radar.,"Er arbeitete unter dem Radar, um keine Aufmerksamkeit auf sein Projekt zu lenken.","Der Techniker arbeitete unter dem Radar-Equipment, um eine Fehlfunktion zu beheben.",עבד תחת הרדאר,הוא עבד תחת הרדאר כדי להימנע מלמשוך תשומת לב לפרויקט שלו.,הטכנאי עבד תחת הציוד הרדארי כדי לתקן תקלה.
up a creek without a paddle,being in trouble.,"When our car broke down in the middle of nowhere, we [[found ourselves up a creek without a paddle]]","While canoeing, we accidentally dropped our paddles and [[found ourselves up a creek without a paddle]]","When our car broke down in the middle of nowhere, we found ourselves up a creek without a paddle","While canoeing, we accidentally dropped our paddles and found ourselves up a creek without a paddle",found ourselves up a creek without a paddle,Wir haben uns ohne Paddel auf einem Fluss wiedergefunden.,"Als unser Auto mitten im Nirgendwo kaputt ging, befanden wir uns in einer ausweglosen Situation.",Beim Kanufahren haben wir versehentlich unsere Paddel fallen gelassen und befanden uns ohne Paddel in einem Fluss.,מצאנו את עצמנו בנחל ללא משוט,"כשהרכב שלנו התקלקל באמצע הכי אפשרי, מצאנו את עצמנו במצוקה.","בזמן שהיינו מצאנו, נפלו לנו בטעות המשוטים ומצאנו את עצמנו בנחל ללא משוט."
up a river without a paddle,"when you are in an unfortunate situation, unprepared and with none of the resources to remedy the matter","When the car broke down in the middle of nowhere, we [[found ourselves up a river without a paddle]]","While canoeing, we accidentally dropped our paddles and [[found ourselves up a river without a paddle]]","When the car broke down in the middle of nowhere, we found ourselves up a river without a paddle","While canoeing, we accidentally dropped our paddles and found ourselves up a river without a paddle",found ourselves up a river without a paddle,Wir haben uns ohne Paddel auf einem Fluss wiedergefunden.,"Als das Auto mitten im Nirgendwo kaputt ging, befanden wir uns in einer ausweglosen Situation.",Beim Kanufahren haben wir versehentlich unsere Paddel fallen gelassen und befanden uns ohne Paddel auf einem Fluss.,מצאנו את עצמנו בנהר ללא משוט.,"כשהמכונית התקלקלה באמצע הכי לאן, מצאנו את עצמנו במצוקה.","בזמן שהיינו מצאנו, הפסקנו בטעות את המשוטים שלנו ומצאנו את עצמנו בנהר ללא משוט."
up in the air,"unresolved, undecided",Our vacation [[plans are up in the air]] due to the unpredictable weather,"The balloons carrying our [[plans are up in the air]], floating away from us",Our vacation plans are up in the air due to the unpredictable weather,"The balloons carrying our plans are up in the air, floating away from us",plans are up in the air,Pläne sind noch ungewiss.,Unsere Urlaubspläne sind aufgrund des unberechenbaren Wetters ungewiss.,"Die Ballons, die unsere Pläne tragen, sind in der Luft und schweben von uns weg.",התוכניות תלויות באוויר,תוכניות החופשה שלנו תלויות באוויר הלא חסר חן.,"הבלונים שמכילים את התוכניות שלנו כבר באוויר, צף רחוק מאיתנו."
