idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt
snake in the grass,a hidden army,[[She found a snake in the grass]] when she discovered her friend 's betrayal,"While walking through the field, [[she found a snake in the grass]] slithering away",She found a snake in the grass when she discovered her friend 's betrayal,"While walking through the field, she found a snake in the grass slithering away",She found a snake in the grass,Sie fand eine Schlange im Gras.,"Sie fand eine Schlange im Gras, als sie den Verrat ihrer Freundin entdeckte."
snake in the shoes,to be in a state of fear,[[He found a snake in the shoes]] when he discovered his best friend was betraying him,"While cleaning the garage, [[he found a snake in the shoes]] he had left there",He found a snake in the shoes when he discovered his best friend was betraying him,"While cleaning the garage, he found a snake in the shoes he had left there",He found a snake in the shoes,Er fand eine Schlange in den Schuhen.,"Er fand eine Schlange in den Schuhen, als er entdeckte, dass sein bester Freund ihn betrog."
snow under,to bury or cover something or somebody in the snow (Literal meaning),"During the busy season, she was [[snowed under with work]] and had no time for leisure",The unexpected blizzard left her car [[snowed under with work]] to dig it out,"During the busy season, she was snowed under with work and had no time for leisure",The unexpected blizzard left her car snowed under with work to dig it out,snowed under with work,mit Arbeit überhäuft,Während der Hochsaison war sie von Arbeit überhäuft und hatte keine Zeit für Freizeit.
spanner in the works,a roadblock that prevents an activity from succeeding,The sudden power outage threw [[a spanner in the works]] of our presentation,The mechanic accidentally dropped [[a spanner in the works]] of the machine,The sudden power outage threw a spanner in the works of our presentation,The mechanic accidentally dropped a spanner in the works of the machine,a spanner in the works,ein Hindernis in den Arbeiten,Der plötzliche Stromausfall hat einen Strich durch die Rechnung unserer Präsentation gemacht.
spill the beans,disclose a secret or reveal something prematurely,He accidentally [[spilled the beans about the surprise]] party we had planned,"While carrying a bag of legumes, she tripped and [[spilled the beans about the surprise]] on the floor",He accidentally spilled the beans about the surprise party we had planned,"While carrying a bag of legumes, she tripped and spilled the beans about the surprise on the floor",spilled the beans about the surprise,verriet das Geheimnis über die Überraschung,"Er hat versehentlich das Geheimnis über die Überraschungsparty ausgeplaudert, die wir geplant hatten."
spin a yarn,to tell a tale,They [[spun a yarn together]] about their adventurous trip to the mountains,The two knitters [[spun a yarn together]] to create a beautiful scarf,They spun a yarn together about their adventurous trip to the mountains,The two knitters spun a yarn together to create a beautiful scarf,spun a yarn together,haben gemeinsam eine Geschichte erzählt,Sie haben gemeinsam eine Geschichte über ihre abenteuerliche Reise in die Berge gesponnen.
stab in the back,a disloyalty,He was [[stabbed in the back by a friend]] when they revealed his secrets,"During the reenactment of a historical battle, he was accidentally [[stabbed in the back by a friend]]",He was stabbed in the back by a friend when they revealed his secrets,"During the reenactment of a historical battle, he was accidentally stabbed in the back by a friend",stabbed in the back by a friend,von einem Freund in den Rücken gestochen,"Er wurde von einem Freund in den Rücken gestochen, als dieser seine Geheimnisse offenbarte."
stand out,extend beyond or above a surface,Her unique fashion sense made her [[stand out in the crowd]],He had to [[stand out in the crowd]] to get a better view of the stage,Her unique fashion sense made her stand out in the crowd,He had to stand out in the crowd to get a better view of the stage,stand out in the crowd,Herausstechen aus der Menge.,Ihr einzigartiger Modegeschmack ließ sie aus der Menge herausstechen.
step on his toes,to annoy or irritate someone by intervening in a situation that is their responsibility,I didn't want to [[stepped on his toes]] by taking over his project,"While dancing, she accidentally [[stepped on his toes]]",I didn't want to stepped on his toes by taking over his project,"While dancing, she accidentally stepped on his toes",stepped on his toes,trat ihm auf die Zehen,"Ich wollte ihm nicht auf die Füße treten, indem ich sein Projekt übernehme."
stick in his throat,difficulty of accepting and makes you angry or resentful,The insincere compliment [[stuck in his throat]] as he tried to praise his rival,The fish bone [[stuck in his throat]] while he was eating dinner,The insincere compliment stuck in his throat as he tried to praise his rival,The fish bone stuck in his throat while he was eating dinner,stuck in his throat,stecken geblieben in seinem Hals,"Das unaufrichtige Kompliment blieb ihm im Hals stecken, als er versuchte, seinen Rivalen zu loben."
stiff upper lip,to be brave in the face of adversity,"Despite the bad news, [[he maintained a stiff upper lip]] and carried on","Due to the cold weather, [[he maintained a stiff upper lip]] until he could warm up","Despite the bad news, he maintained a stiff upper lip and carried on","Due to the cold weather, he maintained a stiff upper lip until he could warm up",he maintained a stiff upper lip,Er behielt die Fassung.,Trotz der schlechten Nachrichten behielt er die Fassung und machte weiter.
stir up a hornet's nest,to create trouble,"By questioning the company's policies, he [[stirred up a hornet's nest]] among the employees","While clearing the garden, she accidentally [[stirred up a hornet's nest]] and got stung","By questioning the company's policies, he stirred up a hornet's nest among the employees","While clearing the garden, she accidentally stirred up a hornet's nest and got stung",stirred up a hornet's nest,einen Hornissenschwarm aufgescheucht,"Indem er die Unternehmenspolitik in Frage stellte, hat er unter den Mitarbeitern ein Wespennest aufgewirbelt."
stop by,to meet someone or go somewhere in a brief and informal manner,I'll [[stop by the store]] to pick up some groceries on my way home,"During our walk, we decided to [[stop by the store]] to take shelter from the sudden downpour",I'll stop by the store to pick up some groceries on my way home,"During our walk, we decided to stop by the store to take shelter from the sudden downpour",stop by the store,Halte im Laden an.,"Ich werde auf dem Weg nach Hause im Laden anhalten, um einige Lebensmittel zu besorgen."
stop the rot,"when you prevent a situation from deteriorating, especially in business or politics",The new manager [[stopped the rot]] by implementing better policies,The gardener [[stopped the rot]] by removing the infected plants,The new manager stopped the rot by implementing better policies,The gardener stopped the rot by removing the infected plants,stopped the rot,stoppte den Verfall.,"Der neue Manager stoppte den Verfall, indem er bessere Richtlinien umsetzte."
straight from the horse's mouth,from a dependable or reliable source,I [[heard it straight from the horse's mouth]] that the company is planning a merger,The veterinarian [[heard it straight from the horse's mouth]] when the animal neighed loudly,I heard it straight from the horse's mouth that the company is planning a merger,The veterinarian heard it straight from the horse's mouth when the animal neighed loudly,heard it straight from the horse's mouth,Ich habe es direkt aus erster Hand gehört.,"Ich habe es direkt aus erster Hand gehört, dass das Unternehmen eine Fusion plant."
straight shooter,someone who speaks the truth,"In the world of politics, her reputation as [[a straight shooter]] sets her apart from the rest","The archer was [[a straight shooter]], hitting the bullseye every time","In the world of politics, her reputation as a straight shooter sets her apart from the rest","The archer was a straight shooter, hitting the bullseye every time",a straight shooter,ein ehrlicher Mensch,In der Welt der Politik unterscheidet sie sich von den anderen durch ihren Ruf als ehrliche Person.
straighten up and fly right,to get serious and stop acting absurd anymore.,"After a stern warning from his boss, he decided [[to straighten up and fly right]] at work",The pilot had [[to straighten up and fly right]] to avoid turbulence,"After a stern warning from his boss, he decided to straighten up and fly right at work",The pilot had to straighten up and fly right to avoid turbulence,to straighten up and fly right,Sich zusammenreißen und vernünftig handeln.,"Nach einer strengen Warnung von seinem Chef beschloss er, sich bei der Arbeit zusammenzureißen und sich richtig zu verhalten."
strike while the iron is hot,to take advantage of a situation,"To seize the opportunity, he decided [[to strike while the iron is hot]] and invest in the stock market","As a blacksmith, he knew he had [[to strike while the iron is hot]] to shape the metal properly","To seize the opportunity, he decided to strike while the iron is hot and invest in the stock market","As a blacksmith, he knew he had to strike while the iron is hot to shape the metal properly",to strike while the iron is hot,"Man muss das Eisen schmieden, solange es heiß ist.","Um die Gelegenheit zu nutzen, entschied er sich, jetzt zuzuschlagen und in die Börse zu investieren."
suited and booted,formally dressed; well dressed,"He [[was suited and booted for the event]], ready to impress everyone with his confidence","He [[was suited and booted for the event]], wearing a tailored suit and polished shoes","He was suited and booted for the event, ready to impress everyone with his confidence","He was suited and booted for the event, wearing a tailored suit and polished shoes",was suited and booted for the event,Ich war für das Ereignis angezogen und bereit.,"Er war für das Ereignis angezogen und bereit, alle mit seinem Selbstbewusstsein zu beeindrucken."
sweep under the rug,try to hide a problem or keep a problem secret instead of dealing with it,"Instead of addressing the problem, [[they swept the issue under the rug]] and pretended it didn't exist","After breaking the vase, [[they swept the issue under the rug]] to hide the evidence","Instead of addressing the problem, they swept the issue under the rug and pretended it didn't exist","After breaking the vase, they swept the issue under the rug to hide the evidence",they swept the issue under the rug,Sie haben das Problem unter den Teppich gekehrt.,"Anstatt das Problem anzugehen, haben sie die Angelegenheit unter den Teppich gekehrt und so getan, als ob es nicht existierte."
take a back seat,take a less important position.,"[[He took a back seat to her]] in the project, letting her lead the team","[[He took a back seat to her]] in the car, giving her the front passenger seat","He took a back seat to her in the project, letting her lead the team","He took a back seat to her in the car, giving her the front passenger seat",He took a back seat to her,Er trat ihr gegenüber in den Hintergrund.,Er nahm im Projekt eine untergeordnete Rolle ein und ließ sie das Team führen.
take a beating,to be defeated in doing something and be reprimanded for the same,The company's stock prices [[took a beating]] after the negative news,The old punching bag [[took a beating]] during the intense workout session,The company's stock prices took a beating after the negative news,The old punching bag took a beating during the intense workout session,took a beating,wurde verprügelt,Die Aktienkurse des Unternehmens erlitten nach den negativen Nachrichten einen Rückschlag.
take a cue from,to do what is recommended by someone else,You should [[take a cue from her]] and start organizing your time better,"During the pool game, he decided to [[take a cue from her]] and use her favorite one",You should take a cue from her and start organizing your time better,"During the pool game, he decided to take a cue from her and use her favorite one",take a cue from her,Nimm dir ein Beispiel an ihr.,"Du solltest ein Beispiel von ihr nehmen und anfangen, deine Zeit besser zu organisieren."
take a hike,go away,"When he insulted her, she told him [[to take a hike]]","On a sunny day, they decided [[to take a hike]] in the nearby forest","When he insulted her, she told him to take a hike","On a sunny day, they decided to take a hike in the nearby forest",to take a hike,einen Spaziergang machen,"Als er sie beleidigte, sagte sie ihm, er solle verschwinden."
take a leaf out of someone's book,implement actionable advice,"To improve my work ethic, I decided to [[take a leaf out of her book]] and wake up early","To press and preserve the leaf, I had to carefully [[take a leaf out of her book]] of botanical specimens","To improve my work ethic, I decided to take a leaf out of her book and wake up early","To press and preserve the leaf, I had to carefully take a leaf out of her book of botanical specimens",take a leaf out of her book,Nimm dir ein Beispiel an ihr.,"Um meine Arbeitsmoral zu verbessern, beschloss ich, eine Seite aus ihrem Buch zu nehmen und früh aufzustehen."
take it on the chin,this is a boxing metaphor meaning don't shy away from difficulty,"Despite the harsh criticism, [[he took it on the chin]] and kept working","During the boxing match, [[he took it on the chin]] and fell to the ground","Despite the harsh criticism, he took it on the chin and kept working","During the boxing match, he took it on the chin and fell to the ground",he took it on the chin,Er hat es hingenommen.,Trotz der harten Kritik hat er es hingenommen und weitergearbeitet.
take up the cudgels,argue strongly in support or against somebody or something,[[He took up the cudgels for her]] when she was unfairly criticized,"During the historical reenactment, [[he took up the cudgels for her]] when she dropped hers",He took up the cudgels for her when she was unfairly criticized,"During the historical reenactment, he took up the cudgels for her when she dropped hers",He took up the cudgels for her,Er hat sich für sie eingesetzt.,"Er hat sich für sie eingesetzt, als sie unfair kritisiert wurde."
take with a grain of salt,to understand that something is not completely true or right,"When listening to his stories, it's best [[to take it with a grain of salt]]","To balance the flavor, she decided [[to take it with a grain of salt]] and sprinkled it on her dish","When listening to his stories, it's best to take it with a grain of salt","To balance the flavor, she decided to take it with a grain of salt and sprinkled it on her dish",to take it with a grain of salt,Es mit einer Prise Salz nehmen.,"Wenn man seinen Geschichten zuhört, ist es am besten, es mit einer Prise Salz zu nehmen."
takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate,"When it comes to resolving conflicts, remember that [[it takes two to tango]]","In a dance competition, the judges reminded the participants that [[it takes two to tango]]","When it comes to resolving conflicts, remember that it takes two to tango","In a dance competition, the judges reminded the participants that it takes two to tango",it takes two to tango,"Es braucht zwei, um Tango zu tanzen.","Wenn es darum geht, Konflikte zu lösen, denken Sie daran, dass dazu zwei gehören."
tall poppy,a privileged or distinguished person.,"She was [[a tall poppy among them]], always standing out with her exceptional achievements","In the field of wildflowers, there was [[a tall poppy among them]], reaching higher than the rest","She was a tall poppy among them, always standing out with her exceptional achievements","In the field of wildflowers, there was a tall poppy among them, reaching higher than the rest",a tall poppy among them,eine hohe Mohnblume unter ihnen,"Sie war unter ihnen eine hohe Mohnblume, die immer mit ihren außergewöhnlichen Leistungen herausragte."
tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,It's unfair to judge all politicians [[by tarring them with the same brush]],The painter made a mistake [[by tarring them with the same brush]] instead of using separate brushes for each color,It's unfair to judge all politicians by tarring them with the same brush,The painter made a mistake by tarring them with the same brush instead of using separate brushes for each color,by tarring them with the same brush,indem man sie über einen Kamm schert,"Es ist unfair, alle Politiker über einen Kamm zu scheren."
taste of own medicine,when someone gets the same bad treatment that he has been giving others,"When he tried to prank her, [[she gave him a taste of his own medicine]] by pranking him back",[[She gave him a taste of his own medicine]] by making him try the bitter concoction he had prepared for her,"When he tried to prank her, she gave him a taste of his own medicine by pranking him back",She gave him a taste of his own medicine by making him try the bitter concoction he had prepared for her,she gave him a taste of his own medicine,Sie gab ihm eine Dosis seiner eigenen Medizin.,"Als er versuchte, sie hereinzulegen, gab sie ihm eine Kostprobe seiner eigenen Medizin, indem sie ihn zurück hereinlegte."
tearing a strip off,to reprimand someone severely for doing something wrong,The boss [[was tearing a strip off the fabric]] of our team's morale with his harsh criticism,She [[was tearing a strip off the fabric]] to make a patch for her jeans,The boss was tearing a strip off the fabric of our team's morale with his harsh criticism,She was tearing a strip off the fabric to make a patch for her jeans,was tearing a strip off the fabric,Ich riss einen Streifen vom Stoff ab.,Der Chef zerriss mit seiner harten Kritik ein Stück des Stoffes unserer Team-Moral.
that's going too far,to do something that is considered extreme or unacceptable,Insulting her family was [[that's going too far]] and crossed the line,"Driving 200 miles for a cup of coffee, [[that's going too far]] for a simple pleasure",Insulting her family was that's going too far and crossed the line,"Driving 200 miles for a cup of coffee, that's going too far for a simple pleasure",that's going too far,Das geht zu weit.,Ihre Familie zu beleidigen ging zu weit und hat die Grenze überschritten.
the ball is in your court,the initiative for taking action lies with somebody,"I've done my part, [[the ball is in your court now]] to make the decision","After I hit the tennis ball over the net, [[the ball is in your court now]]","I've done my part, the ball is in your court now to make the decision","After I hit the tennis ball over the net, the ball is in your court now",the ball is in your court now,Der Ball liegt jetzt bei dir.,"Ich habe meinen Teil erledigt, jetzt liegt der Ball in deinem Feld, um die Entscheidung zu treffen."
the ball rolling,to start a conversation in a social setting,"To start the meeting, we need to [[get the ball rolling]] with introductions","To play soccer, you must [[get the ball rolling]] by kicking it","To start the meeting, we need to get the ball rolling with introductions","To play soccer, you must get the ball rolling by kicking it",get the ball rolling,Den Stein ins Rollen bringen.,"Um das Meeting zu beginnen, müssen wir mit Vorstellungen in Gang kommen."
the devil is beating his wife,raining whereas the sun is shining.,"While the sun was shining, it started raining, and people said [[the devil is beating his wife]]","In the theatrical performance, the actor playing Satan acted out a scene where [[the devil is beating his wife]]","While the sun was shining, it started raining, and people said the devil is beating his wife","In the theatrical performance, the actor playing Satan acted out a scene where the devil is beating his wife",the devil is beating his wife,Der Teufel schlägt seine Frau.,"Während die Sonne schien, fing es an zu regnen, und die Leute sagten, der Teufel schlägt seine Frau."
the early bird catches the worm,it refers to people who arrive earlier are the ones who get the best deals,"She always wakes up at 5 am and finishes her tasks efficiently, proving that [[the early bird catches the worm]]","In the documentary, we saw how [[the early bird catches the worm]] to feed its young","She always wakes up at 5 am and finishes her tasks efficiently, proving that the early bird catches the worm","In the documentary, we saw how the early bird catches the worm to feed its young",the early bird catches the worm,Der frühe Vogel fängt den Wurm.,"Sie wacht immer um 5 Uhr auf und erledigt ihre Aufgaben effizient, was beweist, dass der frühe Vogel den Wurm fängt."
the eleventh hour,at the very last minute before an event,"He finished the project [[at the eleventh hour]], just before the deadline",She decided to go for a walk [[at the eleventh hour]] of the night,"He finished the project at the eleventh hour, just before the deadline",She decided to go for a walk at the eleventh hour of the night,at the eleventh hour,in letzter Minute,"Er hat das Projekt in letzter Minute fertiggestellt, kurz vor dem Abgabetermin."
the last straw,to be the last in a sequence of unpleasant things,"When he insulted her cooking, [[that was the last straw]] and she decided to leave","After using all the other straws, [[that was the last straw]] in the box","When he insulted her cooking, that was the last straw and she decided to leave","After using all the other straws, that was the last straw in the box",that was the last straw,Das war der letzte Strohhalm.,"Als er ihr Kochen beleidigte, war das der letzte Tropfen und sie beschloss zu gehen."
the lion's den,a place which is uncomfortable,"By confronting the angry mob, he [[entered the lion's den]] and risked his safety","As a zookeeper, she [[entered the lion's den]] to feed the animals","By confronting the angry mob, he entered the lion's den and risked his safety","As a zookeeper, she entered the lion's den to feed the animals",entered the lion's den,Betrat die Löwengrube.,"Indem er der wütenden Menge gegenübertrat, betrat er die Höhle des Löwen und riskierte seine Sicherheit."
the other side of the coin,"the opposite aspect, contrasting arguments.","Before making a decision, it's important to [[consider the other side of the coin]] and weigh the pros and cons","When flipping a quarter, you should [[consider the other side of the coin]] as well, since it has a 50% chance of landing","Before making a decision, it's important to consider the other side of the coin and weigh the pros and cons","When flipping a quarter, you should consider the other side of the coin as well, since it has a 50% chance of landing",consider the other side of the coin,Betrachte die andere Seite der Medaille.,"Bevor man eine Entscheidung trifft, ist es wichtig, die andere Seite der Medaille zu betrachten und Vor- und Nachteile abzuwägen."
the sun rises and sets on them,to believe that someone is the most wonderful and important person in the world; to love and adore someone more than anyone else,She adores her children so much that [[the sun rises and sets on them]] in her eyes,"Living on a remote island, [[the sun rises and sets on them]] every day",She adores her children so much that the sun rises and sets on them in her eyes,"Living on a remote island, the sun rises and sets on them every day",the sun rises and sets on them,Die Sonne geht auf und unter ihnen.,"Sie verehrt ihre Kinder so sehr, dass die Sonne in ihren Augen für sie auf- und untergeht."
throw it over the wall,"to deal with part of a problem or project, then pass the responsibility to another person or department without any communication or coordination","After finishing the design, the team decided [[to throw it over the wall]] to the developers",He decided [[to throw it over the wall]] to get the ball back from the neighbor's yard,"After finishing the design, the team decided to throw it over the wall to the developers",He decided to throw it over the wall to get the ball back from the neighbor's yard,to throw it over the wall,Es über die Mauer werfen.,"Nachdem das Design fertiggestellt wurde, beschloss das Team, es den Entwicklern über den Zaun zu werfen."
throw the baby out with the bathwater,to remove something good in the bid of getting rid of something bad,"In their haste to modernize the company, they decided to [[throw the baby out with the bathwater]] and discard valuable traditions",It would be absurd to accidentally [[throw the baby out with the bathwater]] while emptying the tub,"In their haste to modernize the company, they decided to throw the baby out with the bathwater and discard valuable traditions",It would be absurd to accidentally throw the baby out with the bathwater while emptying the tub,throw the baby out with the bathwater,Das Kind mit dem Bade ausschütten.,"In ihrer Eile, das Unternehmen zu modernisieren, beschlossen sie, das Kind mit dem Bade auszuschütten und wertvolle Traditionen zu verwerfen."
tie the knot,to get married,They [[tied the knot together]] in a beautiful ceremony surrounded by friends and family,The two sailors [[tied the knot together]] to secure the rope,They tied the knot together in a beautiful ceremony surrounded by friends and family,The two sailors tied the knot together to secure the rope,tied the knot together,haben zusammen den Knoten gebunden,"Sie haben gemeinsam in einer schönen Zeremonie, umgeben von Freunden und Familie, den Knoten gebunden."
tight spot,to be in a very difficult situation,They [[found themselves in a tight spot]] when they had to choose between two important events,The spelunkers [[found themselves in a tight spot]] while navigating the narrow cave,They found themselves in a tight spot when they had to choose between two important events,The spelunkers found themselves in a tight spot while navigating the narrow cave,found themselves in a tight spot,fanden sich in einer schwierigen Situation wieder,"Sie befanden sich in einer schwierigen Situation, als sie zwischen zwei wichtigen Ereignissen wählen mussten."
tighten belt,to save your money,"Due to the economic downturn, we had [[to tighten the belt a bit]] and cut some expenses","After losing some weight, he had [[to tighten the belt a bit]] to keep his pants up","Due to the economic downturn, we had to tighten the belt a bit and cut some expenses","After losing some weight, he had to tighten the belt a bit to keep his pants up",to tighten the belt a bit,Den Gürtel etwas enger schnallen.,Aufgrund der wirtschaftlichen Flaute mussten wir den Gürtel etwas enger schnallen und einige Ausgaben kürzen.
tip of the iceberg,to only know a very small part of the problem,The problems we discovered were [[just the tip of the iceberg]] in this company,"As we approached the glacier, we saw [[just the tip of the iceberg]] above the water",The problems we discovered were just the tip of the iceberg in this company,"As we approached the glacier, we saw just the tip of the iceberg above the water",just the tip of the iceberg,nur die Spitze des Eisbergs,"Die Probleme, die wir entdeckt haben, waren nur die Spitze des Eisbergs in diesem Unternehmen."
to see the back of,to be glad that you no longer have to deal with someone,She was relieved [[to see the back of the problem]] after finding a solution,He had [[to see the back of the problem]] by flipping the paper over,She was relieved to see the back of the problem after finding a solution,He had to see the back of the problem by flipping the paper over,to see the back of the problem,Das Problem hinter sich lassen.,"Sie war erleichtert, das Problem loszuwerden, nachdem sie eine Lösung gefunden hatte."
to the core,totally,The news of the tragedy left her [[shaken to the core]],The powerful earthquake had [[shaken to the core]] of the Earth,The news of the tragedy left her shaken to the core,The powerful earthquake had shaken to the core of the Earth,shaken to the core,zutiefst erschüttert,Die Nachricht von der Tragödie hat sie bis ins Mark erschüttert.
toot one's own horn,speak boastfully about oneself,He was always [[tooting his own horn]] about his accomplishments,"During the parade, he was [[tooting his own horn]] as part of the marching band",He was always tooting his own horn about his accomplishments,"During the parade, he was tooting his own horn as part of the marching band",tooting his own horn,Mit seinem eigenen Horn stoßen.,Er hat immer mit seinen Leistungen geprahlt.
top dog,"The term ""top dog"" means a person, group, or thing in a position of power, particularly after struggling or winning a grueling competition.","After years of hard work, she [[became the top dog]] in her company","At the dog show, her well-trained canine [[became the top dog]] among all the competitors","After years of hard work, she became the top dog in her company","At the dog show, her well-trained canine became the top dog among all the competitors",became the top dog,wurde der Spitzenreiter,Nach Jahren harter Arbeit wurde sie der Top-Hund in ihrer Firma.
tore your hair out,to be extremely agitated or distressed about something,You [[tore your hair out]] trying to solve that complex math problem,You accidentally [[tore your hair out]] while removing the tangled hairbrush,You tore your hair out trying to solve that complex math problem,You accidentally tore your hair out while removing the tangled hairbrush,tore your hair out,riss dir die Haare aus,"Du hast dir die Haare ausgerissen, um dieses komplexe Matheproblem zu lösen."
treasure trove,a priceless or valuable discovery,"When they found the old library, [[they discovered a treasure trove]] of knowledge","While digging in the backyard, [[they discovered a treasure trove]] filled with gold coins","When they found the old library, they discovered a treasure trove of knowledge","While digging in the backyard, they discovered a treasure trove filled with gold coins",they discovered a treasure trove,Sie entdeckten einen Schatz.,"Als sie die alte Bibliothek fanden, entdeckten sie einen Schatz an Wissen."
turn back on,choose not to speak to,[[She turned back on the situation]] when she refused to help her friend,[[She turned back on the situation]] to avoid witnessing the accident,She turned back on the situation when she refused to help her friend,She turned back on the situation to avoid witnessing the accident,She turned back on the situation,Sie wandte sich von der Situation ab.,"Sie hat die Situation hinter sich gelassen, als sie sich weigerte, ihrer Freundin zu helfen."
turn down a glass,to decline something that someone has offered.,"At the party, he politely [[turned down a glass]] when offered a drink",She [[turned down a glass]] upside down to let it dry,"At the party, he politely turned down a glass when offered a drink",She turned down a glass upside down to let it dry,turned down a glass,lehnte ein Glas ab.,"Auf der Party lehnte er höflich ein Glas ab, als ihm ein Getränk angeboten wurde."
twist arm,to make someone do what you want by making it difficult for them to refuse,She [[twisted his arm]] to convince him to join the party,"During the wrestling match, he accidentally [[twisted his arm]] and felt pain",She twisted his arm to convince him to join the party,"During the wrestling match, he accidentally twisted his arm and felt pain",twisted his arm,verdrehte seinen Arm,"Sie verdrehte seinen Arm, um ihn zu überreden, der Party beizutreten."
ugly duckling,a young person who turns out to be beautiful or talented against all expectations.,Her transformation from a shy girl to a confident woman was [[an ugly duckling story]],The children's book featured [[an ugly duckling story]] about a young bird finding its true identity,Her transformation from a shy girl to a confident woman was an ugly duckling story,The children's book featured an ugly duckling story about a young bird finding its true identity,an ugly duckling story,Eine Geschichte vom hässlichen Entlein.,Ihre Verwandlung von einem schüchternen Mädchen zu einer selbstbewussten Frau war eine Geschichte vom hässlichen Entlein.
under the radar,"going unnoticed, avoiding unnecessary attention",He [[was working under the radar]] to avoid drawing attention to his project,The technician [[was working under the radar]] equipment to fix a malfunction,He was working under the radar to avoid drawing attention to his project,The technician was working under the radar equipment to fix a malfunction,was working under the radar,Ich arbeitete unter dem Radar.,"Er arbeitete unter dem Radar, um keine Aufmerksamkeit auf sein Projekt zu lenken."
up a creek without a paddle,being in trouble.,"When our car broke down in the middle of nowhere, we [[found ourselves up a creek without a paddle]]","While canoeing, we accidentally dropped our paddles and [[found ourselves up a creek without a paddle]]","When our car broke down in the middle of nowhere, we found ourselves up a creek without a paddle","While canoeing, we accidentally dropped our paddles and found ourselves up a creek without a paddle",found ourselves up a creek without a paddle,Wir haben uns ohne Paddel auf einem Fluss wiedergefunden.,"Als unser Auto mitten im Nirgendwo kaputt ging, befanden wir uns in einer ausweglosen Situation."
up a river without a paddle,"when you are in an unfortunate situation, unprepared and with none of the resources to remedy the matter","When the car broke down in the middle of nowhere, we [[found ourselves up a river without a paddle]]","While canoeing, we accidentally dropped our paddles and [[found ourselves up a river without a paddle]]","When the car broke down in the middle of nowhere, we found ourselves up a river without a paddle","While canoeing, we accidentally dropped our paddles and found ourselves up a river without a paddle",found ourselves up a river without a paddle,Wir haben uns ohne Paddel auf einem Fluss wiedergefunden.,"Als das Auto mitten im Nirgendwo kaputt ging, befanden wir uns in einer ausweglosen Situation."
up in the air,"unresolved, undecided",Our vacation [[plans are up in the air]] due to the unpredictable weather,"The balloons carrying our [[plans are up in the air]], floating away from us",Our vacation plans are up in the air due to the unpredictable weather,"The balloons carrying our plans are up in the air, floating away from us",plans are up in the air,Pläne sind noch ungewiss.,Unsere Urlaubspläne sind aufgrund des unberechenbaren Wetters ungewiss.
up to the mark,to be good enough,"His performance was [[not quite up to the mark]], so he didn't get the promotion",The water level was [[not quite up to the mark]] on the measuring stick,"His performance was not quite up to the mark, so he didn't get the promotion",The water level was not quite up to the mark on the measuring stick,not quite up to the mark,Nicht ganz auf dem Niveau.,"Seine Leistung war nicht ganz auf dem Niveau, deshalb hat er die Beförderung nicht bekommen."
ups and downs,good times and bad times,"Throughout their marriage, they [[experienced ups and downs]] but remained committed","On the roller coaster, we [[experienced ups and downs]] as it twisted and turned","Throughout their marriage, they experienced ups and downs but remained committed","On the roller coaster, we experienced ups and downs as it twisted and turned",experienced ups and downs,hat Höhen und Tiefen erlebt.,"Während ihrer Ehe erlebten sie Höhen und Tiefen, blieben aber engagiert."
use your loaf,To tell someone to use their brain more in analysing what they are doing.,[[They used their loaf]] to solve the complex puzzle,[[They used their loaf]] of bread to make sandwiches for lunch,They used their loaf to solve the complex puzzle,They used their loaf of bread to make sandwiches for lunch,They used their loaf,Sie haben ihren Kopf benutzt.,"Sie haben ihr Gehirn benutzt, um das komplexe Puzzle zu lösen."
velvet glove,"a person who appears gentle, but is determined and inflexible underneath",The manager [[was wearing a velvet glove]] when he gently guided the team through the crisis,"At the costume party, she [[was wearing a velvet glove]] as part of her elegant outfit",The manager was wearing a velvet glove when he gently guided the team through the crisis,"At the costume party, she was wearing a velvet glove as part of her elegant outfit",was wearing a velvet glove,Er trug einen Samthandschuh.,"Der Manager trug einen Samthandschuh, als er das Team sanft durch die Krise führte."
voice in the wilderness,"someone who expresses an opinion that no one believes or listens to, especially if proved right later",His environmental concerns were [[a voice in the wilderness]] among the industrialists,"While hiking alone, she suddenly heard [[a voice in the wilderness]] and got scared",His environmental concerns were a voice in the wilderness among the industrialists,"While hiking alone, she suddenly heard a voice in the wilderness and got scared",a voice in the wilderness,eine Stimme in der Wildnis,Seine Umweltbedenken waren eine Stimme in der Wildnis unter den Industriellen.
vultures are circling,when something is in danger and its enemies are getting ready for the kill,"As the company's stock plummeted, [[the vultures are circling]] to buy it cheap","While observing the desert landscape, we noticed [[the vultures are circling]] above a carcass","As the company's stock plummeted, the vultures are circling to buy it cheap","While observing the desert landscape, we noticed the vultures are circling above a carcass",the vultures are circling,Die Geier kreisen.,"Als der Aktienkurs des Unternehmens abstürzte, kreisen die Geier, um es billig zu kaufen."
