idiom,meaning,intended_ambiguous,maxvote_ambiguous,intended_figurative,maxvote_figurative,intended_literal,maxvote_literal,annotations_ambiguous,annotations_figurative,annotations_literal,well_formed,maxvote - for sort
second wind,another burst of energy when you had been too tired to finish,She got her second wind,figurative,She got her second wind after watching the inspiring movie,figurative,She got her second wind after barely finishing the marathon,figurative,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,figurative : figurative : figurative
see eye to eye,to agree fully with someone,They don't see eye to eye,ambiguous,They don't see eye to eye when discussing their beliefs and opinions,figurative,They don't see eye to eye if they stand in front of each other,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
see light at end of tunnel,to see signs of hope for the future after a long period of difficulty,I can see the light at end of tunnel,ambiguous,I can see the light at end of tunnel as hope blossomed in my heart,figurative,I can see the light at end of tunnel which means the end of the long and dark tunnel is near,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
see the light,realise or understand something,He finally saw the light,ambiguous,He finally saw the light after much contemplation and struggle,figurative,He finally saw the light when the dawn broke,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
set the bar,fix the standards acceptable for the task,You set the bar,ambiguous,You set the bar high with your success which made everyone push to surpass your achievements,figurative,You set the bar on the ground as you completed your work out,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
shades of grey,refers to a situation where things are not really clear,It's not all shades of grey,ambiguous,It's not all shades of grey – there's a larger spectrum of emotions and complexities in life,figurative,"It's not all shades of grey – there's also black, white and other colors as well",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
shake a leg,"to go fast, hurry","Hurry up and shake a leg"" ",ambiguous,Hurry up and shake a leg before it's too late,figurative,Hurry up and shake a leg so you can get your blood flowing,literal,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
shoot from the hip,"speak directly or bluntly, without caring for consequences",He's always shooting from the hip,ambiguous,"He's always shooting from the hip, which means he speaks without thinking or weighs his words",figurative,"He's always shooting from the hip, which means he pulls out and shoots his gun quickly",literal,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'literal']","['figurative', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
short fuse,to get angry quickly.,He has a short fuse,ambiguous,"He has a short fuse, resulting in outbursts of anger when something doesn't go his way",figurative,"He has a short fuse, making him unable to handle the stress of the situation",figurative,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,ambiguous : figurative : figurative
shot in the dark,an attempt to guess something when you have no information or knowledge about the subject and therefore cannot possibly know what the answer is,It was a shot in the dark,ambiguous,It was a shot in the dark when I said I think I know the answer,figurative,It was a shot in the dark when I closed my eyes and threw the dart,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",TRUE,ambiguous : figurative : literal
show the door,make it clear that somebody must leave,He showed the door,ambiguous,He showed the door to the unruly guest,figurative,He showed the door so people could find their way out,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
show true colors,to reveal what one is really like,He showed his true colors,ambiguous,He showed his true colors by being dishonest about the details,figurative,He showed his true colors when he finally painted the walls in his room the color of his choice,ambiguous,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'figurative']",FALSE,ambiguous : figurative : ambiguous
silver spoon,having a rich or privileged background,She had a silver spoon,ambiguous,She had a silver spoon when it came to her education since her parents could afford to send her to the best schools,figurative,She had a silver spoon when she was born meaning that her parents gave her a sterling silver spoon as a gift,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
sink or swim,"having to do something alone, and their success or failure depends entirely on their own efforts",He's in a sink or swim situation,ambiguous,"He's in a sink or swim situation, where he will either be incredibly successful or completely fail",figurative,"He's in a sink or swim situation, where he will either be able to stay afloat or be underwater",literal,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
sit on the fence,delay or avoid making a decision or choice,I'm sitting on the fence,ambiguous,I'm sitting on the fence and not picking a side in the argument,figurative,I'm sitting on the fence because it's the highest spot in the yard,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
sit tight,wait patiently,We had to sit tight,figurative,We had to sit tight and wait for better news,literal,We had to sit tight because the bus was full,figurative,"['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'figurative']","['figurative', 'ambiguous', 'figurative']",FALSE,figurative : literal : figurative
sitting duck,to be an easy target,He's a sitting duck,ambiguous,"He's a sitting duck, always vulnerable in these types of situations",figurative,He's a sitting duck in the pond,ambiguous,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['ambiguous', 'ambiguous', 'ambiguous']",FALSE,ambiguous : figurative : ambiguous
skating on thin ice,to do something considered quite dangerous or risky,He's skating on thin ice,ambiguous,He's skating on thin ice as he's balancing on the edge of disaster,figurative,He's skating on thin ice and he could break through it at any moment,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
skeleton in the closet,"a secret of an embarrassing, guilty or shameful nature that you don't want to disclose",She had a skeleton in the closet,ambiguous,She had a skeleton in the closet when it came to her failed marriage,figurative,She had a skeleton in the closet that she put there for decoration,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
sleep on,postpone making a choice until the following day.,Let's sleep on it,ambiguous,Let's sleep on it and decide after some time for thought,figurative,Let's sleep on it and decide tomorrow morning,figurative,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,ambiguous : figurative : figurative
smell a rat,sense that something is not right,She smelt a rat,ambiguous,She smelt a rat when the story changed and knew something was off,figurative,She smelt a rat when it ran past her,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
smell something fishy,to have a suspicion that something is wrong,I smell something fishy,ambiguous,I smell something fishy when I heard about his new career move,figurative,I smell something fishy coming from the kitchen,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
smooth his ruffled feathers,to make someone feel less angry or offended,I tried to smooth his ruffled feathers,ambiguous,I tried to smooth his ruffled feathers by telling him a joke so he wouldn't be angry at me anymore,figurative,I tried to smooth his ruffled feathers as they were sticking out when he got mad,ambiguous,"['figurative', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['ambiguous', 'ambiguous', 'literal']",FALSE,ambiguous : figurative : ambiguous
smooth sailing,easy progress without impediment or difficulty,It's been smooth sailing,ambiguous,It's been smooth sailing for me since I moved to a new city,figurative,It's been smooth sailing since we went on our boat trip yesterday,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",TRUE,ambiguous : figurative : literal
snake in the grass,a hidden army,There was a snake in the grass,ambiguous,There was a snake in the grass within the group of colleagues - someone who was planning something behind everyone's back,figurative,"There was a snake in the grass yesterday, so we had to stay careful",ambiguous,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'ambiguous']",FALSE,ambiguous : figurative : ambiguous
snake in the shoes,to be in a state of fear,There was a snake in the shoes,ambiguous,"There was a snake in the shoes metaphorically speaking, implying that disaster was about to happen",figurative,There was a snake in the shoes when I opened the box,ambiguous,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'ambiguous']",FALSE,ambiguous : figurative : ambiguous
snow under,to bury or cover something or somebody in the snow (Literal meaning),She was snowed under,ambiguous,She was snowed under with work and came close to a breakdown,figurative,She was snowed under with all the snowfall last night,literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",TRUE,ambiguous : figurative : literal
spanner in the works,a roadblock that prevents an activity from succeeding,There's been a spanner in the works,ambiguous,There's been a spanner in the works and our plan has gone awry,figurative,There's been a spanner in the works and it's caused our machine to malfunction,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
spill the beans,disclose a secret or reveal something prematurely,She spilled the beans,ambiguous,She spilled the beans about the surprise party when she blurted out the details,figurative,She spilled the beans all over the kitchen floor after the jar slipped from her hands,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
spin a yarn,to tell a tale,"Yesterday, he spun a yarn",figurative,"Yesterday, he spun a yarn to make his grandkids believe the story he was telling them",figurative,"Yesterday, he spun a yarn by using cotton fibers to make a fabric",literal,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",FALSE,figurative : figurative : literal
spitting image,look exactly like someone else,He is the spitting image,ambiguous,"He is the spitting image of his father, always wanting to copy everything he does",figurative,"He is the spitting image, as saliva from his mouth sprayed on his father's face",literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
stab in the back,a disloyalty,He gave me a stab in the back,ambiguous,He gave me a stab in the back when he broke his promise,figurative,He gave me a stab in the back when he poked me with a pin,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
stack the deck,to be against someone or something,He stacked the deck,ambiguous,He stacked the deck in his favor by rigging the competition,figurative,He stacked the deck of cards so he can play a game,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
stand out,extend beyond or above a surface,John stands out,ambiguous,John stands out amongst all his peers as he is highly talented,figurative,John stands out in a crowd because of his tall height,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
step on his toes,to annoy or irritate someone by intervening in a situation that is their responsibility,I stepped on his toes,ambiguous,I stepped on his toes when I questionned his authority,figurative,I stepped on his toes when he didn't move away fast enough,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
stick in his throat,difficulty of accepting and makes you angry or resentful,The news stuck in his throat,figurative,The news stuck in his throat when he heard it since he never wanted it to be true,figurative,The news stuck in his throat when he tried to say it out loud,figurative,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']",FALSE,figurative : figurative : figurative
stiff upper lip,to be brave in the face of adversity,She kept a stiff upper lip,ambiguous,She kept a stiff upper lip when tragedy struck and never showed her true emotions,figurative,She kept a stiff upper lip as she physically pressed her lips together,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
stir up a hornet's nest,to create trouble,He stirred up a hornet's nest,ambiguous,He stirred up a hornet's nest with his controversial statement,figurative,He stirred up a hornet's nest when he was tending to his garden,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
stop by,to meet someone or go somewhere in a brief and informal manner,We stopped by yesterday,ambiguous,We stopped by yesterday to see how our friends were doing,figurative,We stopped by yesterday to fetch some supplies,figurative,"['ambiguous', 'ambiguous', 'figurative']","['literal', 'figurative', 'figurative']","['figurative', 'literal', 'figurative']",FALSE,ambiguous : figurative : figurative
stop the rot,"when you prevent a situation from deteriorating, especially in business or politics",We need to stop the rot,ambiguous,We need to stop the rot to restore our credibility in the industry,figurative,We need to stop the rot from spreading on the vegetables,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
straight from the horse's mouth,from a dependable or reliable source,He heard it straight from the horse's mouth,ambiguous,He heard it straight from the horse's mouth so you know it's true,figurative,He heard it straight from the horse's mouth because he was standing right next to it,literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",TRUE,ambiguous : figurative : literal
straight shooter,someone who speaks the truth,He's a straight shooter,ambiguous,He's a straight shooter when it comes to giving advice,figurative,He's a straight shooter when it comes to shooting hoops,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
straighten up and fly right,to get serious and stop acting absurd anymore.,He decided to straighten up and fly right,ambiguous,"He decided to straighten up and fly right, determined to make smarter choices from now on",figurative,"He decided to straighten up and fly right, adjusting the position of his wings to gain more elevation",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
strike while the iron is hot,to take advantage of a situation,He struck while the iron is hot,ambiguous,He struck while the iron is hot and got the deal he wanted,figurative,He struck while the iron is hot so he can make a permanent mark,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
suited and booted,formally dressed; well dressed,He arrived suited and booted,ambiguous,He arrived suited and booted when he got to the interview,figurative,He arrived suited and booted with his shoes and belt totally polished,literal,"['ambiguous', 'ambiguous', 'literal']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
sweep under the rug,try to hide a problem or keep a problem secret instead of dealing with it,They swept it under the rug,ambiguous,They swept it under the rug and pretended the problem never existed,figurative,They swept it under the rug to clean up the mess,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
take a back seat,take a less important position.,I decided to take a back seat,ambiguous,I decided to take a back seat and let someone else lead the project,figurative,I decided to take a back seat on the bus so I could have more leg room,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
take a beating,to be defeated in doing something and be reprimanded for the same,He took a beating,ambiguous,He took a beating when he was criticized for his mistake,figurative,He took a beating when he got into a bar fight,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
take a cue from,to do what is recommended by someone else,We should take a cue from him,figurative,We should take a cue from him and act accordingly,ambiguous,We should take a cue from him and play the same game,ambiguous,"['figurative', 'ambiguous', 'figurative']","['literal', 'ambiguous', 'figurative']","['literal', 'ambiguous', 'figurative']",FALSE,figurative : ambiguous : ambiguous
take a hike,go away,I took a hike,ambiguous,I took a hike to get away from the stressful atmosphere and clear my head,ambiguous,I took a hike in the mountains for two days,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
take a leaf out of someone's book,implement actionable advice,We took a leaf out of their book,ambiguous,We took a leaf out of their book and started using their ideas to increase our profit margins,figurative,We took a leaf out of their book and put it in our scrapbook,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
take it on the chin,this is a boxing metaphor meaning don't shy away from difficulty,I took it on the chin,ambiguous,I took it on the chin and moved on from the painful situation,ambiguous,I took it on the chin and almost got knocked out,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
take stock,to think carefully about a situation in order to make a decision,He was taking stock,ambiguous,"He was taking stock of his life, wondering how he got there",figurative,"He was taking stock of the office supplies, ensuring they had what they needed",literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",TRUE,ambiguous : figurative : literal
take the biscuit,be the most remarkable or foolish of its kind,That took the biscuit,ambiguous,That took the biscuit as the worst thing he's ever done,figurative,That took the biscuit as he picked it up from the table,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
take the bull by the horns,decisively deal with a difficult or dangerous situation,I took the bull by the horns,ambiguous,I took the bull by the horns and made a difficult decision,figurative,I took the bull by the horns and moved it to the other side of the pen,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
take the edge off,blunt the effect of,I need to take the edge off,ambiguous,I need to take the edge off this stressful day by taking a break and resting my mind,figurative,I need to take the edge off this blade to make it safer to work with,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
take turns,to alternate doing something,They took turns,ambiguous,"They took turns as a way to share their love, caring for one another in an equitable way",figurative,They took turns driving all night,literal,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",TRUE,ambiguous : figurative : literal
take up the cudgels,argue strongly in support or against somebody or something,She took up the cudgels,figurative,She took up the cudgels to tackle the issue of poverty,figurative,She took up the cudgels to start the next fight,ambiguous,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'figurative']",FALSE,figurative : figurative : ambiguous
take with a grain of salt,to understand that something is not completely true or right,I take it with a grain of salt,ambiguous,I take it with a grain of salt because some of it didn't seem entirely accurate,figurative,I take it with a grain of salt because I literally put a grain of salt in it,literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate,It takes two to tango,ambiguous,It takes two to tango and both parties need to work together to achieve their goals,figurative,It takes two to tango and they both need to be physically able to dance together,literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
taking your medicine,to accept the consequences of something you have done wrong,He's taking his medicine,ambiguous,He's taking his medicine by enduring the consequences of his mistakes,figurative,He's taking his medicine to treat his infection,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
tall poppy,a privileged or distinguished person.,She's a tall poppy,figurative,"She's a tall poppy in the field, so everyone takes notice of her",figurative,She's a tall poppy within her gardening planters since she's the tallest one,literal,"['ambiguous', 'figurative', 'figurative']","['figurative', 'ambiguous', 'figurative']","['literal', 'figurative', 'literal']",FALSE,figurative : figurative : literal
tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,He tarred them with the same brush,ambiguous,He tarred them with the same brush and judged them for one mistake,figurative,He tarred them with the same brush by actually covering them in tar,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
taste of own medicine,when someone gets the same bad treatment that he has been giving others,She got a taste of own medicine,ambiguous,She got a taste of own medicine when another person treated her the same way she treated them,figurative,She got a taste of own medicine when she accidentally drank her own prescription medication,literal,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
tasted blood,"to experience something thrilling and exciting, and want to experience it again.",She tasted blood,ambiguous,She tasted blood when she won her first game,figurative,She tasted blood when her mouth got cut by accident,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
tearing a strip off,to reprimand someone severely for doing something wrong,My mother was tearing a strip off me,ambiguous,My mother was tearing a strip off me for not cleaning up my bedroom,figurative,My mother was tearing a strip off me when the fabric of my shirt got caught in a zipper,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
that's going too far,to do something that is considered extreme or unacceptable,He said that's going too far,figurative,He said that's going too far when I asked him to donate to charity,figurative,He said that's going too far when I tried to walk across the room without bending my knees,ambiguous,"['ambiguous', 'figurative', 'figurative']","['figurative', 'ambiguous', 'figurative']","['literal', 'figurative', 'ambiguous']",FALSE,figurative : figurative : ambiguous
the ball is in your court,the initiative for taking action lies with somebody,The ball is in your court,ambiguous,"The ball is in your court, so the decision is now yours to make",ambiguous,"The ball is in your court, so you are now the one who has to hit it back",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
the ball rolling,to start a conversation in a social setting,He got the ball rolling,ambiguous,He got the ball rolling by organizing the events for the new project,figurative,He got the ball rolling by pushing it down the hill,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
the bottom line,"in the final analysis, the most important fact in a situation.",It was the bottom line,ambiguous,"It was the bottom line in the negotiation, so we had to accept the offer",figurative,It was the bottom line on the page so I knew it was the last sentence,literal,"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
the brains behind,"used to refer to the person who originally invented a particular scheme, plan or idea",He is the brains behind,figurative,"He is the brains behind the project, leading our team to success",figurative,"He is the brains behind the operation, manipulating the system",figurative,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'figurative']",FALSE,figurative : figurative : figurative
the calm before the storm,an extremely peaceful atmosphere right before any serious incident or crisis,It was the calm before the storm,ambiguous,It was the calm before the storm as I was nervously anticipating the news of the results,figurative,It was the calm before the storm as the sky was especially quiet before the rain started pouring,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
the devil is beating his wife,raining whereas the sun is shining.,The devil is beating his wife.,ambiguous,The devil is beating his wife because it's raining unexpectedly,figurative,The devil is beating his wife because she disobeyed him,literal,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
the die is cast,"an unalterable decision has been reached, or step taken.",The die is cast,ambiguous,The die is cast and it is too late to change our decision,figurative,The die is cast as we have rolled it,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",TRUE,ambiguous : figurative : literal
the early bird catches the worm,it refers to people who arrive earlier are the ones who get the best deals,The early bird caught the worm,ambiguous,"The early bird caught the worm, which was a metaphor for being successful as a reward for hard work",figurative,"The early bird caught the worm, which was a feast to begin its morning",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
the eleventh hour,at the very last minute before an event,They finished it at the eleventh hour,ambiguous,"They finished it at the eleventh hour, proving that it was possible to complete it even under the most challenging time constraints",figurative,"They finished it at 11 PM, which was the eleventh hour",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
the last straw,to be the last in a sequence of unpleasant things,"It was the last straw"" ",ambiguous,It was the last straw for me when he said that and I decided to call it quits,figurative,It was the last straw on the camel's back and it tipped over,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",TRUE,ambiguous : figurative : literal
the lion's den,a place which is uncomfortable,They walked into the lion's den,ambiguous,They walked into the lion's den despite the threats and intimidations,figurative,They walked into the lion's den and were confronted by the animal,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
the other side of the coin,"the opposite aspect, contrasting arguments.",Let's consider the other side of the coin,ambiguous,Let's consider the other side of the coin before making a decision,figurative,Let's consider the other side of the coin in order to have a full view of the design,ambiguous,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'figurative']",FALSE,ambiguous : figurative : ambiguous
the sun rises and sets on them,to believe that someone is the most wonderful and important person in the world; to love and adore someone more than anyone else,She thinks the sun rises and sets on them,figurative,She thinks the sun rises and sets on them because they are her world,figurative,She thinks the sun rises and sets on them because they live in a village near the equator,literal,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",FALSE,figurative : figurative : literal
throw in the towel,to quit,He threw in the towel,ambiguous,He threw in the towel when it became clear that he could not achieve victory,figurative,He threw in the towel because he was sweating too much,literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'ambiguous']",TRUE,ambiguous : figurative : literal
throw it over the wall,"to deal with part of a problem or project, then pass the responsibility to another person or department without any communication or coordination",We threw it over the wall,ambiguous,We threw it over the wall to make someone else responsible for it,figurative,We threw it over the wall so it ended up in the neighbor's yard,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
throw the baby out with the bathwater,to remove something good in the bid of getting rid of something bad,They threw the baby out with the bathwater.,figurative,They threw the baby out with the bathwater when they decided to get rid of the entire program with no exceptions,figurative,They threw the baby out with the bathwater when they finished giving the baby a bath,literal,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",FALSE,figurative : figurative : literal
tie the knot,to get married,They tied the knot,ambiguous,They tied the knot at the wedding ceremony,figurative,They tied the knot when they used a rope to secure the boat in the marina,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
