idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt
spanner in the works,a roadblock that prevents an activity from succeeding,The sudden power outage threw [[a spanner in the works]] of our presentation,The mechanic accidentally dropped [[a spanner in the works]] of the machine,The sudden power outage threw a spanner in the works of our presentation,The mechanic accidentally dropped a spanner in the works of the machine,a spanner in the works,ein Hindernis im Ablauf,Der plötzliche Stromausfall hat einen Strich durch die Rechnung unserer Präsentation gemacht.,Der Mechaniker ließ versehentlich einen Schraubenschlüssel in die Maschine fallen.,מפתח רב-סיבי במכונות,הפסקת החשמל הפתאומית הפריעה להצגתנו.
spill the beans,disclose a secret or reveal something prematurely,He accidentally [[spilled the beans about the surprise]] party we had planned,"While carrying a bag of legumes, she tripped and [[spilled the beans about the surprise]] on the floor",He accidentally spilled the beans about the surprise party we had planned,"While carrying a bag of legumes, she tripped and spilled the beans about the surprise on the floor",spilled the beans about the surprise,verriet das Geheimnis über die Überraschung,"Er hat versehentlich das Geheimnis über die Überraschungsparty ausgeplaudert, die wir geplant hatten.","Während sie eine Tasche mit Hülsenfrüchten trug, stolperte sie und verschüttete die Bohnen über den Boden bezüglich der Überraschung.",פילל את הסובות על ההפתעה.,הוא שפך בטעות את הפולים על המסיבה המפתיעה שתכננו.
spin a yarn,to tell a tale,They [[spun a yarn together]] about their adventurous trip to the mountains,The two knitters [[spun a yarn together]] to create a beautiful scarf,They spun a yarn together about their adventurous trip to the mountains,The two knitters spun a yarn together to create a beautiful scarf,spun a yarn together,haben gemeinsam eine Geschichte gesponnen,Sie haben gemeinsam eine Geschichte über ihre abenteuerliche Reise in die Berge gesponnen.,"Die beiden Strickerinnen haben gemeinsam Garn gesponnen, um einen schönen Schal zu kreieren.",סיפרו יחד סיפור.,הם סיפרו יחד סיפור על הטיול ההרפתקני שלהם להרים.
stab in the back,a disloyalty,He was [[stabbed in the back by a friend]] when they revealed his secrets,"During the reenactment of a historical battle, he was accidentally [[stabbed in the back by a friend]]",He was stabbed in the back by a friend when they revealed his secrets,"During the reenactment of a historical battle, he was accidentally stabbed in the back by a friend",stabbed in the back by a friend,von einem Freund in den Rücken gestochen,"Er wurde von einem Freund in den Rücken gestochen, als dieser seine Geheimnisse offenbarte.",Während der Nachstellung einer historischen Schlacht wurde er versehentlich von einem Freund in den Rücken gestochen.,נדקר בגב על ידי חבר,הוא נדקר בגב על ידי חבר כשהם חשפו את הסודות שלו.
stand out,extend beyond or above a surface,Her unique fashion sense made her [[stand out in the crowd]],He had to [[stand out in the crowd]] to get a better view of the stage,Her unique fashion sense made her stand out in the crowd,He had to stand out in the crowd to get a better view of the stage,stand out in the crowd,Herausstechen aus der Menge.,Ihr einzigartiger Modegeschmack ließ sie aus der Menge herausstechen.,"Er musste aus der Menge herausstehen, um eine bessere Sicht auf die Bühne zu bekommen.",התפרסם בקרב ההמון,החוש האופנתי הייחודי שלה גרם להיות מצטיינת בקהל.
step on his toes,to annoy or irritate someone by intervening in a situation that is their responsibility,I didn't want to [[stepped on his toes]] by taking over his project,"While dancing, she accidentally [[stepped on his toes]]",I didn't want to stepped on his toes by taking over his project,"While dancing, she accidentally stepped on his toes",stepped on his toes,trat ihm auf die Zehen,"Ich wollte ihm nicht auf die Füße treten, indem ich sein Projekt übernehme.",Während des Tanzens trat sie versehentlich auf seine Zehen.,דרכו על האצבעות שלו,לא רציתי לדרוך על הקרקע שלו על ידי לקחת על עצמי את הפרויקט שלו.
stick in his throat,difficulty of accepting and makes you angry or resentful,The insincere compliment [[stuck in his throat]] as he tried to praise his rival,The fish bone [[stuck in his throat]] while he was eating dinner,The insincere compliment stuck in his throat as he tried to praise his rival,The fish bone stuck in his throat while he was eating dinner,stuck in his throat,steckte in seinem Hals fest,"Das unaufrichtige Kompliment blieb ihm im Hals stecken, als er versuchte, seinen Rivalen zu loben.","Der Fischknochen blieb ihm im Hals stecken, während er zu Abend aß.",תקוע בגרון שלו,המחמאה הלא כנה נתקעה בגרוןו כשניסה להשבח ליריבו.
stiff upper lip,to be brave in the face of adversity,"Despite the bad news, [[he maintained a stiff upper lip]] and carried on","Due to the cold weather, [[he maintained a stiff upper lip]] until he could warm up","Despite the bad news, he maintained a stiff upper lip and carried on","Due to the cold weather, he maintained a stiff upper lip until he could warm up",he maintained a stiff upper lip,Er behielt eine steife Oberlippe.,Trotz der schlechten Nachrichten behielt er eine steife Oberlippe und machte weiter.,"Aufgrund des kalten Wetters behielt er eine steife obere Lippe, bis er sich aufwärmen konnte.",הוא שמר על גבול עליון קשוח.,"למרות החדשות הרעות, הוא שמר על פניו הקשוח והמשיך קדימה."
stir up a hornet's nest,to create trouble,"By questioning the company's policies, he [[stirred up a hornet's nest]] among the employees","While clearing the garden, she accidentally [[stirred up a hornet's nest]] and got stung","By questioning the company's policies, he stirred up a hornet's nest among the employees","While clearing the garden, she accidentally stirred up a hornet's nest and got stung",stirred up a hornet's nest,hat ein Wespennest aufgewühlt,"Indem er die Unternehmenspolitik in Frage stellte, hat er unter den Mitarbeitern ein Wespennest aufgewirbelt.",Beim Aufräumen des Gartens hat sie versehentlich ein Hornissennest aufgewirbelt und wurde gestochen.,עורר קורקינט צרעות,"על ידי העלאת שאלות לגבי מדיניות החברה, הוא עורר קוראן של עוקצים בקרב העובדים."
stop by,to meet someone or go somewhere in a brief and informal manner,I'll [[stop by the store]] to pick up some groceries on my way home,"During our walk, we decided to [[stop by the store]] to take shelter from the sudden downpour",I'll stop by the store to pick up some groceries on my way home,"During our walk, we decided to stop by the store to take shelter from the sudden downpour",stop by the store,Halte im Laden an.,"Ich werde auf dem Weg nach Hause im Laden vorbeischauen, um einige Lebensmittel einzukaufen.","Während unseres Spaziergangs beschlossen wir, im Laden Schutz vor dem plötzlichen Regenschauer zu suchen.",עצור בחנות,אני אעצור בחנות כדי לקנות מצרכים לבית בדרך הביתה.
stop the rot,"when you prevent a situation from deteriorating, especially in business or politics",The new manager [[stopped the rot]] by implementing better policies,The gardener [[stopped the rot]] by removing the infected plants,The new manager stopped the rot by implementing better policies,The gardener stopped the rot by removing the infected plants,stopped the rot,gestoppt den Verfall,"Der neue Manager stoppte den Verfall, indem er bessere Richtlinien umsetzte.","Der Gärtner stoppte die Fäulnis, indem er die infizierten Pflanzen entfernte.",עצר את הזיהום.,המנהל החדש עצר את הכוונה על ידי הטמעת מדיניות טובה יותר.
straight from the horse's mouth,from a dependable or reliable source,I [[heard it straight from the horse's mouth]] that the company is planning a merger,The veterinarian [[heard it straight from the horse's mouth]] when the animal neighed loudly,I heard it straight from the horse's mouth that the company is planning a merger,The veterinarian heard it straight from the horse's mouth when the animal neighed loudly,heard it straight from the horse's mouth,Ich habe es direkt aus erster Hand gehört.,"Ich habe es direkt aus erster Hand gehört, dass das Unternehmen eine Fusion plant.","Der Tierarzt hörte es direkt aus dem Pferdemund, als das Tier laut wieherte.",שמעתי את זה ישירות מפי הסוס.,שמעתי זאת ישירות מפי הסוס שהחברה מתכננת מיזוג.
straight shooter,someone who speaks the truth,"In the world of politics, her reputation as [[a straight shooter]] sets her apart from the rest","The archer was [[a straight shooter]], hitting the bullseye every time","In the world of politics, her reputation as a straight shooter sets her apart from the rest","The archer was a straight shooter, hitting the bullseye every time",a straight shooter,ein ehrlicher Mensch,In der Welt der Politik unterscheidet sie sich von den anderen durch ihren Ruf als ehrliche Person.,Der Bogenschütze war ein gerader Schütze und traf jedes Mal ins Schwarze.,צורן ישר,"בעולם הפוליטיקה, המוניטיה שלה כאדם ישר מבדילה אותה מהשאר."
straighten up and fly right,to get serious and stop acting absurd anymore.,"After a stern warning from his boss, he decided [[to straighten up and fly right]] at work",The pilot had [[to straighten up and fly right]] to avoid turbulence,"After a stern warning from his boss, he decided to straighten up and fly right at work",The pilot had to straighten up and fly right to avoid turbulence,to straighten up and fly right,"""Sich aufrichten und richtig fliegen.""","Nach einer strengen Warnung von seinem Chef beschloss er, sich bei der Arbeit zusammenzureißen und sich richtig zu verhalten.","Der Pilot musste sich aufrichten und geradeaus fliegen, um Turbulenzen zu vermeiden.",להתקן ולטוס בצורה נכונה,"לאחר אזהרה קשה מהמנהל שלו, הוא החליט להתאושש ולעשות את העבודה כמו שצריך."
strike while the iron is hot,to take advantage of a situation,"To seize the opportunity, he decided [[to strike while the iron is hot]] and invest in the stock market","As a blacksmith, he knew he had [[to strike while the iron is hot]] to shape the metal properly","To seize the opportunity, he decided to strike while the iron is hot and invest in the stock market","As a blacksmith, he knew he had to strike while the iron is hot to shape the metal properly",to strike while the iron is hot,"""Den Moment nutzen"" or ""Während das Eisen heiß ist schmieden.""","Um die Gelegenheit zu nutzen, entschied er sich, jetzt zuzuschlagen und in die Börse zu investieren.","Als Schmied wusste er, dass er das Eisen schmieden musste, solange es heiß war, um das Metall richtig zu formen.",להכות כשהברזל חם,"כדי להשתלט על ההזדמנות, הוא החליט להכות כל עוד הברזל חם ולהשקיע בבורסה."
suited and booted,formally dressed; well dressed,"He [[was suited and booted for the event]], ready to impress everyone with his confidence","He [[was suited and booted for the event]], wearing a tailored suit and polished shoes","He was suited and booted for the event, ready to impress everyone with his confidence","He was suited and booted for the event, wearing a tailored suit and polished shoes",was suited and booted for the event,war für die Veranstaltung angezogen und bereit,"Er war für das Ereignis angezogen und bereit, alle mit seinem Selbstbewusstsein zu beeindrucken.","Er war für das Ereignis angezogen und gestiefelt, trug einen maßgeschneiderten Anzug und polierte Schuhe.",הייתי מלבש ומסודר לאירוע.,"הוא התאים ונעל לאירוע, מוכן להרשים את כולם עם ביטחונו."
sweep under the rug,try to hide a problem or keep a problem secret instead of dealing with it,"Instead of addressing the problem, [[they swept the issue under the rug]] and pretended it didn't exist","After breaking the vase, [[they swept the issue under the rug]] to hide the evidence","Instead of addressing the problem, they swept the issue under the rug and pretended it didn't exist","After breaking the vase, they swept the issue under the rug to hide the evidence",they swept the issue under the rug,Sie haben das Problem unter den Teppich gekehrt.,"Anstatt das Problem anzugehen, kehrten sie die Angelegenheit unter den Teppich und taten so, als ob es nicht existierte.","Nachdem sie die Vase zerbrochen hatten, kehrten sie das Problem unter den Teppich, um die Beweise zu verbergen.",הם ניקו את הנושא תחת השטיח.,"במקום לטפל בבעיה, הם סחבו את הנושא תחת השטיח והתחכו שהוא לא קיים."
take a back seat,take a less important position.,"[[He took a back seat to her]] in the project, letting her lead the team","[[He took a back seat to her]] in the car, giving her the front passenger seat","He took a back seat to her in the project, letting her lead the team","He took a back seat to her in the car, giving her the front passenger seat",He took a back seat to her,Er nahm eine hintere Position zu ihr ein.,Er nahm im Projekt eine zurückhaltende Rolle ein und ließ sie das Team führen.,Er nahm auf dem Rücksitz des Autos Platz und gab ihr den Beifahrersitz.,הוא נכנע לה.,"הוא נכנע לה והתיישן בפרויקט, מאפשר לה להוביל את הצוות."
take a beating,to be defeated in doing something and be reprimanded for the same,The company's stock prices [[took a beating]] after the negative news,The old punching bag [[took a beating]] during the intense workout session,The company's stock prices took a beating after the negative news,The old punching bag took a beating during the intense workout session,took a beating,wurde verprügelt,Die Aktienkurse des Unternehmens erlitten einen Rückschlag nach den negativen Nachrichten.,Der alte Boxsack wurde während der intensiven Trainingseinheit hart geschlagen.,לקח חבורה,מחירי המניות של החברה נפלו כתוצאה מהחדשות השליליות.
take a cue from,to do what is recommended by someone else,You should [[take a cue from her]] and start organizing your time better,"During the pool game, he decided to [[take a cue from her]] and use her favorite one",You should take a cue from her and start organizing your time better,"During the pool game, he decided to take a cue from her and use her favorite one",take a cue from her,Nimm dir ein Beispiel an ihr.,"Du solltest ein Beispiel von ihr nehmen und damit beginnen, deine Zeit besser zu organisieren.","Während des Poolspiels entschied er sich, einen Hinweis von ihr zu nehmen und ihren Lieblings-Cue zu benutzen.",קח רמז ממנה,אתה צריך לקחת רמז ממנה ולהתחיל לארגן את הזמן שלך בצורה טובה יותר.
take a hike,go away,"When he insulted her, she told him [[to take a hike]]","On a sunny day, they decided [[to take a hike]] in the nearby forest","When he insulted her, she told him to take a hike","On a sunny day, they decided to take a hike in the nearby forest",to take a hike,eine Wanderung machen,"Als er sie beleidigte, sagte sie ihm, er solle verschwinden.","An einem sonnigen Tag beschlossen sie, eine Wanderung im nahegelegenen Wald zu machen.",ללכת לטיול ברגל,"כשהוא העליב אותה, היא אמרה לו ללכת לטיול."
take a leaf out of someone's book,implement actionable advice,"To improve my work ethic, I decided to [[take a leaf out of her book]] and wake up early","To press and preserve the leaf, I had to carefully [[take a leaf out of her book]] of botanical specimens","To improve my work ethic, I decided to take a leaf out of her book and wake up early","To press and preserve the leaf, I had to carefully take a leaf out of her book of botanical specimens",take a leaf out of her book,Nimm dir ein Beispiel an ihr.,"Um meine Arbeitsmoral zu verbessern, beschloss ich, mir ein Beispiel an ihr zu nehmen und früh aufzustehen.","Um das Blatt zu pressen und aufzubewahren, musste ich sorgfältig ein Blatt aus ihrem Buch mit botanischen Proben entnehmen.",קח עלה מהספר שלה,"כדי לשפר את האתיקה שלי בעבודה, החלטתי לקחת דף מהספר שלה ולהתעורר מוקדם."
take it on the chin,this is a boxing metaphor meaning don't shy away from difficulty,"Despite the harsh criticism, [[he took it on the chin]] and kept working","During the boxing match, [[he took it on the chin]] and fell to the ground","Despite the harsh criticism, he took it on the chin and kept working","During the boxing match, he took it on the chin and fell to the ground",he took it on the chin,Er hat es hingenommen.,Trotz der harten Kritik hat er es hingenommen und weitergearbeitet.,Während des Boxkampfes nahm er es auf die Kinnlade und fiel zu Boden.,הוא ספג את זה על הסנטר.,"למרות הביקורת הקשה, הוא קיבל את זה על הסנטר והמשיך לעבוד."
take up the cudgels,argue strongly in support or against somebody or something,[[He took up the cudgels for her]] when she was unfairly criticized,"During the historical reenactment, [[he took up the cudgels for her]] when she dropped hers",He took up the cudgels for her when she was unfairly criticized,"During the historical reenactment, he took up the cudgels for her when she dropped hers",He took up the cudgels for her,Er hat sich für sie eingesetzt.,"Er hat für sie Partei ergriffen, als sie unfair kritisiert wurde.","Während der historischen Nachstellung nahm er für sie die Keule auf, als sie ihre fallen ließ.",הוא תמך בה בכוחותיו.,הוא תמך בה כשהיא נבזתה בצורה לא הוגנת.
take with a grain of salt,to understand that something is not completely true or right,"When listening to his stories, it's best [[to take it with a grain of salt]]","To balance the flavor, she decided [[to take it with a grain of salt]] and sprinkled it on her dish","When listening to his stories, it's best to take it with a grain of salt","To balance the flavor, she decided to take it with a grain of salt and sprinkled it on her dish",to take it with a grain of salt,"""Es mit einer Prise Salz nehmen.""","Wenn man seinen Geschichten zuhört, ist es am besten, sie mit einer Prise Salz zu nehmen.","Um den Geschmack auszugleichen, entschied sie sich, es mit einer Prise Salz zu nehmen und streute es auf ihr Gericht.",לקחת את זה עם גריטה של מלח,"כשאתה מקשיב לסיפוריו, הכי טוב לקחת את זה עם גריגר של מלח."
takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate,"When it comes to resolving conflicts, remember that [[it takes two to tango]]","In a dance competition, the judges reminded the participants that [[it takes two to tango]]","When it comes to resolving conflicts, remember that it takes two to tango","In a dance competition, the judges reminded the participants that it takes two to tango",it takes two to tango,"Es braucht zwei, um Tango zu tanzen.","Wenn es darum geht, Konflikte zu lösen, denken Sie daran, dass dazu zwei gehören.","In einem Tanzwettbewerb erinnerten die Richter die Teilnehmer daran, dass es zwei braucht, um Tango zu tanzen.",צריך שניים כדי לרקוד טנגו,"כשמדובר בפתרון סכסוכים, זכור שזה דורש שניים לריקוד טנגו."
tall poppy,a privileged or distinguished person.,"She was [[a tall poppy among them]], always standing out with her exceptional achievements","In the field of wildflowers, there was [[a tall poppy among them]], reaching higher than the rest","She was a tall poppy among them, always standing out with her exceptional achievements","In the field of wildflowers, there was a tall poppy among them, reaching higher than the rest",a tall poppy among them,eine hohe Mohnblume unter ihnen,"Sie war unter ihnen eine hohe Mohnblume, die immer mit ihren außergewöhnlichen Leistungen herausragte.","Im Feld der Wildblumen gab es eine hohe Mohnblume unter ihnen, die höher als der Rest reichte.",פרח גבוה בקרבם,"היא הייתה פרח גבוה בקרבם, תמיד דוגלת בהישגיה המצוינים."
tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,It's unfair to judge all politicians [[by tarring them with the same brush]],The painter made a mistake [[by tarring them with the same brush]] instead of using separate brushes for each color,It's unfair to judge all politicians by tarring them with the same brush,The painter made a mistake by tarring them with the same brush instead of using separate brushes for each color,by tarring them with the same brush,indem man sie alle über einen Kamm schert,"Es ist unfair, alle Politiker über einen Kamm zu scheren.","Der Maler hat einen Fehler gemacht, indem er sie mit demselben Pinsel teerte, anstatt für jede Farbe separate Pinsel zu verwenden.",על ידי צביעתם במברשת אחת.,זה לא הוגן לשפוט את כל הפוליטיקאים על ידי ציורם במברשת אחת.
taste of own medicine,when someone gets the same bad treatment that he has been giving others,"When he tried to prank her, [[she gave him a taste of his own medicine]] by pranking him back",[[She gave him a taste of his own medicine]] by making him try the bitter concoction he had prepared for her,"When he tried to prank her, she gave him a taste of his own medicine by pranking him back",She gave him a taste of his own medicine by making him try the bitter concoction he had prepared for her,she gave him a taste of his own medicine,Sie gab ihm eine Dosis seiner eigenen Medizin.,"Als er versuchte, sie hereinzulegen, gab sie ihm eine Dosis seiner eigenen Medizin, indem sie ihn zurück hereinlegte.","Sie gab ihm eine Dosis seiner eigenen Medizin, indem sie ihn die bittere Mischung probieren ließ, die er für sie zubereitet hatte.",היא נתנה לו טעם מהרפואה שלו.,"כשניסה לעשות לה רמאות, היא נתנה לו טעם מהרפואה שלו על ידי עשיית רמאות חזרה אליו."
tearing a strip off,to reprimand someone severely for doing something wrong,The boss [[was tearing a strip off the fabric]] of our team's morale with his harsh criticism,She [[was tearing a strip off the fabric]] to make a patch for her jeans,The boss was tearing a strip off the fabric of our team's morale with his harsh criticism,She was tearing a strip off the fabric to make a patch for her jeans,was tearing a strip off the fabric,zerriss ein Stück vom Stoff ab,Der Chef zerriss mit seiner harten Kritik ein Stück des Gewebes unserer Team-Moral.,"Sie riss ein Stück Stoff ab, um einen Flicken für ihre Jeans zu machen.",קורע רצועה מהבד.,המנהל היה קורע רצועה מהבד של מורל הצוות שלנו עם הביקורת הקשה שלו.
that's going too far,to do something that is considered extreme or unacceptable,Insulting her family was [[that's going too far]] and crossed the line,"Driving 200 miles for a cup of coffee, [[that's going too far]] for a simple pleasure",Insulting her family was that's going too far and crossed the line,"Driving 200 miles for a cup of coffee, that's going too far for a simple pleasure",that's going too far,Das geht zu weit.,"Ihre Familie zu beleidigen, das geht zu weit und überschreitet die Grenze.","200 Meilen für eine Tasse Kaffee zu fahren, das geht zu weit für ein einfaches Vergnügen.",זה הולך יותר מדי.,הצעקנות על משפחתה היא עבר את הגבול והלכה יותר מדי.
the ball is in your court,the initiative for taking action lies with somebody,"I've done my part, [[the ball is in your court now]] to make the decision","After I hit the tennis ball over the net, [[the ball is in your court now]]","I've done my part, the ball is in your court now to make the decision","After I hit the tennis ball over the net, the ball is in your court now",the ball is in your court now,Der Ball liegt jetzt bei dir.,"Ich habe meinen Teil erledigt, jetzt liegt es an dir, die Entscheidung zu treffen.","Nachdem ich den Tennisball über das Netz geschlagen habe, liegt der Ball jetzt bei dir.",הכדור נמצא כעת בכפכפים שלך.,"עשיתי את חלקי, הכדור עכשיו במגרש שלך לקבל החלטה."
the ball rolling,to start a conversation in a social setting,"To start the meeting, we need to [[get the ball rolling]] with introductions","To play soccer, you must [[get the ball rolling]] by kicking it","To start the meeting, we need to get the ball rolling with introductions","To play soccer, you must get the ball rolling by kicking it",get the ball rolling,Den Stein ins Rollen bringen.,"Um das Meeting zu beginnen, müssen wir mit Vorstellungen in Schwung kommen.","Um Fußball zu spielen, musst du den Ball ins Rollen bringen, indem du ihn trittst.",גרום לכדור לגלגל.,"כדי להתחיל את הפגישה, אנחנו צריכים להתחיל את הכנסת הכדור עם היכרות."
the devil is beating his wife,raining whereas the sun is shining.,"While the sun was shining, it started raining, and people said [[the devil is beating his wife]]","In the theatrical performance, the actor playing Satan acted out a scene where [[the devil is beating his wife]]","While the sun was shining, it started raining, and people said the devil is beating his wife","In the theatrical performance, the actor playing Satan acted out a scene where the devil is beating his wife",the devil is beating his wife,Der Teufel schlägt seine Frau.,"Während die Sonne schien, begann es zu regnen und die Leute sagten, der Teufel schlägt seine Frau.","In der Theateraufführung spielte der Schauspieler, der Satan darstellte, eine Szene, in der der Teufel seine Frau schlägt.",השטן מכה את אשתו.,"כשהשמש זרחה, התחיל לגשום והאנשים אמרו שהשטן מכה את אשתו."
the early bird catches the worm,it refers to people who arrive earlier are the ones who get the best deals,"She always wakes up at 5 am and finishes her tasks efficiently, proving that [[the early bird catches the worm]]","In the documentary, we saw how [[the early bird catches the worm]] to feed its young","She always wakes up at 5 am and finishes her tasks efficiently, proving that the early bird catches the worm","In the documentary, we saw how the early bird catches the worm to feed its young",the early bird catches the worm,Der frühe Vogel fängt den Wurm.,"Sie wacht immer um 5 Uhr auf und erledigt ihre Aufgaben effizient, was beweist, dass der frühe Vogel den Wurm fängt.","Im Dokumentarfilm sahen wir, wie der frühe Vogel den Wurm fängt, um seine Jungen zu füttern.",הציפור המוקדמת מכידת את התולעת.,"היא תמיד מתעוררת בשעה 5 בבוקר ומסיימת את המשימות שלה ביעילות, מוכיחה כי הציפור המוקדמת מכניסה את התולעת."
the eleventh hour,at the very last minute before an event,"He finished the project [[at the eleventh hour]], just before the deadline",She decided to go for a walk [[at the eleventh hour]] of the night,"He finished the project at the eleventh hour, just before the deadline",She decided to go for a walk at the eleventh hour of the night,at the eleventh hour,in letzter Minute,"Er hat das Projekt in letzter Minute abgeschlossen, kurz vor dem Abgabetermin.","Sie beschloss, in der elften Stunde der Nacht spazieren zu gehen.",בשעה ה-11,"סיים את הפרויקט בשעה האחרונה, כמה רגעים לפני המועד הסופי."
the last straw,to be the last in a sequence of unpleasant things,"When he insulted her cooking, [[that was the last straw]] and she decided to leave","After using all the other straws, [[that was the last straw]] in the box","When he insulted her cooking, that was the last straw and she decided to leave","After using all the other straws, that was the last straw in the box",that was the last straw,Das war der letzte Tropfen.,"Als er ihr Kochen beleidigte, war das das letzte Stroh und sie beschloss zu gehen.","Nachdem alle anderen Strohhalme benutzt wurden, war das der letzte Strohhalm in der Schachtel.",זה היה הקש שהשבר את הגביע.,"כשהוא העליב את הבישול שלה, זה היה הקש ששבר את הגבול והיא החליטה לעזוב."
the lion's den,a place which is uncomfortable,"By confronting the angry mob, he [[entered the lion's den]] and risked his safety","As a zookeeper, she [[entered the lion's den]] to feed the animals","By confronting the angry mob, he entered the lion's den and risked his safety","As a zookeeper, she entered the lion's den to feed the animals",entered the lion's den,betrat die Löwengrube,"Indem er der wütenden Menge gegenübertrat, betrat er die Höhle des Löwen und riskierte seine Sicherheit.","Als Tierpflegerin betrat sie das Löwengehege, um die Tiere zu füttern.",נכנס למערת האריות,"על ידי התמודדות עם המונה הכועס, הוא נכנס לכנסיית האריות וסיכן את בטחונו."
the other side of the coin,"the opposite aspect, contrasting arguments.","Before making a decision, it's important to [[consider the other side of the coin]] and weigh the pros and cons","When flipping a quarter, you should [[consider the other side of the coin]] as well, since it has a 50% chance of landing","Before making a decision, it's important to consider the other side of the coin and weigh the pros and cons","When flipping a quarter, you should consider the other side of the coin as well, since it has a 50% chance of landing",consider the other side of the coin,Betrachte die andere Seite der Medaille.,"Bevor man eine Entscheidung trifft, ist es wichtig, die andere Seite der Medaille zu betrachten und Vor- und Nachteile abzuwägen.","Wenn du eine Münze wirfst, solltest du auch die andere Seite der Münze berücksichtigen, da sie eine 50%ige Chance hat, zu landen.",שקול את הצד השני של המטבע,"לפני לקבל החלטה, חשוב לשקול את הצד השני של המטבע ולשקול את היתרונות והחסרונות."
the sun rises and sets on them,to believe that someone is the most wonderful and important person in the world; to love and adore someone more than anyone else,She adores her children so much that [[the sun rises and sets on them]] in her eyes,"Living on a remote island, [[the sun rises and sets on them]] every day",She adores her children so much that the sun rises and sets on them in her eyes,"Living on a remote island, the sun rises and sets on them every day",the sun rises and sets on them,Die Sonne geht auf und unter auf ihnen.,"Sie liebt ihre Kinder so sehr, dass die Sonne in ihren Augen für sie auf- und untergeht.",Auf einer abgelegenen Insel lebt die Sonne jeden Tag für sie auf und untergeht für sie.,השמש זורחת ושוקעת עליהם.,היא מעריצה את ילדיה כל כך הרבה עד שהשמש זורחת ושוקעת עליהם בעיניה.
throw it over the wall,"to deal with part of a problem or project, then pass the responsibility to another person or department without any communication or coordination","After finishing the design, the team decided [[to throw it over the wall]] to the developers",He decided [[to throw it over the wall]] to get the ball back from the neighbor's yard,"After finishing the design, the team decided to throw it over the wall to the developers",He decided to throw it over the wall to get the ball back from the neighbor's yard,to throw it over the wall,Es über die Mauer werfen.,"Nachdem das Design fertiggestellt war, entschied das Team, es den Entwicklern über den Zaun zu werfen.","Er entschied sich, es über die Mauer zu werfen, um den Ball aus dem Garten des Nachbarn zurückzuholen.",לזרוק את זה מעל הקיר,"לאחר הסיום של העיצוב, הצוות החליט לזרוק אותו מעל הקיר למפתחים."
throw the baby out with the bathwater,to remove something good in the bid of getting rid of something bad,"In their haste to modernize the company, they decided to [[throw the baby out with the bathwater]] and discard valuable traditions",It would be absurd to accidentally [[throw the baby out with the bathwater]] while emptying the tub,"In their haste to modernize the company, they decided to throw the baby out with the bathwater and discard valuable traditions",It would be absurd to accidentally throw the baby out with the bathwater while emptying the tub,throw the baby out with the bathwater,Wirf das Baby nicht mit dem Bade aus.,"In ihrer Eile, das Unternehmen zu modernisieren, beschlossen sie, das Kind mit dem Bade auszuschütten und wertvolle Traditionen zu verwerfen.","Es wäre absurd, das Baby versehentlich mit dem Badewasser auszuschütten, während man die Badewanne entleert.",זרוק את התינוק עם מים האמבטיה.,"במהירותם למצוא דרכים למודרניזציה של החברה, הם החליטו לזרוק את התינוק עם המים המלוכלכים ולזרוק מסורות יקרות."
tie the knot,to get married,They [[tied the knot together]] in a beautiful ceremony surrounded by friends and family,The two sailors [[tied the knot together]] to secure the rope,They tied the knot together in a beautiful ceremony surrounded by friends and family,The two sailors tied the knot together to secure the rope,tied the knot together,haben zusammen den Knoten gebunden,Sie haben gemeinsam den Knoten in einer wunderschönen Zeremonie umgeben von Freunden und Familie gebunden.,"Die beiden Matrosen banden den Knoten zusammen, um das Seil zu sichern.",קשרו את הקשר יחד.,הם קשרו את הקשר יחד בטקס יפהפה סביב חברים ומשפחה.
tight spot,to be in a very difficult situation,They [[found themselves in a tight spot]] when they had to choose between two important events,The spelunkers [[found themselves in a tight spot]] while navigating the narrow cave,They found themselves in a tight spot when they had to choose between two important events,The spelunkers found themselves in a tight spot while navigating the narrow cave,found themselves in a tight spot,fanden sich in einer schwierigen Situation wieder,"Sie befanden sich in einer schwierigen Situation, als sie zwischen zwei wichtigen Ereignissen wählen mussten.","Die Höhlenforscher befanden sich in einer schwierigen Situation, als sie sich durch die enge Höhle navigierten.",מצאו את עצמם במצוקה.,הם מצאו את עצמם במצוקה כאשר הייתה עליהם לבחור בין שני אירועים חשובים.
tighten belt,to save your money,"Due to the economic downturn, we had [[to tighten the belt a bit]] and cut some expenses","After losing some weight, he had [[to tighten the belt a bit]] to keep his pants up","Due to the economic downturn, we had to tighten the belt a bit and cut some expenses","After losing some weight, he had to tighten the belt a bit to keep his pants up",to tighten the belt a bit,Den Gürtel etwas enger schnallen.,Aufgrund der wirtschaftlichen Flaute mussten wir den Gürtel etwas enger schnallen und einige Ausgaben kürzen.,"Nachdem er etwas Gewicht verloren hatte, musste er den Gürtel ein bisschen enger schnallen, um seine Hose oben zu halten.",להצמיח את החגורה קצת.,"בגלל המצוקה הכלכלית, היינו חייבים להצמיח את החגורה קצת ולחתוך כמה הוצאות."
