idiom_0,meaning_0,instance_0,label_0,idiom_1,meaning_1,instance_1,label_1,idiom_2,meaning_2,instance_2,label_2,idiom_3,meaning_3,instance_3,label_3,idiom_4,meaning_4,instance_4,label_4
got in his hair,to annoy someone so much that they cannot get on with what they are doing,My project got in his hair,2,knowing which way the wind blows,this means that you should know how things are developing and be prepared for the future,I know which way the wind blows,2,drive a wedge between,to damage the good relationship that two people or groups of people have,They drove a wedge between us by using a sledgehammer,1,cloud nine,very happy,I'm on cloud nine,2,at the heels of,close behind or soon after something,They arrived at the heels of,2
clear the air,get rid of all doubts and negative feelings,We need to clear the air,2,zero hour,a time when a crucial decision or essential action must be taken,"It's zero hour, which means it's the time for me to make my move",0,give them a bird,to hold up your middle finger as a very rude sign,I gave them a bird as a sign that I was not interested in their company,0,take the cake,being the best in a competition,His speech really took the cake,2,got the slap on the wrist,got small punishment when a more severe punishment is deserved,They got the slap on the wrist,2
flash in the pan,"something that cannot be repeated, usually a positive concept",The party was a flash in the pan,2,shed light,to explain something in order to make it easier to understand,She is shedding light by turning the lamp on,1,fish out of water,to feel uncomfortable in unfamiliar surroundings,He was a fish out of water,2,go down in flames,to fail spectacularly,The project went down in flames,2,keep on top,to stay informed,I'm trying to keep on top of all the competing tasks at hand,0
spill the beans,disclose a secret or reveal something prematurely,She spilled the beans,2,dance to tune,to do what someone else forces you to do,She danced to the tune which the musician was playing,1,all bark and no bite,"threatening, aggressive, but not willing to engage in a fight",He is all bark and no bite as he only barks and never bites,1,wouldn't be seen dead,to be too ashamed or embarrassed of something,She wouldn't be seen dead there as it would be a big embarrassment for her,0,cut and dried,ready-made,The situation is cut and dried; there's no more room for discussion,0
chop and change,repeatedly change.,They often chop and change,2,walk out on,end a relationship with someone suddenly,He walked out on her when she needed him the most,0,back to the drawing board,back to the planning stage,We went back to the drawing board,2,a trip to the sun,something which is very unlikely,He took a trip to the sun,2,big brother,A large organization or government agency that tries to control all aspects of human life and society.,The big brother was watching his little sister play,1
take it on the chin,this is a boxing metaphor meaning don't shy away from difficulty,I took it on the chin and moved on from the painful situation,0,spanner in the works,a roadblock that prevents an activity from succeeding,There's been a spanner in the works and our plan has gone awry,0,up in the air,"unresolved, undecided",The outcome is still up in the air,2,big cheese,to be an important and successful individual,He's the big cheese,2,in deep water,a very serious situation,He's in deep water,2
worm in the apple,the presence of something very bad in the best,"There's a worm in the apple, so I think I'll throw it away",1,pay as you go,a payment system that allows you to pay right before a service you use rather than later.,We are paying as we go to reduce our future financial burden,0,bury head in the sand,hide from the truth,He buried his head in the sand when he heard the difficult news,0,save face,To be able to hide public disgrace by taking some action.,He tried to save face,2,hit the bull's-eye,to be exactly right about something or achieve the best result possible,He hit the bull's-eye,2
on the dot,exactly on time,He arrived at 8 on the dot,2,cut the crap,a very crude way of telling someone to stop doing something that you do not like,Let's just cut the crap at the table and throw it away,1,lead astray,make someone act or think in a wrong or foolish manner.,She was led astray,2,a hard nut to crack,a problem that is difficult to solve,He's a hard nut to crack,2,tide over,temporary help (often financial),They rely on donations to tide over their difficult financial situation,0
see the light,realise or understand something,He finally saw the light after much contemplation and struggle,0,take a hike,go away,I took a hike to get away from the stressful atmosphere and clear my head,0,eat crow,being proven wrong after taking a strong stand,She had to eat crow since that was the only food available,1,let sleeping dogs lie,its best to leave a situation as it is if disturbing it might cause trouble,We should let sleeping dogs lie and not disturb them while they rest,1,get the sack,be dismissed from the job,He got the sack,2
stab in the back,a disloyalty,He gave me a stab in the back when he broke his promise,0,pass away,die,"Grandfather passed away from the house, so we wouldn't worry about him",1,catch a cold,suffer a financial loss.,She caught a cold,2,clean slate,to wipe the past out and begin afresh,"She started with a clean slate, giving her the opportunity to write down new ideas without erasing any old ones",1,bird's eye view,an overview.,He had a bird's eye view of the entire city,0
kill the goose that lays the golden egg,to destroy something that is profitable to you mostly because of greed.,They killed the goose that lays the golden egg by cutting short a successful initiative,0,make a clean breast,to tell the truth about something.,He made a clean breast of himself by washing himself quickly in the river,1,cross the bridge,to delay worrying about something that might not happen anyway,We have to cross the bridge,2,call a spade a spade,this phrase means to say something the way it is,She calls a spade a spade and never sugarcoats her opinions,0,afraid of my own shadow,to be very nervous or easily frightened,"I'm afraid of my own shadow"" ",2
bite head off,overreact in an angry or harsh way,He bit the head off,2,lose your marbles,strange behaviors.,He has lost his marbles because he accidentally dropped them on the ground,1,wouldn't be caught dead,dislike something very much,I wouldn't be caught dead there as I prefer sophisticated environments,0,a whale of,very big (piece) of something,She had a whale of a time cutting up the whale,1,rub the wrong way,to tick someone off,It rubbed the wrong way,2
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",There's a cloud on the horizon,2,love of life,the person who is loved most by someone in all their life,"John has a love of life, as evidenced by how much he loves taking risks and trying new things",0,Easter egg,a decorated or dyed egg usually given to children at Easter,She found the Easter egg which was the prize for the Easter egg hunt,1,bad-mouth,to say something bad about something,He bad-mouthed the teacher by actually saying bad words about him,1,flash in the pan,"something that cannot be repeated, usually a positive concept",The party was a flash in the pan as it was quickly over and forgotten,0
good egg,a kind person,He is a good egg,2,it's a small world,meeting someone not expected to be at a certain place,It's a small world,2,up in the air,"unresolved, undecided",The outcome is still up in the air due to the windy weather,1,up in the air,"unresolved, undecided",The outcome is still up in the air because the jury is still deliberating,0,to the core,totally,He was impacted to the core,2
leg up,give or receive assistance to achieve a goal,He gave me a leg up by literally helping me get on my horse,1,take the edge off,blunt the effect of,I need to take the edge off this stressful day by taking a break and resting my mind,0,mend fences,to try and improve a bad relationship with another party,They've been mending fences between their different branches of the family,0,cut and dried,ready-made,The situation is cut and dried; it was decided weeks ago,1,smell something fishy,to have a suspicion that something is wrong,I smell something fishy coming from the kitchen,1
dead duck,a project or scheme which has been abandoned or is certain to fail,"He's a dead duck and there is no way to save him."" ",0,blue-collar,"of or relating to industrial work, especially the semiskilled and unskilled",He is a blue-collar worker meaning he specializes in manual work,0,old hat,Someone who is old fashioned. The phrase can directly refer to old fashion too.,This old hat is fooling nobody,2,bee in bonnet,be possessed with one thought or scheme,She has a bee in her bonnet that just won't go away,1,bread and butter,to indicate what a person earns or earns for,His bread and butter are the meals he eats every day to survive,1
in a nutshell,to be brief and straight to the point.,"It's in a nutshell, all of the information you need in order to make a decision",0,fall on our feet,to succeed in doing something where there was a risk of failure,We fell on our feet and we managed to come up with a solution,0,upper crust,"the aristocracy and upper classes, informal",She's part of the upper crust,2,off the record,an informal or unofficial statement,I told him off the record so that it wouldn't be recorded in the meeting minutes,1,old school,old fashioned ideas or approach compared to current trends,I'm an old school type,2
roll the dice,to gamble or take a chance on something or someone,He rolled the dice,2,bells and whistles,special features that are added to a product or system to attract more buyers,I wanted all the bells and whistles on the bicycle,1,wash dirty linen in public,discuss publicly matters that one should keep private,She washed her dirty linen in public,2,hit the sack,to go to bed,He hit the sack early since he was exhausted from work,0,lower the bar,to lower standards or expectations,The company lowered the bar,2
broken heart,"when a person is emotionally sad or grief-stricken, then it's broken hearted",He has a broken heart because the girl he loved left him,0,stop by,to meet someone or go somewhere in a brief and informal manner,We stopped by yesterday,2,hammer and tongs,"to argue fiercely, with a lot of energy and noise",We worked on it hammer and tongs,2,throw in the towel,to quit,He threw in the towel when it became clear that he could not achieve victory,0,drop a bombshell,"make an unexpected, startling or disturbing announcement",He dropped a bombshell,2
off the cuff,in an unguarded way,He gave an off the cuff speech,2,see light at end of tunnel,to see signs of hope for the future after a long period of difficulty,I can see the light at end of tunnel which means the end of the long and dark tunnel is near,1,fall flat,"fails to amuse people, or fails to have the effect that was intended",His joke fell flat,2,forty winks,"sleep for a while, mostly during the day",I had forty winks,2,third wheel or fifth wheel,a person who is in a situation where they are not needed,"He was the third wheel when his friends went on a date, feeling like an outsider in the group",0
eye candy,attractive visually but uninteresting in other ways,That car is eye candy,2,match made in heaven,a combination of two people that is perfect in every way,It's a match made in heaven since you two found each other on a dating app,1,all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",She goes all the way up,2,under the radar,"going unnoticed, avoiding unnecessary attention",He managed to stay under the radar to avoid detection by radar,1,burn bridges,"remove someone's all options of retreat, act decisively",He burned bridges by leaving without saying goodbye,0
just deserts,get what one deserves,I got my just deserts,2,chill wind,to encounter the problems or trouble,"The chill wind blew, leaving feelings of dread and isolation in its path",0,graveyard shift,"a period of work, for example in a factory, that begins late at night and ends early in the morning",She works the graveyard shift,2,dead duck,a project or scheme which has been abandoned or is certain to fail,He's a dead duck after his heart stopped beating,1,blowing smoke,to intentionally misinform or deceive,"He was blowing smoke, making empty promises that he never intended to keep",0
bug-eyed,The bulging of the eyes out is known as being bug eyed.,He looked bug-eyed when he saw the wild animal,0,give a shot,to have a try at something,He gave it a shot even though the odds were slim,0,get over it,accept something and move on,She needs to get over it,2,bottom fell out,"when something causes a plan, project or venture to collapse or fail","When the bottom fell out of the boat, we had to swim away to safety",1,can of worms,"to get into something that is messy, has problems and is unwanted",It opened up a can of worms,2
take up the cudgels,argue strongly in support or against somebody or something,She took up the cudgels to start the next fight,1,make ones bed and lie on it,to be responsible for what you have done and accept the results,He made his bed and lay on it because it was time to go to sleep,1,fall on his sword,to accept the consequences of an unsuccessful or wrong action,He fell on his sword to take the blame for the failed project,0,plays with fire,people who take unnecessary risks or behave in a dangerous way,He's playing with fire by setting off fireworks,1,give the devil his due,"give credit to an opponent's merits, grudgingly or not.",You have to give the devil his due and acknowledge the hard work that he put into it,0
up to the neck,"when people are very involved in something, especially when it's something wrong",They were up to the neck in work,2,afraid of my own shadow,to be very nervous or easily frightened,I'm afraid of my own shadow because it's always following me,1,cloak and dagger,of or characteristic of the activities of spies and undercover agents.,The meeting was cloak and dagger as everyone was wearing a cape and sword,1,two peas in a pod,practically identical in appearance,They were two peas in a pod when they were sitting in the same pod of peas,1,put the cart before the horse,to do things in the wrong order or sequence,We have put the cart before the horse,2
foam at the mouth,be extremely angry,"The dog was foaming at the mouth when he saw the cat, implying he was ready to attack",0,on the ball,"alert to new trends, ideas, and methods",He was on the ball this morning when he was ready to face whatever the day had to offer,0,cross the line,behave in a way that is not acceptable,He crossed the line as he stepped into the wrong side of the street,1,against the clock,in a great hurry to finish something before a particular time,We are working against the clock because it's ticking loudly,1,carry on,to continue with something,I had to carry on with my daily tasks even though it was tiring,1
treasure trove,a priceless or valuable discovery,The shed was a treasure trove,2,tie the knot,to get married,They tied the knot,2,wooden spoon,the person who finishes last in a race or competition receives an imaginary prize,She was given the wooden spoon,2,can of worms,"to get into something that is messy, has problems and is unwanted",It opened up a can of worms when they tried to open the can,1,bent your ears,to talk to someone for a very long time about something boring,He bent my ears,2
back to the salt mines,"resume work, usually with some reluctance",Time to go back to the salt mines and get to work,0,a little bird told me,it is used when a person is trying to hide the source of his information,A little bird told me that you were going to the party tonight,0,every nook and cranny,to look for something everywhere,They searched every nook and cranny for the missing pieces,0,cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,You'll be cutting your own throat,2,comb through,to look into something carefully.,He combed through the books as if he was brushing his hair,1
green thumb,good gardening results,He has a green thumb when it comes to gardening and can make anything grow,0,get the wrong end of the stick,to understand something in the wrong way,"I think I got the wrong end of the stick, since I misunderstood what she said to me",0,Achilles heel,a vulnerable spot or weakness,"This is his Achilles heel, as he always has difficulty containing his emotions",0,live at rack and manger,in between plenty and abundance,I've been living at rack and manger since it's the only option I have,1,take stock,to think carefully about a situation in order to make a decision,"He was taking stock of his life, wondering how he got there",0
fly off the handle,To lose one's temper and get angry for seemingly no reason (does not usually refer to situations that would warrant an emotional response).,I flew off the handle,2,cry over spilt milk,to be upset about things that have already been done,Don't cry over spilt milk,2,catch up,"to get to the same level, standard, or status as something or someone",I'm trying to catch up,2,my way or the highway,to order someone to do something in a specific way without providing an alternative.,"It's my way or the highway, so there's no other route for you to take",1,tear-jerking,a story that is purposefully sentimental,It was tear-jerking,2
sleep on,postpone making a choice until the following day.,Let's sleep on it and decide after some time for thought,0,give me five,when you want someone to open a hand so you can hit it with your open hand in greeting or celebration,She gave me five high-fives to celebrate our victory,1,bun in the oven,to be pregnant,They have a bun in the oven and are expecting their first child,0,a lot on my plate,to have so many things to do at one time,I have a lot on my plate because I loaded it up,1,cut and thrust,"furious contest, discussion, etc.",The negotiations involved some cut and thrust with both parties giving and taking to come to an understanding,0
put your foot in it,"say something (by mistake) that upsets, humiliates, or embarrasses someone",He put his foot in it when he tripped over,1,on the dot,exactly on time,"He arrived at 8 on the dot, exactly when he said he was going to arrive",1,crowning glory,The greatest or most beautiful thing,Her crowning glory shone brightly as she wore a sparkling tiara,1,get one's feet wet,to begin taking part in a new activity,He got his feet wet when he stood in the water,1,go by the book,"do things strictly according to the written rules, etc.",He went by the book as he followed the instructions written in it,1
pay the piper,to bear the ill-effects of something that was enjoyable at one time,He had to pay the piper for the consequences of his mistakes,0,"easy come, easy go",readily won and readily lost,"It was easy come, easy go for his money since he just gambles away all his paycheck",1,big deal,important thing,It's a big deal,2,the benefit of the doubt,regards a person as innocent unless confirmed otherwise,I'm giving her the benefit of the doubt because I still think she's capable of honest actions,0,a bed of roses,easy option,It's not a bed of roses trying to rebuild our relationship,0
caught between two stools,"come between two alternatives, and so fail to fulfill either of them",She was caught between two stools,2,a good man is hard to find,This proverb refers to women who are looking for suitable alliances but aren't able to find them.,It's a good man that's hard to find since he's been missing for many days,1,vultures are circling,when something is in danger and its enemies are getting ready for the kill,"The vultures are circling the struggling business, looking for an opportunity to swoop in and take it over",0,break new ground,to do something innovative,He broke new ground by digging into the earth,1,dig one's own grave,"to do something that has negative consequences for you, even though these consequences can be easily seen.",He was digging his own grave in preparation for his death,1
on the same page,everyone in agreement,"We were on the same page, literally, of the book",1,pass away,die,Grandfather passed away,2,bright spark,an intelligent and lively person (humorously),He's a bright spark,2,more heat than light,to cause anger or intense reaction but doesn't clarify anything,"The argument had more heat than light, evidenced by the aggressive nature of their words",0,wipe the slate clean,"to make a fresh start and forget all past offences, disagreements or mistakes",We are wiping the slate clean with a damp cloth,1
ate her alive,to criticize someone severely because you are angry with them,They ate her alive as she was covered in honey,1,come full circle,return to an earlier position or decision.,The situation has come full circle when it eventually returned to its original point,0,in the cross hairs,in a position where one might receive severe criticism,The company is in the cross hairs because the snipers have them in their sights,1,all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",She goes all the way up the corporate ladder,0,mend fences,to try and improve a bad relationship with another party,They've been mending fences,2
call names,to insult someone,She called names to disparage his character,0,weather the storm,handle a difficult period of time successfully,Weathered the storm,2,in a fog,in a great confusion,I'm in a fog because the weather outside is foggy,1,bull in a china shop,"extremely awkward, clumsy person","He acted like a bull in a china shop, charging through the store shelves and knocking them over",1,not hurt a fly or flea,"To not be able to cause harm to anyone, including even a tiny and insignificant insect.",I wouldn't hurt a fly or flea,2
on the cards,"Something very likely to happen, occur or take place.",It's on the cards that the winners of this competition will be announced in the near future,0,rock the boat,to make trouble.,He decided to rock the boat by asking the unpopular questions in the meeting,0,ahead of the curve,better than others,"She's ahead of the curve, always thinking about what's new and cutting-edge",0,you can't teach an old dog new tricks,you cannot make others change their habits,He can't teach an old dog new tricks,2,rain or shine,Doing something regularly regardless of the circumstances.,We will go rain or shine regardless of the weather conditions,1
eat him alive,to criticize someone severely because you are angry with them,The audience ate him alive with their jaws and teeth,1,you can't have your cake and eat it,you can't have things both ways,I can't have my cake and eat it,2,as long as,to put condition of time on an action,"He runs as long as he can, taking into account his physical abilities and limitations",0,getting my fingers burnt,"to suffer unpleasant results of an action, especially loss of money, so you do not want to do the same thing again",I'm getting my fingers burnt because I touched the hot pan,1,every nook and cranny,to look for something everywhere,They searched every nook and cranny of the house,1
chill to the bone,to get frightened or scare somebody,The wind was chill to the bone,2,button your lip,to stop speaking,He buttoned his lip,2,armed to the teeth,"heavily and formidably armed, usually with deadly weapons",She was armed to the teeth,2,banker's hours,short working hours,He works banker's hours so he can make his own schedule,0,under fire,being shot at,He was under fire when his company was accused of fraud,0
first light,the time when the light begins to appear in the morning,She saw him at first light and couldn't believe how he had changed,0,use your loaf,To tell someone to use their brain more in analysing what they are doing.,He used his loaf to bake a loaf of bread,1,weather the storm,handle a difficult period of time successfully,We weathered the storm by relying on our friend network for support,0,flesh and blood,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood.","They are my flesh and blood, no matter how far apart we may be",0,smell something fishy,to have a suspicion that something is wrong,I smell something fishy,2
have a ball,to have a great time,They had a ball last night when they went out for dinner and a movie,0,Young Turk,a young person who has many new ideas and wants a reform,He's a Young Turk full of enthusiasm to change the world,0,you reap what you sow,"if you do bad things to people, bad things will happen to you, or good things if you do good things",You reap what you sow,2,bring someone to book,make somebody accountable for their conduct.,The police brought him to book,2,carry out,"put something into action, to accomplish something, to do something.",We had to carry out the task quickly and efficiently,0
tip of the iceberg,to only know a very small part of the problem,This is just the tip of the iceberg,2,troubled waters,a difficult phase of life,We are navigating troubled waters,2,keep your nose clean,to stay out of trouble by not doing anything wrong,She keeps her nose clean by staying out of trouble,0,drop a bombshell,"make an unexpected, startling or disturbing announcement",He dropped a bombshell in the garden to get rid of the weeds,1,take with a grain of salt,to understand that something is not completely true or right,I take it with a grain of salt,2
cool as cucumber,"be very calm and relaxed, particularly when it's astonishing",He was cool as cucumber when I touched the back of his neck,1,at the bottom of the ladder,"occupying the lowest, most basic position in a given group",She's at the bottom of the ladder,2,roots run deep,"similar in meaning to ""deep-rooted.""",Their roots run deep in the community due to how much they help their neighbors,0,on cue,to happen at the precise moment,She arrived on cue because the director told her when to come,1,yoke around one's neck,a fatiguing burden.,He carried a yoke around his neck,2
straight shooter,someone who speaks the truth,He's a straight shooter,2,run a tight ship,to be strict about something,He runs a tight ship,2,miles to go before I sleep,you have a lot to do before you can rest,I have miles to go before I sleep--I still have a lot of work to do before rest,0,fight a losing battle,trying to do something even when there is little chance of succeeding,"He was fighting a losing battle, so he settled for a lesser job just to make ends meet",0,blind spot,"if you have a blind spot about something, you cannot accept or understand it",He has a blind spot when it comes to making financial decisions,0
drive up the wall,to make someone angry or irritated,He's been driving me up the wall,2,you can't have your cake and eat it,you can't have things both ways,I can't have my cake and eat it because it's all gone,1,can't stand the sight of,to hate someone very much,I can't stand the sight of him,2,under the auspices,"under the protection, sponsorship, or patronage",The project was created under the auspices of the company to ensure its success,0,green thumb,good gardening results,He has a green thumb,2
glass ceiling,"an unseen (glass) barrier for women and people who belong to minority groups in climbing up the corporate, political or the ladder of success regardless of whether they are qualified for the job",She hit the glass ceiling,2,in the doghouse,someone who is in disgrace and very unpopular at the moment,He's in the doghouse because that's where the dogs sleep,1,tongue in cheek,"something said in humour, but with an act of being serious",He joked with a tongue in cheek,2,knee jerk reaction,an automatic response to something,His knee jerk reaction,2,white paper,official report or guide,"My proposal was a white paper, as I chose to present my ideas in a standard document",1
hit the hay,to go to sleep or head to bed.,I hit the hay early to be fresh for my morning classes,0,way around,"to find an alternative for something, someone or to perform a task","They found a way around it"" ",2,long run,far away in the future,"It will help in the long run, even though it may cause difficulties in the short term",0,an arm and a leg,a large amount of money,"The cost of the restaurant was an arm and a leg, since it was such an expensive meal",0,more heat than light,to cause anger or intense reaction but doesn't clarify anything,The argument had more heat than light,2
drive up the wall,to make someone angry or irritated,He's been driving me up the wall with his driving skills,1,white elephant,an expensive item with no use or purpose,The car was a white elephant,2,cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,You'll be cutting your own throat if you don't accept this opportunity,0,pipe down,to take to one or more notches down to its current standard,Can you pipe down and lower the volume of the music?,1,pain in the neck,Mathematics is generally a real pain in the neck for most of the school and college students.,This project has been a pain in the neck,2
sleep tight,an affectionate way of wishing someone a good night's sleep,I told him to sleep tight to wish him a restful night,0,a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,The investigation is a witch hunt as they are trying to identify and punish a witch,1,voice in the wilderness,"someone who expresses an opinion that no one believes or listens to, especially if proved right later",He was a voice in the wilderness shouting from the hills,1,back against the wall,to be in a tough situation with limited options,They had their back against the wall because they were losing the argument,0,acid test,a test that proves a hypothesis or validity of a product or idea,We have to put this to the acid test to see if it will help us in the long run,0
it's not brain surgery,to indicate that a specific task is simple and easy to undertake ,"It's not brain surgery, so you don't have to be a neurosurgeon to do it""",1,it's not brain surgery,to indicate that a specific task is simple and easy to undertake ,It's not brain surgery,2,make a clean breast,to tell the truth about something.,He made a clean breast of all the secrets he had been hiding,0,burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,She's been burning the candle at both ends trying to get her schoolwork and her extracurriculars done in time,0,call on,"use courage, reserve, nerve or strength to achieve something",She called on him,2
mind your own beeswax,do not interfere into someone else's matter,He told me to mind my own beeswax and stay out of his business,0,sacred cow,something that people believe or accept as true without questioning it.,It's a sacred cow because no one can touch it,0,sleep tight,an affectionate way of wishing someone a good night's sleep,I told him to sleep tight,2,big gun,a very powerful individual,He brought out the big gun to put an end to the argument,0,give the slip,to get away,He gave the slip when he took off his shoes,1
stiff upper lip,to be brave in the face of adversity,She kept a stiff upper lip as she physically pressed her lips together,1,mean business,to be focused about achieving a goal,He means business and is investing large amounts of money in the project,1,rip off,the act of stealing,He ripped off the bank when he made off with large amounts of their money,0,when pigs fly,something that will never happen,It will happen when pigs fly,2,black hole,a place in which things are lost never to be seen again,He fell into a black hole literally when he gazed at the stars outside his window,1
take a hike,go away,I took a hike,2,hornets' nest,a violent situation or one with a lot of dispute,He stirred the hornets' nest when he asked questions he should have left alone,0,ring a bell,something that sounds familiar,It's ringing a bell,2,cutting edge,to be among the latest and the best (often used for technological advancements),They are on the cutting edge of technology as they always have the newest gadgets,0,white elephant,an expensive item with no use or purpose,The car was a white elephant because it was almost pure white,1
call it a day,"stop doing something, especially working","Let's call it a day, since it is already dark outside",1,the last straw,to be the last in a sequence of unpleasant things,It was the last straw on the camel's back and it tipped over,1,under a cloud,under suspicion,She was under a cloud of suspicion when she was around her friends,0,old school,old fashioned ideas or approach compared to current trends,I'm an old school type and I still use a typewriter,1,back to square one,return to where one started from,We are back to square one after our initial plan failed,0
love to death,love someone very much,"She loves him to death, to the point that she was willing to kill for him",1,in your face,"a bold, defiant or aggressive manner","This was in your face, intended to be a warning for you",0,sleep on,postpone making a choice until the following day.,Let's sleep on it and decide tomorrow morning,1,put damper on,to discourage someone from doing something that they want to,It put a damper on the party when the neighbors called the cops,0,on its knees,something that is in a very weak situation or on the verge of failure,The company is on its knees as it does its morning prayers,1
can't stand the sight of,to hate someone very much,I can't stand the sight of him because he keeps breaking promises and lying,0,the early bird catches the worm,it refers to people who arrive earlier are the ones who get the best deals,The early bird caught the worm,2,you bet,for sure,He said you bet when I offered to put money on the outcome,1,push the boat out,celebrate; enjoy oneself.,He decided to push the boat out,2,blowing smoke,to intentionally misinform or deceive,He was blowing smoke from his cigarette into the air,1
on top of the world,in a good mood as everything is going well for you,She's on top of the world since she was accepted to the prestigious school,0,nip in the bud,check something thoroughly.,We nipped it in the bud,2,all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,"I'm all ears, literally ready to hear you from my two ears",1,knock on wood,tap knuckle on wood in order to avoid bad luck,We knocked on wood for good luck,0,quantum leap,to make a significant improvement or dramatic advancement,They took a quantum leap,2
in full swing,at a stage when the level of activity is at its highest,The party is in full swing as everyone is having a great time,0,tongue in cheek,"something said in humour, but with an act of being serious","He joked with a tongue in cheek, holding it in place while he spoke",1,worm in the apple,the presence of something very bad in the best,There's a worm in the apple and it represents the corruption amidst the system,0,carry out,"put something into action, to accomplish something, to do something.",We had to carry out the heavy laundry basket,1,on board,"be physically on a plane, ship, vehicle, train, or rocket",We're on board,2
as far as,to the extent of something,We've gone as far as we can,2,give me five,when you want someone to open a hand so you can hit it with your open hand in greeting or celebration,She gave me five to cheer me up before my presentation,0,button your lip,to stop speaking,He buttoned his lip to prevent himself from letting out a scream,1,skeleton in the closet,"a secret of an embarrassing, guilty or shameful nature that you don't want to disclose",She had a skeleton in the closet when it came to her failed marriage,0,plays with fire,people who take unnecessary risks or behave in a dangerous way,He's playing with fire by proposing such a risky investment,0
as well as,additionally,I visited the store as well as the museum because it was on my agenda,1,take turns,to alternate doing something,They took turns driving all night,1,ball of fire,"a dynamic person capable of or displaying rapid and highly effective thought, action, etc.","The teacher is a ball of fire, literally spitting out sparks with his lectures",1,cold shoulder,to treat somebody with coldness and contempt,He gave me the cold shoulder by ignoring me during the meeting,0,big deal,important thing,It's a big deal for me to get accepted into that college,0
against the grain,a difficult path to be followed,"She always goes against the grain, literally carving a piece of wood in the opposite direction",1,asleep at the switch,failing to attend to one's responsibilities or duties,He was asleep at the switch when his team scored the winning goal,0,crush,feel love-sick for someone.,"I have a crush on him, I feel butterflies in my stomach when I'm around him",0,take a back seat,take a less important position.,I decided to take a back seat on the bus so I could have more leg room,1,in your face,"a bold, defiant or aggressive manner","This was in your face, so you could feel it on your skin",1
night owl,Someone who is vigilant late at night.,He's a night owl because he has large eyes that can take in lots of light during the night,1,mind your own beeswax,do not interfere into someone else's matter,He told me to mind my own beeswax,2,music to ears,something that is soothing to your ears,The news was music to ears,2,whistle in the dark,to try to hide your fear in a scary or dangerous situation,We are whistling in the dark to try to hide our fear of the unknown future,0,give the slip,to get away,He gave the slip and escaped the police's pursuit,0
make it big,become very successful or famous,He's making it big with his new house that he just bought,1,tight spot,to be in a very difficult situation,He was in a tight spot as he was wedged in between two walls,1,not hurt a fly or flea,"To not be able to cause harm to anyone, including even a tiny and insignificant insect.","I wouldn't hurt a fly or flea, not even if I was provoked",0,cut and thrust,"furious contest, discussion, etc.",The negotiations involved some cut and thrust with both sides wielding swords,1,lights are on but nobody is home,used to describe a stupid person.,His lights are on but nobody is home; he must have gone out,1
stop by,to meet someone or go somewhere in a brief and informal manner,We stopped by yesterday to fetch some supplies,1,can't stand the sight of,to hate someone very much,I can't stand the sight of him because he's so ugly,1,24/7 (twenty-four-seven),constantly,We're open 24/7 to accommodate all of our customers' needs,0,short fuse,to get angry quickly.,He has a short fuse,2,child's play,an informal expression meaning something that is easy to do,This is child's play as I have been playing this with my niece,1
lower the bar,to lower standards or expectations,The company lowered the bar by making its expectations easier to achieve,0,high up,to have an important standing in society,"He is high up in the company, leading the team",0,wash hands of,abandon taking responsibility for someone or something,I washed my hands of this mess by refusing to get involved any further,0,turn turtle,It refers to something turning upside down.,The boat turned turtle when it flipped upside down,1,kill two birds with one stone,accomplish two different things at the same time,She killed two birds with one stone when she threw a rock at them,1
out of hand,out of control,The party got out of hand as soon as people started leaving with bottles of alcohol,1,gets it out of his system,get rid of a strong emotion or desire by expressing it openly or trying to fulfill it,He got it out of his system by going to the doctor,1,wrap in cotton wool,to be overprotective towards somebody,My parents have wrapped me in cotton wool in order to keep me safe and protected,0,love of life,the person who is loved most by someone in all their life,"John has a love of life, as evidenced by how he cherishes every moment",1,rags to riches,go from being very poor to being very wealthy,"He went from rags to riches"" ",2
cash in,to earn out of something in big amounts,You should cash in,2,catch up,"to get to the same level, standard, or status as something or someone",I'm trying to catch up with the bus I missed,1,have eyes only for,be attracted to someone exclusively,He had eyes only for her,2,batten down the hatches,to get ready for trouble,We battened down the hatches on the boat against the strong wind,1,carrot and stick,mixture of rewards and punishments,Using the carrot and stick,2
in touch,"to remain in contact with someone, especially when separated by time or distance",We need to stay in touch,2,keep an eye on,keep a watch on something or someone closely,He keeps an eye on her,2,chip off the old block,the term is used to describe people who look like their parents.,He is a chip off the old block because he is following in his father's footsteps,0,hide light under a bushel,to show modesty towards something or someone,Don't hide your light under a bushel and reveal your talents to the world,0,off grid,disconnected from municipal utility systems.,She went off grid when she disconnected herself from social media,0
