idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_opus,p_f_de_opus,p_l_de_opus,p_a_he_opus,p_f_he_opus,p_l_he_opus,p_a_hi_opus,p_f_hi_opus,p_l_hi_opus,p_a_hu_opus,p_f_hu_opus,p_l_hu_opus,p_a_ko_opus,p_f_ko_opus,p_l_ko_opus,p_a_es_opus,p_f_es_opus,p_l_es_opus,p_a_yo_opus,p_f_yo_opus,p_l_yo_opus,p_a_zh_opus,p_f_zh_opus,p_l_zh_opus
a wet blanket,a person who spoils other people's fun.,"He was always [[being a wet blanket]] at parties, constantly complaining","After the rainstorm, the picnic blanket was [[being a wet blanket]] on the ground","He was always being a wet blanket at parties, constantly complaining","After the rainstorm, the picnic blanket was being a wet blanket on the ground",being a wet blanket,Eine nasse Decke sein,Er war immer eine nasse Decke auf Partys und beschwerte sich ständig.,Nach dem Regensturm war die Picknickdecke eine nasse Decke auf dem Boden.,להיות שמיכה רטובה.,"הוא תמיד היה שמיכה רטובה במסיבות, כל הזמן מתלונן","אחרי סופת הגשמים, שמיכת הפיקניק הייתה שמיכה רטובה על הקרקע.",गीली चादर हो रही है,"वह हमेशा पार्टियों में एक गीली चादर हो रहा था, लगातार शिकायत","बारिश के बाद, पिकनिक का कम्बल ज़मीन पर गीली चादर बन रहा था",hogy egy nedves takaró,"Mindig nedves takaró volt a partikon, állandóan panaszkodott.",A zivatar után a piknik takaró nedves takaró volt a földön.,,,,siendo una manta mojada,"Siempre estaba siendo una manta mojada en las fiestas, constantemente quejándose.","Después de la tormenta, la manta de picnic estaba siendo una manta mojada en el suelo.",Jíjé bùláńkéètì,"Gbogbo ìgbà ló máa ń jé bùláńkéètì tó máa ń wà níbi àríyá, tó sì máa ń ṣàròyé lemólemó","Léyìn ìjì òjò náà, bùláńkéètì ẹlédè tó wà lórí ilè",湿毯子,他总是在派对上做一个湿毯子 不断抱怨,"暴雨过后,野餐毯子 成了地上的湿毯子"
a whale of,very big (piece) of something,We [[had a whale of a time]] at the amusement park,The marine biologist [[had a whale of a time]] studying the humpback's behavior,We had a whale of a time at the amusement park,The marine biologist had a whale of a time studying the humpback's behavior,had a whale of a time,hatte einen Wal einer Zeit,Wir hatten einen Wal von einer Zeit im Vergnügungspark,"Der Meeresbiologe hatte einen Wal einer Zeit, der das Verhalten des Buckelwals studierte",היה לו לווייתן של זמן.,היה לנו לווייתן נהדר בפארק השעשועים.,הביולוגיה הימית נהנתה מאוד מלימוד התנהגותו של גדול הסנפיר.,एक समय का ग्वाल था,हम मनोरंजन पार्क में एक समय की एक व्हेल थी,समुद्री जीवविज्ञानी के पास एक समय का ग्वालियर था जो चुम्बक के व्यवहार का अध्ययन करता था,Volt egy bálna egy időben,Volt egy bálnánk a vidámparkban.,"A tengerbiológusnak volt egy bálnája, aki tanulmányozta a púpos hátú állatok viselkedését.",,,,tenía una ballena de un tiempo,Tuvimos una ballena de un tiempo en el parque de atracciones,El biólogo marino tuvo una ballena de un tiempo estudiando el comportamiento de la jorobada,rékẹrèkẹ,A gbádùn eré ìnàjú kan nígbà tá a wà lógbà èwòn,Onímò nípa ohun alààyè inú òkun náà ní èkúnréré àkókò kan tó ń ṣàyèwò ìwà ìrèlè,曾经有一头鲸鱼,我们在游乐园玩过一头鲸鱼,海洋生物学家研究座头鲸的行为时 曾有鲸鱼在研究座头鲸的行为
a whole new ball game,a significant change in circumstances.,"After the company's merger, [[it's a whole new ball game]] for the employees","When they switched from soccer to baseball, [[it's a whole new ball game]] for the players","After the company's merger, it's a whole new ball game for the employees","When they switched from soccer to baseball, it's a whole new ball game for the players",it's a whole new ball game,Es ist ein ganz neues Ballspiel,Nach der Fusion des Unternehmens ist es ein ganz neues Ballspiel für die Mitarbeiter,"Als sie vom Fußball zum Baseball wechselten, ist es ein ganz neues Ballspiel für die Spieler.",זה משחק חדש לגמרי.,"אחרי המיזוג של החברה, זה משחק חדש לגמרי לעובדים.","כשהם עברו מכדורגל לכדור בסיס, זה משחק חדש לגמרי לשחקנים.",यह एक पूरा नया गोल खेल है,"कंपनी के एकीकरण के बाद, यह कर्मचारियों के लिए एक पूरी नई गेंद खेल है","जब वे फुटबॉल से बेसबॉल के लिए स्विच करते हैं, यह खिलाड़ियों के लिए एक पूरी नई गेंद खेल है",Ez egy teljesen új labdajáték.,A cég egyesülése után ez egy teljesen új játék az alkalmazottak számára.,"Amikor áttértek a fociról a baseballra, ez egy teljesen új labdajáték a játékosoknak.",,,,es un juego de pelota completamente nuevo,"Después de la fusión de la compañía, es un juego de pelota completamente nuevo para los empleados.","Cuando cambiaron del fútbol al béisbol, es un juego de pelota completamente nuevo para los jugadores.",Ó jẹ eré bọọlù àfẹsẹgbá tuntun,"Lẹyìn tí ilé iṣẹ náà bá ti ṣiṣẹ tán, ó jẹ eré ìdárayá tuntun fún àwọn òṣìṣẹ náà","Tí wọn bá ti gbá bọọlù lọ sí baseball, ó jẹ eré bọọlù àfẹsẹgbá tuntun fún àwọn òṣèré náà",这是一个全新的球游戏,"公司合并后,对员工来说 是一个全新的球赛","当他们从足球 转到棒球, 这是一个全新的球游戏 对于球员来说"
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,The company [[started a witch hunt]] to find the person responsible for the leak,"During the historical reenactment, they [[started a witch hunt]] to portray the events accurately",The company started a witch hunt to find the person responsible for the leak,"During the historical reenactment, they started a witch hunt to portray the events accurately",started a witch hunt,Eine Hexenjagd begann,"Das Unternehmen begann eine Hexenjagd, um die Person zu finden, die für das Leck verantwortlich ist.","Während der historischen Nachstellung begannen sie eine Hexenjagd, um die Ereignisse genau darzustellen.",התחיל ציד מכשפות.,החברה התחילה ציד מכשפות כדי למצוא את האדם האחראי לדליפה.,"במהלך השחזור ההיסטורי, הם התחילו ציד מכשפות כדי לתאר במדויק את האירועים.",एक जादुई शिकार शुरू किया,कंपनी ने लीक के लिए जिम्मेदार व्यक्ति को खोजने के लिए एक भिक्षुक शिकार शुरू किया,"ऐतिहासिक घटनाक्रम के दौरान, उन्होंने घटनाओं को सटीक रूप से चित्रित करने के लिए एक जादुई शिकार शुरू किया",Megkezdődött a boszorkányüldözés,"A cég boszorkányüldözést indított, hogy megtalálják a szivárgásért felelős személyt.","A történelmi újrajátszás során boszorkányüldözésbe kezdtek, hogy pontosan ábrázolják az eseményeket.",,,,Comenzó una cacería de brujas,La compañía comenzó una caza de brujas para encontrar a la persona responsable de la fuga.,"Durante la recreación histórica, comenzaron una caza de brujas para retratar los eventos con precisión.",Bèrè sí í wá àjé kiri,Ilé iṣé náà bèrè sí í wá àjé lọ sódò ẹni tó fa àrùn leak,Wón bèrè sí í wá àjé kiri kí wón lè fi bí ìṣèlè náà ṣe rí gan - an hàn lónà tó péye,开始猎杀女巫,公司开始猎杀巫术 找出泄漏事件的责任人,"在历史重演期间,他们开始猎杀女巫,准确描述这些事件。"
acid test,a test that proves a hypothesis or validity of a product or idea,Moving in together was [[the acid test for their relationship]] to see if they could handle living with each other,The chemistry lab experiment was [[the acid test for their relationship]] as they had to work together to determine the pH of various solutions,Moving in together was the acid test for their relationship to see if they could handle living with each other,The chemistry lab experiment was the acid test for their relationship as they had to work together to determine the pH of various solutions,the acid test for their relationship,der Säuretest für ihre Beziehung,"Gemeinsam einzuziehen war der säuretest für ihre beziehung, um zu sehen, ob sie damit umgehen konnten, miteinander zu leben.","Das Chemielaborexperiment war der Säuretest für ihre Beziehung, da sie zusammenarbeiten mussten, um den pH-Wert verschiedener Lösungen zu bestimmen",מבחן החומצה למערכת היחסים שלהם.,לעבור לגור יחד היה מבחן החומצה למערכת היחסים שלהם כדי לראות אם הם יכולים להתמודד עם חיים אחד עם השני,ניסוי מעבדת הכימיה היה מבחן החומצה למערכת היחסים שלהם כפי שהיה עליהם לעבוד יחד כדי לקבוע את החומציות של פתרונות שונים,उनके रिश्‍ते के लिए एसिड परीक्षण,"यह देखने के लिए कि क्या वे एक दूसरे के साथ रह सकते हैं, एक साथ रहने के लिए एसिड परीक्षण किया गया",रसायन प्रयोगशाला परीक्षण उनके रिश्ते के लिए एसिड परीक्षण था क्योंकि उन्हें विभिन्न समाधानों के पीएच निर्धारित करने के लिए एक साथ काम करना था,A savteszt a kapcsolatukhoz,"Az összeköltözés volt a savtesztje a kapcsolatuknak, hogy tudják-e kezelni az együttélést.","A kémia labor kísérlet volt a sav teszt a kapcsolatuk, mivel együtt kellett dolgozniuk, hogy meghatározzák a pH-t a különböző oldatok",,,,la prueba de ácido para su relación,Moviéndose juntos fue la prueba de ácido para su relación para ver si podían manejar la vida con los demás.,"El experimento de laboratorio de química fue la prueba de ácido para su relación, ya que tuvieron que trabajar juntos para determinar el pH de varias soluciones.",Omiró máa ń dán àjọṣe wọn wò,Sísìn pa pò jé ohun tó ń dán àjọṣe wọn wò láti mò bóyá wón lè máa gbé pèlú ara wọn,"Àwọn onímò ìjìnlè nípa kémíkà ṣe àyèwò ònà tí wón ń gbà ṣe é ni pé, wón máa ń dán àjọṣe wọn wò bí wón ṣe ní láti fọwó sowó pò kí wón lè mọ ohun tí onírúurú ojútùú lè wà",对其关系进行酸酸测试,"同居是测试他们的关系的 酸测试,看他们是否能 处理住在一起。","化学实验室实验是测试他们关系的酸性测试,因为他们必须共同努力确定各种解决方案的pH值。"
across the board,applying to everyone,The company saw [[improvements across the board]] after implementing new strategies,The chess master made [[improvements across the board]] by adjusting the positions of his pieces,The company saw improvements across the board after implementing new strategies,The chess master made improvements across the board by adjusting the positions of his pieces,improvements across the board,Verbesserungen auf der ganzen Linie,Das Unternehmen sah Verbesserungen auf der ganzen Linie nach der Umsetzung neuer Strategien,"Der Schachmeister machte Verbesserungen auf der ganzen Linie, indem er die Positionen seiner Figuren anpasste.",שיפורים על פני הלוח,החברה ראתה שיפורים בכל רחבי הלוח לאחר יישום אסטרטגיות חדשות,מאסטר השחמט עשה שיפורים על פני הלוח על ידי התאמת המיקום של יצירותיו,बोर्ड के पार सुधार,कंपनी ने नई रणनीतियों को लागू करने के बाद बोर्ड के पार सुधारों को देखा,शतरंज मास्टर ने अपने टुकड़ों के पदों को समायोजित करते हुए बोर्ड के पार सुधार किया,Fejlesztések minden téren,A vállalat az új stratégiák bevezetése után minden téren javulást mutatott.,"A sakkmester tökéletesítette az egész táblát azáltal, hogy kiigazította darabjainak helyzetét.",,,,Mejoras en todos los ámbitos,La compañía vio mejoras en todos los ámbitos después de implementar nuevas estrategias.,El maestro de ajedrez hizo mejoras en todos los ámbitos mediante el ajuste de las posiciones de sus piezas.,Àwọn àtúnṣe tí wón ṣe sí ọkò náà,"Léyìn tí ilé iṣé náà ti ṣe àwọn àtúnṣe tó yẹ, ilé iṣé náà rí i pé wón ń gba ibi tí wón ti ń ṣiṣé náà kọjá léyìn tí wón ti ṣe àwọn àtúnṣe tuntun",Àwọn kétékété náà tún ojú rè ṣe nípa títún ibi tí wón wà ṣe,全面改进,该公司在执行新战略后全面看到改善,象棋大师通过调整他的碎片的位置 全面改进了整个象棋大师
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse","By spreading rumors, [[they added fuel to the flames]] of the ongoing conflict","To keep the bonfire going, [[they added fuel to the flames]] by throwing more wood","By spreading rumors, they added fuel to the flames of the ongoing conflict","To keep the bonfire going, they added fuel to the flames by throwing more wood",they added fuel to the flames,Sie fügten den Flammen Treibstoff hinzu,Durch die Verbreitung von Gerüchten fügten sie den Flammen des anhaltenden Konflikts Treibstoff hinzu.,"Um das Lagerfeuer am Laufen zu halten, fügten sie den Flammen Treibstoff hinzu, indem sie mehr Holz warfen.",הם הוסיפו דלק ללהבות.,"על ידי הפצת שמועות, הם הוסיפו דלק הלהבות של הסכסוך המתמשך","כדי לשמור על המדורה, הם הוסיפו דלק ללהבות על ידי זריקת עוד עצים",फिर (जहन्नुम की) आग में झोंक दिए जाएँगे,घोष फैलाने से उन्होंने सतत संघर्ष की ज्वालाओं में ईंधन जोड़ दिया,"बोनफायर जाने को बनाए रखने के लिए, उन्होंने अधिक लकड़ी फेंकने के द्वारा आग्नेयास्त्रों में ईंधन जोड़ा",Tüzelőanyagot adtak a lángokhoz,Pletykákat terjesztve üzemanyagot adtak a folyamatban lévő konfliktus lángjaihoz.,"Hogy a máglyát fenntartsák, üzemanyagot adtak a lángokhoz azzal, hogy még több fát dobáltak.",,,,agregaron combustible a las llamas,"Al difundir rumores, agregaron combustible a las llamas del conflicto en curso.","Para mantener la hoguera encendida, agregaron combustible a las llamas arrojando más madera.",Wón fi epo sí iná náà,"Bí wón ṣe ń tan àhesọ kálè, ńṣe ni wón ń jé kí ìjà náà túbò gbóná sí i","Kí iná náà má bàa kú, wón á fi epo sí iná náà nípa sísọ igi púpò sí i nù",他们把火点燃了,"通过散布谣言,他们为正在进行的冲突火上浇油","为了让营火继续燃烧,他们扔了更多的木材,为火焰添加了燃料"
against the clock,in a great hurry to finish something before a particular time,"With the deadline approaching, we [[were racing against the clock]] to finish the project","In the unique competition, participants [[were racing against the clock]] by trying to outrun a giant clock on wheels","With the deadline approaching, we were racing against the clock to finish the project","In the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",were racing against the clock,Rennen gegen die Uhr,"Als sich die Frist näherte, rannten wir gegen die Uhr, um das Projekt zu beenden.","In dem einzigartigen Wettbewerb rasten die Teilnehmer gegen die Uhr, indem sie versuchten, eine riesige Uhr auf Rädern zu überholen.",התחרו נגד השעון.,"עם המועד האחרון מתקרב, היינו מירוץ נגד השעון כדי לסיים את הפרויקט","בתחרות הייחודית, משתתפים התחרו נגד השעון על ידי ניסיון לברוח שעון ענק על גלגלים",घड़सीसर के खिलाफ गेंदबाजी कर रहे थे,हम इस परियोजना को पूरा करने के लिए घड़ी के खिलाफ दौड़ रहे थे,"अद्वितीय प्रतियोगिता में, प्रतिभागी चक्रों पर एक विशाल घड़ी को आउट करने की कोशिश करते हुए घड़सीसर के खिलाफ गेंदबाजी कर रहे थे",Az óra ellen versenyeztek,"A határidő közeledtével az óra ellen versenyeztünk, hogy befejezzük a projektet.","Az egyedülálló versenyben a résztvevők az óra ellen versenyeztek azzal, hogy megpróbáltak lehagyni egy hatalmas órát a kerekeken.",,,,estaban corriendo contra el reloj,"Con la fecha límite acercándose, estábamos corriendo contra el reloj para terminar el proyecto.","En la competencia única, los participantes corrían contra el reloj al tratar de superar a un reloj gigante sobre ruedas.",Fífi ọkò ayókélé dìndìnrìn lòdì sí aago,"Bá a ṣe ń sún mó ibi tí ọkò òfuurufú ti ń bò, ńṣe là ń bá aago náà lọ títí tá a fi parí iṣé náà","Nínú ìdíje tó ṣàrà òtò yìí, ńṣe làwọn tó ń kópa nínú ìdíje náà ń sáré lọ sódò aago náà nípa gbígbìyànjú láti yọ òmìrán kan tó ń wakò kúrò lójú ònà tí wón ń gbà wakò",与时钟比赛,"随着最后期限的临近,我们正赶着时钟赶来完成项目","在这场独特的比赛中,参与者们在与时钟比赛,试图在车轮上跑过一个巨大的时钟,以对抗时钟。"
against the grain,a difficult path to be followed,His decision to quit his job was [[going against the grain]] of his family's expectations,"When sanding wood, [[going against the grain]] can cause scratches and damage",His decision to quit his job was going against the grain of his family's expectations,"When sanding wood, going against the grain can cause scratches and damage",going against the grain,gegen das Korn gehen,"Seine Entscheidung, seinen Job zu kündigen, widersprach den Erwartungen seiner Familie.","Beim Schleifen von Holz, gegen die Maserung kann Kratzer und Schäden verursachen",הולך נגד התבואה.,החלטתו להתפטר מעבודתו עמדה בניגוד לציפיות של משפחתו.,"כאשר עץ מלטש, הולך נגד הדגן יכול לגרום שריטות ונזק",अनाज के खिलाफ जाना,नौकरी छोड़ने का उसका फैसला उसके परिवार की आकांक्षाओं की अनाज के खिलाफ जा रहा था,"जब लकड़ी रेतीली हो जाती है, तो अनाज के खिलाफ जाना स्क्रैप और नुकसान का कारण बन सकता है",Szemben a gabonával,"A döntése, hogy kilép a munkahelyéről, szembement a családja elvárásaival.",A fa csiszolásakor a szemcsével szemben karcolásokat és károkat okozhat,,,,Ir contra el grano,Su decisión de renunciar a su trabajo iba en contra de las expectativas de su familia.,"Al lijar madera, ir contra el grano puede causar arañazos y daños",lòdì sí ọkà,Ìpinnu rè láti fi iṣé rè sílè kò bá ohun tí ìdílé rè ń retí látòdò rè mu,"Nígbà tí wón bá ń fi iyèpè yẹ ọkà náà wò, tí wón bá ń jẹ ọkà náà, ó lè fa irùngbòn, ó sì lè ba nǹkan jé",他们靠著谷物,他辞职的决定违背了家人的期望,"当采砂木木与谷物对冲时,可能造成刮痕和损害"
ahead of the curve,better than others,"By constantly learning new skills, she [[was staying ahead of the curve]] in her industry",The race car driver [[was staying ahead of the curve]] by maintaining a lead on the track,"By constantly learning new skills, she was staying ahead of the curve in her industry",The race car driver was staying ahead of the curve by maintaining a lead on the track,was staying ahead of the curve,Er blieb der Kurve voraus.,"Indem sie ständig neue Fähigkeiten erlernte, blieb sie in ihrer Branche der Kurve voraus","Der Rennfahrer blieb der Kurve voraus, indem er die Führung auf der Strecke beibehielt.",נשאר לפני העקומה.,"על ידי לימוד כל הזמן כישורים חדשים, היא נשארה לפני העקומה בתעשייה שלה",נהג מכונית המירוץ היה נשאר לפני העקומה על ידי שמירה על יתרון על המסלול,वक्र के आगे रह रहा था,लगातार नए कौशल सीखने से वह अपने उद्योग में वक्र से आगे रह रही थी,रेस कार ड्राइवर ट्रैक पर एक लीड बनाए रखते हुए वक्र के आगे रह रहा था,A kanyar előtt maradtunk,"Azáltal, hogy folyamatosan új készségeket tanult, az iparágában a görbe előtt maradt.","Az autóversenyző úgy maradt a kanyar előtt, hogy megtartotta a vezetést a pályán.",,,,Se mantuvo por delante de la curva,"Al aprender constantemente nuevas habilidades, se mantuvo a la vanguardia en su industria.",El piloto de carreras se mantuvo por delante de la curva manteniendo una ventaja en la pista,Ńṣe ni wón ń dúró níwájú ibi tí wón ti ń gé e,"Nítorí pé kò fi béè mọ iṣé ilé kíkó, ó ṣì ń báṣé rè lọ ní pẹrẹu nídìí èkó tí wón ń kó ní ilé iṣé rè",Ọkò ayókélé tí wón fi ń wa ọkò ayókélé náà ń dúró de ònà tí wón ń gbà kọjá,保持在曲线的前面,"通过不断学习新技能,她一直领先于本行业的曲线","赛车司机通过在赛道上保留一条铅,一直走在曲线的前面"
ahead of the pack,more successful than other people who are trying to achieve the same things,"By consistently innovating, the company is [[staying ahead of the pack]] in the industry","During the marathon, the lead runner was [[staying ahead of the pack]] of other runners","By consistently innovating, the company is staying ahead of the pack in the industry","During the marathon, the lead runner was staying ahead of the pack of other runners",staying ahead of the pack,Bleiben Sie vor dem Rudel,Durch konsequente Innovation bleibt das Unternehmen in der Branche immer einen Schritt voraus,Während des Marathons blieb der Spitzenläufer vor dem Rudel anderer Läufer.,נשאר לפני הלהקה.,"על ידי חידוש עקבי, החברה נשארת לפני הלהקה בתעשייה","במהלך המרתון, הרץ המוביל נשאר לפני קבוצת הרצים האחרים.",पैक के आगे रहना,लगातार निवेश करने से कंपनी उद्योग में पैक से आगे रह रही है,"मैराथन के दौरान, प्रमुख धावक अन्य धावकों के पैक से आगे रह रहा था",Maradj a falka előtt,A folyamatos innovációval a vállalat az iparágban a csomag előtt marad,A maraton során a vezető futó a többi futó előtt maradt,,,,Mantenerse por delante de la manada,"Al innovar constantemente, la compañía se mantiene a la vanguardia en la industria.","Durante la maratón, el corredor principal se mantuvo por delante de la manada de otros corredores.",kókó dúró ná kó tó di pé wón di ẹrù náà mú,"Nípa títún ilé iṣé náà ṣe déédéé, ilé iṣé náà ti ń dúró ṣáájú àwọn ohun èlò ìkòwé tí wón fi ń ṣe ilé iṣé","Nígbà tí ìjà ń lọ lówó, sárésáré tó jé òléwájú nínú eré ìje náà ti ń dúró níwájú àwọn ohun èlò tí wón fi di àwọn sárésáré yòókù",紧紧站在背包前面,"通过不断创新,公司在行业中领先于企业",在马拉松比赛中 领先于其他赛跑者
