idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_f_de_google,p_l_de_google,p_a_de_google,p_f_he_google,p_l_he_google,p_a_he_google,p_f_hi_google,p_l_hi_google,p_a_hi_google,p_f_hu_google,p_l_hu_google,p_a_hu_google,p_f_ko_google,p_l_ko_google,p_a_ko_google,p_f_es_google,p_l_es_google,p_a_es_google,p_f_yo_google,p_l_yo_google,p_a_yo_google,p_f_zh_google,p_l_zh_google,p_a_zh_google
a wet blanket,a person who spoils other people's fun.,"He was always [[being a wet blanket]] at parties, constantly complaining","After the rainstorm, the picnic blanket was [[being a wet blanket]] on the ground","He was always being a wet blanket at parties, constantly complaining","After the rainstorm, the picnic blanket was being a wet blanket on the ground",being a wet blanket,Auf Partys war er immer eine nasse Decke und beschwerte sich ständig,Nach dem Regenschauer lag die Picknickdecke als nasse Decke auf dem Boden,eine nasse Decke sein,"הוא תמיד היה שמיכה רטובה במסיבות, כל הזמן מתלונן","לאחר סופת הגשם, שמיכת הפיקניק הייתה שמיכה רטובה על האדמה",להיות שמיכה רטובה,"वह हमेशा पार्टियों में गीला कम्बल बना रहता था, लगातार शिकायत करता रहता था",झमाझम बारिश के बाद पिकनिक कम्बल जमीन पर गीला कम्बल हो रहा था,गीला कंबल होना,"Mindig nedves takaró volt a bulikon, és állandóan panaszkodott",Az eső után a piknik takaró nedves takaró volt a földön,vizes takaró lévén,그는 항상 파티에서 젖은 이불이었고 끊임없이 불평했습니다.,폭풍우가 지나간 후 ​​피크닉 담요는 땅에 젖은 담요였습니다.,젖은 이불이 되어,"Siempre estaba siendo una manta mojada en las fiestas, quejándose constantemente","Después de la tormenta, la manta de picnic estaba siendo una manta mojada en el suelo.",ser una manta mojada,"O nigbagbogbo jẹ ibora tutu ni awọn ayẹyẹ, nigbagbogbo nkùn","Lẹhin iji ojo, ibora pikiniki jẹ ibora tutu lori ilẹ",jije kan tutu ibora,他总是在聚会上湿漉漉的，不停地抱怨,暴雨过后，野餐毯在地上湿漉漉的,作为一个湿毯子
a whale of,very big (piece) of something,We [[had a whale of a time]] at the amusement park,The marine biologist [[had a whale of a time]] studying the humpback's behavior,We had a whale of a time at the amusement park,The marine biologist had a whale of a time studying the humpback's behavior,had a whale of a time,Wir hatten eine Menge Spaß im Vergnügungspark,"Der Meeresbiologe hatte eine Menge Spaß damit, das Verhalten des Buckelwals zu studieren",hatte eine tolle Zeit,בילינו בלונה פארק,הביולוג הימי חקר את התנהגותו של הגבן,היה לוויתן של פעם,मनोरंजन पार्क में हमारे पास एक समय की व्हेल थी,समुद्री जीवविज्ञानी को हंपबैक के व्यवहार का अध्ययन करने में बहुत समय लगा,एक समय की व्हेल थी,Egy bálnát töltöttünk a vidámparkban,A tengerbiológus egy bálna tanulmányozta a púpos hátú viselkedését,volt egy bálna ideje,우리는 놀이공원에서 시간의 고래를 보냈습니다.,해양생물학자는 혹등고래의 행동을 연구하면서 시간을 보냈습니다.,시간의 고래를했다,Tuvimos una ballena de un tiempo en el parque de diversiones,El biólogo marino se divirtió mucho estudiando el comportamiento de la ballena jorobada.,tenía una ballena de un tiempo,A ni ẹja nla kan ti akoko kan ni ọgba iṣere,Onimọ-jinlẹ inu omi ni ẹja ti akoko kan ti n ṣe ikẹkọ ihuwasi humpback,ní ẹja ti akoko kan,我们在游乐园玩得很开心,这位海洋生物学家花了大量时间研究座头鲸的行为,玩得很开心
a whole new ball game,a significant change in circumstances.,"After the company's merger, [[it's a whole new ball game]] for the employees","When they switched from soccer to baseball, [[it's a whole new ball game]] for the players","After the company's merger, it's a whole new ball game for the employees","When they switched from soccer to baseball, it's a whole new ball game for the players",it's a whole new ball game,Nach der Unternehmensfusion ist es für die Mitarbeiter ein völlig neues Spiel,"Als sie vom Fußball zum Baseball wechselten, war es für die Spieler ein ganz neues Ballspiel",Es ist ein ganz neues Ballspiel,"לאחר מיזוג החברה, מדובר במשחק כדור חדש לגמרי עבור העובדים","כשהם עברו מכדורגל לבייסבול, זה משחק כדור חדש לגמרי עבור השחקנים",זה משחק כדור חדש לגמרי,कंपनी के विलय के बाद कर्मचारियों के लिए यह बिल्कुल नया खेल है,"जब उन्होंने सॉकर से बेसबॉल में स्विच किया, तो यह खिलाड़ियों के लिए बिल्कुल नया बॉल गेम है",यह पूरी तरह से नई गेंद का खेल है,A cég egyesülése után ez egy teljesen új labdajáték az alkalmazottak számára,"Amikor a fociról baseballra váltottak, ez egy teljesen új labdajáték a játékosok számára",ez egy teljesen új labdajáték,"회사 합병 후, 직원들에게는 완전히 새로운 볼 게임입니다.","축구에서 야구로 전환했을 때, 선수들에게는 완전히 새로운 볼 게임입니다.",그것은 완전히 새로운 볼 게임입니다,"Después de la fusión de la compañía, es un juego de pelota completamente nuevo para los empleados.","Cuando cambiaron de fútbol a béisbol, es un juego de pelota completamente nuevo para los jugadores.",es un juego de pelota completamente nuevo,"Lẹhin ti awọn ile-ile àkópọ, o jẹ kan gbogbo titun rogodo ere fun awọn abáni","Nigbati wọn yipada lati bọọlu afẹsẹgba si baseball, o jẹ gbogbo ere bọọlu tuntun fun awọn oṣere",o jẹ kan gbogbo titun rogodo game,公司合并后，对员工来说是一个全新的球赛,当他们从足球转向棒球时，这对球员来说是一种全新的球类运动,这是一场全新的球赛
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,The company [[started a witch hunt]] to find the person responsible for the leak,"During the historical reenactment, they [[started a witch hunt]] to portray the events accurately",The company started a witch hunt to find the person responsible for the leak,"During the historical reenactment, they started a witch hunt to portray the events accurately",started a witch hunt,"Das Unternehmen startete eine Hexenjagd, um die Person zu finden, die für das Leck verantwortlich war","Während der historischen Nachstellung starteten sie eine Hexenjagd, um die Ereignisse genau darzustellen",begann eine Hexenjagd,החברה החלה בציד מכשפות כדי למצוא את האחראי להדלפה,"במהלך השחזור ההיסטורי, הם החלו בציד מכשפות כדי לתאר את האירועים בצורה מדויקת",התחילו בציד מכשפות,कंपनी ने लीक के लिए जिम्मेदार व्यक्ति की तलाश शुरू कर दी है,"ऐतिहासिक पुनर्निर्माण के दौरान, उन्होंने घटनाओं को सटीक रूप से चित्रित करने के लिए एक विच हंट शुरू किया",एक चुड़ैल का शिकार शुरू किया,"A cég boszorkányüldözésbe kezdett, hogy megtalálja a kiszivárogtatásért felelős személyt",A történelmi újrajátszás során boszorkányüldözésbe kezdtek az események pontos ábrázolása érdekében,boszorkányüldözésbe kezdett,회사는 유출 책임자를 찾기 위해 마녀사냥을 시작했습니다.,역사재연 당시 사건을 정확하게 묘사하기 위해 마녀사냥을 시작했다.,마녀사냥을 시작했다,La empresa inició una cacería de brujas para encontrar al responsable de la filtración,"Durante la recreación histórica, iniciaron una cacería de brujas para retratar los hechos con precisión.",empezó una cacería de brujas,Awọn ile-bere a Aje sode lati ri awọn eniyan lodidi fun awọn jo,"Lakoko imupadabọ itan, wọn bẹrẹ ọdẹ ajẹ lati ṣe afihan awọn iṣẹlẹ ni deede",bere a Aje sode,该公司开始了一场政治迫害，以寻找应对泄密事件负责的人,在历史重演期间，他们开始了一场政治迫害，以准确地描绘事件,开始了一场政治迫害
acid test,a test that proves a hypothesis or validity of a product or idea,Moving in together was [[the acid test for their relationship]] to see if they could handle living with each other,The chemistry lab experiment was [[the acid test for their relationship]] as they had to work together to determine the pH of various solutions,Moving in together was the acid test for their relationship to see if they could handle living with each other,The chemistry lab experiment was the acid test for their relationship as they had to work together to determine the pH of various solutions,the acid test for their relationship,"Das Zusammenziehen war der Härtetest für ihre Beziehung, um zu sehen, ob sie mit dem Zusammenleben zurechtkommen würden","Das Experiment im Chemielabor war der Härtetest für ihre Beziehung, da sie zusammenarbeiten mussten, um den pH-Wert verschiedener Lösungen zu bestimmen",der Härtetest für ihre Beziehung,המעבר לגור יחד היה מבחן החומצה למערכת היחסים שלהם כדי לראות אם הם יכולים להתמודד עם החיים אחד עם השני,"ניסוי המעבדה לכימיה היה מבחן החומצה למערכת היחסים ביניהם, שכן הם היו צריכים לעבוד יחד כדי לקבוע את ה-pH של תמיסות שונות",מבחן החומצה למערכת היחסים ביניהם,"एक साथ रहना उनके रिश्ते के लिए एसिड टेस्ट था, यह देखने के लिए कि क्या वे एक दूसरे के साथ रहने को संभाल सकते हैं",रसायन विज्ञान प्रयोगशाला प्रयोग उनके संबंधों के लिए अम्ल परीक्षण था क्योंकि विभिन्न समाधानों के पीएच को निर्धारित करने के लिए उन्हें एक साथ काम करना था,उनके रिश्ते के लिए एसिड टेस्ट,"Az összeköltözés a kapcsolatuk próbatétele volt, hogy kibírják-e az együttélést","A kémiai laborkísérlet a kapcsolatuk savpróbája volt, mivel közösen kellett meghatározniuk a különböző oldatok pH-értékét",kapcsolatuk savpróbája,함께 이사하는 것은 그들이 서로 생활을 감당할 수 있는지 알아보기 위한 그들의 관계에 대한 산성 테스트였습니다.,화학 실험실 실험은 다양한 용액의 pH를 결정하기 위해 함께 작업해야 했기 때문에 그들의 관계에 대한 산성 테스트였습니다.,그들의 관계에 대한 산성 테스트,Mudarse juntos fue la prueba de fuego para su relación para ver si podían manejar la convivencia.,"El experimento del laboratorio de química fue la prueba de fuego para su relación, ya que tuvieron que trabajar juntos para determinar el pH de varias soluciones.",la prueba de fuego para su relación,Gbigbe ni papọ ni idanwo acid fun ibatan wọn lati rii boya wọn le mu gbigbe pẹlu ara wọn,Idanwo laabu kemistri jẹ idanwo acid fun ibatan wọn bi wọn ṣe ni lati ṣiṣẹ papọ lati pinnu pH ti awọn solusan oriṣiriṣi,idanwo acid fun ibasepọ wọn,同居是对他们关系的严峻考验，看他们是否能应付彼此的生活,化学实验室实验是对他们关系的严峻考验，因为他们必须共同努力来确定各种溶液的 pH 值,他们关系的严峻考验
across the board,applying to everyone,The company saw [[improvements across the board]] after implementing new strategies,The chess master made [[improvements across the board]] by adjusting the positions of his pieces,The company saw improvements across the board after implementing new strategies,The chess master made improvements across the board by adjusting the positions of his pieces,improvements across the board,Durch die Umsetzung neuer Strategien verzeichnete das Unternehmen in allen Bereichen Verbesserungen,"Der Schachmeister nahm auf ganzer Linie Verbesserungen vor, indem er die Positionen seiner Figuren anpasste",Verbesserungen auf ganzer Linie,החברה ראתה שיפורים ברחבי הלוח לאחר הטמעת אסטרטגיות חדשות,מאסטר השחמט ביצע שיפורים בכל הלוח על ידי התאמת מיקומי הכלים שלו,שיפורים בכל התחומים,कंपनी ने नई रणनीतियों को लागू करने के बाद बोर्ड में सुधार देखा,शतरंज के मास्टर ने अपने मोहरों की स्थिति को समायोजित करके पूरे बोर्ड में सुधार किया,बोर्ड भर में सुधार,A vállalat az új stratégiák bevezetése után minden téren javulást tapasztalt,A sakkmester az egész táblán javított figurái helyzetének beállításával,átfogó fejlesztések,회사는 새로운 전략을 구현한 후 전반적으로 개선되었습니다.,체스 마스터는 말의 위치를 ​​조정하여 전반적으로 개선했습니다.,전반적인 개선,La empresa vio mejoras en todos los ámbitos después de implementar nuevas estrategias.,El maestro de ajedrez hizo mejoras en todos los ámbitos ajustando las posiciones de sus piezas.,mejoras en todos los ámbitos,Ile-iṣẹ naa rii awọn ilọsiwaju kọja igbimọ lẹhin imuse awọn ilana tuntun,Titunto si chess ṣe awọn ilọsiwaju kọja igbimọ nipasẹ ṣatunṣe awọn ipo ti awọn ege rẹ,awọn ilọsiwaju kọja awọn ọkọ,实施新战略后，公司全面改善,国际象棋大师通过调整棋子的位置进行了全面改进,全面改进
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse","By spreading rumors, [[they added fuel to the flames]] of the ongoing conflict","To keep the bonfire going, [[they added fuel to the flames]] by throwing more wood","By spreading rumors, they added fuel to the flames of the ongoing conflict","To keep the bonfire going, they added fuel to the flames by throwing more wood",they added fuel to the flames,Durch die Verbreitung von Gerüchten heizten sie den anhaltenden Konflikt weiter an,"Um das Lagerfeuer am Laufen zu halten, füllten sie die Flammen mit weiterem Holz, das sie anheizten",Sie fügten den Flammen Öl hinzu,"על ידי הפצת שמועות, הם הוסיפו שמן ללהבות הסכסוך המתמשך","כדי לשמור על המדורה, הם הוסיפו דלק ללהבות על ידי זריקת עצים נוספים",הם הוסיפו דלק ללהבות,अफवाहें फैलाकर उन्होंने चल रहे संघर्ष की आग में घी डालने का काम किया,अलाव को चालू रखने के लिए उन्होंने और लकड़ी फेंक कर आग में घी डालने का काम किया,उन्होंने आग में ईंधन डाला,A pletykák terjesztésével olajat öntöttek a folyamatban lévő konfliktus lángjaira,A máglya fennmaradása érdekében további fát dobtak a lángokra,olajat öntöttek a lángokhoz,그들은 소문을 퍼뜨림으로써 계속되는 분쟁의 불길에 연료를 더했습니다.,모닥불을 계속 피우기 위해 그들은 더 많은 장작을 던져 불길에 연료를 더했습니다.,그들은 불길에 연료를 더했다,"Al difundir rumores, agregaron combustible a las llamas del conflicto en curso.","Para mantener la hoguera encendida, añadieron leña a las llamas tirando más leña",echaron leña a las llamas,"Nípa títan ahọ́n sọ, wọ́n tún mú kí ìforígbárí tí ń lọ lọ́wọ́ túbọ̀ jóná","Láti jẹ́ kí iná náà máa lọ, wọ́n fi epo kún iná nípa sísọ igi púpọ̀ sí i",wọ́n fi epo kún iná náà,他们散布谣言，为正在进行的冲突火上浇油,为了让篝火继续燃烧，他们扔了更多的木头来给火焰加油,他们火上浇油
against the clock,in a great hurry to finish something before a particular time,"With the deadline approaching, we [[were racing against the clock]] to finish the project","In the unique competition, participants [[were racing against the clock]] by trying to outrun a giant clock on wheels","With the deadline approaching, we were racing against the clock to finish the project","In the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",were racing against the clock,"Da die Frist immer näher rückte, kämpften wir gegen die Zeit, um das Projekt fertigzustellen","In diesem einzigartigen Wettbewerb traten die Teilnehmer gegen die Zeit an, indem sie versuchten, einer riesigen Uhr auf Rädern zu entkommen",Rennen gegen die Zeit,"כשהדד-ליין התקרב, התחרפנו נגד השעון כדי לסיים את הפרויקט","בתחרות הייחודית, המשתתפים התחרו נגד השעון בניסיון לעקוף שעון ענק על גלגלים",רצו נגד השעון,"समय सीमा नजदीक आने के साथ, हम परियोजना को पूरा करने के लिए घड़ी के खिलाफ दौड़ रहे थे","अनूठी प्रतियोगिता में, प्रतिभागी पहियों पर एक विशाल घड़ी से आगे निकलने की कोशिश कर घड़ी के खिलाफ दौड़ रहे थे",घड़ी के खिलाफ दौड़ रहे थे,"A határidő közeledtével versenyt futottunk az idővel, hogy befejezzük a projektet","Az egyedülálló megmérettetésen a résztvevők az órával versenyeztek úgy, hogy egy hatalmas kerekes órát próbáltak lehagyni",versenyt futottak az órával,마감일이 다가옴에 따라 우리는 프로젝트를 완료하기 위해 시계와 경쟁하고 있었습니다.,독특한 대회에서 참가자들은 바퀴가 달린 거대한 시계를 앞질러 시계와 경쟁했습니다.,시계와 경쟁하고 있었다,"Con la fecha límite acercándose, estábamos corriendo contrarreloj para terminar el proyecto","En la competencia única, los participantes competían contrarreloj intentando correr más rápido que un reloj gigante sobre ruedas.",estaban corriendo contra el reloj,"Pẹlu akoko ipari ti n sunmọ, a n dije lodi si aago lati pari iṣẹ naa","Ninu idije alailẹgbẹ, awọn olukopa ti n ja lodi si aago nipa igbiyanju lati ju aago nla kan lọ lori awọn kẹkẹ",won-ije lodi si aago,随着最后期限的临近，我们正在争分夺秒地完成这个项目,在这场独特的​​比赛中，参赛者争分夺秒地试图超越带轮子的巨型时钟,争分夺秒
against the grain,a difficult path to be followed,His decision to quit his job was [[going against the grain]] of his family's expectations,"When sanding wood, [[going against the grain]] can cause scratches and damage",His decision to quit his job was going against the grain of his family's expectations,"When sanding wood, going against the grain can cause scratches and damage",going against the grain,"Seine Entscheidung, seinen Job zu kündigen, widersprach den Erwartungen seiner Familie","Wenn Sie Holz gegen die Maserung schleifen, kann es zu Kratzern und Beschädigungen kommen",gegen den Strich gehen,החלטתו לעזוב את עבודתו עמדה בניגוד לציפיות משפחתו,"בעת שיוף עץ, יציאה נגד הגרגר עלולה לגרום לשריטות ולנזקים",הולך נגד הדגן,नौकरी छोड़ने का उनका फैसला उनके परिवार की उम्मीदों के विपरीत जा रहा था,"लकड़ी को रेतते समय, अनाज के विपरीत जाने से खरोंच और क्षति हो सकती है",अनाज के खिलाफ जा रहा है,"Döntése, hogy felmond a munkahelyén, ellentétben állt családja elvárásaival",Fa csiszolásakor az erezetbe ütközés karcolásokat és sérüléseket okozhat,szembemegy a gabonával,직장을 그만두기로 한 그의 결정은 가족의 기대에 반하는 것이었다.,나무를 샌딩할 때 나뭇결에 반하여 긁히거나 손상될 수 있습니다.,곡식을 거스르다,Su decisión de renunciar a su trabajo iba en contra de las expectativas de su familia.,"Al lijar madera, ir en contra de la veta puede causar rayones y daños.",yendo contra la corriente,Ìpinnu rẹ̀ láti jáwọ́ nínú iṣẹ́ rẹ̀ ń lòdì sí ohun tí ìdílé rẹ̀ ń retí,"Nigbati o ba n yan igi, lilọ lodi si ọkà le fa awọn ibọsẹ ati ibajẹ",lọ lodi si awọn ọkà,他辞职的决定违背了家人的期望,打磨木材时，逆着纹理打磨会导致划痕和损坏,违背谷物
ahead of the curve,better than others,"By constantly learning new skills, she [[was staying ahead of the curve]] in her industry",The race car driver [[was staying ahead of the curve]] by maintaining a lead on the track,"By constantly learning new skills, she was staying ahead of the curve in her industry",The race car driver was staying ahead of the curve by maintaining a lead on the track,was staying ahead of the curve,"Indem sie ständig neue Fähigkeiten erlernte, blieb sie in ihrer Branche immer einen Schritt voraus","Der Rennfahrer blieb vor der Kurve, indem er einen Vorsprung auf der Strecke behielt",war immer einen Schritt voraus,"על ידי למידה מתמדת של מיומנויות חדשות, היא נשארה לפני העקומה בענף שלה",נהג המירוץ נשאר לפני העקומה על ידי שמירה על יתרון על המסלול,נשארה לפני העקומה,"लगातार नए कौशल सीखते हुए, वह अपने उद्योग में वक्र से आगे रह रही थी",ट्रैक पर लीड बनाए रखते हुए रेस कार चालक कर्व से आगे रह रहा था,वक्र के आगे रह रहा था,Folyamatosan új ismeretek elsajátításával az iparágban élen járt,"A versenyautó pilóta az ív előtt maradt azzal, hogy megőrizte előnyét a pályán",a kanyar előtt maradt,끊임없이 새로운 기술을 배움으로써 그녀는 업계에서 앞서 나가고 있었습니다.,경주용 자동차 운전자는 트랙에서 선두를 유지함으로써 커브보다 앞서 나가고 있었습니다.,곡선보다 앞서 있었다,"Al aprender constantemente nuevas habilidades, se mantuvo a la vanguardia en su industria.",El piloto de carreras se adelantaba a la curva manteniendo la delantera en la pista.,se estaba quedando por delante de la curva,"Nipa kikọ ẹkọ awọn ọgbọn tuntun nigbagbogbo, o wa niwaju ti tẹ ni ile-iṣẹ rẹ",Awakọ ọkọ ayọkẹlẹ ere-ije naa duro niwaju ti tẹ nipa mimu asiwaju lori orin naa,ti a duro niwaju ti tẹ,通过不断学习新技能，她在行业中保持领先地位,赛车手通过在赛道上保持领先而保持领先,保持领先地位
