idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt,p_l_he_gpt,p_f_hi_gpt,p_l_hi_gpt
stiff upper lip,to be brave in the face of adversity,"Despite the bad news, [[he maintained a stiff upper lip]] and carried on","Due to the cold weather, [[he maintained a stiff upper lip]] until he could warm up","Despite the bad news, he maintained a stiff upper lip and carried on","Due to the cold weather, he maintained a stiff upper lip until he could warm up",he maintained a stiff upper lip,Er behielt eine steife Oberlippe.,Trotz der schlechten Nachrichten behielt er eine steife Oberlippe und machte weiter.,"Aufgrund des kalten Wetters behielt er eine steife obere Lippe, bis er sich aufwärmen konnte.",הוא שמר על גבול עליון קשוח.,"למרות החדשות הרעות, הוא שמר על פניו הקשוח והמשיך קדימה.","בגלל המזג האטום, הוא שמר על פניו הקשוחה עד שהוא התחמם.","बुरी खबरों के बावजूद, उसने अपने होंठों को सख्त रखा और जारी रखा।",ठंडी हवा के कारण उसने अपने होंठों को सख्त रखा जब तक वह गर्म नहीं हो जाता था।
stir up a hornet's nest,to create trouble,"By questioning the company's policies, he [[stirred up a hornet's nest]] among the employees","While clearing the garden, she accidentally [[stirred up a hornet's nest]] and got stung","By questioning the company's policies, he stirred up a hornet's nest among the employees","While clearing the garden, she accidentally stirred up a hornet's nest and got stung",stirred up a hornet's nest,hat ein Wespennest aufgewühlt,"Indem er die Unternehmenspolitik in Frage stellte, hat er unter den Mitarbeitern ein Wespennest aufgewirbelt.",Beim Aufräumen des Gartens hat sie versehentlich ein Hornissennest aufgewirbelt und wurde gestochen.,עורר קורקינט צרעות,"על ידי העלאת שאלות לגבי מדיניות החברה, הוא עורר קוראן של עוקצים בקרב העובדים.","בזמן שהיא ניקתה את הגינה, היא ערבבה בטעות קפיץ של צרצר וקיבלה נקודה.",वह कंपनी की नीतियों पर सवाल उठाकर कर्मचारियों के बीच एक बड़ा विवाद पैदा कर दिया।,"बगीचा साफ करते समय, उसने भ्रमित होकर एक भड़भड़ाते मधुमक्खी के घोंसले को उखाड़ दिया और काट लिया।"
stop by,to meet someone or go somewhere in a brief and informal manner,I'll [[stop by the store]] to pick up some groceries on my way home,"During our walk, we decided to [[stop by the store]] to take shelter from the sudden downpour",I'll stop by the store to pick up some groceries on my way home,"During our walk, we decided to stop by the store to take shelter from the sudden downpour",stop by the store,Halte im Laden an.,"Ich werde auf dem Weg nach Hause im Laden vorbeischauen, um einige Lebensmittel einzukaufen.","Während unseres Spaziergangs beschlossen wir, im Laden Schutz vor dem plötzlichen Regenschauer zu suchen.",עצור בחנות,אני אעצור בחנות כדי לקנות מצרכים לבית בדרך הביתה.,"במהלך ההליכה שלנו, החלטנו לעצור בחנות כדי להצטלם מהגשם הפתאומי.",मैं घर जाने के रास्ते स्टोर पर रुकूंगा और कुछ ग्रोसरी लेकर आऊंगा।,"हमारी सैर के दौरान, हमने अचानक बारिश से बचने के लिए दुकान में रुकने का फैसला किया।"
stop the rot,"when you prevent a situation from deteriorating, especially in business or politics",The new manager [[stopped the rot]] by implementing better policies,The gardener [[stopped the rot]] by removing the infected plants,The new manager stopped the rot by implementing better policies,The gardener stopped the rot by removing the infected plants,stopped the rot,gestoppt den Verfall,"Der neue Manager stoppte den Verfall, indem er bessere Richtlinien umsetzte.","Der Gärtner stoppte die Fäulnis, indem er die infizierten Pflanzen entfernte.",עצר את הזיהום.,המנהל החדש עצר את הכוונה על ידי הטמעת מדיניות טובה יותר.,הגנן עצר את הזיהום על ידי הסרת הצמחים המדוכאים.,नए प्रबंधक ने बेहतर नीतियों को लागू करके रोट को रोक दिया।,बागवान ने संक्रमित पौधों को हटाकर संक्रमण को रोक दिया।
straight from the horse's mouth,from a dependable or reliable source,I [[heard it straight from the horse's mouth]] that the company is planning a merger,The veterinarian [[heard it straight from the horse's mouth]] when the animal neighed loudly,I heard it straight from the horse's mouth that the company is planning a merger,The veterinarian heard it straight from the horse's mouth when the animal neighed loudly,heard it straight from the horse's mouth,Ich habe es direkt aus erster Hand gehört.,"Ich habe es direkt aus erster Hand gehört, dass das Unternehmen eine Fusion plant.","Der Tierarzt hörte es direkt aus dem Pferdemund, als das Tier laut wieherte.",שמעתי את זה ישירות מפי הסוס.,שמעתי זאת ישירות מפי הסוס שהחברה מתכננת מיזוג.,הוא הקשיב ישירות מפי הסוס כשהחיה ניצחה בקול רם.,मैंने सीधे घोड़े के मुंह से सुना है कि कंपनी एक मर्जर की योजना बना रही है।,पशु चिकित्सक ने सीधे घोड़े के मुंह से सुना जब जानवर जोर से हिंखोरी लगाई।
straight shooter,someone who speaks the truth,"In the world of politics, her reputation as [[a straight shooter]] sets her apart from the rest","The archer was [[a straight shooter]], hitting the bullseye every time","In the world of politics, her reputation as a straight shooter sets her apart from the rest","The archer was a straight shooter, hitting the bullseye every time",a straight shooter,ein ehrlicher Mensch,In der Welt der Politik unterscheidet sie sich von den anderen durch ihren Ruf als ehrliche Person.,Der Bogenschütze war ein gerader Schütze und traf jedes Mal ins Schwarze.,צורן ישר,"בעולם הפוליטיקה, המוניטיה שלה כאדם ישר מבדילה אותה מהשאר.","הקשתן היה יורה ישר, מכוון למטרה בכל פעם.","राजनीति के दुनिया में, उसकी सीधी बात करने की रिपुटेशन उसे बाकी सभी से अलग बनाती है।","धनुर्धारी सीधा निशाना लगाने वाला था, हर बार बुलबुले को छूता था।"
straighten up and fly right,to get serious and stop acting absurd anymore.,"After a stern warning from his boss, he decided [[to straighten up and fly right]] at work",The pilot had [[to straighten up and fly right]] to avoid turbulence,"After a stern warning from his boss, he decided to straighten up and fly right at work",The pilot had to straighten up and fly right to avoid turbulence,to straighten up and fly right,"""Sich aufrichten und richtig fliegen.""","Nach einer strengen Warnung von seinem Chef beschloss er, sich bei der Arbeit zusammenzureißen und sich richtig zu verhalten.","Der Pilot musste sich aufrichten und geradeaus fliegen, um Turbulenzen zu vermeiden.",להתקן ולטוס בצורה נכונה,"לאחר אזהרה קשה מהמנהל שלו, הוא החליט להתאושש ולעשות את העבודה כמו שצריך.",הטייס היה צריך להתקדם בקו ישר ולטוס נכון כדי להימנע מטורבולנציה.,"अपने बॉस की कड़ी चेतावनी के बाद, उसने निर्णय लिया कि काम पर सीधा और सही तरीके से करेगा।",पायलट को टर्बुलेंस से बचने के लिए सीधा होकर उड़ना पड़ा।
strike while the iron is hot,to take advantage of a situation,"To seize the opportunity, he decided [[to strike while the iron is hot]] and invest in the stock market","As a blacksmith, he knew he had [[to strike while the iron is hot]] to shape the metal properly","To seize the opportunity, he decided to strike while the iron is hot and invest in the stock market","As a blacksmith, he knew he had to strike while the iron is hot to shape the metal properly",to strike while the iron is hot,"""Den Moment nutzen"" or ""Während das Eisen heiß ist schmieden.""","Um die Gelegenheit zu nutzen, entschied er sich, jetzt zuzuschlagen und in die Börse zu investieren.","Als Schmied wusste er, dass er das Eisen schmieden musste, solange es heiß war, um das Metall richtig zu formen.",להכות כשהברזל חם,"כדי להשתלט על ההזדמנות, הוא החליט להכות כל עוד הברזל חם ולהשקיע בבורסה.","כמסגר, ידע שהוא חייב להכות כשהברזל חם כדי לצור את המתכת בצורה הנכונה.","अवसर को पकड़ने के लिए, उसने ताकतवर होने का फायदा उठाते हुए ताता को गरम करते हुए स्टॉक मार्केट में निवेश करने का फैसला किया।","एक कलाईदार के रूप में, उसे यह जानना था कि धातु को सही ढंग से आकार देने के लिए जब लोहा गरम होता है तो उसे मारना चाहिए।"
suited and booted,formally dressed; well dressed,"He [[was suited and booted for the event]], ready to impress everyone with his confidence","He [[was suited and booted for the event]], wearing a tailored suit and polished shoes","He was suited and booted for the event, ready to impress everyone with his confidence","He was suited and booted for the event, wearing a tailored suit and polished shoes",was suited and booted for the event,war für die Veranstaltung angezogen und bereit,"Er war für das Ereignis angezogen und bereit, alle mit seinem Selbstbewusstsein zu beeindrucken.","Er war für das Ereignis angezogen und gestiefelt, trug einen maßgeschneiderten Anzug und polierte Schuhe.",הייתי מלבש ומסודר לאירוע.,"הוא התאים ונעל לאירוע, מוכן להרשים את כולם עם ביטחונו.","הוא היה מלביש מחווה ומזונן עבור האירוע, עם חליפת מדויקת ונעליים מלוטשות.","उन्होंने इस आयोजन के लिए सूट पहना था, अपने आत्मविश्वास से सभी को प्रभावित करने के लिए तैयार था।",उन्होंने इस आयोजन के लिए सूट पहना था और चमकदार जूते पहने थे।
sweep under the rug,try to hide a problem or keep a problem secret instead of dealing with it,"Instead of addressing the problem, [[they swept the issue under the rug]] and pretended it didn't exist","After breaking the vase, [[they swept the issue under the rug]] to hide the evidence","Instead of addressing the problem, they swept the issue under the rug and pretended it didn't exist","After breaking the vase, they swept the issue under the rug to hide the evidence",they swept the issue under the rug,Sie haben das Problem unter den Teppich gekehrt.,"Anstatt das Problem anzugehen, kehrten sie die Angelegenheit unter den Teppich und taten so, als ob es nicht existierte.","Nachdem sie die Vase zerbrochen hatten, kehrten sie das Problem unter den Teppich, um die Beweise zu verbergen.",הם ניקו את הנושא תחת השטיח.,"במקום לטפל בבעיה, הם סחבו את הנושא תחת השטיח והתחכו שהוא לא קיים.","לאחר ששברו את הוואזה, הם סיפקו את הנושא תחת השטיח כדי להסתיר את הראיות.","मुद्दे का समाधान करने की बजाय, उन्होंने मुद्दे को चुपा दिया और ऐसा महसूस नहीं किया कि यह मौजूद है।","फूलदान तोड़ने के बाद, उन्होंने सबूत छुपाने के लिए मुद्दे को चुपा दिया।"
take a back seat,take a less important position.,"[[He took a back seat to her]] in the project, letting her lead the team","[[He took a back seat to her]] in the car, giving her the front passenger seat","He took a back seat to her in the project, letting her lead the team","He took a back seat to her in the car, giving her the front passenger seat",He took a back seat to her,Er nahm eine hintere Position zu ihr ein.,Er nahm im Projekt eine zurückhaltende Rolle ein und ließ sie das Team führen.,Er nahm auf dem Rücksitz des Autos Platz und gab ihr den Beifahrersitz.,הוא נכנע לה.,"הוא נכנע לה והתיישן בפרויקט, מאפשר לה להוביל את הצוות.","הוא ישב במושב האחורי ברכב, נותן לה את מושב הנוסע הקדמי.","उसने परियोजना में उसके पीछे की सीट ली, उसे टीम का नेतृत्व करने देते हुए।",उसने कार में उसके पीछे की सीट ली और उसे फ्रंट पैसेंजर सीट दी।
take a beating,to be defeated in doing something and be reprimanded for the same,The company's stock prices [[took a beating]] after the negative news,The old punching bag [[took a beating]] during the intense workout session,The company's stock prices took a beating after the negative news,The old punching bag took a beating during the intense workout session,took a beating,wurde verprügelt,Die Aktienkurse des Unternehmens erlitten einen Rückschlag nach den negativen Nachrichten.,Der alte Boxsack wurde während der intensiven Trainingseinheit hart geschlagen.,לקח חבורה,מחירי המניות של החברה נפלו כתוצאה מהחדשות השליליות.,השק תרסיס הישן ספג תקלות במהלך האימון המתמשך.,कंपनी के स्टॉक मूल्यों को नकारात्मक समाचार के बाद एक झटका लगा।,पुराना पंचिंग बैग तीव्र वर्कआउट सत्र के दौरान मार खाकर थक गया।
take a cue from,to do what is recommended by someone else,You should [[take a cue from her]] and start organizing your time better,"During the pool game, he decided to [[take a cue from her]] and use her favorite one",You should take a cue from her and start organizing your time better,"During the pool game, he decided to take a cue from her and use her favorite one",take a cue from her,Nimm dir ein Beispiel an ihr.,"Du solltest ein Beispiel von ihr nehmen und damit beginnen, deine Zeit besser zu organisieren.","Während des Poolspiels entschied er sich, einen Hinweis von ihr zu nehmen und ihren Lieblings-Cue zu benutzen.",קח רמז ממנה,אתה צריך לקחת רמז ממנה ולהתחיל לארגן את הזמן שלך בצורה טובה יותר.,"במהלך המשחק בבריכה, הוא החליט לקחת עצה ממנה ולהשתמש במועדון האהוב עליה.",आपको उससे प्रेरणा लेनी चाहिए और अपने समय को बेहतर ढंग से आयोजित करना शुरू करना चाहिए।,"पूल गेम के दौरान, उसने उससे प्रेरणा लेकर उसका पसंदीदा क्यू उपयोग करने का फैसला किया।"
take a hike,go away,"When he insulted her, she told him [[to take a hike]]","On a sunny day, they decided [[to take a hike]] in the nearby forest","When he insulted her, she told him to take a hike","On a sunny day, they decided to take a hike in the nearby forest",to take a hike,eine Wanderung machen,"Als er sie beleidigte, sagte sie ihm, er solle verschwinden.","An einem sonnigen Tag beschlossen sie, eine Wanderung im nahegelegenen Wald zu machen.",ללכת לטיול ברגל,"כשהוא העליב אותה, היא אמרה לו ללכת לטיול.","ביום שמשי, הם החליטו לצאת לטיול ביער הקרוב.","जब उसने उसे अपमानित किया, तब उसने उसे बाहर जाने को कहा।","एक धूपवाले दिन पर, वे निकटवर्ती जंगल में हाइकिंग करने का फैसला लिया।"
take a leaf out of someone's book,implement actionable advice,"To improve my work ethic, I decided to [[take a leaf out of her book]] and wake up early","To press and preserve the leaf, I had to carefully [[take a leaf out of her book]] of botanical specimens","To improve my work ethic, I decided to take a leaf out of her book and wake up early","To press and preserve the leaf, I had to carefully take a leaf out of her book of botanical specimens",take a leaf out of her book,Nimm dir ein Beispiel an ihr.,"Um meine Arbeitsmoral zu verbessern, beschloss ich, mir ein Beispiel an ihr zu nehmen und früh aufzustehen.","Um das Blatt zu pressen und aufzubewahren, musste ich sorgfältig ein Blatt aus ihrem Buch mit botanischen Proben entnehmen.",קח עלה מהספר שלה,"כדי לשפר את האתיקה שלי בעבודה, החלטתי לקחת דף מהספר שלה ולהתעורר מוקדם.","כדי ללחוץ ולשמור את העלה, הייתי צריך לקחת בזהירות עלה מספר הדגמים הבוטניים שלה.","मेरी काम ऊर्जा को बेहतर बनाने के लिए, मैंने उसकी तरह सुबह जल्दी उठकर एक पत्ती निकालने का फैसला किया।","पत्ती को दबाने और संरक्षित करने के लिए, मुझे उसकी वनस्पति नमूनों की किताब से एक पत्ती को सावधानीपूर्वक निकालना पड़ा।"
take it on the chin,this is a boxing metaphor meaning don't shy away from difficulty,"Despite the harsh criticism, [[he took it on the chin]] and kept working","During the boxing match, [[he took it on the chin]] and fell to the ground","Despite the harsh criticism, he took it on the chin and kept working","During the boxing match, he took it on the chin and fell to the ground",he took it on the chin,Er hat es hingenommen.,Trotz der harten Kritik hat er es hingenommen und weitergearbeitet.,Während des Boxkampfes nahm er es auf die Kinnlade und fiel zu Boden.,הוא ספג את זה על הסנטר.,"למרות הביקורת הקשה, הוא קיבל את זה על הסנטר והמשיך לעבוד.","במהלך המשחק בכדורגל, הוא נכנע ונפל לקרקע.","कठोर आलोचना के बावजूद, उसने इसे सहने का फैसला किया और काम जारी रखा।","बॉक्सिंग मैच के दौरान, उसने इसे अपने किनारे पर ले लिया और जमीन पर गिर गया।"
take up the cudgels,argue strongly in support or against somebody or something,[[He took up the cudgels for her]] when she was unfairly criticized,"During the historical reenactment, [[he took up the cudgels for her]] when she dropped hers",He took up the cudgels for her when she was unfairly criticized,"During the historical reenactment, he took up the cudgels for her when she dropped hers",He took up the cudgels for her,Er hat sich für sie eingesetzt.,"Er hat für sie Partei ergriffen, als sie unfair kritisiert wurde.","Während der historischen Nachstellung nahm er für sie die Keule auf, als sie ihre fallen ließ.",הוא תמך בה בכוחותיו.,הוא תמך בה כשהיא נבזתה בצורה לא הוגנת.,"במהלך החזרת היסטורית, הוא תמך בה כשהיא הפילה את שלה.","जब उसे अन्यायपूर्ण रूप से आलोचना की गई थी, तब वह उसके लिए लड़ाई लड़ने लगा।","ऐतिहासिक पुनरावृत्ति के दौरान, जब वह अपनी लाठी गिरा दी तो उसके लिए वह उसके लिए लड़ाई लड़ने लगा।"
take with a grain of salt,to understand that something is not completely true or right,"When listening to his stories, it's best [[to take it with a grain of salt]]","To balance the flavor, she decided [[to take it with a grain of salt]] and sprinkled it on her dish","When listening to his stories, it's best to take it with a grain of salt","To balance the flavor, she decided to take it with a grain of salt and sprinkled it on her dish",to take it with a grain of salt,"""Es mit einer Prise Salz nehmen.""","Wenn man seinen Geschichten zuhört, ist es am besten, sie mit einer Prise Salz zu nehmen.","Um den Geschmack auszugleichen, entschied sie sich, es mit einer Prise Salz zu nehmen und streute es auf ihr Gericht.",לקחת את זה עם גריטה של מלח,"כשאתה מקשיב לסיפוריו, הכי טוב לקחת את זה עם גריגר של מלח.","כדי לאזן את הטעם, היא החליטה לקחת את זה עם גריגר וזרקה את זה על המנה שלה.","उसकी कहानियों को सुनते समय, इसे नमक के साथ लेना सबसे अच्छा होता है।","स्वाद को संतुलित करने के लिए, उसने इसे नमक के साथ लेने का फैसला किया और अपनी डिश पर छिड़क दी।"
takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate,"When it comes to resolving conflicts, remember that [[it takes two to tango]]","In a dance competition, the judges reminded the participants that [[it takes two to tango]]","When it comes to resolving conflicts, remember that it takes two to tango","In a dance competition, the judges reminded the participants that it takes two to tango",it takes two to tango,"Es braucht zwei, um Tango zu tanzen.","Wenn es darum geht, Konflikte zu lösen, denken Sie daran, dass dazu zwei gehören.","In einem Tanzwettbewerb erinnerten die Richter die Teilnehmer daran, dass es zwei braucht, um Tango zu tanzen.",צריך שניים כדי לרקוד טנגו,"כשמדובר בפתרון סכסוכים, זכור שזה דורש שניים לריקוד טנגו.","בתחרות ריקודים, השופטים תזכירו למשתתפים שצריך שניים כדי לרקוד טנגו.","जब विवादों को हल करने की बात आती है, तो याद रखें कि इसमें दोनों की भागीदारी होती है।","एक नृत्य प्रतियोगिता में, न्यायाधीशों ने प्रतिभागियों को याद दिलाया कि टैंगो करने के लिए दो लोगों की आवश्यकता होती है।"
tall poppy,a privileged or distinguished person.,"She was [[a tall poppy among them]], always standing out with her exceptional achievements","In the field of wildflowers, there was [[a tall poppy among them]], reaching higher than the rest","She was a tall poppy among them, always standing out with her exceptional achievements","In the field of wildflowers, there was a tall poppy among them, reaching higher than the rest",a tall poppy among them,eine hohe Mohnblume unter ihnen,"Sie war unter ihnen eine hohe Mohnblume, die immer mit ihren außergewöhnlichen Leistungen herausragte.","Im Feld der Wildblumen gab es eine hohe Mohnblume unter ihnen, die höher als der Rest reichte.",פרח גבוה בקרבם,"היא הייתה פרח גבוה בקרבם, תמיד דוגלת בהישגיה המצוינים.","בשדה הפרחים הבר, היה פרפרן גבוה בקרבם, מגיע גבוה יותר מהשאר.","वह उनमें एक लंबी पॉपी थी, अपनी असाधारण उपलब्धियों के साथ हमेशा बाहर खड़ी होती थी।","जंगली फूलों के मैदान में उनमें से एक लंबी पोपी थी, जो बाकी से ऊंची तक पहुंच रही थी।"
tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,It's unfair to judge all politicians [[by tarring them with the same brush]],The painter made a mistake [[by tarring them with the same brush]] instead of using separate brushes for each color,It's unfair to judge all politicians by tarring them with the same brush,The painter made a mistake by tarring them with the same brush instead of using separate brushes for each color,by tarring them with the same brush,indem man sie alle über einen Kamm schert,"Es ist unfair, alle Politiker über einen Kamm zu scheren.","Der Maler hat einen Fehler gemacht, indem er sie mit demselben Pinsel teerte, anstatt für jede Farbe separate Pinsel zu verwenden.",על ידי צביעתם במברשת אחת.,זה לא הוגן לשפוט את כל הפוליטיקאים על ידי ציורם במברשת אחת.,הצייר טעה כשהשתמש במברשת אחת לצביעת כל הצבעים במקום להשתמש במברשות נפרדות לכל צבע.,सभी राजनेताओं को एक ही ब्रश से तर कर उनका निर्णय लेना अनुचित है।,चित्रकार ने उन्हें एक ही ब्रश से तर कर गलती की जगह उन्हें हर रंग के लिए अलग-अलग ब्रश का उपयोग करना चाहिए था।
taste of own medicine,when someone gets the same bad treatment that he has been giving others,"When he tried to prank her, [[she gave him a taste of his own medicine]] by pranking him back",[[She gave him a taste of his own medicine]] by making him try the bitter concoction he had prepared for her,"When he tried to prank her, she gave him a taste of his own medicine by pranking him back",She gave him a taste of his own medicine by making him try the bitter concoction he had prepared for her,she gave him a taste of his own medicine,Sie gab ihm eine Dosis seiner eigenen Medizin.,"Als er versuchte, sie hereinzulegen, gab sie ihm eine Dosis seiner eigenen Medizin, indem sie ihn zurück hereinlegte.","Sie gab ihm eine Dosis seiner eigenen Medizin, indem sie ihn die bittere Mischung probieren ließ, die er für sie zubereitet hatte.",היא נתנה לו טעם מהרפואה שלו.,"כשניסה לעשות לה רמאות, היא נתנה לו טעם מהרפואה שלו על ידי עשיית רמאות חזרה אליו.",היא נתנה לו טעם מהרפואה שלו על ידי כך שהורידה אותו לנסות את התערובת המרה שהוא הכין עבורה.,"जब उसने उसे प्रैंक करने की कोशिश की, तब वह उसे वापस प्रैंक करके उसका चटपटा चटपटा कर दिया।",उसने उसे उसकी खुद की दवा का स्वाद चखाकर उसे उसके लिए तैयार की गई कड़वी मिश्रण को आजमाने के द्वारा उसे उसकी दवा का स्वाद चखाया।
tearing a strip off,to reprimand someone severely for doing something wrong,The boss [[was tearing a strip off the fabric]] of our team's morale with his harsh criticism,She [[was tearing a strip off the fabric]] to make a patch for her jeans,The boss was tearing a strip off the fabric of our team's morale with his harsh criticism,She was tearing a strip off the fabric to make a patch for her jeans,was tearing a strip off the fabric,zerriss ein Stück vom Stoff ab,Der Chef zerriss mit seiner harten Kritik ein Stück des Gewebes unserer Team-Moral.,"Sie riss ein Stück Stoff ab, um einen Flicken für ihre Jeans zu machen.",קורע רצועה מהבד.,המנהל היה קורע רצועה מהבד של מורל הצוות שלנו עם הביקורת הקשה שלו.,היא קורעת רצועה מהבד כדי לעשות תיקון לג'ינסיה.,बॉस ने अपनी कठोर आलोचना के जरिए हमारी टीम की मोराल के टुकड़े फाड़ दिए थे।,वह फैब्रिक का एक टुकड़ा फाड़ रही थी अपने जींस के लिए पैच बनाने के लिए।
that's going too far,to do something that is considered extreme or unacceptable,Insulting her family was [[that's going too far]] and crossed the line,"Driving 200 miles for a cup of coffee, [[that's going too far]] for a simple pleasure",Insulting her family was that's going too far and crossed the line,"Driving 200 miles for a cup of coffee, that's going too far for a simple pleasure",that's going too far,Das geht zu weit.,"Ihre Familie zu beleidigen, das geht zu weit und überschreitet die Grenze.","200 Meilen für eine Tasse Kaffee zu fahren, das geht zu weit für ein einfaches Vergnügen.",זה הולך יותר מדי.,הצעקנות על משפחתה היא עבר את הגבול והלכה יותר מדי.,"נהיגה של 200 מייל עבור כוס קפה, זה הולך יותר מדי עבור הנאה פשוטה.",उसके परिवार का अपमान करना वह बहुत आगे जाना था और रेखा को पार कर दिया था।,"एक कप कॉफी के लिए 200 मील ड्राइव करना, यह एक साधारण आनंद के लिए बहुत दूर जाना है।"
the ball is in your court,the initiative for taking action lies with somebody,"I've done my part, [[the ball is in your court now]] to make the decision","After I hit the tennis ball over the net, [[the ball is in your court now]]","I've done my part, the ball is in your court now to make the decision","After I hit the tennis ball over the net, the ball is in your court now",the ball is in your court now,Der Ball liegt jetzt bei dir.,"Ich habe meinen Teil erledigt, jetzt liegt es an dir, die Entscheidung zu treffen.","Nachdem ich den Tennisball über das Netz geschlagen habe, liegt der Ball jetzt bei dir.",הכדור נמצא כעת בכפכפים שלך.,"עשיתי את חלקי, הכדור עכשיו במגרש שלך לקבל החלטה.","לאחר שהכנסתי את הכדור של טניס מעל הרשת, הכדור נמצא כעת בכפיך.","मैंने अपना हिस्सा कर दिया है, अब फैसला लेने की बारी आपकी है।","मैं टेनिस बॉल को नेट से ऊपर मारने के बाद, अब बॉल आपकी ज़िम्मेदारी में है।"
the ball rolling,to start a conversation in a social setting,"To start the meeting, we need to [[get the ball rolling]] with introductions","To play soccer, you must [[get the ball rolling]] by kicking it","To start the meeting, we need to get the ball rolling with introductions","To play soccer, you must get the ball rolling by kicking it",get the ball rolling,Den Stein ins Rollen bringen.,"Um das Meeting zu beginnen, müssen wir mit Vorstellungen in Schwung kommen.","Um Fußball zu spielen, musst du den Ball ins Rollen bringen, indem du ihn trittst.",גרום לכדור לגלגל.,"כדי להתחיל את הפגישה, אנחנו צריכים להתחיל את הכנסת הכדור עם היכרות.","כדי לשחק בכדורגל, עליך להתחיל את המשחק על ידי זריקת הכדור בבעיטה.","मीटिंग शुरू करने के लिए, हमें परिचय के साथ गतिमान को प्रारंभ करने की आवश्यकता है।","फुटबॉल खेलने के लिए, आपको बॉल को किक करके गति देना होगा।"
the devil is beating his wife,raining whereas the sun is shining.,"While the sun was shining, it started raining, and people said [[the devil is beating his wife]]","In the theatrical performance, the actor playing Satan acted out a scene where [[the devil is beating his wife]]","While the sun was shining, it started raining, and people said the devil is beating his wife","In the theatrical performance, the actor playing Satan acted out a scene where the devil is beating his wife",the devil is beating his wife,Der Teufel schlägt seine Frau.,"Während die Sonne schien, begann es zu regnen und die Leute sagten, der Teufel schlägt seine Frau.","In der Theateraufführung spielte der Schauspieler, der Satan darstellte, eine Szene, in der der Teufel seine Frau schlägt.",השטן מכה את אשתו.,"כשהשמש זרחה, התחיל לגשום והאנשים אמרו שהשטן מכה את אשתו.","בהופעה התיאטרונית, השחקן שמשחק את השטן הציג סצינה בה השטן מכה את אשתו.","सूरज चमक रहा था, तभी बारिश शुरू हुई, और लोगों ने कहा कि शैतान अपनी पत्नी को मार रहा है।","थिएट्रिकल प्रदर्शन में, शैतान का रोल निभाने वाले अभिनेता ने एक दृश्य अभिनय किया जहाँ शैतान अपनी पत्नी को पीट रहा है।"
the early bird catches the worm,it refers to people who arrive earlier are the ones who get the best deals,"She always wakes up at 5 am and finishes her tasks efficiently, proving that [[the early bird catches the worm]]","In the documentary, we saw how [[the early bird catches the worm]] to feed its young","She always wakes up at 5 am and finishes her tasks efficiently, proving that the early bird catches the worm","In the documentary, we saw how the early bird catches the worm to feed its young",the early bird catches the worm,Der frühe Vogel fängt den Wurm.,"Sie wacht immer um 5 Uhr auf und erledigt ihre Aufgaben effizient, was beweist, dass der frühe Vogel den Wurm fängt.","Im Dokumentarfilm sahen wir, wie der frühe Vogel den Wurm fängt, um seine Jungen zu füttern.",הציפור המוקדמת מכידת את התולעת.,"היא תמיד מתעוררת בשעה 5 בבוקר ומסיימת את המשימות שלה ביעילות, מוכיחה כי הציפור המוקדמת מכניסה את התולעת.","בסרט התיעודי, ראינו איך הציפור המוקדמת תופסת את התולעת כדי להאכיל את צעיריה.","वह हमेशा 5 बजे उठती है और अपने कामों को कुशलतापूर्वक समाप्त करती है, जो साबित करता है कि जल्दी उठने वाला अच्छा फल पाता है।",दस्तावेज़री में हमने देखा कि पहले उठने वाला पक्षी कैसे कीड़े को पकड़ता है अपने बच्चों को खिलाने के लिए।
the eleventh hour,at the very last minute before an event,"He finished the project [[at the eleventh hour]], just before the deadline",She decided to go for a walk [[at the eleventh hour]] of the night,"He finished the project at the eleventh hour, just before the deadline",She decided to go for a walk at the eleventh hour of the night,at the eleventh hour,in letzter Minute,"Er hat das Projekt in letzter Minute abgeschlossen, kurz vor dem Abgabetermin.","Sie beschloss, in der elften Stunde der Nacht spazieren zu gehen.",בשעה ה-11,"סיים את הפרויקט בשעה האחרונה, כמה רגעים לפני המועד הסופי.",היא החליטה לצאת להליכה בשעה האחת עשרה של הלילה.,"उसने अंतिम घड़ी में परियोजना पूरी की, डेडलाइन से थोड़ी देर पहले।",उसने रात के ग्यारहवें घंटे पर सैर पर जाने का फैसला किया।
