idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_hi_gpt,p_l_he_gpt
rub shoulders,"to meet and spend time with people, especially when they are powerful or famous","At the gala, she [[rubbed shoulders with the famous]] and made valuable connections","During the crowded bus ride, he accidentally [[rubbed shoulders with the famous]] actress","At the gala, she rubbed shoulders with the famous and made valuable connections","During the crowded bus ride, he accidentally rubbed shoulders with the famous actress",rubbed shoulders with the famous,महान लोगों के साथ संघर्ष किया।,"במהלך נסיעת האוטובוס המלאה, הוא פגע בכתף של השחקנית המפורסמת בטעות."
rub the wrong way,to tick someone off,Her sarcastic comments [[rubbed him the wrong way]] and made him feel uncomfortable,She accidentally [[rubbed him the wrong way]] while trying to give him a back massage,Her sarcastic comments rubbed him the wrong way and made him feel uncomfortable,She accidentally rubbed him the wrong way while trying to give him a back massage,rubbed him the wrong way,उसे गलत तरीके से रगड़ा दिया,היא טעות דחקה אותו בצורה לא נכונה בעודה מנסה לעשות לו מסאג' לגב.
run across,meet someone by accident,"While researching, I happened [[to run across the field]] of quantum physics","During the soccer match, the players had [[to run across the field]] to reach the ball","While researching, I happened to run across the field of quantum physics","During the soccer match, the players had to run across the field to reach the ball",to run across the field,मैदान पार करना।,"במהלך המשחק של כדורגל, השחקנים היו צריכים לרוץ חצי המגרש כדי להגיע לכדור."
run out,to not have enough of something,We need to hurry or we'll [[run out of time]] to finish the project,"The clock's battery died, causing it to [[run out of time]]",We need to hurry or we'll run out of time to finish the project,"The clock's battery died, causing it to run out of time",run out of time,समय से बाहर निकल जाना।,"הסוללה של השעון מתה, גורמת לו להיגמר בזמן."
run out of steam,to lose the effect that something once had,"After working on the project for hours, she finally [[ran out of steam]] and took a break",The old steam engine [[ran out of steam]] and came to a halt,"After working on the project for hours, she finally ran out of steam and took a break",The old steam engine ran out of steam and came to a halt,ran out of steam,ऊर्जा की कमी हो गई।,המנוע האדום הישן נגמר לו האדים ועצר.
sail through,to succeed in doing it without difficulty,"With her determination and hard work, she managed [[to sail through the challenges]] of her new job",The experienced captain was able [[to sail through the challenges]] of the stormy sea,"With her determination and hard work, she managed to sail through the challenges of her new job",The experienced captain was able to sail through the challenges of the stormy sea,to sail through the challenges,चुनौतियों से सफलतापूर्वक निकलना।,הקפטן המנוסה הצליח לשייט דרך אתגרי הים הסוער.
scratch the surface,to deal with only a small part of a problem,"During the lecture, we only [[scratched the surface]] of the topic and didn't dive deep","With a coin, she [[scratched the surface]] of the lottery ticket to reveal the numbers","During the lecture, we only scratched the surface of the topic and didn't dive deep","With a coin, she scratched the surface of the lottery ticket to reveal the numbers",scratched the surface,तलवार से छेद करना।,"עם מטבע, היא חרטבה את פני הכרטיס לוטו כדי לחשוף את המספרים."
second wind,another burst of energy when you had been too tired to finish,"After a short break, the marathon runner [[found a second wind]] and continued running","While searching through the attic, he [[found a second wind]] chime to add to his collection","After a short break, the marathon runner found a second wind and continued running","While searching through the attic, he found a second wind chime to add to his collection",found a second wind,दूसरी ताकत मिली।,"במהלך החיפוש באסם, הוא מצא מצולע רוח שני להוסיף לאוסף שלו."
see eye to eye,to agree fully with someone,"After discussing our differences, we started [[seeing eye to eye with her]]","During the staring contest, we were [[seeing eye to eye with her]]","After discussing our differences, we started seeing eye to eye with her","During the staring contest, we were seeing eye to eye with her",seeing eye to eye with her,उसके साथ आँखों में आँख दिखाना।,"במהלך התחרות של הצצה, היינו רואים עין בעין עם היא."
see the light,realise or understand something,"After struggling with the problem for hours, he [[finally saw the light]] and found the solution","After being in the dark cave for hours, they [[finally saw the light]] when they reached the exit","After struggling with the problem for hours, he finally saw the light and found the solution","After being in the dark cave for hours, they finally saw the light when they reached the exit",finally saw the light,अंततः रोशनी देखी।,"לאחר שהיו במערה האפלה לשעות, הם סוף סוף ראו את האור כשהגיעו ליציאה."
set the bar,fix the standards acceptable for the task,She [[set the bar high]] for her colleagues with her outstanding performance,The coach [[set the bar high]] for the high jump competition,She set the bar high for her colleagues with her outstanding performance,The coach set the bar high for the high jump competition,set the bar high,बार को ऊंचा रखें।,המאמן הציב את הסרגל גבוה עבור תחרות הקפיצת גובה.
shades of grey,refers to a situation where things are not really clear,"In the complex political situation, [[they saw shades of grey]] rather than a clear right or wrong","As an artist, [[they saw shades of grey]] when mixing black and white paint","In the complex political situation, they saw shades of grey rather than a clear right or wrong","As an artist, they saw shades of grey when mixing black and white paint",they saw shades of grey,उन्होंने ग्रे के अलग-अलग रंग देखे।,"כאמן, הם ראו גווני אפור בעת ערבוב צבע שחור ולבן."
shake a leg,"to go fast, hurry","We were running late, so our mom told us to start [[shaking a leg]]","During the dance class, the instructor demonstrated [[shaking a leg]] to the rhythm","We were running late, so our mom told us to start shaking a leg","During the dance class, the instructor demonstrated shaking a leg to the rhythm",shaking a leg,तांग हिलाना।,"במהלך שיעור הריקודים, המדריך הדגים רעידת רגל לפי הקצב."
shoot from the hip,"speak directly or bluntly, without caring for consequences","During the debate, he was [[shooting from the hip]] with his quick responses","At the shooting range, he practiced [[shooting from the hip]] to improve his accuracy","During the debate, he was shooting from the hip with his quick responses","At the shooting range, he practiced shooting from the hip to improve his accuracy",shooting from the hip,बिना सोचे समझे कुछ करना (bina soche samjhe kuch karna),"במטווח הירי, הואתרגל לירי מהמסגרת כדי לשפר את המדוייקות שלו."
short fuse,to get angry quickly.,"Be careful around him, he [[has a short fuse]] and gets angry easily","The firecracker [[has a short fuse]], so it will explode quickly after lighting it","Be careful around him, he has a short fuse and gets angry easily","The firecracker has a short fuse, so it will explode quickly after lighting it",has a short fuse,उसका छोटा फ्यूज है।,"הזיקוקים יש להם פיוזה קצרה, כך שהם יתפוצצו מהר לאחר ההדלקה."
shot in the dark,an attempt to guess something when you have no information or knowledge about the subject and therefore cannot possibly know what the answer is,"Without any information, [[he took a shot in the dark]] and guessed the answer","During the blackout, [[he took a shot in the dark]] with his camera","Without any information, he took a shot in the dark and guessed the answer","During the blackout, he took a shot in the dark with his camera",he took a shot in the dark,उसने अंधेरे में एक शॉट लगाया।,"במהלך החשיכה, הוא צילם באפלה במצלמתו."
show the door,make it clear that somebody must leave,"When he started making inappropriate comments, the manager [[showed him the door]]","Since he was lost in the building, she kindly [[showed him the door]] to exit","When he started making inappropriate comments, the manager showed him the door","Since he was lost in the building, she kindly showed him the door to exit",showed him the door,उसे दरवाजा दिखाया।,"מאחר שהוא אבד בבניין, היא הראתה לו באדיבות את הדלת ליציאה."
show true colors,to reveal what one is really like,"When the pressure was on, they [[showed their true colors]] and revealed their true intentions",The chameleon [[showed their true colors]] when it stopped blending in with the environment,"When the pressure was on, they showed their true colors and revealed their true intentions",The chameleon showed their true colors when it stopped blending in with the environment,showed their true colors,अपने असली रंग दिखाए,הקמליון הראה את צבעיו האמיתיים כאשר הפסיק להתמסר לסביבה.
silver spoon,having a rich or privileged background,"He [[was born with a silver spoon]] in his mouth, inheriting a fortune from his family","In a unique family tradition, every child [[was born with a silver spoon]] placed beside them","He was born with a silver spoon in his mouth, inheriting a fortune from his family","In a unique family tradition, every child was born with a silver spoon placed beside them",was born with a silver spoon,चांदी के चमचे से पैदा हुआ था।,"במסורת משפחתית ייחודית, כל ילד נולד עם כף כסף מונחת לידם."
sink or swim,"having to do something alone, and their success or failure depends entirely on their own efforts",Starting a new job without any training was [[a sink or swim situation]] for her,"When thrown into the deep end of the pool, it was [[a sink or swim situation]] for the inexperienced swimmer",Starting a new job without any training was a sink or swim situation for her,"When thrown into the deep end of the pool, it was a sink or swim situation for the inexperienced swimmer",a sink or swim situation,डूबने या तैरने की स्थिति।,"כאשר הושלך לקצה העמוק של הבריכה, זו הייתה מצב של לטבוע או לשחות עבור השחיין החסר ניסיון."
sit on the fence,delay or avoid making a decision or choice,"When it came to choosing a side, he was always [[sitting on the fence]]",The cat was [[sitting on the fence]] and observing the birds,"When it came to choosing a side, he was always sitting on the fence",The cat was sitting on the fence and observing the birds,sitting on the fence,बाग़-ए-फ़सल पर बैठा होना।,החתול ישב על הגדר ומשקיף על הציפורים.
sit tight,wait patiently,The manager told us [[to sit tight and wait]] for further instructions,The roller coaster operator instructed us [[to sit tight and wait]] for the ride to start,The manager told us to sit tight and wait for further instructions,The roller coaster operator instructed us to sit tight and wait for the ride to start,to sit tight and wait,ठहरकर इंतजार करें।,המפעיל של הרכבת הקונטרה הורה לנו לשבת חזק ולחכות להתחלת הנסיעה.
skating on thin ice,to do something considered quite dangerous or risky,"By constantly arriving late to work, he was [[skating on thin ice]] with his boss","Despite the danger, they were [[skating on thin ice]] on the frozen lake","By constantly arriving late to work, he was skating on thin ice with his boss","Despite the danger, they were skating on thin ice on the frozen lake",skating on thin ice,पतली बर्फ पर स्केटिंग करना।,"למרות הסכנה, הם היו עושים סקייט על קרח דק על האגם הקפוא."
skeleton in the closet,"a secret of an embarrassing, guilty or shameful nature that you don't want to disclose","When digging into his past, [[we discovered a skeleton in the closet]] that he had been hiding","While exploring the haunted house, [[we discovered a skeleton in the closet]] of one of the rooms","When digging into his past, we discovered a skeleton in the closet that he had been hiding","While exploring the haunted house, we discovered a skeleton in the closet of one of the rooms",we discovered a skeleton in the closet,हमने अलमारी में एक खंडित शव खोजा।,"בזמן שביקרנו בבית המצורע, גילינו שלד בארון של אחת החדרים."
smell a rat,sense that something is not right,He [[smelled a rat in the situation]] when his colleague started acting suspiciously,The exterminator [[smelled a rat in the situation]] and began searching for its nest,He smelled a rat in the situation when his colleague started acting suspiciously,The exterminator smelled a rat in the situation and began searching for its nest,smelled a rat in the situation,स्थिति में गधे की खुशबू आई।,המדביר הרגיש חרק במצב והתחיל לחפש את הקן שלו.
smell something fishy,to have a suspicion that something is wrong,"When he started avoiding my questions, [[I smelled something fishy]] about his story","Walking past the seafood market, [[I smelled something fishy]] in the air","When he started avoiding my questions, I smelled something fishy about his story","Walking past the seafood market, I smelled something fishy in the air",I smelled something fishy,मैंने कुछ संदेहजनक महसूस किया।,הלכתי עובר על ידי שוק הדגים והרגשתי ריח דגים באוויר.
smooth sailing,easy progress without impediment or difficulty,"Once we resolved the initial issues, we could [[experience smooth sailing]] throughout the project","On a calm day at sea, the boat would [[experience smooth sailing]] without any turbulence","Once we resolved the initial issues, we could experience smooth sailing throughout the project","On a calm day at sea, the boat would experience smooth sailing without any turbulence",experience smooth sailing,चिकनी सफलता का अनुभव करें।,"ביום שקט בים, הסירה תחוות שייט חלק ללא טורבולנציה."
snake in the grass,a hidden army,[[She found a snake in the grass]] when she discovered her friend 's betrayal,"While walking through the field, [[she found a snake in the grass]] slithering away",She found a snake in the grass when she discovered her friend 's betrayal,"While walking through the field, she found a snake in the grass slithering away",She found a snake in the grass,उसने घास में एक सांप पाया।,"בזמן הליכה דרך השדה, היא מצאה נחש בדשא החולף."
snake in the shoes,to be in a state of fear,[[He found a snake in the shoes]] when he discovered his best friend was betraying him,"While cleaning the garage, [[he found a snake in the shoes]] he had left there",He found a snake in the shoes when he discovered his best friend was betraying him,"While cleaning the garage, he found a snake in the shoes he had left there",He found a snake in the shoes,उसने जूतों में सांप पाया।,"בזמן שהוא ניקה את המחסן, הוא מצא נחש בנעליים שהשאיר שם."
snow under,to bury or cover something or somebody in the snow (Literal meaning),"During the busy season, she was [[snowed under with work]] and had no time for leisure",The unexpected blizzard left her car [[snowed under with work]] to dig it out,"During the busy season, she was snowed under with work and had no time for leisure",The unexpected blizzard left her car snowed under with work to dig it out,snowed under with work,काम से बर्फबारी होना।,הסופת הבלתי צפויה השאירה את הרכב שלה כסוח תחת שלג ועבודה לחפור אותו מחוץ לו.
spanner in the works,a roadblock that prevents an activity from succeeding,The sudden power outage threw [[a spanner in the works]] of our presentation,The mechanic accidentally dropped [[a spanner in the works]] of the machine,The sudden power outage threw a spanner in the works of our presentation,The mechanic accidentally dropped a spanner in the works of the machine,a spanner in the works,काम में बाधा (kaam mein baadh),המכונאי נפל בטעות מפתח בתוך המכונה.
spill the beans,disclose a secret or reveal something prematurely,He accidentally [[spilled the beans about the surprise]] party we had planned,"While carrying a bag of legumes, she tripped and [[spilled the beans about the surprise]] on the floor",He accidentally spilled the beans about the surprise party we had planned,"While carrying a bag of legumes, she tripped and spilled the beans about the surprise on the floor",spilled the beans about the surprise,अचानक से आश्चर्य के बारे में बातें खुल गईं।,"בזמן שהיא נושאת שקית של קטניות, היא כשלה והפילה את הפולים על הרצפה."
spin a yarn,to tell a tale,They [[spun a yarn together]] about their adventurous trip to the mountains,The two knitters [[spun a yarn together]] to create a beautiful scarf,They spun a yarn together about their adventurous trip to the mountains,The two knitters spun a yarn together to create a beautiful scarf,spun a yarn together,साथ में एक धागा बुना।,הסרגניות שניות סיבו חוט יחד כדי ליצור צעיף יפה.
stab in the back,a disloyalty,He was [[stabbed in the back by a friend]] when they revealed his secrets,"During the reenactment of a historical battle, he was accidentally [[stabbed in the back by a friend]]",He was stabbed in the back by a friend when they revealed his secrets,"During the reenactment of a historical battle, he was accidentally stabbed in the back by a friend",stabbed in the back by a friend,एक दोस्त द्वारा पीठ में छुरा मारा गया।,"במהלך החזרת הקרב ההיסטורי, הוא נדקר בגב בטעות על ידי חבר."
stand out,extend beyond or above a surface,Her unique fashion sense made her [[stand out in the crowd]],He had to [[stand out in the crowd]] to get a better view of the stage,Her unique fashion sense made her stand out in the crowd,He had to stand out in the crowd to get a better view of the stage,stand out in the crowd,भीड़ में अलग खड़े हों।,הוא היה צריך להתגבר על ההמון כדי לקבל תצפית טובה יותר של הבמה.
step on his toes,to annoy or irritate someone by intervening in a situation that is their responsibility,I didn't want to [[stepped on his toes]] by taking over his project,"While dancing, she accidentally [[stepped on his toes]]",I didn't want to stepped on his toes by taking over his project,"While dancing, she accidentally stepped on his toes",stepped on his toes,उसके पैरों पर कदम रखा।,"בזמן הריקודים, היא דרכה בטעות על האצבעות שלו."
stick in his throat,difficulty of accepting and makes you angry or resentful,The insincere compliment [[stuck in his throat]] as he tried to praise his rival,The fish bone [[stuck in his throat]] while he was eating dinner,The insincere compliment stuck in his throat as he tried to praise his rival,The fish bone stuck in his throat while he was eating dinner,stuck in his throat,उसके गले में फंस गया।,העצם של הדג נתקע בגרונו בזמן שהוא אכל ארוחת ערב.
stiff upper lip,to be brave in the face of adversity,"Despite the bad news, [[he maintained a stiff upper lip]] and carried on","Due to the cold weather, [[he maintained a stiff upper lip]] until he could warm up","Despite the bad news, he maintained a stiff upper lip and carried on","Due to the cold weather, he maintained a stiff upper lip until he could warm up",he maintained a stiff upper lip,उसने अपनी ऊपरी होंठों को कड़ा बनाए रखा।,"בגלל המזג האטום, הוא שמר על פניו הקשוחה עד שהוא התחמם."
stir up a hornet's nest,to create trouble,"By questioning the company's policies, he [[stirred up a hornet's nest]] among the employees","While clearing the garden, she accidentally [[stirred up a hornet's nest]] and got stung","By questioning the company's policies, he stirred up a hornet's nest among the employees","While clearing the garden, she accidentally stirred up a hornet's nest and got stung",stirred up a hornet's nest,एक शंख के घोंसले को उखाड़ दिया।,"בזמן שהיא ניקתה את הגינה, היא ערבבה בטעות קפיץ של צרצר וקיבלה נקודה."
stop by,to meet someone or go somewhere in a brief and informal manner,I'll [[stop by the store]] to pick up some groceries on my way home,"During our walk, we decided to [[stop by the store]] to take shelter from the sudden downpour",I'll stop by the store to pick up some groceries on my way home,"During our walk, we decided to stop by the store to take shelter from the sudden downpour",stop by the store,दुकान पर रुकें।,"במהלך ההליכה שלנו, החלטנו לעצור בחנות כדי להצטלם מהגשם הפתאומי."
stop the rot,"when you prevent a situation from deteriorating, especially in business or politics",The new manager [[stopped the rot]] by implementing better policies,The gardener [[stopped the rot]] by removing the infected plants,The new manager stopped the rot by implementing better policies,The gardener stopped the rot by removing the infected plants,stopped the rot,रोट को रोक दिया।,הגנן עצר את הזיהום על ידי הסרת הצמחים המדוכאים.
straight from the horse's mouth,from a dependable or reliable source,I [[heard it straight from the horse's mouth]] that the company is planning a merger,The veterinarian [[heard it straight from the horse's mouth]] when the animal neighed loudly,I heard it straight from the horse's mouth that the company is planning a merger,The veterinarian heard it straight from the horse's mouth when the animal neighed loudly,heard it straight from the horse's mouth,मैंने सीधे घोड़े के मुंह से सुना है।,הוא הקשיב ישירות מפי הסוס כשהחיה ניצחה בקול רם.
straight shooter,someone who speaks the truth,"In the world of politics, her reputation as [[a straight shooter]] sets her apart from the rest","The archer was [[a straight shooter]], hitting the bullseye every time","In the world of politics, her reputation as a straight shooter sets her apart from the rest","The archer was a straight shooter, hitting the bullseye every time",a straight shooter,एक सीधे निशानेबाज़,"הקשתן היה יורה ישר, מכוון למטרה בכל פעם."
straighten up and fly right,to get serious and stop acting absurd anymore.,"After a stern warning from his boss, he decided [[to straighten up and fly right]] at work",The pilot had [[to straighten up and fly right]] to avoid turbulence,"After a stern warning from his boss, he decided to straighten up and fly right at work",The pilot had to straighten up and fly right to avoid turbulence,to straighten up and fly right,सीधा हो जाओ और सही राह पर उड़ो।,הטייס היה צריך להתקדם בקו ישר ולטוס נכון כדי להימנע מטורבולנציה.
strike while the iron is hot,to take advantage of a situation,"To seize the opportunity, he decided [[to strike while the iron is hot]] and invest in the stock market","As a blacksmith, he knew he had [[to strike while the iron is hot]] to shape the metal properly","To seize the opportunity, he decided to strike while the iron is hot and invest in the stock market","As a blacksmith, he knew he had to strike while the iron is hot to shape the metal properly",to strike while the iron is hot,लोहे को गरम होते हुए मारना।,"כמסגר, ידע שהוא חייב להכות כשהברזל חם כדי לצור את המתכת בצורה הנכונה."
suited and booted,formally dressed; well dressed,"He [[was suited and booted for the event]], ready to impress everyone with his confidence","He [[was suited and booted for the event]], wearing a tailored suit and polished shoes","He was suited and booted for the event, ready to impress everyone with his confidence","He was suited and booted for the event, wearing a tailored suit and polished shoes",was suited and booted for the event,इवेंट के लिए तैयार था और सूट-बूट पहना था।,"הוא היה מלביש מחווה ומזונן עבור האירוע, עם חליפת מדויקת ונעליים מלוטשות."
sweep under the rug,try to hide a problem or keep a problem secret instead of dealing with it,"Instead of addressing the problem, [[they swept the issue under the rug]] and pretended it didn't exist","After breaking the vase, [[they swept the issue under the rug]] to hide the evidence","Instead of addressing the problem, they swept the issue under the rug and pretended it didn't exist","After breaking the vase, they swept the issue under the rug to hide the evidence",they swept the issue under the rug,उन्होंने मुद्दे को चटाई के नीचे सफाई कर दिया।,"לאחר ששברו את הוואזה, הם סיפקו את הנושא תחת השטיח כדי להסתיר את הראיות."
take a back seat,take a less important position.,"[[He took a back seat to her]] in the project, letting her lead the team","[[He took a back seat to her]] in the car, giving her the front passenger seat","He took a back seat to her in the project, letting her lead the team","He took a back seat to her in the car, giving her the front passenger seat",He took a back seat to her,उसने उसके सामने पीछे की सीट ली।,"הוא ישב במושב האחורי ברכב, נותן לה את מושב הנוסע הקדמי."
take a beating,to be defeated in doing something and be reprimanded for the same,The company's stock prices [[took a beating]] after the negative news,The old punching bag [[took a beating]] during the intense workout session,The company's stock prices took a beating after the negative news,The old punching bag took a beating during the intense workout session,took a beating,बुरी तरह से पीटा गया।,השק תרסיס הישן ספג תקלות במהלך האימון המתמשך.
take a cue from,to do what is recommended by someone else,You should [[take a cue from her]] and start organizing your time better,"During the pool game, he decided to [[take a cue from her]] and use her favorite one",You should take a cue from her and start organizing your time better,"During the pool game, he decided to take a cue from her and use her favorite one",take a cue from her,उससे प्रेरणा लें।,"במהלך המשחק בבריכה, הוא החליט לקחת עצה ממנה ולהשתמש במועדון האהוב עליה."
take a hike,go away,"When he insulted her, she told him [[to take a hike]]","On a sunny day, they decided [[to take a hike]] in the nearby forest","When he insulted her, she told him to take a hike","On a sunny day, they decided to take a hike in the nearby forest",to take a hike,एक हाइक लेना।,"ביום שמשי, הם החליטו לצאת לטיול ביער הקרוב."
take a leaf out of someone's book,implement actionable advice,"To improve my work ethic, I decided to [[take a leaf out of her book]] and wake up early","To press and preserve the leaf, I had to carefully [[take a leaf out of her book]] of botanical specimens","To improve my work ethic, I decided to take a leaf out of her book and wake up early","To press and preserve the leaf, I had to carefully take a leaf out of her book of botanical specimens",take a leaf out of her book,उसकी किताब से एक पत्ता निकालो।,"כדי ללחוץ ולשמור את העלה, הייתי צריך לקחת בזהירות עלה מספר הדגמים הבוטניים שלה."
take it on the chin,this is a boxing metaphor meaning don't shy away from difficulty,"Despite the harsh criticism, [[he took it on the chin]] and kept working","During the boxing match, [[he took it on the chin]] and fell to the ground","Despite the harsh criticism, he took it on the chin and kept working","During the boxing match, he took it on the chin and fell to the ground",he took it on the chin,उसने इसे बड़े होशियारी से सहा।,"במהלך המשחק בקסינג, הוא קיבל את זה על הסנטר ונפל לקרקע."
take up the cudgels,argue strongly in support or against somebody or something,[[He took up the cudgels for her]] when she was unfairly criticized,"During the historical reenactment, [[he took up the cudgels for her]] when she dropped hers",He took up the cudgels for her when she was unfairly criticized,"During the historical reenactment, he took up the cudgels for her when she dropped hers",He took up the cudgels for her,उसने उसके लिए लड़ाई की शुरुआत की।,"במהלך החזרת היסטורית, הוא תמך בה כשהיא הפילה את שלה."
take with a grain of salt,to understand that something is not completely true or right,"When listening to his stories, it's best [[to take it with a grain of salt]]","To balance the flavor, she decided [[to take it with a grain of salt]] and sprinkled it on her dish","When listening to his stories, it's best to take it with a grain of salt","To balance the flavor, she decided to take it with a grain of salt and sprinkled it on her dish",to take it with a grain of salt,इसे नामकीन के साथ लेना।,"כדי לאזן את הטעם, היא החליטה לקחת את זה עם גריגר וזרקה את זה על המנה שלה."
takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate,"When it comes to resolving conflicts, remember that [[it takes two to tango]]","In a dance competition, the judges reminded the participants that [[it takes two to tango]]","When it comes to resolving conflicts, remember that it takes two to tango","In a dance competition, the judges reminded the participants that it takes two to tango",it takes two to tango,टैंगो नृत्य करने के लिए दो लोगों की आवश्यकता होती है।,"בתחרות ריקודים, השופטים תזכירו למשתתפים שצריך שניים כדי לרקוד טנגו."
tall poppy,a privileged or distinguished person.,"She was [[a tall poppy among them]], always standing out with her exceptional achievements","In the field of wildflowers, there was [[a tall poppy among them]], reaching higher than the rest","She was a tall poppy among them, always standing out with her exceptional achievements","In the field of wildflowers, there was a tall poppy among them, reaching higher than the rest",a tall poppy among them,उनमें एक लंबी पुष्प की तरह ऊंचा है।,"בשדה הפרחים הבר, היה פרפרן גבוה בקרבם, מגיע גבוה יותר מהשאר."
tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,It's unfair to judge all politicians [[by tarring them with the same brush]],The painter made a mistake [[by tarring them with the same brush]] instead of using separate brushes for each color,It's unfair to judge all politicians by tarring them with the same brush,The painter made a mistake by tarring them with the same brush instead of using separate brushes for each color,by tarring them with the same brush,उन्हें एक ही ब्रश से तार करके।,הצייר טעה כשהשתמש במברשת אחת לצביעת כל הצבעים במקום להשתמש במברשות נפרדות לכל צבע.
taste of own medicine,when someone gets the same bad treatment that he has been giving others,"When he tried to prank her, [[she gave him a taste of his own medicine]] by pranking him back",[[She gave him a taste of his own medicine]] by making him try the bitter concoction he had prepared for her,"When he tried to prank her, she gave him a taste of his own medicine by pranking him back",She gave him a taste of his own medicine by making him try the bitter concoction he had prepared for her,she gave him a taste of his own medicine,उसने उसे उसकी खुद की दवा का एक स्वाद दिया।,היא נתנה לו טעם מהרפואה שלו על ידי כך שהורידה אותו לנסות את התערובת המרה שהוא הכין עבורה.
tearing a strip off,to reprimand someone severely for doing something wrong,The boss [[was tearing a strip off the fabric]] of our team's morale with his harsh criticism,She [[was tearing a strip off the fabric]] to make a patch for her jeans,The boss was tearing a strip off the fabric of our team's morale with his harsh criticism,She was tearing a strip off the fabric to make a patch for her jeans,was tearing a strip off the fabric,कपड़े का एक टुकड़ा फाड़ रहा था।,היא קורעת רצועה מהבד כדי לעשות תיקון לג'ינסיה.
that's going too far,to do something that is considered extreme or unacceptable,Insulting her family was [[that's going too far]] and crossed the line,"Driving 200 miles for a cup of coffee, [[that's going too far]] for a simple pleasure",Insulting her family was that's going too far and crossed the line,"Driving 200 miles for a cup of coffee, that's going too far for a simple pleasure",that's going too far,वह बहुत आगे जा रहा है।,"נהיגה של 200 מייל עבור כוס קפה, זה הולך יותר מדי עבור הנאה פשוטה."
the ball is in your court,the initiative for taking action lies with somebody,"I've done my part, [[the ball is in your court now]] to make the decision","After I hit the tennis ball over the net, [[the ball is in your court now]]","I've done my part, the ball is in your court now to make the decision","After I hit the tennis ball over the net, the ball is in your court now",the ball is in your court now,अब गेंद आपकी दफ्तरी में है।,"לאחר שהכנסתי את הכדור של טניס מעל הרשת, הכדור נמצא כעת בכפיך."
the ball rolling,to start a conversation in a social setting,"To start the meeting, we need to [[get the ball rolling]] with introductions","To play soccer, you must [[get the ball rolling]] by kicking it","To start the meeting, we need to get the ball rolling with introductions","To play soccer, you must get the ball rolling by kicking it",get the ball rolling,गेंद को चलाना।,"כדי לשחק בכדורגל, עליך להתחיל את המשחק על ידי זריקת הכדור בבעיטה."
the devil is beating his wife,raining whereas the sun is shining.,"While the sun was shining, it started raining, and people said [[the devil is beating his wife]]","In the theatrical performance, the actor playing Satan acted out a scene where [[the devil is beating his wife]]","While the sun was shining, it started raining, and people said the devil is beating his wife","In the theatrical performance, the actor playing Satan acted out a scene where the devil is beating his wife",the devil is beating his wife,शैतान अपनी पत्नी को मार रहा है।,"בהופעה התיאטרונית, השחקן שמשחק את השטן הציג סצינה בה השטן מכה את אשתו."
the early bird catches the worm,it refers to people who arrive earlier are the ones who get the best deals,"She always wakes up at 5 am and finishes her tasks efficiently, proving that [[the early bird catches the worm]]","In the documentary, we saw how [[the early bird catches the worm]] to feed its young","She always wakes up at 5 am and finishes her tasks efficiently, proving that the early bird catches the worm","In the documentary, we saw how the early bird catches the worm to feed its young",the early bird catches the worm,जल्दी उठने वाला चींटी कीटक को पकड़ता है।,"בסרט התיעודי, ראינו כיצד הציפור המוקדמת תופסת את התולעת כדי להאכיל את צעיריה."
the eleventh hour,at the very last minute before an event,"He finished the project [[at the eleventh hour]], just before the deadline",She decided to go for a walk [[at the eleventh hour]] of the night,"He finished the project at the eleventh hour, just before the deadline",She decided to go for a walk at the eleventh hour of the night,at the eleventh hour,ग्यारहवीं घड़ी पर,היא החליטה לצאת להליכה בשעה האחת עשרה של הלילה.
the last straw,to be the last in a sequence of unpleasant things,"When he insulted her cooking, [[that was the last straw]] and she decided to leave","After using all the other straws, [[that was the last straw]] in the box","When he insulted her cooking, that was the last straw and she decided to leave","After using all the other straws, that was the last straw in the box",that was the last straw,वह अंतिम बूँद थी।,"לאחר שהשתמשתי בכל הקשים האחרים, זה היה הקש האחרון בקופסה."
the lion's den,a place which is uncomfortable,"By confronting the angry mob, he [[entered the lion's den]] and risked his safety","As a zookeeper, she [[entered the lion's den]] to feed the animals","By confronting the angry mob, he entered the lion's den and risked his safety","As a zookeeper, she entered the lion's den to feed the animals",entered the lion's den,शेर के गुहे में प्रवेश किया।,"כצוותאית בגן החיות, היא נכנסה לכליון כדי להאכיל את החיות."
the other side of the coin,"the opposite aspect, contrasting arguments.","Before making a decision, it's important to [[consider the other side of the coin]] and weigh the pros and cons","When flipping a quarter, you should [[consider the other side of the coin]] as well, since it has a 50% chance of landing","Before making a decision, it's important to consider the other side of the coin and weigh the pros and cons","When flipping a quarter, you should consider the other side of the coin as well, since it has a 50% chance of landing",consider the other side of the coin,सिक्के के दूसरे पक्ष को भी ध्यान में रखें।,"כאשר מפכים מטבע, עליך לשקול גם את הצד השני של המטבע, מכיוון שיש לו 50% סיכוי לנפול."
