idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt,p_l_ko_gpt,p_f_es_gpt,p_l_es_gpt,p_a_yo_gpt,p_f_yo_gpt
skeleton in the closet,"a secret of an embarrassing, guilty or shameful nature that you don't want to disclose","When digging into his past, [[we discovered a skeleton in the closet]] that he had been hiding","While exploring the haunted house, [[we discovered a skeleton in the closet]] of one of the rooms","When digging into his past, we discovered a skeleton in the closet that he had been hiding","While exploring the haunted house, we discovered a skeleton in the closet of one of the rooms",we discovered a skeleton in the closet,"Miközben felfedeztük a kísértetjárta házat, egy csontvázra bukkantunk az egyik szoba szekrényében.",우리는 옷장에서 해골을 발견했습니다.,"과거를 파헤치다 보니, 그가 숨겨둔 비밀이 드러났습니다.",우리는 유령의 집을 탐험하면서 방 중 하나의 옷장에서 해골을 발견했습니다.,"Cuando indagamos en su pasado, descubrimos un esqueleto en el armario que había estado ocultando.","Mientras explorábamos la casa embrujada, descubrimos un esqueleto en el armario de una de las habitaciones.",Awa ṣe iṣẹ́ ọ̀rọ̀ àgbàlagbà ní ilé ìwé.,"Lẹhin ti a bẹrẹ si ọna ti o jẹ, a ṣe alaye ẹsẹ kan ni ilu ti o ti fi ń ṣe igbeyawo."
smell a rat,sense that something is not right,He [[smelled a rat in the situation]] when his colleague started acting suspiciously,The exterminator [[smelled a rat in the situation]] and began searching for its nest,He smelled a rat in the situation when his colleague started acting suspiciously,The exterminator smelled a rat in the situation and began searching for its nest,smelled a rat in the situation,"Az állatirtó szagot érzett a helyzetben, és elkezdte keresni a patkány fészket.",상황에서 쥐 냄새가 났다.,그는 동료가 수상하게 행동하기 시작할 때 상황에서 쥐 냄새를 맡았다.,멸종자는 상황에서 쥐 냄새를 맡고 그의 둥지를 찾기 시작했다.,Él sospechó algo en la situación cuando su colega empezó a actuar sospechosamente.,El exterminador olfateó algo sospechoso en la situación y comenzó a buscar el nido de la rata.,Mo ri iranlọwọ ni itan yii.,O ti mọ ohun tó bá ṣe àgbàlagbà láti ìṣẹ́ nígbà ti ọkùnrin rẹ bẹ̀rẹ̀ bẹ̀rẹ̀.
smell something fishy,to have a suspicion that something is wrong,"When he started avoiding my questions, [[I smelled something fishy]] about his story","Walking past the seafood market, [[I smelled something fishy]] in the air","When he started avoiding my questions, I smelled something fishy about his story","Walking past the seafood market, I smelled something fishy in the air",I smelled something fishy,"Sétálva elhaladva a tenger gyümölcsei piac mellett, valami halas szagot éreztem a levegőben.",저는 수상한 냄새가 났어요.,"그가 내 질문을 피하기 시작하면서, 그의 이야기에 뭔가 수상한 게 있다고 느꼈다.","해산물 시장을 지나가는 동안, 공기 속에서 뭔가 이상한 냄새가 났다.","Cuando empezó a evitar mis preguntas, olí algo sospechoso en su historia.","Caminando junto al mercado de mariscos, olí algo sospechoso en el aire.",Mo n’ọrọ ọ̀pọ̀lọpọ̀ àṣẹ níbẹ.,"Nigbati o bẹrẹ si han mi ni ibeere, mo nṣe iru ẹja nitori ọrọ rẹ."
smooth sailing,easy progress without impediment or difficulty,"Once we resolved the initial issues, we could [[experience smooth sailing]] throughout the project","On a calm day at sea, the boat would [[experience smooth sailing]] without any turbulence","Once we resolved the initial issues, we could experience smooth sailing throughout the project","On a calm day at sea, the boat would experience smooth sailing without any turbulence",experience smooth sailing,"Egy nyugodt tengeri napon a hajó sima vitorlázást tapasztalna, turbulencia nélkül.",원활한 항해 경험하기,"우리가 초기 문제를 해결하면, 프로젝트 전반에 걸쳐 원활한 진행을 경험할 수 있었습니다.",바다가 잔잔한 날에는 배는 어떤 동요도 없이 부드러운 항해를 경험할 것입니다.,"Una vez que resolvimos los problemas iniciales, pudimos experimentar una navegación suave durante todo el proyecto.","En un día tranquilo en el mar, el barco experimentaría una navegación suave sin turbulencias.",maa ranti ni ojojumo ti o dara ju.,"Lẹhin ti a fi ọrọ kan ti o wulo, a le fi ni ọrọ ayọ ni gbogbo awọn ẹrọ."
snake in the grass,a hidden army,[[She found a snake in the grass]] when she discovered her friend 's betrayal,"While walking through the field, [[she found a snake in the grass]] slithering away",She found a snake in the grass when she discovered her friend 's betrayal,"While walking through the field, she found a snake in the grass slithering away",She found a snake in the grass,"Miközben átsétált a mezőn, talált egy kígyót a fűben csúszkálva.",그녀는 풀 사이에서 뱀을 발견했습니다.,그녀는 친구의 배신을 알게 되었을 때 풀밭에서 뱀을 발견했다.,그녀는 들판을 걷다가 풀 사이에서 기어가는 뱀을 발견했다.,Ella encontró una serpiente en la hierba cuando descubrió la traición de su amiga.,"Mientras caminaba por el campo, encontró una serpiente en la hierba deslizándose lejos.",O ti ri ejo ni ina.,O ti ri ejo ni ileke ti o ba ri ife re ni ojojumo ti o fi oju kan re si.
snake in the shoes,to be in a state of fear,[[He found a snake in the shoes]] when he discovered his best friend was betraying him,"While cleaning the garage, [[he found a snake in the shoes]] he had left there",He found a snake in the shoes when he discovered his best friend was betraying him,"While cleaning the garage, he found a snake in the shoes he had left there",He found a snake in the shoes,"Miközben takarította a garázst, kígyót talált azokban a cipőkben, amiket ott hagyott.",그는 신발 안에서 뱀을 발견했다.,그는 가장 친한 친구가 자신을 배신하고 있음을 알게 되었을 때 신발 안에 뱀을 발견했다.,그는 차고를 청소하면서 거기에 놔둔 신발 속에서 뱀을 발견했다.,Encontró una serpiente en los zapatos cuando descubrió que su mejor amigo lo estaba traicionando.,"Mientras limpiaba el garaje, encontró una serpiente en los zapatos que había dejado allí.",O wọ ẹhin ẹhin nile.,O wọ ẹjẹ nile lọ si ojú ewu ni o ba ri wipe ọrẹ tóbi rẹ ti fẹran si.
snow under,to bury or cover something or somebody in the snow (Literal meaning),"During the busy season, she was [[snowed under with work]] and had no time for leisure",The unexpected blizzard left her car [[snowed under with work]] to dig it out,"During the busy season, she was snowed under with work and had no time for leisure",The unexpected blizzard left her car snowed under with work to dig it out,snowed under with work,"A váratlan hóvihar alatt a kocsija hó alá temette, és dolgoznia kellett, hogy kicsavarja.",일로 바쁘게 압도되다.,번화한 시즌 동안 그녀는 일에 묻혀 여가 시간이 없었습니다.,예상치 못한 눈보라로 인해 그녀의 차는 눈에 덮여 파내는 일이 생겼다.,"Durante la temporada ocupada, ella estaba abrumada con trabajo y no tenía tiempo para el ocio.",La inesperada ventisca dejó su coche cubierto de nieve con trabajo para desenterrarlo.,ọrọ ayé ni mo ti bọrọ.,"Ni ọjọ kan ti ojúmọ ti o wa ni ise, o ti jẹ alabapin ni ise ati ko ni ọkunrin fun awọn akoko alẹ."
spanner in the works,a roadblock that prevents an activity from succeeding,The sudden power outage threw [[a spanner in the works]] of our presentation,The mechanic accidentally dropped [[a spanner in the works]] of the machine,The sudden power outage threw a spanner in the works of our presentation,The mechanic accidentally dropped a spanner in the works of the machine,a spanner in the works,A szerelő véletlenül elejtett egy villáskulcsot a gép működésébe.,"작업에 방해가 되는 것, 문제의 원인",갑작스러운 정전으로 우리 발표 계획이 엉망이 되었다.,정비공이 기계 작동 중에 스패너를 실수로 떨어뜨렸다.,El repentino corte de energía eléctrica echó por tierra nuestros planes de presentación.,El mecánico dejó caer accidentalmente una llave inglesa en el mecanismo de la máquina.,ọkọlọtọ niwọkọlọrin.,Ipa ti oju ija ti o si wa ni awọn iṣẹ ẹni ti o wa ni aṣẹ wa ni ipa ti o fi ṣe ni ipinnu.
spill the beans,disclose a secret or reveal something prematurely,He accidentally [[spilled the beans about the surprise]] party we had planned,"While carrying a bag of legumes, she tripped and [[spilled the beans about the surprise]] on the floor",He accidentally spilled the beans about the surprise party we had planned,"While carrying a bag of legumes, she tripped and spilled the beans about the surprise on the floor",spilled the beans about the surprise,"Miközben egy zsák hüvelyeseket cipel, megbotlott és kiborult a bab a meglepetésről a padlóra.",놀람을 가지고 있던 것을 폭로했다.,그는 우리가 계획한 깜짝 파티에 대해 실수로 비밀을 누설했다.,그녀는 콩 가방을 들고 걸어가다가 넘어져서 바닥에 놀람을 표출하는 콩을 쏟았다.,Él sin querer reveló el secreto de la fiesta sorpresa que habíamos planeado.,"Mientras llevaba una bolsa de legumbres, tropezó y derramó los frijoles sobre el suelo.",ọmọde kọ àkàrà nípa àṣàlẹ̀ àṣẹrẹ.,O ti gbe eru fun awon eniyan ni ibeere alaabo to wa aye.
spin a yarn,to tell a tale,They [[spun a yarn together]] about their adventurous trip to the mountains,The two knitters [[spun a yarn together]] to create a beautiful scarf,They spun a yarn together about their adventurous trip to the mountains,The two knitters spun a yarn together to create a beautiful scarf,spun a yarn together,"A két kötő együtt fonott egy fonalat, hogy gyönyörű sálat készítsenek.",함께 이야기를 만들어 냈습니다.,그들은 산으로의 모험 여행에 대해 함께 이야기를 했다.,두 명의 뜨개질하는 사람들이 함께 얽어서 아름다운 스카프를 만들었습니다.,Ellos tejieron juntos una historia sobre su aventurero viaje a las montañas.,Los dos tejedores hilaron juntos una hebra para crear una hermosa bufanda.,ni owo orin.,Won nṣe adiye lọ pẹlu awọn ọjọgbọn wọn ni ilẹkunrẹrin.
stab in the back,a disloyalty,He was [[stabbed in the back by a friend]] when they revealed his secrets,"During the reenactment of a historical battle, he was accidentally [[stabbed in the back by a friend]]",He was stabbed in the back by a friend when they revealed his secrets,"During the reenactment of a historical battle, he was accidentally stabbed in the back by a friend",stabbed in the back by a friend,Egy történelmi csata újrateremtése közben véletlenül barátja megszúrta a hátát.,친구에게서 등을 찔렸다.,그는 친구에게 비밀을 폭로당하면서 등을 찔렸다.,"역사적인 전투 재연 중, 그는 우연히 친구에게서 등을 찔렸다.",Fue apuñalado por la espalda por un amigo cuando revelaron sus secretos.,"Durante la recreación de una batalla histórica, fue apuñalado accidentalmente en la espalda por un amigo.",ọkan mi ti ń pa mi ni igbala lọwọ ẹ̀gbọn.,O ti n pa ni igbeleke ni odo re nitori pe won fi owo won han iranlowo re.
stand out,extend beyond or above a surface,Her unique fashion sense made her [[stand out in the crowd]],He had to [[stand out in the crowd]] to get a better view of the stage,Her unique fashion sense made her stand out in the crowd,He had to stand out in the crowd to get a better view of the stage,stand out in the crowd,"A tömegben ki kellett állnia, hogy jobban lássa a színpadot.",사람들 속에서 두드러지다.,그녀의 독특한 패션 감각은 그녀를 사람들 속에서 눈에 띄게 만들었다.,그는 무대를 더 잘 볼 수 있도록 사람들 사이에서 눈에 띄어야 했다.,Su sentido único de la moda la hizo destacar en la multitud.,Él tuvo que destacarse en la multitud para tener una mejor vista del escenario.,fi ọwọ rẹ han ni gbogbo ẹgbẹ.,Ise-owo alaabo ti o ni niwaju awon eniyan ni o wa ni ibeere.
step on his toes,to annoy or irritate someone by intervening in a situation that is their responsibility,I didn't want to [[stepped on his toes]] by taking over his project,"While dancing, she accidentally [[stepped on his toes]]",I didn't want to stepped on his toes by taking over his project,"While dancing, she accidentally stepped on his toes",stepped on his toes,Tánc közben véletlenül rálépett a lábujjára.,그의 발가락을 밟았다.,그의 프로젝트를 빼앗아서 그를 건드리고 싶지 않았습니다.,그녀는 춤을 추면서 우연히 그의 발가락에 밟혔다.,No quería pisarle los pies al tomar su proyecto.,"Mientras bailaba, ella accidentalmente pisó sus dedos del pie.",ọ tẹlẹ pada rẹ.,Mò ní kí ní màa rí ìtàn rẹ nípa mi nípa ìṣẹ rẹ nítorí kí ní màa jẹ́ kí ní ṣe ìṣẹ rẹ.
stick in his throat,difficulty of accepting and makes you angry or resentful,The insincere compliment [[stuck in his throat]] as he tried to praise his rival,The fish bone [[stuck in his throat]] while he was eating dinner,The insincere compliment stuck in his throat as he tried to praise his rival,The fish bone stuck in his throat while he was eating dinner,stuck in his throat,"A halcsont a torkában ragadt, miközben vacsorázott.",그의 목에 막혀 있습니다.,그는 경쟁자를 칭찬하려고 노력하면서 거짓된 칭찬이 그의 목구멍에 걸렸다.,그는 저녁을 먹고 있을 때 생선 뼈가 목에 걸렸다.,El falso cumplido se le quedó atragantado en la garganta mientras intentaba elogiar a su rival.,La espina de pescado se le quedó atascada en la garganta mientras cenaba.,ti o ba ti ní ìgbàgbé ní òkùnrin ọrun.,Iwọfa kan ti o jẹ ọrẹrẹ ti o nṣe ọkan ni ọkan ni o ba ṣe iranlọwọ fun ọrẹ rẹ.
stiff upper lip,to be brave in the face of adversity,"Despite the bad news, [[he maintained a stiff upper lip]] and carried on","Due to the cold weather, [[he maintained a stiff upper lip]] until he could warm up","Despite the bad news, he maintained a stiff upper lip and carried on","Due to the cold weather, he maintained a stiff upper lip until he could warm up",he maintained a stiff upper lip,"A hideg idő miatt merev felső ajkát tartotta, amíg fel nem melegedett.",그는 담담한 표정을 유지했다.,나쁜 소식에도 그는 담담하게 버티며 계속 나아갔다.,추운 날씨 때문에 그는 따뜻해질 때까지 담담한 표정을 유지했다.,"A pesar de las malas noticias, mantuvo una actitud valiente y siguió adelante.","Debido al clima frío, mantuvo una actitud estoica hasta que pudo calentarse.",O ti gbe'nu sori awọn ẹnu rẹ.,"Lẹyin ojúkoro kan, o sì gba ìdílé alágbèrò àti ṣe àwọn ohun rere."
stir up a hornet's nest,to create trouble,"By questioning the company's policies, he [[stirred up a hornet's nest]] among the employees","While clearing the garden, she accidentally [[stirred up a hornet's nest]] and got stung","By questioning the company's policies, he stirred up a hornet's nest among the employees","While clearing the garden, she accidentally stirred up a hornet's nest and got stung",stirred up a hornet's nest,"Miközben rendbe tette a kertet, véletlenül felkavarta egy lódarázs fészkét és megcsípte.",뒤죽박죽으로 만들다.,그는 회사의 정책에 대해 의문을 제기함으로써 직원들 사이에서 문제를 일으켰다.,정원을 정리하다가 그녀는 우연히 말벌 둥지를 휘젓고 찔렸다.,"Al cuestionar las políticas de la empresa, revolvió un avispero entre los empleados.","Mientras limpiaba el jardín, accidentalmente revolvió un nido de avispas y fue picada.",ọmọde ń gbọ́dọ̀ jù lọ́wọ́ ẹ̀jè àgbè.,"Nipa awọn iṣẹlẹ ti oṣiṣẹ, o ti ṣe afẹfẹ kan ni gbogbo awọn ọmọ-iṣẹ."
stop by,to meet someone or go somewhere in a brief and informal manner,I'll [[stop by the store]] to pick up some groceries on my way home,"During our walk, we decided to [[stop by the store]] to take shelter from the sudden downpour",I'll stop by the store to pick up some groceries on my way home,"During our walk, we decided to stop by the store to take shelter from the sudden downpour",stop by the store,"Sétánk során úgy döntöttünk, hogy betérünk az üzletbe, hogy menedéket találjunk a hirtelen zápor elől.",가게에 들러주세요.,저는 집에 가는 길에 가게에 들러 식료품을 사러 갈 거예요.,우리 산책 중 갑작스러운 폭우를 피해 상점에 들러서 피하기로 결정했습니다.,Pasaré por la tienda para recoger algunos comestibles en mi camino a casa.,"Durante nuestra caminata, decidimos pasar por la tienda para resguardarnos de la repentina lluvia.",dahun si ile iwe.,Mo yẹ ki n ṣe ọjọgbọn ni ọja lati rọpọ awọn ẹran kan niwaju ile mi.
stop the rot,"when you prevent a situation from deteriorating, especially in business or politics",The new manager [[stopped the rot]] by implementing better policies,The gardener [[stopped the rot]] by removing the infected plants,The new manager stopped the rot by implementing better policies,The gardener stopped the rot by removing the infected plants,stopped the rot,"A kertész eltávolította az érintett növényeket, hogy megállítsa a rothadást.",부패를 멈추다.,새로운 매니저는 더 나은 정책을 시행하여 부패를 막았습니다.,정원사는 감염된 식물을 제거하여 부패를 막았습니다.,El nuevo gerente detuvo la decadencia implementando mejores políticas.,El jardinero detuvo la pudrición al remover las plantas infectadas.,ti ṣe igbese rẹrẹ pada.,Manejọ titun ti ṣe afikun ti o ṣe ni o ṣiṣẹ nitori awọn iṣẹda ti o dara ju.
straight from the horse's mouth,from a dependable or reliable source,I [[heard it straight from the horse's mouth]] that the company is planning a merger,The veterinarian [[heard it straight from the horse's mouth]] when the animal neighed loudly,I heard it straight from the horse's mouth that the company is planning a merger,The veterinarian heard it straight from the horse's mouth when the animal neighed loudly,heard it straight from the horse's mouth,"Az állatorvos egyenesen a ló szájából hallotta, amikor az állat hangosan nyerített.",말의 입에서 직접 들었다.,나는 그 회사가 합병을 계획하고 있다는 소식을 직접 관계자로부터 들었다.,수의사는 동물이 크게 울부짖을 때 말의 입에서 직접 들었다.,Escuché directamente de la boca del caballo que la empresa está planeando una fusión.,El veterinario lo escuchó directamente de la boca del caballo cuando el animal relinchó fuerte.,Mo ti nko oro naa lati oruko eja to nlo.,Mo n gbo pe awọn ọmọde ti oju ala ti o ni aṣojú ẹniyan pe odo awọn ọna-ọna náà nṣe aṣojú.
straight shooter,someone who speaks the truth,"In the world of politics, her reputation as [[a straight shooter]] sets her apart from the rest","The archer was [[a straight shooter]], hitting the bullseye every time","In the world of politics, her reputation as a straight shooter sets her apart from the rest","The archer was a straight shooter, hitting the bullseye every time",a straight shooter,"Az íjász egyenes lövő volt, minden alkalommal a középpontot találta el.",솔직한 사람,"정치계에서, 그녀의 직설적인 성격으로 인해 그녀는 다른 사람들과 구별됩니다.","궁수는 직선적인 사격수였으며, 매번 불의의 중심을 맞췄습니다.","En el mundo de la política, su reputación como una persona franca la distingue del resto.","El arquero era un tirador recto, acertando en el centro de la diana cada vez.",ori-ọrọ tuntun,"Ni ile-iṣẹ, iṣẹ́ ọrọ rẹ bẹ́ẹ̀ ni o jẹ́ ọ̀rẹ́-ọ̀fín lati gbé ọ̀rẹ̀."
straighten up and fly right,to get serious and stop acting absurd anymore.,"After a stern warning from his boss, he decided [[to straighten up and fly right]] at work",The pilot had [[to straighten up and fly right]] to avoid turbulence,"After a stern warning from his boss, he decided to straighten up and fly right at work",The pilot had to straighten up and fly right to avoid turbulence,to straighten up and fly right,"A pilóta helyesbe kellett állítania a repülést, hogy elkerülje a turbulenciát.",일을 정리하고 올바른 방향으로 나아가다.,"그의 상사로부터 엄격한 경고를 받은 후, 그는 직장에서 올바르게 행동하기로 결정했다.",파일럿은 난류를 피하기 위해 바로 날아가야 했다.,"Después de una advertencia severa de su jefe, decidió enderezarse y volar derecho en el trabajo.",El piloto tuvo que enderezarse y volar correctamente para evitar la turbulencia.,lati ṣe afẹfẹ ati ṣe alaafia.,"Lẹhin iṣẹlẹ ti o ni ifẹsẹ ti o ni, o wa ni irinṣẹ lati ṣe afẹfẹ ati ṣe oke ni iṣẹ."
strike while the iron is hot,to take advantage of a situation,"To seize the opportunity, he decided [[to strike while the iron is hot]] and invest in the stock market","As a blacksmith, he knew he had [[to strike while the iron is hot]] to shape the metal properly","To seize the opportunity, he decided to strike while the iron is hot and invest in the stock market","As a blacksmith, he knew he had to strike while the iron is hot to shape the metal properly",to strike while the iron is hot,"Mivel kovács volt, tudta, hogy akkor kell ütni, amikor a vas forró, hogy megfelelően formálja a fémeket.",뜨거운 철을 칠 때 치라.,"기회를 잡기 위해, 그는 뜨거운 철을 때리기로 결정하고 주식 시장에 투자하기로 했다.",대장장이로서 그는 금속을 올바르게 가공하기 위해 철이 뜨거울 때 때리는 것이 필요하다는 것을 알고 있었다.,"Para aprovechar la oportunidad, decidió actuar mientras el hierro está caliente e invertir en el mercado de valores.","Como herrero, sabía que tenía que golpear mientras el hierro está caliente para dar forma al metal adecuadamente.",lati pa ni oju ala to gbona,"Fun ni owo owo, o wa ni opin irin ni o wa ni owo omo odo ati lo si oja owo."
suited and booted,formally dressed; well dressed,"He [[was suited and booted for the event]], ready to impress everyone with his confidence","He [[was suited and booted for the event]], wearing a tailored suit and polished shoes","He was suited and booted for the event, ready to impress everyone with his confidence","He was suited and booted for the event, wearing a tailored suit and polished shoes",was suited and booted for the event,"Felkészült és elegáns volt az eseményre, egy szabott öltönyt és fényes cipőt viselve.",이벤트를 위해 옷차림을 갖추었다.,그는 그 이벤트를 위해 옷차림을 완벽하게 준비하고 자신감으로 모두를 인상질렀다.,"그는 이벤트를 위해 옷차림을 완벽하게 했으며, 맞춤형 정장과 광택나는 구두를 신고 있었다.","Estaba vestido y listo para el evento, listo para impresionar a todos con su confianza.","Estaba vestido de punta en blanco para el evento, llevando un traje a medida y zapatos pulidos.",O ti gbe agbada ati buba fun iranlowo yii.,"O ti gbe agbada ati bota fun iṣẹ yii, o wa ti ṣe iranlọwọ lati gbe gbogbo eniyan ni ibe ni pẹlu iwa rere."
sweep under the rug,try to hide a problem or keep a problem secret instead of dealing with it,"Instead of addressing the problem, [[they swept the issue under the rug]] and pretended it didn't exist","After breaking the vase, [[they swept the issue under the rug]] to hide the evidence","Instead of addressing the problem, they swept the issue under the rug and pretended it didn't exist","After breaking the vase, they swept the issue under the rug to hide the evidence",they swept the issue under the rug,"A váza eltörése után eltakarták a bizonyítékokat, és eltussolták az ügyet.",그들은 문제를 묻어두었다.,문제를 해결하는 대신 그들은 문제를 묻어두고 존재하지 않는 것처럼 꾸며냈습니다.,그들은 꽃병을 깨뜨린 후 증거를 숨기기 위해 문제를 묻어두었다.,"En lugar de abordar el problema, barrieron el asunto bajo la alfombra y fingieron que no existía.","Después de romper el jarrón, barrieron el problema bajo la alfombra para ocultar la evidencia.",Won ṣe afẹfẹ irinṣẹ ni isalẹ.,"Lẹyin ojoojumọ, wọn ti ṣe afikun lọwọ awọn alaye ati ṣe afikun pe o kii ṣe ibiti o wa."
take a back seat,take a less important position.,"[[He took a back seat to her]] in the project, letting her lead the team","[[He took a back seat to her]] in the car, giving her the front passenger seat","He took a back seat to her in the project, letting her lead the team","He took a back seat to her in the car, giving her the front passenger seat",He took a back seat to her,"Ő hátrébb ült az autóban, és az első utasülést adta neki.",그는 그녀에게 뒷자리를 양보했다.,"그는 프로젝트에서 그녀에게 뒷자리를 양보하며, 그녀가 팀을 이끄도록 허락했다.","그는 차에서 그녀에게 후좌석을 양보하여, 그녀에게 앞 좌석을 주었다.","Él se quedó en segundo plano en el proyecto, dejando que ella liderara el equipo.","Él se sentó en el asiento trasero del coche, dándole a ella el asiento delantero del pasajero.",O ti gbe ojú ìwé lẹhin rẹ.,"O ti gbe ojumo kan si o ni ibere, o si gbe o ni owo awon omo ile-iwe."
take a beating,to be defeated in doing something and be reprimanded for the same,The company's stock prices [[took a beating]] after the negative news,The old punching bag [[took a beating]] during the intense workout session,The company's stock prices took a beating after the negative news,The old punching bag took a beating during the intense workout session,took a beating,Az öreg bokszzsák nagyon megviseltedett az intenzív edzés során.,"""took a beating"" - ""때려쳤다""",그 회사의 주가는 부정적인 뉴스 이후에 큰 타격을 입었습니다.,강도 높은 운동 세션 동안 오래된 펀치백은 많이 타격을 입었습니다.,Los precios de las acciones de la empresa sufrieron un golpe después de las noticias negativas.,El viejo saco de boxeo recibió una paliza durante la intensa sesión de entrenamiento.,ni oju kokoro.,Iṣẹlẹ ti o ni awọn owo owo ti o wa ni ibeere ti o jẹ alaabo ni owo.
take a cue from,to do what is recommended by someone else,You should [[take a cue from her]] and start organizing your time better,"During the pool game, he decided to [[take a cue from her]] and use her favorite one",You should take a cue from her and start organizing your time better,"During the pool game, he decided to take a cue from her and use her favorite one",take a cue from her,"A medence játék során úgy döntött, hogy átveszi tőle a játékszert és az ő kedvencét használja.",그녀를 보고 배우세요.,당신은 그녀를 보고 시간을 더 잘 조직하도록 권유해야 합니다.,수영장 게임 중에 그는 그녀의 큐를 따라가기로 결정하고 그녀가 좋아하는 것을 사용하기로 했다.,Deberías tomar una pista de ella y empezar a organizar mejor tu tiempo.,"Durante el juego de billar, decidió tomar una pista de ella y usar su favorita.",Jẹ ki o kọ awọn ọrọ rẹ lati rẹ.,O nilo lati gba aṣayan siwaju rẹ ati bẹrẹ irinṣẹ rẹ ni o wa ni aṣayan.
take a hike,go away,"When he insulted her, she told him [[to take a hike]]","On a sunny day, they decided [[to take a hike]] in the nearby forest","When he insulted her, she told him to take a hike","On a sunny day, they decided to take a hike in the nearby forest",to take a hike,"Egy napos napon úgy döntöttek, hogy kirándulnak a közeli erdőben.",산책하다,"그가 그녀를 모욕했을 때, 그녀는 그를 쫓아보내라고 말했다.",화창한 날에 그들은 근처 숲을 산책하기로 결정했다.,"Cuando él la insultó, ella le dijo que se largara.","En un día soleado, decidieron hacer una caminata en el bosque cercano.",ni ipa ojú ewé.,"Nigbati o fi ipele re sile, o so fun o pe o lọ sọrọ."
take a leaf out of someone's book,implement actionable advice,"To improve my work ethic, I decided to [[take a leaf out of her book]] and wake up early","To press and preserve the leaf, I had to carefully [[take a leaf out of her book]] of botanical specimens","To improve my work ethic, I decided to take a leaf out of her book and wake up early","To press and preserve the leaf, I had to carefully take a leaf out of her book of botanical specimens",take a leaf out of her book,A levél lenyomásához és megőrzéséhez óvatosan ki kellett vennem egy levelet a növénytanilagyi mintagyűjteményéből.,그녀의 책에서 한 장을 빌려보세요.,"나의 직업 윤리를 개선하기 위해, 그녀의 방법을 따라 일찍 일어나기로 결정했다.","잎을 눌러 보존하기 위해, 나는 식물 샘플 책에서 조심스럽게 잎을 꺼내야 했다.","Para mejorar mi ética de trabajo, decidí tomar un ejemplo de ella y despertar temprano.","Para presionar y preservar la hoja, tuve que cuidadosamente sacar una hoja de su libro de especímenes botánicos.",Jẹ́ kọ́ orí ẹ̀ láti ìwé rẹ̀.,"Latodo miiran lati gba ohun ti o ba ni ise-ogun ti o dara, mo ti wa ni opin ti o ba ni ise-ogun ti o dara ati mo ti gbe'gba ni ale."
take it on the chin,this is a boxing metaphor meaning don't shy away from difficulty,"Despite the harsh criticism, [[he took it on the chin]] and kept working","During the boxing match, [[he took it on the chin]] and fell to the ground","Despite the harsh criticism, he took it on the chin and kept working","During the boxing match, he took it on the chin and fell to the ground",he took it on the chin,A bokszmeccs alatt bevállalta és leesett a földre.,그는 그것을 참았다.,엄격한 비판에도 그는 참고 일을 계속했다.,복싱 경기 중 그는 턱을 맞고 땅에 쓰러졌다.,"A pesar de las duras críticas, lo tomó con entereza y siguió trabajando.","Durante la pelea de boxeo, recibió un golpe en la barbilla y cayó al suelo.",O ti gbe e lori agutan.,"Ni ipinnu awọn ọrọ buruku, o ti gba ni ọkan ati ti wa ni ise."
take up the cudgels,argue strongly in support or against somebody or something,[[He took up the cudgels for her]] when she was unfairly criticized,"During the historical reenactment, [[he took up the cudgels for her]] when she dropped hers",He took up the cudgels for her when she was unfairly criticized,"During the historical reenactment, he took up the cudgels for her when she dropped hers",He took up the cudgels for her,"A történelmi újrajátszás során, amikor ő elejtette a saját fegyverét, ő átvette a helyét.",그는 그녀를 위해 맹목적으로 지지했다.,그는 그녀가 불공정하게 비판당했을 때 그녀를 지지하기 시작했다.,"역사 재현 중에 그녀가 그녀의 막대기를 떨어뜨렸을 때, 그는 그녀를 위해 막대기를 들었다.",Él tomó la defensa de ella cuando fue criticada injustamente.,"Durante la recreación histórica, él tomó las armas por ella cuando ella dejó las suyas.",O ti gbe ileke fun o.,O ti gba ojúmọ́ lọ́wọ́ rẹ nígbà ti a fi ìtàn òdò rẹ.
take with a grain of salt,to understand that something is not completely true or right,"When listening to his stories, it's best [[to take it with a grain of salt]]","To balance the flavor, she decided [[to take it with a grain of salt]] and sprinkled it on her dish","When listening to his stories, it's best to take it with a grain of salt","To balance the flavor, she decided to take it with a grain of salt and sprinkled it on her dish",to take it with a grain of salt,"Az íz kiegyensúlyozása érdekében úgy döntött, hogy sóval ízesíti, és megszórja az ételét.",약간의 불신으로 받아들이다.,그의 이야기를 들을 때는 소금 한 알 정도로 받아들이는 것이 좋습니다.,맛을 균형있게 맞추기 위해 그녀는 그것을 소금알 하나와 함께 먹기로 결정하고 그녀의 접시 위에 뿌렸다.,"Cuando escuchas sus historias, es mejor tomarlas con un grano de sal.","Para equilibrar el sabor, decidió tomarlo con una pizca de sal y lo espolvoreó sobre su plato.",ni ipa kan fun iyọnu.,"Nigbati o ba n gbo awon ise re, o ni o dara lati gbe e pelu iyerosun."
