idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt
run across,meet someone by accident,"While researching, I happened [[to run across the field]] of quantum physics","During the soccer match, the players had [[to run across the field]] to reach the ball","While researching, I happened to run across the field of quantum physics","During the soccer match, the players had to run across the field to reach the ball",to run across the field,"A labdarúgó mérkőzés alatt a játékosoknak át kellett futniuk a pályán, hogy elérjék a labdát.",구장을 가로질러 달리다.,조사하다가 우연히 양자 물리학 분야를 만났습니다.
run out,to not have enough of something,We need to hurry or we'll [[run out of time]] to finish the project,"The clock's battery died, causing it to [[run out of time]]",We need to hurry or we'll run out of time to finish the project,"The clock's battery died, causing it to run out of time",run out of time,Az óra elemének lemerülése miatt leállt az idő.,시간이 부족하다.,우리는 서둘러야 해요. 그렇지 않으면 프로젝트를 끝내는 시간이 부족해질 거예요.
run out of steam,to lose the effect that something once had,"After working on the project for hours, she finally [[ran out of steam]] and took a break",The old steam engine [[ran out of steam]] and came to a halt,"After working on the project for hours, she finally ran out of steam and took a break",The old steam engine ran out of steam and came to a halt,ran out of steam,Az öreg gőzmozdony kifogyott a gőzből és megállt.,기운이 다 빠졌다.,"프로젝트를 몇 시간 동안 작업한 후, 그녀는 마침내 기운을 다 써서 휴식을 취했다."
sail through,to succeed in doing it without difficulty,"With her determination and hard work, she managed [[to sail through the challenges]] of her new job",The experienced captain was able [[to sail through the challenges]] of the stormy sea,"With her determination and hard work, she managed to sail through the challenges of her new job",The experienced captain was able to sail through the challenges of the stormy sea,to sail through the challenges,Az tapasztalt kapitány képes volt átvitorlázni a viharos tenger kihívásain.,도전을 극복하며 항해하다.,"그녀의 결심과 노력으로, 그녀는 새로운 직장의 도전을 이겨냈습니다."
scratch the surface,to deal with only a small part of a problem,"During the lecture, we only [[scratched the surface]] of the topic and didn't dive deep","With a coin, she [[scratched the surface]] of the lottery ticket to reveal the numbers","During the lecture, we only scratched the surface of the topic and didn't dive deep","With a coin, she scratched the surface of the lottery ticket to reveal the numbers",scratched the surface,"Egy érmével megkarcolta a lottószelvény felületét, hogy láthatóvá váljanak a számok.",표면을 긁었다.,강의 중에는 주제의 표면만 긁어 보고 깊이 파지 않았습니다.
second wind,another burst of energy when you had been too tired to finish,"After a short break, the marathon runner [[found a second wind]] and continued running","While searching through the attic, he [[found a second wind]] chime to add to his collection","After a short break, the marathon runner found a second wind and continued running","While searching through the attic, he found a second wind chime to add to his collection",found a second wind,"Miközben a padlást kutatta, talált egy második szélcsengőt, amit hozzáadhatott a gyűjteményéhez.",두 번째 기세를 찾았다.,"짧은 휴식 후, 마라톤 선수는 두 번째 기세를 찾아 계속해서 달렸습니다."
see eye to eye,to agree fully with someone,"After discussing our differences, we started [[seeing eye to eye with her]]","During the staring contest, we were [[seeing eye to eye with her]]","After discussing our differences, we started seeing eye to eye with her","During the staring contest, we were seeing eye to eye with her",seeing eye to eye with her,A bámészkodó verseny alatt szemtől szembe álltunk vele.,그녀와 눈이 마주치다.,우리는 서로의 차이점을 논의한 후 그녀와 눈높이를 맞추기 시작했다.
see the light,realise or understand something,"After struggling with the problem for hours, he [[finally saw the light]] and found the solution","After being in the dark cave for hours, they [[finally saw the light]] when they reached the exit","After struggling with the problem for hours, he finally saw the light and found the solution","After being in the dark cave for hours, they finally saw the light when they reached the exit",finally saw the light,"Miután órákig voltak a sötét barlangban, végre látták a fényt, amikor elérték a kijáratot.",드디어 빛을 보았다.,"문제를 몇 시간 동안 고민한 후, 그는 마침내 깨달았고 해결책을 찾았다."
set the bar,fix the standards acceptable for the task,She [[set the bar high]] for her colleagues with her outstanding performance,The coach [[set the bar high]] for the high jump competition,She set the bar high for her colleagues with her outstanding performance,The coach set the bar high for the high jump competition,set the bar high,Az edző magasra tette a lécet a magasugrás versenyen.,기준을 높게 설정하다.,그녀는 뛰어난 성과로 동료들에게 높은 기준을 제시했습니다.
shades of grey,refers to a situation where things are not really clear,"In the complex political situation, [[they saw shades of grey]] rather than a clear right or wrong","As an artist, [[they saw shades of grey]] when mixing black and white paint","In the complex political situation, they saw shades of grey rather than a clear right or wrong","As an artist, they saw shades of grey when mixing black and white paint",they saw shades of grey,"Mint művész, árnyalatokat láttak a szürkeben, amikor fekete és fehér festéket kevertek.",그들은 회색 그림자를 보았다.,"복잡한 정치 상황에서, 그들은 분명한 옳고 그름이 아닌 회색 그림자를 보았습니다."
shake a leg,"to go fast, hurry","We were running late, so our mom told us to start [[shaking a leg]]","During the dance class, the instructor demonstrated [[shaking a leg]] to the rhythm","We were running late, so our mom told us to start shaking a leg","During the dance class, the instructor demonstrated shaking a leg to the rhythm",shaking a leg,"A táncóra során az oktató bemutatta, hogyan rázzuk a lábunkat a ritmusra.",다리를 흔들다.,우리는 늦게 출발하게 되어서 우리 엄마가 우리에게 빨리 움직이라고 말했다.
shoot from the hip,"speak directly or bluntly, without caring for consequences","During the debate, he was [[shooting from the hip]] with his quick responses","At the shooting range, he practiced [[shooting from the hip]] to improve his accuracy","During the debate, he was shooting from the hip with his quick responses","At the shooting range, he practiced shooting from the hip to improve his accuracy",shooting from the hip,A lövészpályán csípőből lőtt gyakorlással javította a pontosságát.,엉덩이에서 쏘는 것,토론 중에 그는 빠른 대답으로 엉뚱한 말을 하고 있었다.
short fuse,to get angry quickly.,"Be careful around him, he [[has a short fuse]] and gets angry easily","The firecracker [[has a short fuse]], so it will explode quickly after lighting it","Be careful around him, he has a short fuse and gets angry easily","The firecracker has a short fuse, so it will explode quickly after lighting it",has a short fuse,"A petárda rövid kanóccal rendelkezik, így gyorsan felrobban, miután meggyújtják.",짜증을 잘 내는 경향이 있다.,"그에게 조심하세요, 그는 짜증을 쉽게 내고 화를 잘 합니다."
shot in the dark,an attempt to guess something when you have no information or knowledge about the subject and therefore cannot possibly know what the answer is,"Without any information, [[he took a shot in the dark]] and guessed the answer","During the blackout, [[he took a shot in the dark]] with his camera","Without any information, he took a shot in the dark and guessed the answer","During the blackout, he took a shot in the dark with his camera",he took a shot in the dark,Az áramszünet alatt vakon lőtt egy képet a fényképezőgépével.,그는 어둠 속에서 총을 쏘았다.,"어떤 정보도 없이, 그는 대충 맞추어 답을 추측했다."
show the door,make it clear that somebody must leave,"When he started making inappropriate comments, the manager [[showed him the door]]","Since he was lost in the building, she kindly [[showed him the door]] to exit","When he started making inappropriate comments, the manager showed him the door","Since he was lost in the building, she kindly showed him the door to exit",showed him the door,"Mivel eltévedt az épületben, kedvesen megmutatta neki az ajtót a kilépéshez.",그에게 문을 보여줬다.,"그가 부적절한 발언을 시작하자, 매니저는 그를 쫓아냈습니다."
show true colors,to reveal what one is really like,"When the pressure was on, they [[showed their true colors]] and revealed their true intentions",The chameleon [[showed their true colors]] when it stopped blending in with the environment,"When the pressure was on, they showed their true colors and revealed their true intentions",The chameleon showed their true colors when it stopped blending in with the environment,showed their true colors,"A kaméleon igazi színeit mutatta, amikor abbahagyta az összeolvadást a környezettel.",그들의 진정한 모습을 드러냈습니다.,"압력이 가해졌을 때, 그들은 진정한 색깔을 드러내며 진정한 의도를 밝혔다."
silver spoon,having a rich or privileged background,"He [[was born with a silver spoon]] in his mouth, inheriting a fortune from his family","In a unique family tradition, every child [[was born with a silver spoon]] placed beside them","He was born with a silver spoon in his mouth, inheriting a fortune from his family","In a unique family tradition, every child was born with a silver spoon placed beside them",was born with a silver spoon,Egyedi családi hagyományként minden gyermek mellé ezüst kanál került születéskor.,은수저를 먹고 태어났다.,그는 은수저를 먹고 태어나 가족으로부터 부를 상속받았다.
sink or swim,"having to do something alone, and their success or failure depends entirely on their own efforts",Starting a new job without any training was [[a sink or swim situation]] for her,"When thrown into the deep end of the pool, it was [[a sink or swim situation]] for the inexperienced swimmer",Starting a new job without any training was a sink or swim situation for her,"When thrown into the deep end of the pool, it was a sink or swim situation for the inexperienced swimmer",a sink or swim situation,"Amikor a medence mélyébe dobták, az tapasztalatlan úszó számára az volt a helyzet, hogy vagy elsüllyed, vagy úszik.",가라앉거나 수영해야 하는 상황,어떠한 훈련도 받지 않고 새로운 직장을 시작하는 것은 그녀에게는 살아남거나 죽는 상황이었다.
sit on the fence,delay or avoid making a decision or choice,"When it came to choosing a side, he was always [[sitting on the fence]]",The cat was [[sitting on the fence]] and observing the birds,"When it came to choosing a side, he was always sitting on the fence",The cat was sitting on the fence and observing the birds,sitting on the fence,A macska az kerítésen ült és megfigyelte a madarakat.,울타리 위에 앉아 있다.,"편을 선택하는 일이 되면, 그는 항상 중립적인 입장을 유지했다."
sit tight,wait patiently,The manager told us [[to sit tight and wait]] for further instructions,The roller coaster operator instructed us [[to sit tight and wait]] for the ride to start,The manager told us to sit tight and wait for further instructions,The roller coaster operator instructed us to sit tight and wait for the ride to start,to sit tight and wait,"A hullámvasút üzemeltetője utasított minket, hogy szorosan üljünk és várjuk meg, amíg elindul a menet.",가만히 앉아 기다리다.,매니저가 우리에게 가만히 앉아서 추가 지시를 기다리라고 말했습니다.
skating on thin ice,to do something considered quite dangerous or risky,"By constantly arriving late to work, he was [[skating on thin ice]] with his boss","Despite the danger, they were [[skating on thin ice]] on the frozen lake","By constantly arriving late to work, he was skating on thin ice with his boss","Despite the danger, they were skating on thin ice on the frozen lake",skating on thin ice,"Annak ellenére, hogy veszélyes volt, a vékony jégen korcsolyáztak a befagyott tóban.",얇은 얼음 위에서 스케이팅하기,그는 항상 지각해서 상사와 얼음 위를 걷고 있었다.
skeleton in the closet,"a secret of an embarrassing, guilty or shameful nature that you don't want to disclose","When digging into his past, [[we discovered a skeleton in the closet]] that he had been hiding","While exploring the haunted house, [[we discovered a skeleton in the closet]] of one of the rooms","When digging into his past, we discovered a skeleton in the closet that he had been hiding","While exploring the haunted house, we discovered a skeleton in the closet of one of the rooms",we discovered a skeleton in the closet,"Miközben felfedeztük a kísértetjárta házat, egy csontvázra bukkantunk az egyik szoba szekrényében.",우리는 옷장에서 해골을 발견했습니다.,"과거를 파헤치다 보니, 그가 숨겨둔 비밀이 드러났습니다."
smell a rat,sense that something is not right,He [[smelled a rat in the situation]] when his colleague started acting suspiciously,The exterminator [[smelled a rat in the situation]] and began searching for its nest,He smelled a rat in the situation when his colleague started acting suspiciously,The exterminator smelled a rat in the situation and began searching for its nest,smelled a rat in the situation,"Az állatirtó szagot érzett a helyzetben, és elkezdte keresni a patkány fészket.",상황에서 쥐 냄새가 났다.,그는 동료가 수상하게 행동하기 시작할 때 상황에서 쥐 냄새를 맡았다.
smell something fishy,to have a suspicion that something is wrong,"When he started avoiding my questions, [[I smelled something fishy]] about his story","Walking past the seafood market, [[I smelled something fishy]] in the air","When he started avoiding my questions, I smelled something fishy about his story","Walking past the seafood market, I smelled something fishy in the air",I smelled something fishy,"Sétálva elhaladva a tenger gyümölcsei piac mellett, valami halas szagot éreztem a levegőben.",저는 수상한 냄새가 났어요.,"그가 내 질문을 피하기 시작하면서, 그의 이야기에 뭔가 수상한 게 있다고 느꼈다."
smooth sailing,easy progress without impediment or difficulty,"Once we resolved the initial issues, we could [[experience smooth sailing]] throughout the project","On a calm day at sea, the boat would [[experience smooth sailing]] without any turbulence","Once we resolved the initial issues, we could experience smooth sailing throughout the project","On a calm day at sea, the boat would experience smooth sailing without any turbulence",experience smooth sailing,"Egy nyugodt tengeri napon a hajó sima vitorlázást tapasztalna, turbulencia nélkül.",원활한 항해 경험하기,"우리가 초기 문제를 해결하면, 프로젝트 전반에 걸쳐 원활한 진행을 경험할 수 있었습니다."
snake in the grass,a hidden army,[[She found a snake in the grass]] when she discovered her friend 's betrayal,"While walking through the field, [[she found a snake in the grass]] slithering away",She found a snake in the grass when she discovered her friend 's betrayal,"While walking through the field, she found a snake in the grass slithering away",She found a snake in the grass,"Miközben átsétált a mezőn, talált egy kígyót a fűben csúszkálva.",그녀는 풀 사이에서 뱀을 발견했습니다.,그녀는 친구의 배신을 알게 되었을 때 풀밭에서 뱀을 발견했다.
snake in the shoes,to be in a state of fear,[[He found a snake in the shoes]] when he discovered his best friend was betraying him,"While cleaning the garage, [[he found a snake in the shoes]] he had left there",He found a snake in the shoes when he discovered his best friend was betraying him,"While cleaning the garage, he found a snake in the shoes he had left there",He found a snake in the shoes,"Miközben takarította a garázst, kígyót talált azokban a cipőkben, amiket ott hagyott.",그는 신발 안에서 뱀을 발견했다.,그는 가장 친한 친구가 자신을 배신하고 있음을 알게 되었을 때 신발 안에 뱀을 발견했다.
snow under,to bury or cover something or somebody in the snow (Literal meaning),"During the busy season, she was [[snowed under with work]] and had no time for leisure",The unexpected blizzard left her car [[snowed under with work]] to dig it out,"During the busy season, she was snowed under with work and had no time for leisure",The unexpected blizzard left her car snowed under with work to dig it out,snowed under with work,"A váratlan hóvihar alatt a kocsija hó alá temette, és dolgoznia kellett, hogy kicsavarja.",일로 바쁘게 압도되다.,번화한 시즌 동안 그녀는 일에 묻혀 여가 시간이 없었습니다.
spanner in the works,a roadblock that prevents an activity from succeeding,The sudden power outage threw [[a spanner in the works]] of our presentation,The mechanic accidentally dropped [[a spanner in the works]] of the machine,The sudden power outage threw a spanner in the works of our presentation,The mechanic accidentally dropped a spanner in the works of the machine,a spanner in the works,A szerelő véletlenül elejtett egy villáskulcsot a gép működésébe.,"작업에 방해가 되는 것, 문제의 원인",갑작스러운 정전으로 우리 발표 계획이 엉망이 되었다.
spill the beans,disclose a secret or reveal something prematurely,He accidentally [[spilled the beans about the surprise]] party we had planned,"While carrying a bag of legumes, she tripped and [[spilled the beans about the surprise]] on the floor",He accidentally spilled the beans about the surprise party we had planned,"While carrying a bag of legumes, she tripped and spilled the beans about the surprise on the floor",spilled the beans about the surprise,"Miközben egy zsák hüvelyeseket cipel, megbotlott és kiborult a bab a meglepetésről a padlóra.",놀람을 가지고 있던 것을 폭로했다.,그는 우리가 계획한 깜짝 파티에 대해 실수로 비밀을 누설했다.
spin a yarn,to tell a tale,They [[spun a yarn together]] about their adventurous trip to the mountains,The two knitters [[spun a yarn together]] to create a beautiful scarf,They spun a yarn together about their adventurous trip to the mountains,The two knitters spun a yarn together to create a beautiful scarf,spun a yarn together,"A két kötő együtt fonott egy fonalat, hogy gyönyörű sálat készítsenek.",함께 이야기를 만들어 냈습니다.,그들은 산으로의 모험 여행에 대해 함께 이야기를 했다.
stab in the back,a disloyalty,He was [[stabbed in the back by a friend]] when they revealed his secrets,"During the reenactment of a historical battle, he was accidentally [[stabbed in the back by a friend]]",He was stabbed in the back by a friend when they revealed his secrets,"During the reenactment of a historical battle, he was accidentally stabbed in the back by a friend",stabbed in the back by a friend,Egy történelmi csata újrateremtése közben véletlenül barátja megszúrta a hátát.,친구에게서 등을 찔렸다.,그는 친구에게 비밀을 폭로당하면서 등을 찔렸다.
stand out,extend beyond or above a surface,Her unique fashion sense made her [[stand out in the crowd]],He had to [[stand out in the crowd]] to get a better view of the stage,Her unique fashion sense made her stand out in the crowd,He had to stand out in the crowd to get a better view of the stage,stand out in the crowd,"A tömegben ki kellett állnia, hogy jobban lássa a színpadot.",사람들 속에서 두드러지다.,그녀의 독특한 패션 감각은 그녀를 사람들 속에서 눈에 띄게 만들었다.
step on his toes,to annoy or irritate someone by intervening in a situation that is their responsibility,I didn't want to [[stepped on his toes]] by taking over his project,"While dancing, she accidentally [[stepped on his toes]]",I didn't want to stepped on his toes by taking over his project,"While dancing, she accidentally stepped on his toes",stepped on his toes,Tánc közben véletlenül rálépett a lábujjára.,그의 발가락을 밟았다.,그의 프로젝트를 빼앗아서 그를 건드리고 싶지 않았습니다.
stick in his throat,difficulty of accepting and makes you angry or resentful,The insincere compliment [[stuck in his throat]] as he tried to praise his rival,The fish bone [[stuck in his throat]] while he was eating dinner,The insincere compliment stuck in his throat as he tried to praise his rival,The fish bone stuck in his throat while he was eating dinner,stuck in his throat,"A halcsont a torkában ragadt, miközben vacsorázott.",그의 목에 막혀 있습니다.,그는 경쟁자를 칭찬하려고 노력하면서 거짓된 칭찬이 그의 목구멍에 걸렸다.
stiff upper lip,to be brave in the face of adversity,"Despite the bad news, [[he maintained a stiff upper lip]] and carried on","Due to the cold weather, [[he maintained a stiff upper lip]] until he could warm up","Despite the bad news, he maintained a stiff upper lip and carried on","Due to the cold weather, he maintained a stiff upper lip until he could warm up",he maintained a stiff upper lip,"A hideg idő miatt merev felső ajkát tartotta, amíg fel nem melegedett.",그는 담담한 표정을 유지했다.,나쁜 소식에도 그는 담담하게 버티며 계속 나아갔다.
stir up a hornet's nest,to create trouble,"By questioning the company's policies, he [[stirred up a hornet's nest]] among the employees","While clearing the garden, she accidentally [[stirred up a hornet's nest]] and got stung","By questioning the company's policies, he stirred up a hornet's nest among the employees","While clearing the garden, she accidentally stirred up a hornet's nest and got stung",stirred up a hornet's nest,"Miközben rendbe tette a kertet, véletlenül felkavarta egy lódarázs fészkét és megcsípte.",뒤죽박죽으로 만들다.,그는 회사의 정책에 대해 의문을 제기함으로써 직원들 사이에서 문제를 일으켰다.
stop by,to meet someone or go somewhere in a brief and informal manner,I'll [[stop by the store]] to pick up some groceries on my way home,"During our walk, we decided to [[stop by the store]] to take shelter from the sudden downpour",I'll stop by the store to pick up some groceries on my way home,"During our walk, we decided to stop by the store to take shelter from the sudden downpour",stop by the store,"Sétánk során úgy döntöttünk, hogy betérünk az üzletbe, hogy menedéket találjunk a hirtelen zápor elől.",가게에 들러주세요.,저는 집에 가는 길에 가게에 들러 식료품을 사러 갈 거예요.
stop the rot,"when you prevent a situation from deteriorating, especially in business or politics",The new manager [[stopped the rot]] by implementing better policies,The gardener [[stopped the rot]] by removing the infected plants,The new manager stopped the rot by implementing better policies,The gardener stopped the rot by removing the infected plants,stopped the rot,"A kertész eltávolította az érintett növényeket, hogy megállítsa a rothadást.",부패를 멈추다.,새로운 매니저는 더 나은 정책을 시행하여 부패를 막았습니다.
straight from the horse's mouth,from a dependable or reliable source,I [[heard it straight from the horse's mouth]] that the company is planning a merger,The veterinarian [[heard it straight from the horse's mouth]] when the animal neighed loudly,I heard it straight from the horse's mouth that the company is planning a merger,The veterinarian heard it straight from the horse's mouth when the animal neighed loudly,heard it straight from the horse's mouth,"Az állatorvos egyenesen a ló szájából hallotta, amikor az állat hangosan nyerített.",말의 입에서 직접 들었다.,나는 그 회사가 합병을 계획하고 있다는 소식을 직접 관계자로부터 들었다.
straight shooter,someone who speaks the truth,"In the world of politics, her reputation as [[a straight shooter]] sets her apart from the rest","The archer was [[a straight shooter]], hitting the bullseye every time","In the world of politics, her reputation as a straight shooter sets her apart from the rest","The archer was a straight shooter, hitting the bullseye every time",a straight shooter,"Az íjász egyenes lövő volt, minden alkalommal a középpontot találta el.",솔직한 사람,"정치계에서, 그녀의 직설적인 성격으로 인해 그녀는 다른 사람들과 구별됩니다."
straighten up and fly right,to get serious and stop acting absurd anymore.,"After a stern warning from his boss, he decided [[to straighten up and fly right]] at work",The pilot had [[to straighten up and fly right]] to avoid turbulence,"After a stern warning from his boss, he decided to straighten up and fly right at work",The pilot had to straighten up and fly right to avoid turbulence,to straighten up and fly right,"A pilóta helyesbe kellett állítania a repülést, hogy elkerülje a turbulenciát.",일을 정리하고 올바른 방향으로 나아가다.,"그의 상사로부터 엄격한 경고를 받은 후, 그는 직장에서 올바르게 행동하기로 결정했다."
strike while the iron is hot,to take advantage of a situation,"To seize the opportunity, he decided [[to strike while the iron is hot]] and invest in the stock market","As a blacksmith, he knew he had [[to strike while the iron is hot]] to shape the metal properly","To seize the opportunity, he decided to strike while the iron is hot and invest in the stock market","As a blacksmith, he knew he had to strike while the iron is hot to shape the metal properly",to strike while the iron is hot,"Mivel kovács volt, tudta, hogy akkor kell ütni, amikor a vas forró, hogy megfelelően formálja a fémeket.",뜨거운 철을 칠 때 치라.,"기회를 잡기 위해, 그는 뜨거운 철을 때리기로 결정하고 주식 시장에 투자하기로 했다."
suited and booted,formally dressed; well dressed,"He [[was suited and booted for the event]], ready to impress everyone with his confidence","He [[was suited and booted for the event]], wearing a tailored suit and polished shoes","He was suited and booted for the event, ready to impress everyone with his confidence","He was suited and booted for the event, wearing a tailored suit and polished shoes",was suited and booted for the event,"Felkészült és elegáns volt az eseményre, egy szabott öltönyt és fényes cipőt viselve.",이벤트를 위해 옷차림을 갖추었다.,그는 그 이벤트를 위해 옷차림을 완벽하게 준비하고 자신감으로 모두를 인상질렀다.
sweep under the rug,try to hide a problem or keep a problem secret instead of dealing with it,"Instead of addressing the problem, [[they swept the issue under the rug]] and pretended it didn't exist","After breaking the vase, [[they swept the issue under the rug]] to hide the evidence","Instead of addressing the problem, they swept the issue under the rug and pretended it didn't exist","After breaking the vase, they swept the issue under the rug to hide the evidence",they swept the issue under the rug,"A váza eltörése után eltakarták a bizonyítékokat, és eltussolták az ügyet.",그들은 문제를 묻어두었다.,문제를 해결하는 대신 그들은 문제를 묻어두고 존재하지 않는 것처럼 꾸며냈습니다.
take a back seat,take a less important position.,"[[He took a back seat to her]] in the project, letting her lead the team","[[He took a back seat to her]] in the car, giving her the front passenger seat","He took a back seat to her in the project, letting her lead the team","He took a back seat to her in the car, giving her the front passenger seat",He took a back seat to her,"Ő hátrébb ült az autóban, és az első utasülést adta neki.",그는 그녀에게 뒷자리를 양보했다.,"그는 프로젝트에서 그녀에게 뒷자리를 양보하며, 그녀가 팀을 이끄도록 허락했다."
take a beating,to be defeated in doing something and be reprimanded for the same,The company's stock prices [[took a beating]] after the negative news,The old punching bag [[took a beating]] during the intense workout session,The company's stock prices took a beating after the negative news,The old punching bag took a beating during the intense workout session,took a beating,Az öreg bokszzsák nagyon megviseltedett az intenzív edzés során.,"""took a beating"" - ""때려쳤다""",그 회사의 주가는 부정적인 뉴스 이후에 큰 타격을 입었습니다.
take a cue from,to do what is recommended by someone else,You should [[take a cue from her]] and start organizing your time better,"During the pool game, he decided to [[take a cue from her]] and use her favorite one",You should take a cue from her and start organizing your time better,"During the pool game, he decided to take a cue from her and use her favorite one",take a cue from her,"A medence játék során úgy döntött, hogy átveszi tőle a játékszert és az ő kedvencét használja.",그녀를 보고 배우세요.,당신은 그녀를 보고 시간을 더 잘 조직하도록 권유해야 합니다.
take a hike,go away,"When he insulted her, she told him [[to take a hike]]","On a sunny day, they decided [[to take a hike]] in the nearby forest","When he insulted her, she told him to take a hike","On a sunny day, they decided to take a hike in the nearby forest",to take a hike,"Egy napos napon úgy döntöttek, hogy kirándulnak a közeli erdőben.",산책하다,"그가 그녀를 모욕했을 때, 그녀는 그를 쫓아보내라고 말했다."
take a leaf out of someone's book,implement actionable advice,"To improve my work ethic, I decided to [[take a leaf out of her book]] and wake up early","To press and preserve the leaf, I had to carefully [[take a leaf out of her book]] of botanical specimens","To improve my work ethic, I decided to take a leaf out of her book and wake up early","To press and preserve the leaf, I had to carefully take a leaf out of her book of botanical specimens",take a leaf out of her book,A levél lenyomásához és megőrzéséhez óvatosan ki kellett vennem egy levelet a növénytanilagyi mintagyűjteményéből.,그녀의 책에서 한 장을 빌려보세요.,"나의 직업 윤리를 개선하기 위해, 그녀의 방법을 따라 일찍 일어나기로 결정했다."
take it on the chin,this is a boxing metaphor meaning don't shy away from difficulty,"Despite the harsh criticism, [[he took it on the chin]] and kept working","During the boxing match, [[he took it on the chin]] and fell to the ground","Despite the harsh criticism, he took it on the chin and kept working","During the boxing match, he took it on the chin and fell to the ground",he took it on the chin,A bokszmeccs alatt bevállalta és leesett a földre.,그는 그것을 참았다.,엄격한 비판에도 그는 참고 일을 계속했다.
take up the cudgels,argue strongly in support or against somebody or something,[[He took up the cudgels for her]] when she was unfairly criticized,"During the historical reenactment, [[he took up the cudgels for her]] when she dropped hers",He took up the cudgels for her when she was unfairly criticized,"During the historical reenactment, he took up the cudgels for her when she dropped hers",He took up the cudgels for her,"A történelmi újrajátszás során, amikor ő elejtette a saját fegyverét, ő átvette a helyét.",그는 그녀를 위해 맹목적으로 지지했다.,그는 그녀가 불공정하게 비판당했을 때 그녀를 지지하기 시작했다.
take with a grain of salt,to understand that something is not completely true or right,"When listening to his stories, it's best [[to take it with a grain of salt]]","To balance the flavor, she decided [[to take it with a grain of salt]] and sprinkled it on her dish","When listening to his stories, it's best to take it with a grain of salt","To balance the flavor, she decided to take it with a grain of salt and sprinkled it on her dish",to take it with a grain of salt,"Az íz kiegyensúlyozása érdekében úgy döntött, hogy sóval ízesíti, és megszórja az ételét.",약간의 불신으로 받아들이다.,그의 이야기를 들을 때는 소금 한 알 정도로 받아들이는 것이 좋습니다.
takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate,"When it comes to resolving conflicts, remember that [[it takes two to tango]]","In a dance competition, the judges reminded the participants that [[it takes two to tango]]","When it comes to resolving conflicts, remember that it takes two to tango","In a dance competition, the judges reminded the participants that it takes two to tango",it takes two to tango,"Egy táncversenyen a bírák emlékeztették a résztvevőket arra, hogy a tangóhoz két emberre van szükség.",댄스를 춤추려면 두 사람이 필요합니다.,갈등을 해결할 때는 두 사람이 필요하다는 것을 기억하세요.
tall poppy,a privileged or distinguished person.,"She was [[a tall poppy among them]], always standing out with her exceptional achievements","In the field of wildflowers, there was [[a tall poppy among them]], reaching higher than the rest","She was a tall poppy among them, always standing out with her exceptional achievements","In the field of wildflowers, there was a tall poppy among them, reaching higher than the rest",a tall poppy among them,"A vadon virágmezőjén közöttük volt egy magas mák, amely magasabbra nyúlt, mint a többi.",그들 중에서 큰 꽃중 하나.,"그녀는 그들 중에서 키가 큰 파란초롱이었으며, 탁월한 성취로 항상 눈에 띄었습니다."
tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,It's unfair to judge all politicians [[by tarring them with the same brush]],The painter made a mistake [[by tarring them with the same brush]] instead of using separate brushes for each color,It's unfair to judge all politicians by tarring them with the same brush,The painter made a mistake by tarring them with the same brush instead of using separate brushes for each color,by tarring them with the same brush,"A festő hibát követett el, amikor ugyanazzal a kefével festette be őket, ahelyett hogy külön ecseteket használt volna minden színhez.",같은 브러시로 모두를 더럽히는 것으로.,모든 정치인을 같은 브러시로 칠하는 것은 불공정합니다.
taste of own medicine,when someone gets the same bad treatment that he has been giving others,"When he tried to prank her, [[she gave him a taste of his own medicine]] by pranking him back",[[She gave him a taste of his own medicine]] by making him try the bitter concoction he had prepared for her,"When he tried to prank her, she gave him a taste of his own medicine by pranking him back",She gave him a taste of his own medicine by making him try the bitter concoction he had prepared for her,she gave him a taste of his own medicine,"Ő adta neki a saját gyógyszerét, amikor megkérte, hogy kóstolja meg a keserű italt, amit ő készített neki.",그녀는 그에게 그의 약을 먹여 보였다.,"그가 그녀를 속이려고 시도했을 때, 그녀는 그에게 다시 속이는 것으로 그의 맛을 보여주었다."
tearing a strip off,to reprimand someone severely for doing something wrong,The boss [[was tearing a strip off the fabric]] of our team's morale with his harsh criticism,She [[was tearing a strip off the fabric]] to make a patch for her jeans,The boss was tearing a strip off the fabric of our team's morale with his harsh criticism,She was tearing a strip off the fabric to make a patch for her jeans,was tearing a strip off the fabric,"Ő szaggatta le a szövetdarabot, hogy javítólapot készítsen farmernadrágjához.",옷감에서 한 조각을 찢고 있었다.,상사는 가혹한 비판으로 우리 팀의 사기를 떨어뜨리고 있었다.
that's going too far,to do something that is considered extreme or unacceptable,Insulting her family was [[that's going too far]] and crossed the line,"Driving 200 miles for a cup of coffee, [[that's going too far]] for a simple pleasure",Insulting her family was that's going too far and crossed the line,"Driving 200 miles for a cup of coffee, that's going too far for a simple pleasure",that's going too far,"200 mérföld autózni egy csésze kávéért, az túlmegy egy egyszerű öröm határain.",그건 지나친 것 같아요.,그녀의 가족을 모욕하는 것은 지나치고 선을 넘은 것입니다.
