idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt
sit tight,wait patiently,The manager told us [[to sit tight and wait]] for further instructions,The roller coaster operator instructed us [[to sit tight and wait]] for the ride to start,The manager told us to sit tight and wait for further instructions,The roller coaster operator instructed us to sit tight and wait for the ride to start,to sit tight and wait,"A hullámvasút üzemeltetője utasított minket, hogy szorosan üljünk és várjuk meg, amíg elindul a menet.",가만히 앉아 기다리다.
skating on thin ice,to do something considered quite dangerous or risky,"By constantly arriving late to work, he was [[skating on thin ice]] with his boss","Despite the danger, they were [[skating on thin ice]] on the frozen lake","By constantly arriving late to work, he was skating on thin ice with his boss","Despite the danger, they were skating on thin ice on the frozen lake",skating on thin ice,"Annak ellenére, hogy veszélyes volt, a vékony jégen korcsolyáztak a befagyott tóban.",얇은 얼음 위에서 스케이팅하기
skeleton in the closet,"a secret of an embarrassing, guilty or shameful nature that you don't want to disclose","When digging into his past, [[we discovered a skeleton in the closet]] that he had been hiding","While exploring the haunted house, [[we discovered a skeleton in the closet]] of one of the rooms","When digging into his past, we discovered a skeleton in the closet that he had been hiding","While exploring the haunted house, we discovered a skeleton in the closet of one of the rooms",we discovered a skeleton in the closet,"Miközben felfedeztük a kísértetjárta házat, egy csontvázra bukkantunk az egyik szoba szekrényében.",우리는 옷장에서 해골을 발견했습니다.
smell a rat,sense that something is not right,He [[smelled a rat in the situation]] when his colleague started acting suspiciously,The exterminator [[smelled a rat in the situation]] and began searching for its nest,He smelled a rat in the situation when his colleague started acting suspiciously,The exterminator smelled a rat in the situation and began searching for its nest,smelled a rat in the situation,"Az állatirtó szagot érzett a helyzetben, és elkezdte keresni a patkány fészket.",상황에서 쥐 냄새가 났다.
smell something fishy,to have a suspicion that something is wrong,"When he started avoiding my questions, [[I smelled something fishy]] about his story","Walking past the seafood market, [[I smelled something fishy]] in the air","When he started avoiding my questions, I smelled something fishy about his story","Walking past the seafood market, I smelled something fishy in the air",I smelled something fishy,"Sétálva elhaladva a tenger gyümölcsei piac mellett, valami halas szagot éreztem a levegőben.",저는 수상한 냄새가 났어요.
smooth sailing,easy progress without impediment or difficulty,"Once we resolved the initial issues, we could [[experience smooth sailing]] throughout the project","On a calm day at sea, the boat would [[experience smooth sailing]] without any turbulence","Once we resolved the initial issues, we could experience smooth sailing throughout the project","On a calm day at sea, the boat would experience smooth sailing without any turbulence",experience smooth sailing,"Egy nyugodt tengeri napon a hajó sima vitorlázást tapasztalna, turbulencia nélkül.",원활한 항해 경험하기
snake in the grass,a hidden army,[[She found a snake in the grass]] when she discovered her friend 's betrayal,"While walking through the field, [[she found a snake in the grass]] slithering away",She found a snake in the grass when she discovered her friend 's betrayal,"While walking through the field, she found a snake in the grass slithering away",She found a snake in the grass,"Miközben átsétált a mezőn, talált egy kígyót a fűben csúszkálva.",그녀는 풀 사이에서 뱀을 발견했습니다.
snake in the shoes,to be in a state of fear,[[He found a snake in the shoes]] when he discovered his best friend was betraying him,"While cleaning the garage, [[he found a snake in the shoes]] he had left there",He found a snake in the shoes when he discovered his best friend was betraying him,"While cleaning the garage, he found a snake in the shoes he had left there",He found a snake in the shoes,"Miközben takarította a garázst, kígyót talált azokban a cipőkben, amiket ott hagyott.",그는 신발 안에서 뱀을 발견했다.
snow under,to bury or cover something or somebody in the snow (Literal meaning),"During the busy season, she was [[snowed under with work]] and had no time for leisure",The unexpected blizzard left her car [[snowed under with work]] to dig it out,"During the busy season, she was snowed under with work and had no time for leisure",The unexpected blizzard left her car snowed under with work to dig it out,snowed under with work,"A váratlan hóvihar alatt a kocsija hó alá temette, és dolgoznia kellett, hogy kicsavarja.",일로 바쁘게 압도되다.
spanner in the works,a roadblock that prevents an activity from succeeding,The sudden power outage threw [[a spanner in the works]] of our presentation,The mechanic accidentally dropped [[a spanner in the works]] of the machine,The sudden power outage threw a spanner in the works of our presentation,The mechanic accidentally dropped a spanner in the works of the machine,a spanner in the works,A szerelő véletlenül elejtett egy villáskulcsot a gép működésébe.,"작업에 방해가 되는 것, 문제의 원인"
spill the beans,disclose a secret or reveal something prematurely,He accidentally [[spilled the beans about the surprise]] party we had planned,"While carrying a bag of legumes, she tripped and [[spilled the beans about the surprise]] on the floor",He accidentally spilled the beans about the surprise party we had planned,"While carrying a bag of legumes, she tripped and spilled the beans about the surprise on the floor",spilled the beans about the surprise,"Miközben egy zsák hüvelyeseket cipel, megbotlott és kiborult a bab a meglepetésről a padlóra.",놀람을 가지고 있던 것을 폭로했다.
spin a yarn,to tell a tale,They [[spun a yarn together]] about their adventurous trip to the mountains,The two knitters [[spun a yarn together]] to create a beautiful scarf,They spun a yarn together about their adventurous trip to the mountains,The two knitters spun a yarn together to create a beautiful scarf,spun a yarn together,"A két kötő együtt fonott egy fonalat, hogy gyönyörű sálat készítsenek.",함께 이야기를 만들어 냈습니다.
stab in the back,a disloyalty,He was [[stabbed in the back by a friend]] when they revealed his secrets,"During the reenactment of a historical battle, he was accidentally [[stabbed in the back by a friend]]",He was stabbed in the back by a friend when they revealed his secrets,"During the reenactment of a historical battle, he was accidentally stabbed in the back by a friend",stabbed in the back by a friend,Egy történelmi csata újrateremtése közben véletlenül barátja megszúrta a hátát.,친구에게서 등을 찔렸다.
stand out,extend beyond or above a surface,Her unique fashion sense made her [[stand out in the crowd]],He had to [[stand out in the crowd]] to get a better view of the stage,Her unique fashion sense made her stand out in the crowd,He had to stand out in the crowd to get a better view of the stage,stand out in the crowd,"A tömegben ki kellett állnia, hogy jobban lássa a színpadot.",사람들 속에서 두드러지다.
step on his toes,to annoy or irritate someone by intervening in a situation that is their responsibility,I didn't want to [[stepped on his toes]] by taking over his project,"While dancing, she accidentally [[stepped on his toes]]",I didn't want to stepped on his toes by taking over his project,"While dancing, she accidentally stepped on his toes",stepped on his toes,Tánc közben véletlenül rálépett a lábujjára.,그의 발가락을 밟았다.
stick in his throat,difficulty of accepting and makes you angry or resentful,The insincere compliment [[stuck in his throat]] as he tried to praise his rival,The fish bone [[stuck in his throat]] while he was eating dinner,The insincere compliment stuck in his throat as he tried to praise his rival,The fish bone stuck in his throat while he was eating dinner,stuck in his throat,"A halcsont a torkában ragadt, miközben vacsorázott.",그의 목에 막혀 있습니다.
stiff upper lip,to be brave in the face of adversity,"Despite the bad news, [[he maintained a stiff upper lip]] and carried on","Due to the cold weather, [[he maintained a stiff upper lip]] until he could warm up","Despite the bad news, he maintained a stiff upper lip and carried on","Due to the cold weather, he maintained a stiff upper lip until he could warm up",he maintained a stiff upper lip,"A hideg idő miatt merev felső ajkát tartotta, amíg fel nem melegedett.",그는 담담한 표정을 유지했다.
stir up a hornet's nest,to create trouble,"By questioning the company's policies, he [[stirred up a hornet's nest]] among the employees","While clearing the garden, she accidentally [[stirred up a hornet's nest]] and got stung","By questioning the company's policies, he stirred up a hornet's nest among the employees","While clearing the garden, she accidentally stirred up a hornet's nest and got stung",stirred up a hornet's nest,"Miközben rendbe tette a kertet, véletlenül felkavarta egy lódarázs fészkét és megcsípte.",뒤죽박죽으로 만들다.
stop by,to meet someone or go somewhere in a brief and informal manner,I'll [[stop by the store]] to pick up some groceries on my way home,"During our walk, we decided to [[stop by the store]] to take shelter from the sudden downpour",I'll stop by the store to pick up some groceries on my way home,"During our walk, we decided to stop by the store to take shelter from the sudden downpour",stop by the store,"Sétánk során úgy döntöttünk, hogy betérünk az üzletbe, hogy menedéket találjunk a hirtelen zápor elől.",가게에 들러주세요.
stop the rot,"when you prevent a situation from deteriorating, especially in business or politics",The new manager [[stopped the rot]] by implementing better policies,The gardener [[stopped the rot]] by removing the infected plants,The new manager stopped the rot by implementing better policies,The gardener stopped the rot by removing the infected plants,stopped the rot,"A kertész eltávolította az érintett növényeket, hogy megállítsa a rothadást.",부패를 멈추다.
straight from the horse's mouth,from a dependable or reliable source,I [[heard it straight from the horse's mouth]] that the company is planning a merger,The veterinarian [[heard it straight from the horse's mouth]] when the animal neighed loudly,I heard it straight from the horse's mouth that the company is planning a merger,The veterinarian heard it straight from the horse's mouth when the animal neighed loudly,heard it straight from the horse's mouth,"Az állatorvos egyenesen a ló szájából hallotta, amikor az állat hangosan nyerített.",말의 입에서 직접 들었다.
straight shooter,someone who speaks the truth,"In the world of politics, her reputation as [[a straight shooter]] sets her apart from the rest","The archer was [[a straight shooter]], hitting the bullseye every time","In the world of politics, her reputation as a straight shooter sets her apart from the rest","The archer was a straight shooter, hitting the bullseye every time",a straight shooter,"Az íjász egyenes lövő volt, minden alkalommal a középpontot találta el.",솔직한 사람
straighten up and fly right,to get serious and stop acting absurd anymore.,"After a stern warning from his boss, he decided [[to straighten up and fly right]] at work",The pilot had [[to straighten up and fly right]] to avoid turbulence,"After a stern warning from his boss, he decided to straighten up and fly right at work",The pilot had to straighten up and fly right to avoid turbulence,to straighten up and fly right,"A pilóta helyesbe kellett állítania a repülést, hogy elkerülje a turbulenciát.",일을 정리하고 올바른 방향으로 나아가다.
strike while the iron is hot,to take advantage of a situation,"To seize the opportunity, he decided [[to strike while the iron is hot]] and invest in the stock market","As a blacksmith, he knew he had [[to strike while the iron is hot]] to shape the metal properly","To seize the opportunity, he decided to strike while the iron is hot and invest in the stock market","As a blacksmith, he knew he had to strike while the iron is hot to shape the metal properly",to strike while the iron is hot,"Mivel kovács volt, tudta, hogy akkor kell ütni, amikor a vas forró, hogy megfelelően formálja a fémeket.",뜨거운 철을 칠 때 치라.
suited and booted,formally dressed; well dressed,"He [[was suited and booted for the event]], ready to impress everyone with his confidence","He [[was suited and booted for the event]], wearing a tailored suit and polished shoes","He was suited and booted for the event, ready to impress everyone with his confidence","He was suited and booted for the event, wearing a tailored suit and polished shoes",was suited and booted for the event,"Felkészült és elegáns volt az eseményre, egy szabott öltönyt és fényes cipőt viselve.",이벤트를 위해 옷차림을 갖추었다.
sweep under the rug,try to hide a problem or keep a problem secret instead of dealing with it,"Instead of addressing the problem, [[they swept the issue under the rug]] and pretended it didn't exist","After breaking the vase, [[they swept the issue under the rug]] to hide the evidence","Instead of addressing the problem, they swept the issue under the rug and pretended it didn't exist","After breaking the vase, they swept the issue under the rug to hide the evidence",they swept the issue under the rug,"A váza eltörése után eltakarták a bizonyítékokat, és eltussolták az ügyet.",그들은 문제를 묻어두었다.
take a back seat,take a less important position.,"[[He took a back seat to her]] in the project, letting her lead the team","[[He took a back seat to her]] in the car, giving her the front passenger seat","He took a back seat to her in the project, letting her lead the team","He took a back seat to her in the car, giving her the front passenger seat",He took a back seat to her,"Ő hátrébb ült az autóban, és az első utasülést adta neki.",그는 그녀에게 뒷자리를 양보했다.
take a beating,to be defeated in doing something and be reprimanded for the same,The company's stock prices [[took a beating]] after the negative news,The old punching bag [[took a beating]] during the intense workout session,The company's stock prices took a beating after the negative news,The old punching bag took a beating during the intense workout session,took a beating,Az öreg bokszzsák nagyon megviseltedett az intenzív edzés során.,"""took a beating"" - ""때려쳤다"""
take a cue from,to do what is recommended by someone else,You should [[take a cue from her]] and start organizing your time better,"During the pool game, he decided to [[take a cue from her]] and use her favorite one",You should take a cue from her and start organizing your time better,"During the pool game, he decided to take a cue from her and use her favorite one",take a cue from her,"A medence játék során úgy döntött, hogy átveszi tőle a játékszert és az ő kedvencét használja.",그녀를 보고 배우세요.
take a hike,go away,"When he insulted her, she told him [[to take a hike]]","On a sunny day, they decided [[to take a hike]] in the nearby forest","When he insulted her, she told him to take a hike","On a sunny day, they decided to take a hike in the nearby forest",to take a hike,"Egy napos napon úgy döntöttek, hogy kirándulnak a közeli erdőben.",산책하다
take a leaf out of someone's book,implement actionable advice,"To improve my work ethic, I decided to [[take a leaf out of her book]] and wake up early","To press and preserve the leaf, I had to carefully [[take a leaf out of her book]] of botanical specimens","To improve my work ethic, I decided to take a leaf out of her book and wake up early","To press and preserve the leaf, I had to carefully take a leaf out of her book of botanical specimens",take a leaf out of her book,A levél lenyomásához és megőrzéséhez óvatosan ki kellett vennem egy levelet a növénytanilagyi mintagyűjteményéből.,그녀의 책에서 한 장을 빌려보세요.
take it on the chin,this is a boxing metaphor meaning don't shy away from difficulty,"Despite the harsh criticism, [[he took it on the chin]] and kept working","During the boxing match, [[he took it on the chin]] and fell to the ground","Despite the harsh criticism, he took it on the chin and kept working","During the boxing match, he took it on the chin and fell to the ground",he took it on the chin,A bokszmeccs alatt bevállalta és leesett a földre.,그는 그것을 참았다.
take up the cudgels,argue strongly in support or against somebody or something,[[He took up the cudgels for her]] when she was unfairly criticized,"During the historical reenactment, [[he took up the cudgels for her]] when she dropped hers",He took up the cudgels for her when she was unfairly criticized,"During the historical reenactment, he took up the cudgels for her when she dropped hers",He took up the cudgels for her,"A történelmi újrajátszás során, amikor ő elejtette a saját fegyverét, ő átvette a helyét.",그는 그녀를 위해 맹목적으로 지지했다.
take with a grain of salt,to understand that something is not completely true or right,"When listening to his stories, it's best [[to take it with a grain of salt]]","To balance the flavor, she decided [[to take it with a grain of salt]] and sprinkled it on her dish","When listening to his stories, it's best to take it with a grain of salt","To balance the flavor, she decided to take it with a grain of salt and sprinkled it on her dish",to take it with a grain of salt,"Az íz kiegyensúlyozása érdekében úgy döntött, hogy sóval ízesíti, és megszórja az ételét.",약간의 불신으로 받아들이다.
takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate,"When it comes to resolving conflicts, remember that [[it takes two to tango]]","In a dance competition, the judges reminded the participants that [[it takes two to tango]]","When it comes to resolving conflicts, remember that it takes two to tango","In a dance competition, the judges reminded the participants that it takes two to tango",it takes two to tango,"Egy táncversenyen a bírák emlékeztették a résztvevőket arra, hogy a tangóhoz két emberre van szükség.",댄스를 춤추려면 두 사람이 필요합니다.
tall poppy,a privileged or distinguished person.,"She was [[a tall poppy among them]], always standing out with her exceptional achievements","In the field of wildflowers, there was [[a tall poppy among them]], reaching higher than the rest","She was a tall poppy among them, always standing out with her exceptional achievements","In the field of wildflowers, there was a tall poppy among them, reaching higher than the rest",a tall poppy among them,"A vadon virágmezőjén közöttük volt egy magas mák, amely magasabbra nyúlt, mint a többi.",그들 중에서 큰 꽃중 하나.
tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,It's unfair to judge all politicians [[by tarring them with the same brush]],The painter made a mistake [[by tarring them with the same brush]] instead of using separate brushes for each color,It's unfair to judge all politicians by tarring them with the same brush,The painter made a mistake by tarring them with the same brush instead of using separate brushes for each color,by tarring them with the same brush,"A festő hibát követett el, amikor ugyanazzal a kefével festette be őket, ahelyett hogy külön ecseteket használt volna minden színhez.",같은 브러시로 모두를 더럽히는 것으로.
taste of own medicine,when someone gets the same bad treatment that he has been giving others,"When he tried to prank her, [[she gave him a taste of his own medicine]] by pranking him back",[[She gave him a taste of his own medicine]] by making him try the bitter concoction he had prepared for her,"When he tried to prank her, she gave him a taste of his own medicine by pranking him back",She gave him a taste of his own medicine by making him try the bitter concoction he had prepared for her,she gave him a taste of his own medicine,"Ő adta neki a saját gyógyszerét, amikor megkérte, hogy kóstolja meg a keserű italt, amit ő készített neki.",그녀는 그에게 그의 약을 먹여 보였다.
tearing a strip off,to reprimand someone severely for doing something wrong,The boss [[was tearing a strip off the fabric]] of our team's morale with his harsh criticism,She [[was tearing a strip off the fabric]] to make a patch for her jeans,The boss was tearing a strip off the fabric of our team's morale with his harsh criticism,She was tearing a strip off the fabric to make a patch for her jeans,was tearing a strip off the fabric,"Ő szaggatta le a szövetdarabot, hogy javítólapot készítsen farmernadrágjához.",옷감에서 한 조각을 찢고 있었다.
that's going too far,to do something that is considered extreme or unacceptable,Insulting her family was [[that's going too far]] and crossed the line,"Driving 200 miles for a cup of coffee, [[that's going too far]] for a simple pleasure",Insulting her family was that's going too far and crossed the line,"Driving 200 miles for a cup of coffee, that's going too far for a simple pleasure",that's going too far,"200 mérföld autózni egy csésze kávéért, az túlmegy egy egyszerű öröm határain.",그건 지나친 것 같아요.
the ball is in your court,the initiative for taking action lies with somebody,"I've done my part, [[the ball is in your court now]] to make the decision","After I hit the tennis ball over the net, [[the ball is in your court now]]","I've done my part, the ball is in your court now to make the decision","After I hit the tennis ball over the net, the ball is in your court now",the ball is in your court now,"Miután átlőttem a teniszlabdát a hálón, most már a te pályádon van a labda.",지금은 당신의 결정입니다.
the ball rolling,to start a conversation in a social setting,"To start the meeting, we need to [[get the ball rolling]] with introductions","To play soccer, you must [[get the ball rolling]] by kicking it","To start the meeting, we need to get the ball rolling with introductions","To play soccer, you must get the ball rolling by kicking it",get the ball rolling,"Ahhoz, hogy focizz, el kell indítanod a labdát azzal, hogy rúgod.",공을 굴리기 시작하세요.
the devil is beating his wife,raining whereas the sun is shining.,"While the sun was shining, it started raining, and people said [[the devil is beating his wife]]","In the theatrical performance, the actor playing Satan acted out a scene where [[the devil is beating his wife]]","While the sun was shining, it started raining, and people said the devil is beating his wife","In the theatrical performance, the actor playing Satan acted out a scene where the devil is beating his wife",the devil is beating his wife,"A színházi előadásban az a színész játszotta Sátánt, aki egy jelenetben ábrázolta, ahogy az ördög veri a feleségét.",악마가 그의 아내를 때리고 있다.
the early bird catches the worm,it refers to people who arrive earlier are the ones who get the best deals,"She always wakes up at 5 am and finishes her tasks efficiently, proving that [[the early bird catches the worm]]","In the documentary, we saw how [[the early bird catches the worm]] to feed its young","She always wakes up at 5 am and finishes her tasks efficiently, proving that the early bird catches the worm","In the documentary, we saw how the early bird catches the worm to feed its young",the early bird catches the worm,"A dokumentumban láttuk, hogyan kapja el a korán kelő madár a férget, hogy az utódait táplálja.",일찍 일어나는 새가 벌레를 잡는다.
the eleventh hour,at the very last minute before an event,"He finished the project [[at the eleventh hour]], just before the deadline",She decided to go for a walk [[at the eleventh hour]] of the night,"He finished the project at the eleventh hour, just before the deadline",She decided to go for a walk at the eleventh hour of the night,at the eleventh hour,"Ő úgy döntött, hogy sétálni megy az éjszaka tizenegyedik órájában.",열한 시간에
the last straw,to be the last in a sequence of unpleasant things,"When he insulted her cooking, [[that was the last straw]] and she decided to leave","After using all the other straws, [[that was the last straw]] in the box","When he insulted her cooking, that was the last straw and she decided to leave","After using all the other straws, that was the last straw in the box",that was the last straw,"Miután az összes többi szívószálat használtuk, az volt az utolsó a dobozban.",그것이 마지막 재앙이었다.
the lion's den,a place which is uncomfortable,"By confronting the angry mob, he [[entered the lion's den]] and risked his safety","As a zookeeper, she [[entered the lion's den]] to feed the animals","By confronting the angry mob, he entered the lion's den and risked his safety","As a zookeeper, she entered the lion's den to feed the animals",entered the lion's den,"Mint állatkerti gondozó, belépett az oroszlán ketrecébe, hogy megetesse az állatokat.",사자의 굴에 들어갔다.
the other side of the coin,"the opposite aspect, contrasting arguments.","Before making a decision, it's important to [[consider the other side of the coin]] and weigh the pros and cons","When flipping a quarter, you should [[consider the other side of the coin]] as well, since it has a 50% chance of landing","Before making a decision, it's important to consider the other side of the coin and weigh the pros and cons","When flipping a quarter, you should consider the other side of the coin as well, since it has a 50% chance of landing",consider the other side of the coin,"Amikor egy negyeddollárt dobunk, érdemes figyelembe venni a pénz másik oldalát is, mivel 50% esélye van annak, hogy arra esik.",동전의 반대면을 고려해보세요.
the sun rises and sets on them,to believe that someone is the most wonderful and important person in the world; to love and adore someone more than anyone else,She adores her children so much that [[the sun rises and sets on them]] in her eyes,"Living on a remote island, [[the sun rises and sets on them]] every day",She adores her children so much that the sun rises and sets on them in her eyes,"Living on a remote island, the sun rises and sets on them every day",the sun rises and sets on them,"Egy távoli szigeten élve, minden nap rájuk kel és rájuk nyugszik a nap.",그들에게 해는 떠오르고 지는 것입니다.
throw it over the wall,"to deal with part of a problem or project, then pass the responsibility to another person or department without any communication or coordination","After finishing the design, the team decided [[to throw it over the wall]] to the developers",He decided [[to throw it over the wall]] to get the ball back from the neighbor's yard,"After finishing the design, the team decided to throw it over the wall to the developers",He decided to throw it over the wall to get the ball back from the neighbor's yard,to throw it over the wall,"Úgy döntött, hogy áthajítja a falon, hogy visszaszerezze a labdát a szomszéd kertjéből.",그것을 벽 너머로 던지다.
throw the baby out with the bathwater,to remove something good in the bid of getting rid of something bad,"In their haste to modernize the company, they decided to [[throw the baby out with the bathwater]] and discard valuable traditions",It would be absurd to accidentally [[throw the baby out with the bathwater]] while emptying the tub,"In their haste to modernize the company, they decided to throw the baby out with the bathwater and discard valuable traditions",It would be absurd to accidentally throw the baby out with the bathwater while emptying the tub,throw the baby out with the bathwater,"Abszurd lenne véletlenül a babát is kidobni a fürdővízzel együtt, amikor kiüríted a kádat.",아기와 물을 버리다.
tie the knot,to get married,They [[tied the knot together]] in a beautiful ceremony surrounded by friends and family,The two sailors [[tied the knot together]] to secure the rope,They tied the knot together in a beautiful ceremony surrounded by friends and family,The two sailors tied the knot together to secure the rope,tied the knot together,"A két tengerész összekötötte a csomót, hogy rögzítsék a kötelet.",함께 매듭을 묶었다.
tight spot,to be in a very difficult situation,They [[found themselves in a tight spot]] when they had to choose between two important events,The spelunkers [[found themselves in a tight spot]] while navigating the narrow cave,They found themselves in a tight spot when they had to choose between two important events,The spelunkers found themselves in a tight spot while navigating the narrow cave,found themselves in a tight spot,"A barlangászok szűk helyzetbe kerültek, amikor a szűk barlangban navigáltak.",자신들이 궁지에 빠졌다.
tighten belt,to save your money,"Due to the economic downturn, we had [[to tighten the belt a bit]] and cut some expenses","After losing some weight, he had [[to tighten the belt a bit]] to keep his pants up","Due to the economic downturn, we had to tighten the belt a bit and cut some expenses","After losing some weight, he had to tighten the belt a bit to keep his pants up",to tighten the belt a bit,"Azután, hogy lefogyott egy kicsit, kicsit meg kellett húznia az övet, hogy a nadrágja fennmaradjon.",조금 더 빡세게 끈을 조이다.
tip of the iceberg,to only know a very small part of the problem,The problems we discovered were [[just the tip of the iceberg]] in this company,"As we approached the glacier, we saw [[just the tip of the iceberg]] above the water",The problems we discovered were just the tip of the iceberg in this company,"As we approached the glacier, we saw just the tip of the iceberg above the water",just the tip of the iceberg,"Ahogy közeledtünk a gleccserhez, csak a jéghegy csúcsát láttuk a víz felett.",얼음산의 일각일 뿐이다.
to see the back of,to be glad that you no longer have to deal with someone,She was relieved [[to see the back of the problem]] after finding a solution,He had [[to see the back of the problem]] by flipping the paper over,She was relieved to see the back of the problem after finding a solution,He had to see the back of the problem by flipping the paper over,to see the back of the problem,"Meg kellett néznie a probléma hátoldalát, hogy átfordítva lássa a papírt.",문제의 뒷면을 보다.
to the core,totally,The news of the tragedy left her [[shaken to the core]],The powerful earthquake had [[shaken to the core]] of the Earth,The news of the tragedy left her shaken to the core,The powerful earthquake had shaken to the core of the Earth,shaken to the core,Az erős földrengés megrázta a Föld magját.,핵심을 뒤흔든.
toot one's own horn,speak boastfully about oneself,He was always [[tooting his own horn]] about his accomplishments,"During the parade, he was [[tooting his own horn]] as part of the marching band",He was always tooting his own horn about his accomplishments,"During the parade, he was tooting his own horn as part of the marching band",tooting his own horn,Az felvonulás alatt a saját kürtjét fújta a zenekar tagjaként.,자기 자랑하는 것
top dog,"The term ""top dog"" means a person, group, or thing in a position of power, particularly after struggling or winning a grueling competition.","After years of hard work, she [[became the top dog]] in her company","At the dog show, her well-trained canine [[became the top dog]] among all the competitors","After years of hard work, she became the top dog in her company","At the dog show, her well-trained canine became the top dog among all the competitors",became the top dog,A kutyakiállításon jól képzett kutyája az összes versenytárs között a legjobb lett.,최고의 지위에 오르다.
tore your hair out,to be extremely agitated or distressed about something,You [[tore your hair out]] trying to solve that complex math problem,You accidentally [[tore your hair out]] while removing the tangled hairbrush,You tore your hair out trying to solve that complex math problem,You accidentally tore your hair out while removing the tangled hairbrush,tore your hair out,A hajkeféd kibontása közben véletlenül kitépted a hajadat.,머리카락을 찢어냈다.
treasure trove,a priceless or valuable discovery,"When they found the old library, [[they discovered a treasure trove]] of knowledge","While digging in the backyard, [[they discovered a treasure trove]] filled with gold coins","When they found the old library, they discovered a treasure trove of knowledge","While digging in the backyard, they discovered a treasure trove filled with gold coins",they discovered a treasure trove,"Miközben ástak a hátsó kertben, egy aranyérmékkel teli kincstárat fedeztek fel.",그들은 보물창고를 발견했습니다.
turn back on,choose not to speak to,[[She turned back on the situation]] when she refused to help her friend,[[She turned back on the situation]] to avoid witnessing the accident,She turned back on the situation when she refused to help her friend,She turned back on the situation to avoid witnessing the accident,She turned back on the situation,"Ő visszafordult a helyzettől, hogy elkerülje a baleset szemtanújává válást.",그녀는 상황에서 돌아섰다.
turn down a glass,to decline something that someone has offered.,"At the party, he politely [[turned down a glass]] when offered a drink",She [[turned down a glass]] upside down to let it dry,"At the party, he politely turned down a glass when offered a drink",She turned down a glass upside down to let it dry,turned down a glass,"Fejjel lefelé fordította a poharat, hogy megszáradjon.",잔을 거절했다.
twist arm,to make someone do what you want by making it difficult for them to refuse,She [[twisted his arm]] to convince him to join the party,"During the wrestling match, he accidentally [[twisted his arm]] and felt pain",She twisted his arm to convince him to join the party,"During the wrestling match, he accidentally twisted his arm and felt pain",twisted his arm,A birkózó mérkőzés során véletlenül kificamította a karját és fájdalmat érzett.,그의 팔을 비틀었다.
ugly duckling,a young person who turns out to be beautiful or talented against all expectations.,Her transformation from a shy girl to a confident woman was [[an ugly duckling story]],The children's book featured [[an ugly duckling story]] about a young bird finding its true identity,Her transformation from a shy girl to a confident woman was an ugly duckling story,The children's book featured an ugly duckling story about a young bird finding its true identity,an ugly duckling story,"A gyermekkönyvben egy csúnya kiskacsa története szerepelt, amelyben egy fiatal madár megtalálja igazi identitását.",못생긴 오리 새끼 이야기
under the radar,"going unnoticed, avoiding unnecessary attention",He [[was working under the radar]] to avoid drawing attention to his project,The technician [[was working under the radar]] equipment to fix a malfunction,He was working under the radar to avoid drawing attention to his project,The technician was working under the radar equipment to fix a malfunction,was working under the radar,"A technikus a radarberendezés alatt dolgozott, hogy kijavítsa a hibát.",비밀리에 일하고 있었다.
up a creek without a paddle,being in trouble.,"When our car broke down in the middle of nowhere, we [[found ourselves up a creek without a paddle]]","While canoeing, we accidentally dropped our paddles and [[found ourselves up a creek without a paddle]]","When our car broke down in the middle of nowhere, we found ourselves up a creek without a paddle","While canoeing, we accidentally dropped our paddles and found ourselves up a creek without a paddle",found ourselves up a creek without a paddle,"Kenuzás közben véletlenül elejtettük az evezőinket, és magunkat találtuk egy patakban evező nélkül.",우리는 노를 가지지 않고 개척지에서 발견되었다.
up a river without a paddle,"when you are in an unfortunate situation, unprepared and with none of the resources to remedy the matter","When the car broke down in the middle of nowhere, we [[found ourselves up a river without a paddle]]","While canoeing, we accidentally dropped our paddles and [[found ourselves up a river without a paddle]]","When the car broke down in the middle of nowhere, we found ourselves up a river without a paddle","While canoeing, we accidentally dropped our paddles and found ourselves up a river without a paddle",found ourselves up a river without a paddle,"Kenuzás közben véletlenül elejtettük az evezőinket, és magunkat találtuk egy folyón evező nélkül.",우리는 노를 가지지 않고 강 위에 있었다.
up in the air,"unresolved, undecided",Our vacation [[plans are up in the air]] due to the unpredictable weather,"The balloons carrying our [[plans are up in the air]], floating away from us",Our vacation plans are up in the air due to the unpredictable weather,"The balloons carrying our plans are up in the air, floating away from us",plans are up in the air,"A mi terveinket hordozó léggömbök a levegőben vannak, tőlünk elszállva.",계획이 불확실하다.
up to the mark,to be good enough,"His performance was [[not quite up to the mark]], so he didn't get the promotion",The water level was [[not quite up to the mark]] on the measuring stick,"His performance was not quite up to the mark, so he didn't get the promotion",The water level was not quite up to the mark on the measuring stick,not quite up to the mark,A vízszint nem érte el teljesen a mérőpálca jelölését.,기준에 다소 미달됩니다.
