index,idiom_set,idiom
1732,"frozenset({'mater', 'alma'})",alma mater
1733,"frozenset({'out', 'hand'})",out of hand
1734,"frozenset({'feel', 'blue'})",feel blue
1735,"frozenset({'picnic', 'no'})",no picnic
1736,"frozenset({'and', 'part', 'parcel'})",part and parcel
1737,"frozenset({'deep', 'end'})",in at the deep end
1738,"frozenset({'out', 'zonk'})",zonk out
1739,"frozenset({'teapot', 'tempest'})",tempest in a teapot
1740,"frozenset({'time', 'waiting'})",waiting time
1741,"frozenset({'foot', 'put'})",put your foot in it
1742,"frozenset({'bare', 'bones'})",bare bones
1743,"frozenset({'spark', 'bright'})",bright spark
1744,"frozenset({'hand', 'dab'})",dab hand
1745,"frozenset({'call', 'bluff'})",call bluff
1746,"frozenset({'sponger', 'off', 'sponge', 'sponging'})","sponger, sponging, sponge off"
1747,"frozenset({'cord', 'cut'})",cut the cord
1748,"frozenset({'buck', 'stops', 'here'})",the buck stops here
1749,"frozenset({'daylight', 'broad'})",in broad daylight
1750,"frozenset({'big', 'brother'})",big brother
1751,"frozenset({'too', 'comfort', 'close'})",too close for comfort
1752,"frozenset({'outside', 'lines'})",outside the lines
1753,"frozenset({'court', 'ball'})",the ball is in your court
1754,"frozenset({'time', 'everything', 'its', 'place', 'puts'})",time puts everything in its place
1755,"frozenset({'raise', 'bar'})",raise the bar
1756,"frozenset({'lower', 'bar'})",lower the bar
1757,"frozenset({'egg', 'good'})",good egg
1758,"frozenset({'brown', 'study'})",brown study
1759,frozenset({'shadowban'}),shadowban
1760,"frozenset({'tide', 'over'})",tide over
1761,frozenset({'nines'}),to the nines
1762,"frozenset({'bitter', 'pill'})",bitter pill
1763,"frozenset({'easy', 'peasy'})",easy peasy
1764,"frozenset({'cross', 'line'})",cross the line
1765,"frozenset({'rip', 'peace', 'rest'})",rest in peace (RIP)
1766,"frozenset({'set', 'bar'})",set the bar
1767,"frozenset({'assured', 'rest'})",rest assured
1768,"frozenset({'onto', 'hand'})",on/to hand
1769,"frozenset({'eye', 'candy'})",eye candy
1770,"frozenset({'rocket', 'science'})",rocket science
1771,"frozenset({'heads', 'roll', 'will'})",heads will roll
1772,"frozenset({'whip', 'crack'})",crack the whip
1773,"frozenset({'shooter', 'straight'})",straight shooter
1774,frozenset({'red'}),in the red
1775,"frozenset({'than', 'eye', 'meets', 'more'})",more than meets the eye
1776,"frozenset({'coffin', 'nail'})",nail in the coffin
1777,"frozenset({'dogs', 'bite', 'seldom', 'barking'})",barking dogs seldom bite
1778,"frozenset({'room', 'elephant'})",elephant in the room
1779,"frozenset({'oil', 'pour', 'troubled', 'waters'})",pour oil on troubled waters
1780,"frozenset({'take', 'notch', 'updown'})",take it up/down a notch
1781,"frozenset({'pain', 'no', 'gain'})","no pain, no gain"
1782,"frozenset({'white', 'paper'})",white paper
1783,"frozenset({'mood', 'black'})",black mood
1784,"frozenset({'bed', 'with'})",in bed with
1785,"frozenset({'dig', 's', 'grave', 'one'})",dig one's own grave
1786,"frozenset({'beeline', 'make'})",make a beeline for
1787,"frozenset({'state', 'art'})",state of the art
1789,"frozenset({'stand', 'test', 'time'})",stand [pron] test of time
1790,"frozenset({'whisper', 'stage'})",stage whisper
1793,"frozenset({'language', 'speak', 'same'})",speak [pron] same language
1794,"frozenset({'later', 'or', 'sooner'})",sooner or later
1797,"frozenset({'snowed', 'under'})",snowed under
1801,"frozenset({'life', 'slice'})",slice of life
1802,"frozenset({'skin', 'and', 'bones'})",skin and bones
1803,"frozenset({'skin', 'alive'})",skin [pron] alive
1808,"frozenset({'lining', 'silver'})",silver lining
1809,"frozenset({'silver', 'fox'})",silver fox
1810,"frozenset({'bullet', 'silver'})",silver bullet
1811,"frozenset({'shoot', 'through'})",shoot through
1812,"frozenset({'shoot', 'straight'})",shoot straight
1813,"frozenset({'down', 'spine', 'shiver'})",shiver down [pron] spine
1814,"frozenset({'gears', 'shift'})",shift gears
1816,"frozenset({'shelf', 'life'})",shelf life
1817,"frozenset({'stick', 'guns'})",stick to [pron] guns
1818,"frozenset({'hornets', 'nest', 'up', 'stir'})",stir up [pron] hornets' nest
1820,"frozenset({'law', 'spirit'})",the spirit of the law
1821,"frozenset({'grey', 'men', 'suits'})",the men in grey suits
1822,"frozenset({'law', 'letter'})",the letter of the law
1824,"frozenset({'holy', 'grail'})",the holy grail
1827,"frozenset({'makes', 'two'})",that makes two of us
1828,"frozenset({'goodness', 'thank'})",thank goodness
1829,"frozenset({'testing', 'waters'})",testing [pron] waters
1830,"frozenset({'speaking', 'technically'})",technically speaking
1831,"frozenset({'take', 'ride'})",take for [pron] ride
1835,"frozenset({'take', 'view', 'dim'})",take [pron] dim view of
1837,"frozenset({'syrup', 'figs'})",syrup of figs
1838,frozenset({'swing'}),swing by
1839,"frozenset({'tide', 'against', 'swim'})",swim against [pron] tide
1840,"frozenset({'sweat', 'blood'})",sweat blood
1842,"frozenset({'strike', 'balance'})",strike [pron] balance
1843,"frozenset({'cash', 'strapped'})",strapped for cash
1844,"frozenset({'have', 'stranger', 'things', 'happened'})",stranger things have happened
1846,"frozenset({'stitch', 'up'})",stitch up
1847,"frozenset({'take', 'stab'})",take [pron] stab at
1848,"frozenset({'third', 'time', 'lucky'})",third time lucky
1849,"frozenset({'shoes', 'shake'})",shake in [pron] shoes
1850,"frozenset({'soul', 'devil', 'sell'})",sell [pron] soul to [pron] devil
1851,"frozenset({'red', 'ink'})",red ink
1853,"frozenset({'between', 'read', 'lines'})",read between [pron] lines
1856,"frozenset({'deal', 'raw'})",raw deal
1861,"frozenset({'rack', 'brain'})",rack [pron] brain
1866,"frozenset({'boots', 'quake'})",quake in [pron] boots
1867,"frozenset({'brave', 'face', 'put'})",put on [pron] brave face
1868,"frozenset({'wheel', 'shoulder', 'put'})",put [pron] shoulder to [pron] wheel
1869,"frozenset({'cat', 'among', 'pigeons', 'put'})",put [pron] cat among [pron] pigeons
1871,"frozenset({'leg', 'pulling'})",pulling [pron] leg
1877,"frozenset({'pressed', 'time'})",pressed for time
1880,"frozenset({'set', 'rolling', 'ball'})",set [pron] ball rolling
1882,"frozenset({'rest', 'up'})",rest up
1884,"frozenset({'explanatory', 'self'})",self explanatory
1886,"frozenset({'see', 'point'})",see [pron] point
1887,"frozenset({'murder', 'blue', 'scream'})",scream blue murder
1888,"frozenset({'scratch', 'head'})",scratch [pron] head
1889,"frozenset({'scrape', 'together'})",scrape together
1890,"frozenset({'scarlet', 'woman'})",scarlet woman
1891,"frozenset({'piece', 'say'})",say [pron] piece
1893,"frozenset({'earth', 'salt'})",salt of the earth
1895,"frozenset({'wind', 'sail', 'close'})",sail close to [pron] wind
1896,"frozenset({'wheel', 'reinvent'})",reinvent [pron] wheel
1897,"frozenset({'safety', 'numbers'})",safety in numbers
1899,"frozenset({'battle', 'running'})",running battle
1901,"frozenset({'wind', 'like', 'run'})",run like [pron] wind
1902,"frozenset({'life', 'run'})",run for [pron] life
1905,"frozenset({'rough', 'time'})",rough time
1906,"frozenset({'and', 'branch', 'root'})",root and branch
1910,"frozenset({'shotgun', 'ride'})",ride shotgun
1911,"frozenset({'and', 'safe', 'sound'})",safe and sound
1912,"frozenset({'bundle', 'up'})",bundle up
1913,"frozenset({'thin', 'thick', 'and', 'through'})",through thick and thin
1915,"frozenset({'count', 'down'})",down for the count
1916,"frozenset({'like', 'water', 'duck'})",like a duck to water
1918,"frozenset({'whirl', 'give'})",give it a whirl
1919,"frozenset({'lose', 'marbles'})",lose your marbles
1920,"frozenset({'plain', 'day', 'as'})",plain as day
1921,"frozenset({'step', 'game', 'up'})",step up your game
1922,"frozenset({'paddle', 'creek', 'up', 'without'})",up a creek without a paddle
1923,frozenset({'rock'}),you rock
1924,"frozenset({'astray', 'lead'})",lead astray
1925,"frozenset({'aspersions', 'cast'})",cast aspersions
1926,"frozenset({'alter', 'ego'})",alter ego
1927,"frozenset({'out', 'day'})","day in, day out"
1928,"frozenset({'bit', 'much'})",a bit much
1929,"frozenset({'account', 'good'})",good account of
1930,"frozenset({'twenty', '247', 'seven', 'four'})",24/7 (twenty-four-seven)
1931,"frozenset({'bit', 'much', 'too'})",a bit too much
1932,"frozenset({'vinegar', 'piss', 'and'})",piss and vinegar
1933,"frozenset({'means', 'all'})",by all means
1936,"frozenset({'young', 'heart'})",young at heart
1939,"frozenset({'worth', 'weight', 'gold'})",worth [pron] weight in gold
1940,"frozenset({'like', 'work', 'charm'})",work like [pron] charm
1941,"frozenset({'fingers', 'work', 'bone'})",work [pron] fingers to [pron] bone
1942,frozenset({'word'}),word for word
1943,"frozenset({'aces', 'hold', 'all'})",hold all the aces
1944,"frozenset({'wishful', 'thinking'})",wishful thinking
1945,"frozenset({'keep', 'pants'})",keep your pants on
1947,"frozenset({'belle', 'ball'})",belle of the ball
1948,"frozenset({'as', 'thick', 'thieves'})",as thick as thieves
1949,"frozenset({'grain', 'take', 'with', 'salt'})",take with a grain of salt
1950,"frozenset({'every', 'man', 'jack'})",every man Jack
1951,"frozenset({'right', 'fly', 'straighten', 'and', 'up'})",straighten up and fly right
1952,"frozenset({'turn', 'down', 'glass'})",turn down a glass
1953,frozenset({'watchdog'}),watchdog
1954,"frozenset({'fish', 'fry', 'bigger'})",bigger fish to fry
1955,"frozenset({'scott', 'great'})",Great Scott
1956,"frozenset({'pound', 'flesh'})",pound of flesh
1957,"frozenset({'top', 'dog'})",top dog
1958,"frozenset({'order', 'short'})",in short order
1959,"frozenset({'s', 'tickle', 'someone', 'fancy'})",tickle someone's fancy
1960,"frozenset({'s', 'head', 'wrap', 'one', 'around'})",wrap one's head around
1961,"frozenset({'cat', 'hot', 'like', 'roof', 'tin'})",like a cat on a hot tin roof
1962,"frozenset({'grew', 'from', 'rose', 'concrete'})",the rose that grew from concrete
1963,"frozenset({'bird', 'view', 'eye', 's'})",bird's eye view
1964,frozenset({'money'}),on the money
1965,"frozenset({'pale', 'beyond'})",beyond the pale
1966,"frozenset({'bud', 'nip'})",nip in the bud
1967,"frozenset({'comb', 'through'})",comb through
1968,"frozenset({'punches', 'with', 'roll'})",roll with the punches
1969,"frozenset({'beat', 'air'})",beat the air
1970,"frozenset({'pound', 'penny'})","in for a penny, in for a pound"
1971,"frozenset({'nilly', 'willy'})",willy-nilly
1972,"frozenset({'highway', 'or', 'way'})",my way or the highway
1973,"frozenset({'tree', 'leave', 'like', 'and', 'make'})",make like a tree and leave
1974,"frozenset({'jets', 'cool'})",cool your jets
1975,"frozenset({'biter', 'nail'})",nail biter
1976,"frozenset({'wind', 'throw', 'caution'})",throw caution to [pron] wind
1979,"frozenset({'wire', 'under'})",under the wire
1981,"frozenset({'table', 'under'})",under the table
1982,"frozenset({'under', 'sun'})",under the sun
1983,"frozenset({'pressure', 'under'})",under pressure
1984,"frozenset({'construction', 'under'})",under construction
1985,"frozenset({'canvas', 'under'})",under canvas
1987,"frozenset({'back', 'turn', 'clock'})",turn back [pron] clock
1990,"frozenset({'strife', 'and', 'trouble'})",trouble and strife
1991,"frozenset({'light', 'fantastic', 'trip'})",trip [pron] light fantastic
1992,"frozenset({'unwritten', 'law'})",unwritten law
1993,"frozenset({'track', 'record'})",track record
1994,"frozenset({'love', 'tough'})",tough love
1996,frozenset({'day'}),to this day
1997,frozenset({'hilt'}),to the hilt
1998,"frozenset({'trigger', 'pull'})",to pull [pron] trigger
1999,"frozenset({'fine', 'art'})",to a fine art
2000,"frozenset({'time', 'money'})",time is money
2004,"frozenset({'up', 'thumbs'})",thumbs up
2005,"frozenset({'down', 'thumbs'})",thumbs down
2006,"frozenset({'thumbnail', 'sketch'})",thumbnail sketch
2007,"frozenset({'tour', 'force', 'de'})",tour de force
2008,"frozenset({'wild', 'goose', 'chase'})",wild-goose chase
2010,"frozenset({'territory', 'virgin'})",virgin territory
2011,"frozenset({'white', 'than', 'whiter'})",whiter than white
2013,"frozenset({'white', 'sheet', 'as'})",white as a sheet
2014,"frozenset({'appetite', 'whet'})",whet [pron] appetite
2018,"frozenset({'well', 'hung'})",well hung
2019,"frozenset({'permitting', 'weather'})",weather permitting
2021,"frozenset({'off', 'wear'})",wear off
2024,"frozenset({'vale', 'tears'})",vale of tears
2027,"frozenset({'space', 'watch'})",watch this space
2028,"frozenset({'mouth', 'watch'})",watch [pron] mouth
2029,"frozenset({'language', 'watch'})",watch [pron] language
2030,"frozenset({'clock', 'watch'})",watch [pron] clock
2031,"frozenset({'up', 'washed'})",washed up
2032,"frozenset({'words', 'war'})",war of words
2033,"frozenset({'nerves', 'war'})",war of nerves
2035,"frozenset({'air', 'walk'})",walk on air
2036,"frozenset({'life', 'walk'})",walk of life
2039,"frozenset({'wax', 'and', 'wane'})",wax and wane
2040,"frozenset({'ll', 'back', 'and', 'i', 'scratch'})",you scratch my back and i'll scratch yours
