idiom_set,idiom_EPIE,meaning_EPIE,example_EPIE,tag_EPIE,idiom_dictionary,meaning_dictionary,example_dictionary,idiom_bookcorpus,meaning_bookcorpus
"frozenset({'bullet', 'silver'})",silver bullet,a simple solution to a complex problem.,"The garlic , wooden stake and silver bullet ( to continue this fantastic metaphor ) are provided by the application of a more modern approach to science than that offered by eighteenth- and nineteenth-century paradigms .",O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'shoot', 'through'})",shoot through,leave quickly or abruptly.,"At all events , it enables her to explore the danger that shoots through many childhoods : the fear of losing mother or father , the conflict we often endure as we hear their exasperated voices arguing above our heads or while we are in bed .",O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'shoot', 'straight'})",shoot straight,be honest and direct in one's communication.,"The flames shot straight up into the sky , dispersing whatever fog was in the immediate area , and we sat around on bales , as we have always done , while some members of the family let off fireworks in the background .",O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'down', 'spine', 'shiver'})",shiver down [pron] spine,experience a feeling of fear or dread.,"Always the song of the nightingale sends shivers down my spine — because of its amazing variety , its richness and power and sheer quality .",O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O,,,,,
frozenset({'sleep'}),sleep on [pron],think about something for a while before making a decision.,"Leave the haggling over the price to your agent and take his advice on the final choice of buyer , who should be well advanced in his own sale ; but do not be in any hurry to settle the matter without at least sleeping on it and allowing for second thoughts all round .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O,sleep on,postpone making a choice until the following day.,Please don't sleep on that talent. It will take you places!,sleep on it,to take time to think something over before making a decision
"frozenset({'shift', 'gear'})",shift gears,"change direction, approach, or focus.","Having effectively established the background of decadence , savagery and corruption that was Rome in 300 AD , the play shifts gears after the interval for the arrival of a travelling theatre company which is to present an entertainment for the newly installed Emperor .",O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'shake', 'shoe'})",shake in [pron] shoes,be very scared or nervous about something.,"And Hodkinson added : ‘ After beating a fighter as good as Mexico 's Marcos Villasana to win the title , I 'm not exactly shaking in my shoes about facing Benichou . ’",O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O,,,,,
"frozenset({'set', 'ball', 'roll'})",set [pron] ball rolling,start a process or activity.,"And there was double delight for the Irish contingent as Ronnie Smyth 's under-16 squad had earlier set the ball rolling by overturning a 2–0 deficit to beat the Welsh 3–2 , thanks to a Colin Hanna hat-trick of short corner conversions in the last 15 minutes .",O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'soul', 'devil', 'sell'})",sell [pron] soul to [pron] devil,make a deal with someone that involves sacrificing one's principles or values in exchange for something desired.,"Directed by Tony Hegarty For one night only , prior to opening in London , Commonwheal ‘ Exciting and revelatory … a true ensemble ’ Daily Mail , bring their new version of Marlowe 's classic tale of a man who sells his soul to the devil for knowledge and power .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O,,,,,
"frozenset({'man', 'made', 'self'})",self-made man,a person who has achieved success and wealth through their own hard work and determination.,"When they first met for real the fierce , cold , autocratic , heroically self-made man 's beady eye and cockily addressed him as ‘ Washy ’ to his face , well , petrification set in , sometimes terminal .",O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O,self-made man,someone who achieves the success with his own hark work,The governor is a self-made man and has had properties around the city even before he joined politics.,,
"frozenset({'self', 'explanatori'})",self explanatory,clear and understandable without needing further explanation.,"Good morning David , I 'm enclosing three pages of a fax which I have just received from Teagasc capital T E A G A S C which is self explanatory stop , I hope you can make it all out , comma , if not please come back to me , full stop , paragraph , it would be a help if you could get your shipping agents to provide us with the rates they would have charged paragraph , many thanks and best regards , Sam .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'eye', 'see'})",see eye to eye,"agree on something, have the same opinion.","He said he could not serve on that sub-committeee ( consisting of Brian Close , Bob Appleyard , Phil Sharpe , Bryan Stott , Tony Woodhouse ) ‘ when I do not see eye to eye with them on any subject ’ .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O,see eye to eye,to agree fully with someone,"Though they work as a team, they often don't see eye to eye on most issues.",,
"frozenset({'see', 'point'})",see [pron] point,understand and agree with someone's opinion.,Will he bring home to Ministers on the continent the fact that the headage basis would prove devastating for hill and upland farmers in the United Kingdom and will he do everything possible to make those Ministers see our point of view ?,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O,,,,,
"frozenset({'murder', 'blue', 'scream'})",scream blue murder,shout or yell very loudly and angrily.,"TACKLING your opponent very hard and then lifting him up with your hands under his armpits and pulling his hairs until he is screaming blue murder — and you say to the referee ‘ Well , I 'm only trying to help him ! ’",O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'scratch', 'head'})",scratch [pron] head,puzzled or confused about something.,When another few minutes went by she was scratching her head to try and think up some way of making sure that Naylor would consider any such notion laughable .,O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'scrape', 'togeth'})",scrape together,gather or accumulate something with difficulty or by using all available resources.,"We prop the grating open with another branch and spend the next half-hour pulling fallen branches and logs from all over that part of the hill , dragging them into the clump of bushes and throwing them into the shaft ; we snap dead branches off trees and bushes and haul and peel living ones off ; we scrape together armfuls of dry leaf litter and throw those over the edge of the chimney , too ; everything goes under the grating and down into the shaft .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'scarlet', 'woman'})",scarlet woman,a woman who is considered to be immoral or promiscuous.,What I really wrote to tell you is that the Ballet Club Committee says that the Scarlet Woman must be changed — so please do two new designs for me to choose from — and help me !,O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'say', 'piec'})",say [pron] piece,express one's opinion or feelings on a particular subject.,"Erm certainly I think all of our quarry , the quarry , I think we were overwhelmed with the support because it was really in our place that the dispute started and a lot of other people who I 'd spoken to you know they they were amazed at the support we received and , seemed to be the shyer the people you know the , some of the lads they never spoke much at lodge meetings , but after a while they 'd be getting up and saying their pieces and , you know I think it 's just because you knew you had backing , and people helping and urging you on , advising you , and the union helping and you know they leant over backwards in various fields to help us .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'shelf', 'life'})",shelf life,the amount of time something is useful or relevant before it becomes outdated.,"There was A12 , Waste Management Group , where the plutonium and highly enriched uranium and beryllium and tritium were taken from weapons that had achieved their shelf life in the guts of submarines and the bunkers of Air Force camps , then reworked for newer and more potent devices .",O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'life', 'slice'})",slice of life,"a representation of reality, usually in the form of a story or film, that is intended to be realistic and relatable.","In a game the rules are socially constructed beforehand ; in creative drama they are negotiated , but this negotiation is often constrained by whatever the ‘ rules ’ happen to be in the slice of life the creative drama is reflecting .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O,,,,,
"frozenset({'rat', 'smell'})",smell [pron] rat,suspect that someone is up to something dishonest or untrustworthy.,"Niki smelled the rat and said unless his driving contract were honoured , he would move to McLaren .",O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O,smell a rat,sense that something is not right,"When he made that offer, I smelt a rat. It sounded too good to be true.",,
"frozenset({'snake', 'grass'})",snake in [pron] grass,someone who is not what they appear to be and is likely to be untrustworthy.,"With its onomatopoeic qualities , redolent of a snake in the grass , the name could have been invented by Dickens .",O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O,,,,snake in the grass,a hidden army
"frozenset({'take', 'view', 'dim'})",take [pron] dim view of,have a negative opinion of someone or something.,"Public NME takes a dim view of types who persecute innocent human beings who just happen to enjoy the feel of women 's lingerie against their bollocks , but did find it quite funny that the be-wigged ‘ bomb victims ’ were so convinced it was an aerial attack they raced into a nearby hotel to beat up a perfectly innocent couple snogging on a balcony .",O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'bull', 'take', 'horn'})",take [pron] bull by [pron] horns,face a difficult situation head-on and with determination.,"I do realize that there are problems in finding suitable sites and that possibly that costs would be involved in setting them up , but for the reasons I have outlined we should take the bull by the horns and make an effort to find sites and budget for the costs involved so the benefits can be felt as soon as possible .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O,take the bull by the horns,decisively deal with a difficult or dangerous situation,Jone decided to take the bull by the horns and organise things for himself.,,
"frozenset({'syrup', 'fig'})",syrup of figs,a phrase used to describe something that is pleasant and soothing.,"‘ The Wig ’ , available in , believe it or not , a ‘ Syrup Mix ’ ( Wig — syrup of figs — Non-Cockney Ed ) as well as a straightforward ragga version and an appealing ‘ Chaos Mix ’ , is the latest in a long line of sizzlers ( ‘ Heat ’ , ‘ Dem No Wicked Like Me ’ , ‘ Breeze ’ etc ) from General Levy , who is probably Britain 's best reggae-rapper .",O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
frozenset({'swing'}),swing by,to make a brief visit to a place.,"I do not remember the carpet coming up to hit me , nor finding it hard to breathe , nor at that moment did the judge put on the black cap and say that I must swing by the neck until I was dead .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O,,,,,
"frozenset({'tide', 'against', 'swim'})",swim against [pron] tide,go against the majority opinion or trend.,"He had swum against the tide at a time when schools to which specific counsellor appointments had previously been made had used a counsellor 's vacancy , at a time of teaching staff reductions , for other purposes .",O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'sweat', 'blood'})",sweat blood,work extremely hard and put in a lot of effort.,"To that end , a body of notes over which you have "" sweated blood "" is a pearl beyond price .",O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O,,,,,
"frozenset({'chord', 'strike'})",strike [pron] chord,resonate with someone emotionally.,"His signal achievement at Chanel has been to take all the familiar Chanel ideas , the neat , gilt buttoned suit , the chain handbags , the bows , the camellias , throw them up in the air , alter their proportions , and re-make the look invented by Coco for Twenties flappers , so that it strikes a new chord .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O,strike a chord,to trigger a strong memory or feeling based on which there can be a mutual interest,The two immediately struck a note on the basis of the fact that they follow the same faith. This has led to a beautiful marriage and a lifelong companionship.,,
"frozenset({'balanc', 'strike'})",strike [pron] balance,achieve a state of equilibrium between two opposing forces.,"Staff need , however , to strike a delicate balance between giving optimistic support and encouragement on the one hand and accepting on the other that some individuals do not wish to , or can not , change as a result of disability and may need to be helped , therefore , to cope with permanent social impairments and distressing symptoms .",O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'cash', 'strap'})",strapped for cash,having very little money available.,"Let's hope Santa is not too strapped for cash as a result of the interest rate because he also has to get Silvanian fire places , sewing machines , Sindy ( sic ) dolls , guns , kitchen sets , guitars , books , a baby changing unit , felt tip pens , videos , electric cars , electric trains , micro machines , computers , personal stereos , mighty metro racing sets , radio controlled aeroplanes , slippers and a camra .",O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'have', 'stranger', 'happen', 'thing'})",stranger things have happened,it is possible that something unexpected or unlikely could occur.,"I doubt it , but stranger things have happened .",O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O,,,,,
frozenset({'stop'}),stop by,visit someone or a place for a short period of time.,"James Thorne 's discussion of the long-standing debate over the interpretation of Robert Frost 's "" stopping by woods "" is instructive precisely because , among other things , it recognises the limitations of a stylistics that aims , or claims , to be objective and exhaustive , and because it highlights the need to be selective in description and open to the coexistence of multiple meanings in interpretation .",O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,stop by,to meet someone or go somewhere in a brief and informal manner,The gardener stopped by the nursery to get some soil for his garden.,,
"frozenset({'stitch', 'up'})",stitch up,to arrange something in a way that is advantageous to oneself.,Digital Equipment Corp executives remark that the Open Software Foundation better make some progress in the coming months stitching up the wounds of the old Unix wars and accommodating itself to new alliances or else it 's going to have a lot of trouble getting funding from its sponsors next year .,O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'up', 'nest', 'hornet', 'stir'})",stir up [pron] hornets' nest,do something that will cause a lot of trouble or anger.,"As might be expected , the move has stirred up a hornet 's nest of academic fear and loathing against USL and has created a cadre of naive tech weenies ready to form a lynch mob .",O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O,stir up a hornet's nest,to create trouble,"When the auditor asked for more shreds evidence, the treasury department stirred up a Hornet's nest because they did not have more. This is how the fraud was actually revealed.",,
"frozenset({'upper', 'stiff', 'lip'})",stiff upper lip,remain calm and composed in the face of adversity.,"All her life she had played it safe , done what others expected of her , hidden her emotions behind the stiff upper lip the Colonel was so fond of , played the straight bat he always wanted her to .",O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O,stiff upper lip,to be brave in the face of adversity,"Throughout the funeral of her parents, Mary kept a stiff upper lip.",,
"frozenset({'gun', 'stick'})",stick to [pron] guns,remain firm in one's opinion or decision despite opposition or criticism.,This may be easier said than done but if you have a clear idea of the purpose of the meeting and have prepared a thorough list of everything you want to know then you must stick to your guns and carry on relentlessly until you have worked your way through it .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O,,,,,
"frozenset({'steal', 'thunder'})",steal [pron] thunder,take the credit or recognition for something that someone else did.,"Vivienne Peters , chief executive of the Telecommunications Users Association , believes that Mercury 's reticence may not be because of problems with the trial , but because it wants to keep the plan under wraps in the fear that British Telecommunications Plc will try to steal its thunder by pre-launching a similar service .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O,steal thunder,take credit for someone else's work,"They all worked together on the project, but while submitting it, one of them stole the thunder.",,
"frozenset({'state', 'art'})",state of the art,the most advanced and up-to-date technology or equipment available.,"Where the original tenant is not required to provide a guarantor but the alienation provisions permit the landlord to require a guarantor on an assignment if it is reasonable to do so , some landlords and tenants prefer the form of the guarantor 's covenants not to be set out in the lease but to rely upon what is reasonable at the time of the assignment , presumably to ensure that the state of the art is employed .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O,,,,,
"frozenset({'start', 'scratch'})",start from scratch,"begin a task or project from the beginning, without using any existing resources or materials.","Lengthy booklists are expensive and dull : with some time and effort it will be possible for you to build up a personal library and reference system which is individually geared to your particular needs , and one which helps you to build on your existing knowledge rather than attempting to start again from scratch .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O,start from scratch,to start doing something over from the beginning,The class has started the lesson from scratch to be able to understand the basics in a better manner.,,
"frozenset({'stand', 'test', 'time'})",stand [pron] test of time,remain relevant and popular over a long period of time.,"Rightly , few of the hypotheses examined in this book will stand the test of time but it will have achieved its aim if it provides a foothold for fellow students who also appreciate the need to abandon what may glibly be characterised as the ‘ Beowulf and brooches ’ approach .",O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'whisper', 'stage'})",stage whisper,speaking in a loud whisper so that everyone can hear.,"And then he switched abruptly from practicalities , quoting in a stage whisper : ‘ And I saw a new Heaven and a new earth ; for the first Heaven and the first earth were passed away : and there was no more sea . ’",O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'spit', 'imag'})",spitting image,exact likeness or replica of someone or something.,"I will tell you another thing , whatever the Spitting Images say about John he pays his money , he does not grab his bermuda shorts and a wristwatch and fly off to the sunny islands .",O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O,spitting image,look exactly like someone else,My sister is the spitting image of my mother.,,
"frozenset({'spill', 'bean'})",spill [pron] beans,reveal a secret or private information.,"Well , in the nick of time they realized that all that Anna was wailing about was some French floozy the prince was not even particularly attached to ( a crony of Anna 's , a censorious old toad who lived in hotels and got everything half wrong , had spilt the beans to her ) .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O,spill the beans,disclose a secret or reveal something prematurely,"Lauren finally spilled the beans. She has been promoted to manager, and it's going to upset some people in the office.",spill the beans,to expose a secret
"frozenset({'speak', 'same', 'languag'})",speak [pron] same language,have a mutual understanding and be able to communicate effectively.,"However , he did not allow her to become too swamped with nervous , trembling uncertainty , as he began to talk calmly and reasonably about his brother 's future life in America , describing some of the amusing mistakes he himself had made in assuming that the English and the Americans spoke the same language — when , in fact , so many words had different meanings .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O,,,,,
"frozenset({'later', 'sooner'})",sooner or later,"eventually, in due time.","This is the kind of thing that we really ought to be addressing because this actually addresses the safety of people in this county , not only the safety of people , this addresses the safety of property as well and there 's no disagreement about the fact that this enormous development that 's happened over the last few years in an area where you have got a regular traffic snarl-ups mean that you have got a potential disaster there on your hands and we 're jolly lucky we have not any more serious incidents than we have had already and so I can see no reason why these two mo these two amendments should not both happily be accepted though I 'm very cynical about the number of times we have spent the airport money already and sooner or later we have obviously got to actually seriously address that but the important thing is that we do all take it seriously and it seems that we all do now take it seriously .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'son', 'gun'})",son of a gun,an expression of surprise or admiration.,"This torture screen is a tough son of a gun , but if you follow these instructions you will be fine .",O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O,son of a gun,to address someone in an affectionate way,The son of a gun managed to pass all the subjects this time along! I am so happy!,,
"frozenset({'far', 'good'})",so far so good,things are going well up to this point.,"I looked through her bright red glasses into her light grey eyes and said , ‘ Well , so far so good , certainly , but let's not count our — ’",O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O,so far so good,progress has been satisfactory up to now,"Thanks for asking; so far, so good.",,
"frozenset({'snow', 'under'})",snowed under,overwhelmed with work or responsibilities.,"She would come back to camp after a day off , call in at the office to see what was going on , and if we were all running around like headless chickens , snowed under with miles of paper from the teleprinter , and an irate Wing CO was tearing his hair out because the visibility had suddenly slumped from three miles to fifty yards and all his boys were up there somewhere running out of fuel , Rosemary would calmly take over the plotting while one of us rushed out to the screen to read the instruments , or go into the screaming teleprinter to shut off the insistent ear-piercing bell which was reminding everybody within hearing that we were late in sending in the hourly observation .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,snow under,to bury or cover something or somebody in the snow (Literal meaning),I feel snowed under with all the work my boss keeps throwing my way.,,
"frozenset({'face', 'save'})",save face,to maintain one's dignity or reputation in a difficult or embarrassing situation.,"Finally , our heartfelt thanks to the Haç and Manchester 's equally fine Most Excellent posse , whose joint party for the SAVE FACE fund last month raised a stunning £2,500 — more details of this and other Ligger 's Week events on page 8",O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O,save face,To be able to hide public disgrace by taking some action.,"I managed to save face by being able to speak about the topic, the presentation that was made was really not good.",,
"frozenset({'earth', 'salt'})",salt of the earth,"a person who is honest, hardworking, and reliable.","so she said I , I went in and I said to Geraldine I 'm going I owe you any bloody money take the bugger out me wages , she says I am not having people that I like being stabbed like that by people like that , she said she is not worth the salt of the earth , she 's the salt of the earth she said with people like that pointing to Jenny and Jane , no way , she said and I 'm going with my mates , I turned round and the next thing Janet and Janet and Barbara in there , when we got up the pub at twelve o'clock , course we were all having sandwiches me and Pam got the , me and er Barb got there , then Pam come in then a few more come and erm then the plumber and all that come in with them and I said oh girls we never clocked out , so I said oh well I 'm going to have to take my key back to Steve , burst out laughing , so I said oh no I said why do not we have a key cracking competition so of course that 's what we did we all took our keys out of our bag and we went ready for she 's a jolly good ready , steady , fellow , for she 's go and we cracked these ruddy keys and shoved them up in the air",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'day', 'salad'})",salad days,"a period of youthful innocence, inexperience, and enthusiasm.","Robert Rauschenberg ( whose newest work , ‘ Bicycloids ’ , ‘ Urban Bourbons ’ and ‘ Eco-Echo ’ is at Knoedler from 8 May to 4 June ) would , in his salad days , make ‘ combines ’ out of whatever junk came to hand during an evening 's walk in the streets .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O,salad days,"the time of youth, innocence and inexperience","They had met in their salad days and had fallen in love. Naturally, the union did not last long and they separated a few years later.",,
"frozenset({'wind', 'sail', 'close'})",sail close to [pron] wind,"take risks, act dangerously, or do something that is close to the edge of what is acceptable.","Osnafeld is a British subject , a financier of sorts who has sailed very close to the wind on a number of occasions , but there has never been enough evidence to proceed against him .",O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'hole', 'rabbit'})",rabbit hole,a situation or activity that is difficult to escape from or that leads to a complex and confusing situation.,"No doubt other Caldwells , too , inhabited every shade , every trunk , rabbit hole and rut of Sleet .",O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O,rabbit hole,mentally go somewhere surreal or strange,Peter is having another one of his parties on Friday. Time to go down the rabbit hole again.,,
"frozenset({'leap', 'quantum'})",quantum leap,"a sudden, dramatic, and significant advancement or improvement.","A QUANTUM leap ahead of Grace Bros ' Mr Humphries , Thames ' brave portrayal of real-life ancient closet-free homosexual Quentin Crisp in a sensitive , sympathetic , and , more importantly , amusing manner was a TV breakthrough .",O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,quantum leap,to make a significant improvement or dramatic advancement,The store has taken a quantum leap from where it was and seems to be headed strongly in the right direction.,,
"frozenset({'qualiti', 'time'})",quality time,time spent with someone that is focused on creating a strong bond and connection.,"You know , I was on the phone to a customer for fifteen to twenty minutes because they 'd had a bad experience and I was actually making an appointment for Roy to go in and that twenty minutes is a long time , and I think really if anything , it 's just brought to me really , , how little time sometimes , it 's not always the case , it does vary , that , depending on the incoming calls , depending if you have got got through the emerging paperwork for whatever reason , how little quality time perhaps you do actually spend on the phone , making outgoing calls to sell .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O,quality time,well spent time,It had been so long since we went on a vacation but this last month we decided to spend quality time with the family regardless.,,
"frozenset({'boot', 'quak'})",quake in [pron] boots,be extremely scared or nervous.,Every time I do a stall I I quake in my boots up until I do it and then I feel great when we 're doing it and afterwards realize that it 's been productive and we we have had a good lot a good response from the public .,O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'brave', 'face', 'put'})",put on [pron] brave face,try to appear strong and confident even when feeling scared or uncertain.,Putting on a brave face for colleagues may also compound the feeling of inauthenticity or emptiness which they are experiencing in the classroom .,B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O,,,,,
