idiom,meaning,example,source,dupl,idiom_set,idiom_EPIE,meaning_EPIE,example_EPIE,tag_EPIE,idiom_dictionary,meaning_dictionary,example_dictionary,idiom_bookcorpus,meaning_bookcorpus
scarlet woman,a woman who is considered to be immoral or promiscuous.,What I really wrote to tell you is that the Ballet Club Committee says that the Scarlet Woman must be changed — so please do two new designs for me to choose from — and help me !,EPIE,0,"frozenset({'woman', 'scarlet'})",scarlet woman,a woman who is considered to be immoral or promiscuous.,What I really wrote to tell you is that the Ballet Club Committee says that the Scarlet Woman must be changed — so please do two new designs for me to choose from — and help me !,O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O,,,,,
say [pron] piece,express one's opinion or feelings on a particular subject.,"Erm certainly I think all of our quarry , the quarry , I think we were overwhelmed with the support because it was really in our place that the dispute started and a lot of other people who I 'd spoken to you know they they were amazed at the support we received and , seemed to be the shyer the people you know the , some of the lads they never spoke much at lodge meetings , but after a while they 'd be getting up and saying their pieces and , you know I think it 's just because you knew you had backing , and people helping and urging you on , advising you , and the union helping and you know they leant over backwards in various fields to help us .",EPIE,0,"frozenset({'say', 'piec'})",say [pron] piece,express one's opinion or feelings on a particular subject.,"Erm certainly I think all of our quarry , the quarry , I think we were overwhelmed with the support because it was really in our place that the dispute started and a lot of other people who I 'd spoken to you know they they were amazed at the support we received and , seemed to be the shyer the people you know the , some of the lads they never spoke much at lodge meetings , but after a while they 'd be getting up and saying their pieces and , you know I think it 's just because you knew you had backing , and people helping and urging you on , advising you , and the union helping and you know they leant over backwards in various fields to help us .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
take [pron] stab at,try one's best to do something.,AT&T took a stab at this kind of thing awhile back with Rhapsody based on Workhorse out of Dublin .,EPIE,0,"frozenset({'stab', 'take'})",take [pron] stab at,try one's best to do something.,AT&T took a stab at this kind of thing awhile back with Rhapsody based on Workhorse out of Dublin .,O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O,,,,,
take [pron] dim view of,have a negative opinion of someone or something.,"Public NME takes a dim view of types who persecute innocent human beings who just happen to enjoy the feel of women 's lingerie against their bollocks , but did find it quite funny that the be-wigged ‘ bomb victims ’ were so convinced it was an aerial attack they raced into a nearby hotel to beat up a perfectly innocent couple snogging on a balcony .",EPIE,0,"frozenset({'take', 'view', 'dim'})",take [pron] dim view of,have a negative opinion of someone or something.,"Public NME takes a dim view of types who persecute innocent human beings who just happen to enjoy the feel of women 's lingerie against their bollocks , but did find it quite funny that the be-wigged ‘ bomb victims ’ were so convinced it was an aerial attack they raced into a nearby hotel to beat up a perfectly innocent couple snogging on a balcony .",O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
syrup of figs,a phrase used to describe something that is pleasant and soothing.,"‘ The Wig ’ , available in , believe it or not , a ‘ Syrup Mix ’ ( Wig — syrup of figs — Non-Cockney Ed ) as well as a straightforward ragga version and an appealing ‘ Chaos Mix ’ , is the latest in a long line of sizzlers ( ‘ Heat ’ , ‘ Dem No Wicked Like Me ’ , ‘ Breeze ’ etc ) from General Levy , who is probably Britain 's best reggae-rapper .",EPIE,0,"frozenset({'fig', 'syrup'})",syrup of figs,a phrase used to describe something that is pleasant and soothing.,"‘ The Wig ’ , available in , believe it or not , a ‘ Syrup Mix ’ ( Wig — syrup of figs — Non-Cockney Ed ) as well as a straightforward ragga version and an appealing ‘ Chaos Mix ’ , is the latest in a long line of sizzlers ( ‘ Heat ’ , ‘ Dem No Wicked Like Me ’ , ‘ Breeze ’ etc ) from General Levy , who is probably Britain 's best reggae-rapper .",O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
swing by,to make a brief visit to a place.,"I do not remember the carpet coming up to hit me , nor finding it hard to breathe , nor at that moment did the judge put on the black cap and say that I must swing by the neck until I was dead .",EPIE,0,frozenset({'swing'}),swing by,to make a brief visit to a place.,"I do not remember the carpet coming up to hit me , nor finding it hard to breathe , nor at that moment did the judge put on the black cap and say that I must swing by the neck until I was dead .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O,,,,,
swim against [pron] tide,go against the majority opinion or trend.,"He had swum against the tide at a time when schools to which specific counsellor appointments had previously been made had used a counsellor 's vacancy , at a time of teaching staff reductions , for other purposes .",EPIE,0,"frozenset({'against', 'tide', 'swim'})",swim against [pron] tide,go against the majority opinion or trend.,"He had swum against the tide at a time when schools to which specific counsellor appointments had previously been made had used a counsellor 's vacancy , at a time of teaching staff reductions , for other purposes .",O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
sweat blood,work extremely hard and put in a lot of effort.,"To that end , a body of notes over which you have "" sweated blood "" is a pearl beyond price .",EPIE,0,"frozenset({'blood', 'sweat'})",sweat blood,work extremely hard and put in a lot of effort.,"To that end , a body of notes over which you have "" sweated blood "" is a pearl beyond price .",O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O,,,,,
strike [pron] balance,achieve a state of equilibrium between two opposing forces.,"Staff need , however , to strike a delicate balance between giving optimistic support and encouragement on the one hand and accepting on the other that some individuals do not wish to , or can not , change as a result of disability and may need to be helped , therefore , to cope with permanent social impairments and distressing symptoms .",EPIE,0,"frozenset({'balanc', 'strike'})",strike [pron] balance,achieve a state of equilibrium between two opposing forces.,"Staff need , however , to strike a delicate balance between giving optimistic support and encouragement on the one hand and accepting on the other that some individuals do not wish to , or can not , change as a result of disability and may need to be helped , therefore , to cope with permanent social impairments and distressing symptoms .",O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
strapped for cash,having very little money available.,"Let's hope Santa is not too strapped for cash as a result of the interest rate because he also has to get Silvanian fire places , sewing machines , Sindy ( sic ) dolls , guns , kitchen sets , guitars , books , a baby changing unit , felt tip pens , videos , electric cars , electric trains , micro machines , computers , personal stereos , mighty metro racing sets , radio controlled aeroplanes , slippers and a camra .",EPIE,0,"frozenset({'cash', 'strap'})",strapped for cash,having very little money available.,"Let's hope Santa is not too strapped for cash as a result of the interest rate because he also has to get Silvanian fire places , sewing machines , Sindy ( sic ) dolls , guns , kitchen sets , guitars , books , a baby changing unit , felt tip pens , videos , electric cars , electric trains , micro machines , computers , personal stereos , mighty metro racing sets , radio controlled aeroplanes , slippers and a camra .",O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
stranger things have happened,it is possible that something unexpected or unlikely could occur.,"I doubt it , but stranger things have happened .",EPIE,0,"frozenset({'happen', 'thing', 'have', 'stranger'})",stranger things have happened,it is possible that something unexpected or unlikely could occur.,"I doubt it , but stranger things have happened .",O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O,,,,,
stitch up,to arrange something in a way that is advantageous to oneself.,Digital Equipment Corp executives remark that the Open Software Foundation better make some progress in the coming months stitching up the wounds of the old Unix wars and accommodating itself to new alliances or else it 's going to have a lot of trouble getting funding from its sponsors next year .,EPIE,0,"frozenset({'up', 'stitch'})",stitch up,to arrange something in a way that is advantageous to oneself.,Digital Equipment Corp executives remark that the Open Software Foundation better make some progress in the coming months stitching up the wounds of the old Unix wars and accommodating itself to new alliances or else it 's going to have a lot of trouble getting funding from its sponsors next year .,O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
stick to [pron] guns,remain firm in one's opinion or decision despite opposition or criticism.,This may be easier said than done but if you have a clear idea of the purpose of the meeting and have prepared a thorough list of everything you want to know then you must stick to your guns and carry on relentlessly until you have worked your way through it .,EPIE,0,"frozenset({'gun', 'stick'})",stick to [pron] guns,remain firm in one's opinion or decision despite opposition or criticism.,This may be easier said than done but if you have a clear idea of the purpose of the meeting and have prepared a thorough list of everything you want to know then you must stick to your guns and carry on relentlessly until you have worked your way through it .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O,,,,,
state of the art,the most advanced and up-to-date technology or equipment available.,"Where the original tenant is not required to provide a guarantor but the alienation provisions permit the landlord to require a guarantor on an assignment if it is reasonable to do so , some landlords and tenants prefer the form of the guarantor 's covenants not to be set out in the lease but to rely upon what is reasonable at the time of the assignment , presumably to ensure that the state of the art is employed .",EPIE,0,"frozenset({'state', 'art'})",state of the art,the most advanced and up-to-date technology or equipment available.,"Where the original tenant is not required to provide a guarantor but the alienation provisions permit the landlord to require a guarantor on an assignment if it is reasonable to do so , some landlords and tenants prefer the form of the guarantor 's covenants not to be set out in the lease but to rely upon what is reasonable at the time of the assignment , presumably to ensure that the state of the art is employed .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O,,,,,
stand [pron] test of time,remain relevant and popular over a long period of time.,"Rightly , few of the hypotheses examined in this book will stand the test of time but it will have achieved its aim if it provides a foothold for fellow students who also appreciate the need to abandon what may glibly be characterised as the ‘ Beowulf and brooches ’ approach .",EPIE,0,"frozenset({'test', 'time', 'stand'})",stand [pron] test of time,remain relevant and popular over a long period of time.,"Rightly , few of the hypotheses examined in this book will stand the test of time but it will have achieved its aim if it provides a foothold for fellow students who also appreciate the need to abandon what may glibly be characterised as the ‘ Beowulf and brooches ’ approach .",O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
stage whisper,speaking in a loud whisper so that everyone can hear.,"And then he switched abruptly from practicalities , quoting in a stage whisper : ‘ And I saw a new Heaven and a new earth ; for the first Heaven and the first earth were passed away : and there was no more sea . ’",EPIE,0,"frozenset({'stage', 'whisper'})",stage whisper,speaking in a loud whisper so that everyone can hear.,"And then he switched abruptly from practicalities , quoting in a stage whisper : ‘ And I saw a new Heaven and a new earth ; for the first Heaven and the first earth were passed away : and there was no more sea . ’",O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
speak [pron] same language,have a mutual understanding and be able to communicate effectively.,"However , he did not allow her to become too swamped with nervous , trembling uncertainty , as he began to talk calmly and reasonably about his brother 's future life in America , describing some of the amusing mistakes he himself had made in assuming that the English and the Americans spoke the same language — when , in fact , so many words had different meanings .",EPIE,0,"frozenset({'languag', 'same', 'speak'})",speak [pron] same language,have a mutual understanding and be able to communicate effectively.,"However , he did not allow her to become too swamped with nervous , trembling uncertainty , as he began to talk calmly and reasonably about his brother 's future life in America , describing some of the amusing mistakes he himself had made in assuming that the English and the Americans spoke the same language — when , in fact , so many words had different meanings .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O,,,,,
sooner or later,"eventually, in due time.","This is the kind of thing that we really ought to be addressing because this actually addresses the safety of people in this county , not only the safety of people , this addresses the safety of property as well and there 's no disagreement about the fact that this enormous development that 's happened over the last few years in an area where you have got a regular traffic snarl-ups mean that you have got a potential disaster there on your hands and we 're jolly lucky we have not any more serious incidents than we have had already and so I can see no reason why these two mo these two amendments should not both happily be accepted though I 'm very cynical about the number of times we have spent the airport money already and sooner or later we have obviously got to actually seriously address that but the important thing is that we do all take it seriously and it seems that we all do now take it seriously .",EPIE,0,"frozenset({'sooner', 'later'})",sooner or later,"eventually, in due time.","This is the kind of thing that we really ought to be addressing because this actually addresses the safety of people in this county , not only the safety of people , this addresses the safety of property as well and there 's no disagreement about the fact that this enormous development that 's happened over the last few years in an area where you have got a regular traffic snarl-ups mean that you have got a potential disaster there on your hands and we 're jolly lucky we have not any more serious incidents than we have had already and so I can see no reason why these two mo these two amendments should not both happily be accepted though I 'm very cynical about the number of times we have spent the airport money already and sooner or later we have obviously got to actually seriously address that but the important thing is that we do all take it seriously and it seems that we all do now take it seriously .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
quake in [pron] boots,be extremely scared or nervous.,Every time I do a stall I I quake in my boots up until I do it and then I feel great when we 're doing it and afterwards realize that it 's been productive and we we have had a good lot a good response from the public .,EPIE,0,"frozenset({'quak', 'boot'})",quake in [pron] boots,be extremely scared or nervous.,Every time I do a stall I I quake in my boots up until I do it and then I feel great when we 're doing it and afterwards realize that it 's been productive and we we have had a good lot a good response from the public .,O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
put on [pron] brave face,try to appear strong and confident even when feeling scared or uncertain.,Putting on a brave face for colleagues may also compound the feeling of inauthenticity or emptiness which they are experiencing in the classroom .,EPIE,0,"frozenset({'brave', 'face', 'put'})",put on [pron] brave face,try to appear strong and confident even when feeling scared or uncertain.,Putting on a brave face for colleagues may also compound the feeling of inauthenticity or emptiness which they are experiencing in the classroom .,B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O,,,,,
put [pron] shoulder to [pron] wheel,work hard and diligently to achieve a goal.,"I think of all those using this channel : – people who gave generously , of their good money ; people who gave their physical strength ; people who gave limitless time ( even their annual leave from work ) ; people who managed a little time after work ; people who baked ; people who prayed ; the member who supplied the entire plant stall ; people who counted ; the little girl who devised an amusing quiz as her ‘ channel ’ ; people who served , and often withstood the cold winds of George Street ; people who used their artistic talents for communication ; people who lovingly restored the Church afterwards ; our engineer , who invented a ‘ chair-lift ’ for us , and then , literally , put his shoulder to the wheel – and the bright spark who had fired him with the notion ; and finally and uniquely , the couple in Trinity , part of whose house is always given over to storing books so that this channel may be kept open .",EPIE,0,"frozenset({'shoulder', 'put', 'wheel'})",put [pron] shoulder to [pron] wheel,work hard and diligently to achieve a goal.,"I think of all those using this channel : – people who gave generously , of their good money ; people who gave their physical strength ; people who gave limitless time ( even their annual leave from work ) ; people who managed a little time after work ; people who baked ; people who prayed ; the member who supplied the entire plant stall ; people who counted ; the little girl who devised an amusing quiz as her ‘ channel ’ ; people who served , and often withstood the cold winds of George Street ; people who used their artistic talents for communication ; people who lovingly restored the Church afterwards ; our engineer , who invented a ‘ chair-lift ’ for us , and then , literally , put his shoulder to the wheel – and the bright spark who had fired him with the notion ; and finally and uniquely , the couple in Trinity , part of whose house is always given over to storing books so that this channel may be kept open .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
put [pron] cat among [pron] pigeons,introduce a disruptive element into a situation.,"If he translates word-for-word , he will achieve greater fidelity in one respect ( , for instance , evokes the same picture as put the cat among the pigeons ) , but to the detriment of fidelity in another respect ( is a live metaphor , while is not ) ; if , however , he puts a greater value on the latter type of fidelity , then he must sacrifice the former .",EPIE,0,"frozenset({'pigeon', 'put', 'among', 'cat'})",put [pron] cat among [pron] pigeons,introduce a disruptive element into a situation.,"If he translates word-for-word , he will achieve greater fidelity in one respect ( , for instance , evokes the same picture as put the cat among the pigeons ) , but to the detriment of fidelity in another respect ( is a live metaphor , while is not ) ; if , however , he puts a greater value on the latter type of fidelity , then he must sacrifice the former .",O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
pressed for time,having very little time to complete a task.,"Erm , we do work together , where we share a common agenda , and we find that we share common policy positions , and there are a lot discussions that go on about policy questions between environmental N G Os , erm , and also like any N G O that 's pressed for time and money , we work together where actually it can be justified by the results .",EPIE,0,"frozenset({'press', 'time'})",pressed for time,having very little time to complete a task.,"Erm , we do work together , where we share a common agenda , and we find that we share common policy positions , and there are a lot discussions that go on about policy questions between environmental N G Os , erm , and also like any N G O that 's pressed for time and money , we work together where actually it can be justified by the results .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O,,,,,
poison pill,a strategy or action taken to make a situation or company unattractive to an unwelcome takeover.,Yeah the the way it was put to me was that the Pembroke Hall would be part of the deal er but that the Isle of Man company was not particularly enthusiastic about having the er the the the poison pill of the Pembroke Hall wrapped in with the deal cos it does not make money .,EPIE,0,"frozenset({'pill', 'poison'})",poison pill,a strategy or action taken to make a situation or company unattractive to an unwelcome takeover.,Yeah the the way it was put to me was that the Pembroke Hall would be part of the deal er but that the Isle of Man company was not particularly enthusiastic about having the er the the the poison pill of the Pembroke Hall wrapped in with the deal cos it does not make money .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O,,,,,
poetry in motion,something that is graceful and beautiful in its execution.,"I am just a humble supporter who , though never blessed with the gift myself , loves the artistry and beauty of football and the poetry in motion displayed by the Athletico forward line .",EPIE,0,"frozenset({'motion', 'poetri'})",poetry in motion,something that is graceful and beautiful in its execution.,"I am just a humble supporter who , though never blessed with the gift myself , loves the artistry and beauty of football and the poetry in motion displayed by the Athletico forward line .",O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O,,,,,
poetic justice,"when someone receives the consequences of their own actions, often in a way that is fitting or appropriate.","With his by now legendary disregard for anything current which was not The Smiths or his personal protégé ( the superb Easterhouse fell in his favour at this time ) , Morrissey performed ceremonial destruction with Sade , Style Council , Ultravox , Carmel , Genesis , Marilyn and , ironically enough , Blue Rondo who by this time were probably bragging about how The Smiths once supported them ; poetic justice indeed .",EPIE,0,"frozenset({'justic', 'poetic'})",poetic justice,"when someone receives the consequences of their own actions, often in a way that is fitting or appropriate.","With his by now legendary disregard for anything current which was not The Smiths or his personal protégé ( the superb Easterhouse fell in his favour at this time ) , Morrissey performed ceremonial destruction with Sade , Style Council , Ultravox , Carmel , Genesis , Marilyn and , ironically enough , Blue Rondo who by this time were probably bragging about how The Smiths once supported them ; poetic justice indeed .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O,,,,,
play safe,avoid taking risks or making decisions that could have negative consequences.,"But when it comes to the ecstatically energised and demonstrative music , he either plays safe with tempi and tones down orchestral brilliance or , more alarmingly , decides to add a wealth of extra cymbal ( suspended and clashed ) , presumably in the misguided notion that more emphasis is required .",EPIE,0,"frozenset({'safe', 'play'})",play safe,avoid taking risks or making decisions that could have negative consequences.,"But when it comes to the ecstatically energised and demonstrative music , he either plays safe with tempi and tones down orchestral brilliance or , more alarmingly , decides to add a wealth of extra cymbal ( suspended and clashed ) , presumably in the misguided notion that more emphasis is required .",O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
play devil's advocate,to argue a position or opinion that one does not necessarily agree with in order to explore all sides of an issue.,"You can always defer to the "" off-stage "" higher authority ( which means you 're less likely to have a revolution on your hands ! ) ; you can seek assistance ; you can still play Devil 's Advocate ; you can co-ordinate ; bring information and , importantly , transfer responsibility to the children .",EPIE,0,"frozenset({'advoc', 'play', 'devil'})",play devil's advocate,to argue a position or opinion that one does not necessarily agree with in order to explore all sides of an issue.,"You can always defer to the "" off-stage "" higher authority ( which means you 're less likely to have a revolution on your hands ! ) ; you can seek assistance ; you can still play Devil 's Advocate ; you can co-ordinate ; bring information and , importantly , transfer responsibility to the children .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O,,,,,
play ball,cooperate and agree to do something.,"SIR — Just what thought-processes are assumed to make the floating voter more inclined to support party leaders whom he has seen flanked by what the newspapers call ‘ glitterati ’ — celebrities , that is , of stage , screen , pop concerts , running , jumping and playing ball games ?",EPIE,0,"frozenset({'play', 'ball'})",play ball,cooperate and agree to do something.,"SIR — Just what thought-processes are assumed to make the floating voter more inclined to support party leaders whom he has seen flanked by what the newspapers call ‘ glitterati ’ — celebrities , that is , of stage , screen , pop concerts , running , jumping and playing ball games ?",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O,,,,,
play away from home,engage in activities outside of one's usual environment or comfort zone.,‘ Hateley is also the type you want to have on your side when you play away from home in Europe because of the way he works opposing defenders as an attacker and prevents them from properly clearing their lines as well . ’,EPIE,0,"frozenset({'play', 'home', 'away'})",play away from home,engage in activities outside of one's usual environment or comfort zone.,‘ Hateley is also the type you want to have on your side when you play away from home in Europe because of the way he works opposing defenders as an attacker and prevents them from properly clearing their lines as well . ’,O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
play [pron] joke,trick someone in a playful way.,"He was a young er man er who was just er a young boy , he was promoting records and trying to get into the business and , and er he remembered me well , and when they found out that I was not easy to , to reach , no-one knew where I was , he was able to track me down and when he told me that er I had this big hit record , I thought it was someone playing a joke on me , because here in America , they have a television show called The Blue Bird , where they play jokes on people and , and tell them things , and then they videotape you and then there 's a funny reaction that this is a big television show .",EPIE,0,"frozenset({'joke', 'play'})",play [pron] joke,trick someone in a playful way.,"He was a young er man er who was just er a young boy , he was promoting records and trying to get into the business and , and er he remembered me well , and when they found out that I was not easy to , to reach , no-one knew where I was , he was able to track me down and when he told me that er I had this big hit record , I thought it was someone playing a joke on me , because here in America , they have a television show called The Blue Bird , where they play jokes on people and , and tell them things , and then they videotape you and then there 's a funny reaction that this is a big television show .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
play [pron] field,date multiple people at the same time without committing to any one person.,"A man like Edouard de Chavigny liked to play the field , so much was understood , but when it came to choosing a wife , well , then the qualifications required were somewhat different .",EPIE,0,"frozenset({'play', 'field'})",play [pron] field,date multiple people at the same time without committing to any one person.,"A man like Edouard de Chavigny liked to play the field , so much was understood , but when it came to choosing a wife , well , then the qualifications required were somewhat different .",O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
salt of the earth,"a person who is honest, hardworking, and reliable.","so she said I , I went in and I said to Geraldine I 'm going I owe you any bloody money take the bugger out me wages , she says I am not having people that I like being stabbed like that by people like that , she said she is not worth the salt of the earth , she 's the salt of the earth she said with people like that pointing to Jenny and Jane , no way , she said and I 'm going with my mates , I turned round and the next thing Janet and Janet and Barbara in there , when we got up the pub at twelve o'clock , course we were all having sandwiches me and Pam got the , me and er Barb got there , then Pam come in then a few more come and erm then the plumber and all that come in with them and I said oh girls we never clocked out , so I said oh well I 'm going to have to take my key back to Steve , burst out laughing , so I said oh no I said why do not we have a key cracking competition so of course that 's what we did we all took our keys out of our bag and we went ready for she 's a jolly good ready , steady , fellow , for she 's go and we cracked these ruddy keys and shoved them up in the air",EPIE,0,"frozenset({'earth', 'salt'})",salt of the earth,"a person who is honest, hardworking, and reliable.","so she said I , I went in and I said to Geraldine I 'm going I owe you any bloody money take the bugger out me wages , she says I am not having people that I like being stabbed like that by people like that , she said she is not worth the salt of the earth , she 's the salt of the earth she said with people like that pointing to Jenny and Jane , no way , she said and I 'm going with my mates , I turned round and the next thing Janet and Janet and Barbara in there , when we got up the pub at twelve o'clock , course we were all having sandwiches me and Pam got the , me and er Barb got there , then Pam come in then a few more come and erm then the plumber and all that come in with them and I said oh girls we never clocked out , so I said oh well I 'm going to have to take my key back to Steve , burst out laughing , so I said oh no I said why do not we have a key cracking competition so of course that 's what we did we all took our keys out of our bag and we went ready for she 's a jolly good ready , steady , fellow , for she 's go and we cracked these ruddy keys and shoved them up in the air",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
sail close to [pron] wind,"take risks, act dangerously, or do something that is close to the edge of what is acceptable.","Osnafeld is a British subject , a financier of sorts who has sailed very close to the wind on a number of occasions , but there has never been enough evidence to proceed against him .",EPIE,0,"frozenset({'sail', 'close', 'wind'})",sail close to [pron] wind,"take risks, act dangerously, or do something that is close to the edge of what is acceptable.","Osnafeld is a British subject , a financier of sorts who has sailed very close to the wind on a number of occasions , but there has never been enough evidence to proceed against him .",O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O,,,,,
safety in numbers,being in a group makes one feel more secure and protected.,"Well I think much as I welcome the university proceeding down the road that it is , erm I have a very , very strong feeling that change is going to come from the bottom up , and I think that it will come from the bottom up in those colleges , like New College , who have got an increasingly large number of women fellows who feel that , you know , there 's safety in numbers and we can start to do something about it .",EPIE,0,"frozenset({'safeti', 'number'})",safety in numbers,being in a group makes one feel more secure and protected.,"Well I think much as I welcome the university proceeding down the road that it is , erm I have a very , very strong feeling that change is going to come from the bottom up , and I think that it will come from the bottom up in those colleges , like New College , who have got an increasingly large number of women fellows who feel that , you know , there 's safety in numbers and we can start to do something about it .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O,,,,,
