idiom,meaning,example,source,dupl,tag,idiom_set,idiom_EPIE,meaning_EPIE,example_EPIE,idiom_dictionary,meaning_dictionary,example_dictionary,idiom_bookcorpus,meaning_bookcorpus
sit tight,wait patiently,"Just relax and sit tight, we'll get the problem sorted for you.",dictionary,1,,"frozenset({'sit', 'tight'})",sit tight,wait patiently and do nothing.,She forced herself to sit tight and retain a noncommittal but not overtly offensive expression while striped shirt talked about unit trusts and pink tie came in once or twice with deferential follow-ups or corrections .,sit tight,wait patiently,"Just relax and sit tight, we'll get the problem sorted for you.",,
sleep on,postpone making a choice until the following day.,Please don't sleep on that talent. It will take you places!,dictionary,1,,frozenset({'sleep'}),sleep on [pron],think about something for a while before making a decision.,"Leave the haggling over the price to your agent and take his advice on the final choice of buyer , who should be well advanced in his own sale ; but do not be in any hurry to settle the matter without at least sleeping on it and allowing for second thoughts all round .",sleep on,postpone making a choice until the following day.,Please don't sleep on that talent. It will take you places!,sleep on it,to take time to think something over before making a decision
self-made man,someone who achieves the success with his own hark work,The governor is a self-made man and has had properties around the city even before he joined politics.,dictionary,1,,"frozenset({'man', 'made', 'self'})",self-made man,a person who has achieved success and wealth through their own hard work and determination.,"When they first met for real the fierce , cold , autocratic , heroically self-made man 's beady eye and cockily addressed him as ‘ Washy ’ to his face , well , petrification set in , sometimes terminal .",self-made man,someone who achieves the success with his own hark work,The governor is a self-made man and has had properties around the city even before he joined politics.,,
see eye to eye,to agree fully with someone,"Though they work as a team, they often don't see eye to eye on most issues.",dictionary,1,,"frozenset({'eye', 'see'})",see eye to eye,"agree on something, have the same opinion.","He said he could not serve on that sub-committeee ( consisting of Brian Close , Bob Appleyard , Phil Sharpe , Bryan Stott , Tony Woodhouse ) ‘ when I do not see eye to eye with them on any subject ’ .",see eye to eye,to agree fully with someone,"Though they work as a team, they often don't see eye to eye on most issues.",,
smell a rat,sense that something is not right,"When he made that offer, I smelt a rat. It sounded too good to be true.",dictionary,1,,"frozenset({'rat', 'smell'})",smell [pron] rat,suspect that someone is up to something dishonest or untrustworthy.,"Niki smelled the rat and said unless his driving contract were honoured , he would move to McLaren .",smell a rat,sense that something is not right,"When he made that offer, I smelt a rat. It sounded too good to be true.",,
take the bull by the horns,decisively deal with a difficult or dangerous situation,Jone decided to take the bull by the horns and organise things for himself.,dictionary,1,,"frozenset({'bull', 'take', 'horn'})",take [pron] bull by [pron] horns,face a difficult situation head-on and with determination.,"I do realize that there are problems in finding suitable sites and that possibly that costs would be involved in setting them up , but for the reasons I have outlined we should take the bull by the horns and make an effort to find sites and budget for the costs involved so the benefits can be felt as soon as possible .",take the bull by the horns,decisively deal with a difficult or dangerous situation,Jone decided to take the bull by the horns and organise things for himself.,,
strike a chord,to trigger a strong memory or feeling based on which there can be a mutual interest,The two immediately struck a note on the basis of the fact that they follow the same faith. This has led to a beautiful marriage and a lifelong companionship.,dictionary,1,,"frozenset({'chord', 'strike'})",strike [pron] chord,resonate with someone emotionally.,"His signal achievement at Chanel has been to take all the familiar Chanel ideas , the neat , gilt buttoned suit , the chain handbags , the bows , the camellias , throw them up in the air , alter their proportions , and re-make the look invented by Coco for Twenties flappers , so that it strikes a new chord .",strike a chord,to trigger a strong memory or feeling based on which there can be a mutual interest,The two immediately struck a note on the basis of the fact that they follow the same faith. This has led to a beautiful marriage and a lifelong companionship.,,
stop by,to meet someone or go somewhere in a brief and informal manner,The gardener stopped by the nursery to get some soil for his garden.,dictionary,1,,frozenset({'stop'}),stop by,visit someone or a place for a short period of time.,"James Thorne 's discussion of the long-standing debate over the interpretation of Robert Frost 's "" stopping by woods "" is instructive precisely because , among other things , it recognises the limitations of a stylistics that aims , or claims , to be objective and exhaustive , and because it highlights the need to be selective in description and open to the coexistence of multiple meanings in interpretation .",stop by,to meet someone or go somewhere in a brief and informal manner,The gardener stopped by the nursery to get some soil for his garden.,,
stir up a hornet's nest,to create trouble,"When the auditor asked for more shreds evidence, the treasury department stirred up a Hornet's nest because they did not have more. This is how the fraud was actually revealed.",dictionary,1,,"frozenset({'up', 'nest', 'hornet', 'stir'})",stir up [pron] hornets' nest,do something that will cause a lot of trouble or anger.,"As might be expected , the move has stirred up a hornet 's nest of academic fear and loathing against USL and has created a cadre of naive tech weenies ready to form a lynch mob .",stir up a hornet's nest,to create trouble,"When the auditor asked for more shreds evidence, the treasury department stirred up a Hornet's nest because they did not have more. This is how the fraud was actually revealed.",,
stiff upper lip,to be brave in the face of adversity,"Throughout the funeral of her parents, Mary kept a stiff upper lip.",dictionary,1,,"frozenset({'upper', 'stiff', 'lip'})",stiff upper lip,remain calm and composed in the face of adversity.,"All her life she had played it safe , done what others expected of her , hidden her emotions behind the stiff upper lip the Colonel was so fond of , played the straight bat he always wanted her to .",stiff upper lip,to be brave in the face of adversity,"Throughout the funeral of her parents, Mary kept a stiff upper lip.",,
steal thunder,take credit for someone else's work,"They all worked together on the project, but while submitting it, one of them stole the thunder.",dictionary,1,,"frozenset({'steal', 'thunder'})",steal [pron] thunder,take the credit or recognition for something that someone else did.,"Vivienne Peters , chief executive of the Telecommunications Users Association , believes that Mercury 's reticence may not be because of problems with the trial , but because it wants to keep the plan under wraps in the fear that British Telecommunications Plc will try to steal its thunder by pre-launching a similar service .",steal thunder,take credit for someone else's work,"They all worked together on the project, but while submitting it, one of them stole the thunder.",,
start from scratch,to start doing something over from the beginning,The class has started the lesson from scratch to be able to understand the basics in a better manner.,dictionary,1,,"frozenset({'start', 'scratch'})",start from scratch,"begin a task or project from the beginning, without using any existing resources or materials.","Lengthy booklists are expensive and dull : with some time and effort it will be possible for you to build up a personal library and reference system which is individually geared to your particular needs , and one which helps you to build on your existing knowledge rather than attempting to start again from scratch .",start from scratch,to start doing something over from the beginning,The class has started the lesson from scratch to be able to understand the basics in a better manner.,,
spitting image,look exactly like someone else,My sister is the spitting image of my mother.,dictionary,1,,"frozenset({'spit', 'imag'})",spitting image,exact likeness or replica of someone or something.,"I will tell you another thing , whatever the Spitting Images say about John he pays his money , he does not grab his bermuda shorts and a wristwatch and fly off to the sunny islands .",spitting image,look exactly like someone else,My sister is the spitting image of my mother.,,
spill the beans,disclose a secret or reveal something prematurely,"Lauren finally spilled the beans. She has been promoted to manager, and it's going to upset some people in the office.",dictionary,1,,"frozenset({'spill', 'bean'})",spill [pron] beans,reveal a secret or private information.,"Well , in the nick of time they realized that all that Anna was wailing about was some French floozy the prince was not even particularly attached to ( a crony of Anna 's , a censorious old toad who lived in hotels and got everything half wrong , had spilt the beans to her ) .",spill the beans,disclose a secret or reveal something prematurely,"Lauren finally spilled the beans. She has been promoted to manager, and it's going to upset some people in the office.",spill the beans,to expose a secret
son of a gun,to address someone in an affectionate way,The son of a gun managed to pass all the subjects this time along! I am so happy!,dictionary,1,,"frozenset({'son', 'gun'})",son of a gun,an expression of surprise or admiration.,"This torture screen is a tough son of a gun , but if you follow these instructions you will be fine .",son of a gun,to address someone in an affectionate way,The son of a gun managed to pass all the subjects this time along! I am so happy!,,
so far so good,progress has been satisfactory up to now,"Thanks for asking; so far, so good.",dictionary,1,,"frozenset({'far', 'good'})",so far so good,things are going well up to this point.,"I looked through her bright red glasses into her light grey eyes and said , ‘ Well , so far so good , certainly , but let's not count our — ’",so far so good,progress has been satisfactory up to now,"Thanks for asking; so far, so good.",,
snow under,to bury or cover something or somebody in the snow (Literal meaning),I feel snowed under with all the work my boss keeps throwing my way.,dictionary,1,,"frozenset({'snow', 'under'})",snowed under,overwhelmed with work or responsibilities.,"She would come back to camp after a day off , call in at the office to see what was going on , and if we were all running around like headless chickens , snowed under with miles of paper from the teleprinter , and an irate Wing CO was tearing his hair out because the visibility had suddenly slumped from three miles to fifty yards and all his boys were up there somewhere running out of fuel , Rosemary would calmly take over the plotting while one of us rushed out to the screen to read the instruments , or go into the screaming teleprinter to shut off the insistent ear-piercing bell which was reminding everybody within hearing that we were late in sending in the hourly observation .",snow under,to bury or cover something or somebody in the snow (Literal meaning),I feel snowed under with all the work my boss keeps throwing my way.,,
save face,To be able to hide public disgrace by taking some action.,"I managed to save face by being able to speak about the topic, the presentation that was made was really not good.",dictionary,1,,"frozenset({'face', 'save'})",save face,to maintain one's dignity or reputation in a difficult or embarrassing situation.,"Finally , our heartfelt thanks to the Haç and Manchester 's equally fine Most Excellent posse , whose joint party for the SAVE FACE fund last month raised a stunning £2,500 — more details of this and other Ligger 's Week events on page 8",save face,To be able to hide public disgrace by taking some action.,"I managed to save face by being able to speak about the topic, the presentation that was made was really not good.",,
salad days,"the time of youth, innocence and inexperience","They had met in their salad days and had fallen in love. Naturally, the union did not last long and they separated a few years later.",dictionary,1,,"frozenset({'day', 'salad'})",salad days,"a period of youthful innocence, inexperience, and enthusiasm.","Robert Rauschenberg ( whose newest work , ‘ Bicycloids ’ , ‘ Urban Bourbons ’ and ‘ Eco-Echo ’ is at Knoedler from 8 May to 4 June ) would , in his salad days , make ‘ combines ’ out of whatever junk came to hand during an evening 's walk in the streets .",salad days,"the time of youth, innocence and inexperience","They had met in their salad days and had fallen in love. Naturally, the union did not last long and they separated a few years later.",,
rabbit hole,mentally go somewhere surreal or strange,Peter is having another one of his parties on Friday. Time to go down the rabbit hole again.,dictionary,1,,"frozenset({'hole', 'rabbit'})",rabbit hole,a situation or activity that is difficult to escape from or that leads to a complex and confusing situation.,"No doubt other Caldwells , too , inhabited every shade , every trunk , rabbit hole and rut of Sleet .",rabbit hole,mentally go somewhere surreal or strange,Peter is having another one of his parties on Friday. Time to go down the rabbit hole again.,,
quantum leap,to make a significant improvement or dramatic advancement,The store has taken a quantum leap from where it was and seems to be headed strongly in the right direction.,dictionary,1,,"frozenset({'leap', 'quantum'})",quantum leap,"a sudden, dramatic, and significant advancement or improvement.","A QUANTUM leap ahead of Grace Bros ' Mr Humphries , Thames ' brave portrayal of real-life ancient closet-free homosexual Quentin Crisp in a sensitive , sympathetic , and , more importantly , amusing manner was a TV breakthrough .",quantum leap,to make a significant improvement or dramatic advancement,The store has taken a quantum leap from where it was and seems to be headed strongly in the right direction.,,
quality time,well spent time,It had been so long since we went on a vacation but this last month we decided to spend quality time with the family regardless.,dictionary,1,,"frozenset({'qualiti', 'time'})",quality time,time spent with someone that is focused on creating a strong bond and connection.,"You know , I was on the phone to a customer for fifteen to twenty minutes because they 'd had a bad experience and I was actually making an appointment for Roy to go in and that twenty minutes is a long time , and I think really if anything , it 's just brought to me really , , how little time sometimes , it 's not always the case , it does vary , that , depending on the incoming calls , depending if you have got got through the emerging paperwork for whatever reason , how little quality time perhaps you do actually spend on the phone , making outgoing calls to sell .",quality time,well spent time,It had been so long since we went on a vacation but this last month we decided to spend quality time with the family regardless.,,
put the cart before the horse,to do things in the wrong order or sequence,Aren't you putting the cart before the horse in decorating your new office? You haven't even been awarded the job yet.,dictionary,1,,"frozenset({'hors', 'cart', 'befor', 'put'})",put [pron] cart before [pron] horse,do things in the wrong order or prioritize the wrong things.,Exclusive possession as a concept for identifying tenancies does not drive a coach and horses through the Rent Acts but rather puts the cart before the horse : a phrase used to describe the collective rights of the tenant is inappropriate as a test of whether a tenancy has in fact been created .,put the cart before the horse,to do things in the wrong order or sequence,Aren't you putting the cart before the horse in decorating your new office? You haven't even been awarded the job yet.,put the cart before the horse,doing things in a wrong manner
pull yourself together,to calm down and behave normally after an upsetting event,"I know its difficult to get over your loss, but try to pull yourself together and get on with life.",dictionary,1,,"frozenset({'pull', 'togeth'})",pull yourself together,regain control of your emotions and behavior.,"her husband getting killed is the end of the world and there 's , there 's nothing else sort of thing and they just it 's very sad really , I mean if you 're a young person you can quickly pull yourself together and realize that",pull yourself together,to calm down and behave normally after an upsetting event,"I know its difficult to get over your loss, but try to pull yourself together and get on with life.",,
pull the wool over eyes,to deceive someone,I'm not as dumb as you think; don't try to pull the wool over my eyes.,dictionary,1,,"frozenset({'pull', 'eye', 'wool'})",pull [pron] wool over [pron] eyes,deceive someone by making them believe something that is not true.,It 's hard with family to pull the wool over their eyes emotionally because they have seen you go through all sorts of things when you are growing up . ’,pull the wool over eyes,to deceive someone,I'm not as dumb as you think; don't try to pull the wool over my eyes.,,
pull the plug,to kill or discontinue,The doctors decided to pull the plug on Uncle Bill when he stopped responding to all the treatment courses that they took.,dictionary,1,,"frozenset({'pull', 'plug'})",pull [pron] plug,end or stop something abruptly.,"With less than an hour of daylight remaining , he carried a flashlight — not that it would be of much help with the rain cascading down as if the Maya Rain God had corralled every raincloud in Central America and pulled the plugs out .",pull the plug,to kill or discontinue,The doctors decided to pull the plug on Uncle Bill when he stopped responding to all the treatment courses that they took.,pull the plug,prevent something from happening or continuing
pull leg,tease someone,Don't worry about what he said. He's just pulling your leg.,dictionary,1,,"frozenset({'leg', 'pull'})",pull [pron] leg,tease someone in a playful way.,The other children pulled his leg and generally teased him about what he had seen but the child strenuously defended his story ; somehow the fun had gone out of the adventure and they decided to return home .,pull leg,tease someone,Don't worry about what he said. He's just pulling your leg.,,
prick up ears,to start paying attention,The teacher asked her student to prick up his ears when he kept on disturbing the class with silly jokes.,dictionary,1,,"frozenset({'ear', 'prick', 'up'})",prick up [pron] ears,pay close attention to something.,"But what could be worthier of my human intelligence than to discriminate between and interrelate the parts of a painting or musical composition with the concentration of a mathematician solving a problem , yet respond to them with the immediacy of a dog pricking up its ears ?",prick up ears,to start paying attention,The teacher asked her student to prick up his ears when he kept on disturbing the class with silly jokes.,,
practice makes perfect,to keep repeating something over and over so that one can get good at that activity,The most important thing about getting better at playing a sport is to keep playing it. There is nothing like enough practice and eventually it is the practice that will make you perfect.,dictionary,1,,"frozenset({'perfect', 'practic', 'make'})",practice makes perfect,repeated effort and practice leads to mastery of a skill or task.,"Now , the last thing I want to say , because I know we , our guest is here , and so presumably has collected his thoughts and is able to leap into the breach , the last thing I want to say on this is , writing articles , writing pieces , is a game , another area where practice makes perfect .",practice makes perfect,to keep repeating something over and over so that one can get good at that activity,The most important thing about getting better at playing a sport is to keep playing it. There is nothing like enough practice and eventually it is the practice that will make you perfect.,,
pop the question,propose marriage to someone,"I heard you had a special date with Tom yesterday; so did he pop the question, then?",dictionary,1,,"frozenset({'question', 'pop'})",pop [pron] question,ask someone to marry you.,"As they circled over Durham Cathedral , love-struck Niall popped the question to Carol , who was celebrating her 38th birthday .",pop the question,propose marriage to someone,"I heard you had a special date with Tom yesterday; so did he pop the question, then?",,
play cat and mouse,to play with or tease someone,The cops do not like playing cat and mouse games with the culprits before catching them.,dictionary,1,,"frozenset({'mous', 'cat', 'play'})",play cat and mouse,"to engage in a game of pursuit, where one person is trying to catch the other.","If he did , he was in an enviable position to play cat and mouse with her for the duration of their stay .",play cat and mouse,to play with or tease someone,The cops do not like playing cat and mouse games with the culprits before catching them.,,
pitch in,join in and help with something,On Jane's birthday her friends decided to pitch in and have a surprise party for her.,dictionary,1,,frozenset({'pitch'}),pitch in,contribute to a task or effort.,"But Keith Fletcher , nursing a 2-0 defeat in his first Test series as England manager , was at pains to point out one of the root causes of the problems faced by Gooch 's side : the lack of dry , turning pitches in the County Championship .",pitch in,join in and help with something,On Jane's birthday her friends decided to pitch in and have a surprise party for her.,,
race against time,effort to do something as soon as possible,The completion of this project was honestly a race against time. The client needed to have filed the documents in the court by today at any cost.,dictionary,1,,"frozenset({'race', 'time', 'against'})",race against time,try to do something quickly before a deadline.,"I suppose there must be some records in a dusty file somewhere of how often the ground crews lost the race against time and had the aircraft and bombs blow up in front of them , but as far as I can recollect this never happened at Bourn , at least not while I was there , and we were thankful to get through each busy night without catastrophes of that kind .",race against time,effort to do something as soon as possible,The completion of this project was honestly a race against time. The client needed to have filed the documents in the court by today at any cost.,,
take a hike,go away,We're all sick of you saying the same things over and over again. Why don't you just take a hike?,dictionary,1,,"frozenset({'take', 'hike'})",take [pron] hike,tell someone to go away or leave.,"While all sex therapists insist on the need for emotional involvement to sustain good sex , there are some couples whose sex life takes a hike because they have become too close .",take a hike,go away,We're all sick of you saying the same things over and over again. Why don't you just take a hike?,,
rack your brains,put great effort to think of or remember something,I have been racking my brain all day trying to think of place where I kept my car keys.,dictionary,1,,"frozenset({'rack', 'brain'})",rack [pron] brain,think hard and long about something in order to come up with a solution.,"They had no level of communication at all , and a bus ride with him was an ordeal rather than a pleasure , for she had to rack her brains to reply to his remarks about the weather , the town 's football teams , the cinema , his headmaster , and so forth , but nevertheless when he wrote her a note saying :",rack your brains,put great effort to think of or remember something,I have been racking my brain all day trying to think of place where I kept my car keys.,,
rain or shine,Doing something regularly regardless of the circumstances.,"My brother is an early riser, but he runs at sunrise, come rain or shine.",dictionary,1,,"frozenset({'shine', 'rain'})",rain or shine,"no matter what the conditions, the activity will take place.","Like Hannele , nobody who was nobody had any doubts that Britain and her Empire would be victorious : only the grey men in their boiled shirts and wing collars , who strode the streets of Westminster in rain or shine with black hat and rolled umbrella , were afraid .",rain or shine,Doing something regularly regardless of the circumstances.,"My brother is an early riser, but he runs at sunrise, come rain or shine.",,
sacred cow,something that people believe or accept as true without questioning it.,The journalist esteemed too many sacred cows.,dictionary,1,,"frozenset({'sacr', 'cow'})",sacred cow,"an idea, institution, or person that is treated with too much respect and not allowed to be criticized or changed.","The three most probable sources of delay will by now have passed : obtaining a local land charges certificate of search ( unless with your client 's approval you have sacrificed this sacred cow for a personal search ) ; the buyer obtaining a mortgage advance ; and the survey report , which both the buyer and the buyer 's mortgagee will have required .",sacred cow,something that people believe or accept as true without questioning it.,The journalist esteemed too many sacred cows.,,
run out of steam,to lose the effect that something once had,The project ran out of steam quite early on and then for it to take of was obviously quite difficult.,dictionary,1,,"frozenset({'out', 'run', 'steam'})",run out of steam,lose energy or enthusiasm for something.,"In a sign that the rebound may be running out of steam , the Fed disclosed last night that the widely watched M2 measure of money supply , a barometer of economic activity , plummeted $7.1 billion in the week ending March .",run out of steam,to lose the effect that something once had,The project ran out of steam quite early on and then for it to take of was obviously quite difficult.,,
rule of thumb,a principle that is kept to,"As a rule of thumb, I do not start a new project on Fridays.",dictionary,1,,"frozenset({'rule', 'thumb'})",rule of thumb,"a general principle or guideline, rather than an exact formula.","how to distinguish a statistically significant coefficient , right , rule of thumb is that the T ratio has to be greater than two with absolute value right and the figures in square brackets next to the T ratios tell us the exact level of significance , right , er of that coefficient , right , so the incoming elasticity of demand is statistically significant from zero only at the eighty five percent level , a correspondence of fifteen percent significance that incoming the price elasticity demand , highly significant , right , significance level as given by the probabil by the probability er unit in square brackets , the timing level therefore we could be very highly confident about that coefficient okay .",rule of thumb,a principle that is kept to,"As a rule of thumb, I do not start a new project on Fridays.",,
round the clock,continuously or interrupted,The counselor has been working round the clock with patients. His dedication has been acknowledged by the hospital through this award.,dictionary,1,,"frozenset({'clock', 'round'})",round the clock,"continuously, without interruption, 24 hours a day.","Nevertheless , developing and maintaining standards of high quality practice in mental health services , especially those providing ‘ round the clock ’ care in hospitals and residential homes , is an uphill struggle and people who depend on others to provide the basic necessities of life for most of their lives are necessarily vulnerable as they are not in a position to complain effectively , ‘ vote with their feet ’ or refuse to be consumers of a bad service .",round the clock,continuously or interrupted,The counselor has been working round the clock with patients. His dedication has been acknowledged by the hospital through this award.,,
ring fencing,to create a separate legal entity through the way of off-shore accounting in order to protect some assets in a corporation,It was the ring fencing that protected this company from an almost certain doom.,dictionary,1,,"frozenset({'ring', 'fenc'})",ring fencing,protecting something from external interference or risk by isolating it.,"interest tax relief , it 's M I D A S right , so let's not start talking about the benefit of public sector housing and to show the financial illiteracy of of of what 's actually been proposed if you understand the government regulation about the ring fencing o of of of the housing revenue account and and the way in which housing benefit is now having to be subsidised by those other council house tenants then what 's actually going to happen when your poor people inhabit those houses , those public sector houses and they need the housing benefit that David 's been talking about .",ring fencing,to create a separate legal entity through the way of off-shore accounting in order to protect some assets in a corporation,It was the ring fencing that protected this company from an almost certain doom.,,
ring a bell,something that sounds familiar,That name rings a bell but I cannot recall where I have heard it before.,dictionary,1,,"frozenset({'bell', 'ring'})",ring [pron] bell,remind someone of something they should know.,"With me that rings a warning bell , since it 's one of those suspicious New Age buzzwords that always portend a scam or screwball notion such as crystal therapy or out-of-body travel .",ring a bell,something that sounds familiar,That name rings a bell but I cannot recall where I have heard it before.,,
right as rain,to imply that everything is satisfactory.,He was right as rain after a few days in bed after getting injured.,dictionary,1,,"frozenset({'right', 'rain'})",right as rain,in perfect condition or health.,"At first she kept insisting she would be right as rain in the morning , but after the blackbird had heralded in three more mornings , it was clear to both mother and daughter that Martha 's grip on life was weakening .",right as rain,to imply that everything is satisfactory.,He was right as rain after a few days in bed after getting injured.,,
riding shotgun,to provide active aid to someone,This politician is a sitting shotgun for his brother's company. It is sad to see that he is using his political influence for his own purposes.,dictionary,1,,"frozenset({'shotgun', 'ride'})",ride shotgun,to sit in the front passenger seat of a car.,"It took four of them to lift him on to a trolley and take him away for observation , with the police riding shotgun at his side , and then things gradually returned to normal — or as normal as they could given the extraordinary circumstances .",riding shotgun,to provide active aid to someone,This politician is a sitting shotgun for his brother's company. It is sad to see that he is using his political influence for his own purposes.,,
red tape,over excessive or time-consuming rules and bureaucracy that hinder progress,"She could have finished the project last week, but it was impossible to cut through all the red tape.",dictionary,1,,"frozenset({'red', 'tape'})",red tape,excessive bureaucracy and regulations that make it difficult to get something done.,"Opening the two-day conference , John Gummer renewed his attack on form filling and red tape inherent in the reformed CAP and again declared his opposition to the development of supply controls , such as compulsory land set-aside and the extension of the quota system .",red tape,over excessive or time-consuming rules and bureaucracy that hinder progress,"She could have finished the project last week, but it was impossible to cut through all the red tape.",,
red letter day,a day of significance,The day that I started my journey towards my real career was a red-letter day for me.,dictionary,1,,"frozenset({'red', 'day', 'letter'})",red letter day,"a special or important day, usually one that is remembered or celebrated.","He beat Martin Molony 's record of 92 wins in 1950 , that red letter day arriving on a Sunday in November when he rode the Ulster-owned Atone to a victory at Fairyhouse .",red letter day,a day of significance,The day that I started my journey towards my real career was a red-letter day for me.,,
red-handed,doing or about to do something illegal or wrong,They caught him red-handed with his fingerprints all over the murder weapon.,dictionary,1,,"frozenset({'red', 'hand'})",red handed,caught in the act of doing something wrong.,"The general practice is that a discount of up to one third should be allowed from a sentence but may be limited when the protection of the public is required , when there is a ‘ tactical ’ plea , or when an offender is caught red handed .",red-handed,doing or about to do something illegal or wrong,They caught him red-handed with his fingerprints all over the murder weapon.,,
read the riot act,warning someone by scolding them to improve their behavior,She'd been bearing bad behavior from her employee and thought it was time to read him the riot act.,dictionary,1,,"frozenset({'act', 'riot', 'read'})",read [pron] riot act,scold someone severely for their misbehavior.,"Someone suggested he should go out and read the Riot Act , but he declined .",read the riot act,warning someone by scolding them to improve their behavior,She'd been bearing bad behavior from her employee and thought it was time to read him the riot act.,,
ray of sunshine,someone or something that brings hope into the lives of others,Amid the sorrow her son had been a real ray of sunshine.,dictionary,1,,"frozenset({'sunshin', 'ray'})",ray of sunshine,a person who brings joy and happiness to a situation.,"We are offering this fabulous prize in partnership with the Birmingham Midshires building society , who are also bringing a ray of sunshine to the mortgage market with their special 8.24 per cent Super Discount mortgage .",ray of sunshine,someone or something that brings hope into the lives of others,Amid the sorrow her son had been a real ray of sunshine.,,
rat race,"to be following a routine that is both, exhaustive as well as competitive",The man has been in a rat race all his life. No wonder he is enjoying his retired life to the fullest.,dictionary,1,,"frozenset({'race', 'rat'})",rat race,"a stressful, unfulfilling lifestyle in which one is constantly competing with others to achieve success.",Councillor Fraser to all residents in Muirend Avenue and Viewfield Road re the ever increasing number of vehicles using Muirend Avenue and Viewfield Road as a ‘ through route ’ or ‘ rat race ’ between Lanark Road and Wester Hailes .,rat race,"to be following a routine that is both, exhaustive as well as competitive",The man has been in a rat race all his life. No wonder he is enjoying his retired life to the fullest.,,
rags to riches,go from being very poor to being very wealthy,He went from rags to riches after his roadside performances were noticed by a famous movie maker and he was offered roles in his movies.,dictionary,1,,"frozenset({'rag', 'rich'})",rags to riches,a phrase used to describe a person who has gone from having nothing to having great wealth and success.,"This charming "" rags to riches "" story is packed full of song , dance , rib-tickling slap-stick , wicked , wicked baddies , outrageous dames , a thigh slapping , high-heeled hero , a sweet and beautiful leading lady and plenty of fun & laughter , plus live white ponies !",rags to riches,go from being very poor to being very wealthy,He went from rags to riches after his roadside performances were noticed by a famous movie maker and he was offered roles in his movies.,,
take breath away,astonish; surprise; amaze or astound somebody,The ring literally took my breath away. There was a monster of a diamond on it.,dictionary,1,,"frozenset({'away', 'take', 'breath'})",take breath away,to be so amazing or shocking that it causes someone to be speechless.,"Quinn is represented by several heads of historical figures , modelled in bread and cast in bronze or lead ; ‘ Self ’ , the celebrated self-portrait created from eight pints of the artist 's own blood and displayed in a refrigeration unit ; and ‘ You take my breath away ’ , an empty latex cast of the artist 's body suspended from the ceiling like the skin of St Bartholomew .",take breath away,astonish; surprise; amaze or astound somebody,The ring literally took my breath away. There was a monster of a diamond on it.,,
zero hour,a time when a crucial decision or essential action must be taken,"Right before the dawn, the British military had been waiting for zero hour to start the operation against terrorists in Afghanistan.",dictionary,1,,"frozenset({'zero', 'hour'})",zero hour,the time when a plan of action is set to begin.,"As zero hour was reached , and punctually to the very minute our barrage lifted , through my glasses I could clearly observe our skirmishers leave their trenches and move steadily forward ; here and there I could even distinguish the smoke puffs of bursting bombs .",zero hour,a time when a crucial decision or essential action must be taken,"Right before the dawn, the British military had been waiting for zero hour to start the operation against terrorists in Afghanistan.",,
young blood,new members that provide various new schemes and ideas for the organization,The Peace corps is in need of a young blood like Adam.,dictionary,1,,"frozenset({'young', 'blood'})",young blood,"new, young people who bring fresh ideas and energy to a company or organization.","‘ After The Storm ’ once sounded remarkably like The Chameleons ' ‘ Swamp Thing ’ but now , possibly due to the time lapse or the injection of fresh young blood , it becomes a substantial pop song with trendy keyboards and influential , garbled guitar noises .",young blood,new members that provide various new schemes and ideas for the organization,The Peace corps is in need of a young blood like Adam.,,
you bet,for sure,The manager will pull this deal off. You bet on something else about him because this is definitely happening.,dictionary,1,,frozenset({'bet'}),you bet,"absolutely, definitely, certainly.","Er Lot number three Lot number three the Canton trays there we are there we have got a sample showing for you Lot number three , there are seven of them in the Lot all seven of them for a hundred and fifty pounds at one hundred and fifty , sixty , seventy , one eighty , one ninety , two hundred , two twenty , forty , sixty two eighty I 'm offered two hundred and eighty pounds you 're on three hundred for you sir three hun three twenty three fifty , three eighty go to four hundred four twenty four fifty four eighty five hundred and fifty and you bet against you both now five hundred and fifty is offered against you both now , five fifty five hundred and fifty pounds .",you bet,for sure,The manager will pull this deal off. You bet on something else about him because this is definitely happening.,,
yes man,a person who only agrees with the crowd or a group of people in order to please them or look good in front of them,You really can't trust what Donald might say in front of the boss. Everyone knows that he is just a yes man and I am not even sure if he has his own views on anything.,dictionary,1,,"frozenset({'man', 'yes'})",yes man,"someone who always agrees with their boss or superior, regardless of the situation.",Muccio added that Rhee 's tendency to be surrounded by ‘ yes men ’ compounded the problem .,yes man,a person who only agrees with the crowd or a group of people in order to please them or look good in front of them,You really can't trust what Donald might say in front of the boss. Everyone knows that he is just a yes man and I am not even sure if he has his own views on anything.,,
wine and dine,to treat somebody (usually a woman) to wine and dinner;,The wine and dine at this hotel is among the best that you will ever find.,dictionary,1,,"frozenset({'dine', 'wine'})",wine and dine,to treat someone to a luxurious meal and drinks in order to impress them.,"In addition , the shop will be able to take bookings for the centre 's many other activities , including Santa Specials , the Midlander Wine and Dine trains , the Firework Night celebrations , and the special excursion trains to London .",wine and dine,to treat somebody (usually a woman) to wine and dinner;,The wine and dine at this hotel is among the best that you will ever find.,,
