idiom,meaning
置之度外,disregard entirely; ignore
置之脑后,put out of mind; consign to oblivion
置之死地而后快,will not be satisfied until one has been destroyed; will be content with nothing less than somebody's destruction
置身事外,stay aloof from the affair; refuse to be drawn into the matter
置若罔闻,turn a deaf ear to; ignore completely
罚不当罪,the punishment exceeded the crime; be unduly punished
罗雀掘鼠,"contrive ways and means to live when in straits; ""net birds and dig out rats"""
羊质虎皮,"a sheep in a tiger's skin; outwardly strong, inwardly weak"
羊肠鸟道,narrow winding trail; meandering footpath
美不胜收,too beautiful to be absorbed all at once; so many beautiful things that one simply can't take them all in
美中不足,a blemish in an otherwise perfect thing; cloud on one's happiness
羞人答答,very shy; coy
羞与为伍,consider if beneath one to associate with somebody; ashamed to be one's colleague
群魔乱舞,a hast of demons dancing in riotous revelry; rogues of all kinds running wild
群龙无首,a group without a leader; a host of dragons without a head
群起而攻之,rally together to attack; launch collective attacks on
群策群力,pool the wisdom and efforts of everyone; united strength and wisdom
群威群胆,mass heroism and daring; 
义不容辞,one's sense of honor makes it impossible to refuse; have an unshakable duty
义愤填膺,be filled with righteous indignation; boil with indignation
义形于色,with indignation written on one's face; one's face showed no compromise with evil
义正词严,in no uncertain terms; speak with the force of justice
义无反顾,proceed without hesitation; be duty-bound not to turn back
羽毛丰满,become full-fledged; 
羽毛未丰,young and immature; unfledged
习非成是,accept what is wrong as right as one grows accustomed; through usage the erroneous becomes the correct
习惯成自然,"habit is a second nature; once used, forever a custom"
习以为常,become accustomed to be used to; 
习焉不察,too accustomed to something to call it in question; 
习与性成,habit becomes one's second nature; 
翻天覆地,the whole world topsy-turvy; titanic changes
翻来覆去,over and over again; reiterate
翻江倒海,stupendous; terrific
翻箱倒柜,turn things over in a thorough search; ransack boxes and chests
翻山越岭,travel over hill and dale; cross over mountain after mountain
翻覆无常,unstable; impulsive
翻云覆雨,shifty; given to playing tricks
耀武扬威,put on airs; mount the high horse
老马识途,know the ropes; the devil knows many things because he is old
老谋深算,circumspect and farseeing; experienced and astute
老当益壮,old but vigorous; their's many a goad tune played on an old fiddle
老态龙钟,senile; doddering
老骥伏枥,old people may still cherish high aspirations; an old steed in the stable still aspires to gallop a thousand li
老奸巨猾,an old fox; a sly old fish
老气横秋,lacking in youthful vigor; arrogant on account of one's seniority
老羞成怒,angry at one's humiliation; turn angry from embarrassment
老成持重,capable and reliable; well-experienced and prudent
老生常谈,Sunday school truth; ordinary or usual
老鼠过街,"when a rat runs across the street, everybody cries, ""Kill it!""; "
耐人寻味,afford food for thought; thought-provoking
耳目一新,a refreshing change; all made new
耳提面命,give earnest exhortations; earnestness in imparting instruction
耳食之谈,accept readily without comprehending what is heard; 
耳熟能详,often heard and well remembered; be very familiar with something far having heard it many times
耳濡目染,be imperceptibly influenced by what one constantly sees and hears; influence of surroundings
耳聪目明,can hear and see well; have a thorough grasp of the situation
耳闻不如目见,seeing for oneself is better than hearing from others; hearsay is not equal to observation
耳闻目睹,what one hears and sees; 
聊胜于无,half a loaf is better than no bread; it s better than nothing
聊以自慰,just to console oneself; comfort oneself with thought
聊以卒岁,just to tide over the year; 
聚精会神,focus one's attention on; with rapt attention
聚沙成塔,many a little makes a mickle; many grains of sand piled up will make a pagoda
众说纷纭,opinions are widely divided; be at variance with each other
闻风丧胆,become terror-stricken at the news; 
闻风而起,go into action without delay; take action as soon as one hears
闻名不如见面,know a man by repute is not as good as meeting him face to face; the flesh
闻过则喜,be glad to have one's errors pointed out; thankful for being told of one's errors
闻所未闻,unheard-of; it licks creation
闻一知十,infer the whole matter after hearing but one point; smart
联翩而至,arrive in close succession; 
聪明反被聪明误,cleverness may overreach itself; clever people may be victims of their own cleverness
聪明才智,intelligence and wisdom; 
聪明一世,"smart as a rule, but this time a fool; clever all one's life but stupid this once"
声名狼藉,unsavory; disreputable
声东击西,make a feint; look one way and row another
声泪俱下,in a tearful voice; shedding tears while speaking
声势浩大,a large-scale; grand
声嘶力竭,shout oneself blue in the face; shout at the top of one's voice
声色俱厉,severe in voice and countenance; 
声威大震,gain resounding fame; gain great fame and high prestige
耸人听闻,sensational; sensation-mongering
耸入云霄,rise above the clouds; towering to the skies
听天由命,happy-go-lucky; just as Heaven decrees
听其自然,leave to chance; let the world wag
听其言而观其行,judge people by their deeds not just by their words; listen to what a person says and watch what he does
听之任之,let one have one's own way; allow something to continue
肆无忌惮,run riot; unbridled
肃然起敬,a feeling of profound respect; be filled with deep veneration
肝胆相照,show utter devotion to; loyal-hearted
肝胆涂地,be extremely loyal to; die the cruelest death
肩摩毂击,overcrowded with people and traffic; crowded with people and vehicles
肺腑之言,words from the bottom of one's heart; confidential conversation
背道而驰,run counter to; draw further apart
背信弃义,traitorous; treacherously
背城借一,put up a desperate struggle; make a spoon or spoil a horn
背水一战,a death-struggle; stand at bay
胡说八道,rubbish; balderdash
胡作非为,run amuck; criminal actions
胡思乱想,let one's imagination run away with him; crankily
胡言乱语,babble about; rave
胸怀坦白,openhearted; frank
胸中有数,have a good idea of how things stand; have a head for figures
胸中无数,have no idea of how things stand; have no figures in one's head
胸有成竹,"have a well-thought-out plan, stratagem, etc. beforehand; have a card up one's sleeve"
胸无点墨,unlearned; unlettered
胸无城府,open and unreserved; quite open-minded
胸无宿物,utterly simple and unreserved; 
能屈能伸,adaptable to circumstances; able to stoop or stand erect
能者多劳,able people should do more work; 
能者为师,let these who know teach; 
能上能下,be ready to work both at the top or at the grass roots; be ready to accept a higher or a lower post
能说会道,be a smart talker; have a glib tongue
能文能武,capable of handling both military and civilian affairs; be able to wield both the pen and the gun
胁肩谄笑,cringe and smile obsequiously; play the sycophant
唇枪舌剑,engage in a battle of words; repartee
唇齿相依,be closely related and mutually dependent; close interdependence
唇亡齿寒,"share a common lot; if one falls, the other is in danger"
脱胎换骨,turn over a new leaf; thoroughly remold oneself
脱口而出,let slip; jerk out words
脱缰之马,uncontrollable as a wild horse without bridle; a runaway horse - uncontrollable
脱颖而出,become eminent; come out in the open
脚踏两只船,have a foot in either camp; be a fence-sitter
脚踏实地,earnest and down-to-earth; down-to-earth
脑满肠肥,heavy-jowled and potbellied - the idle rich; with a fair round belly and a swelled head
腹背受敌,be attacked from all sides; between the upper and nether millstone
膏粱子弟,good-for-nothing sons of the idle rich; children from well-fed families
胆大包天,audacious in the extreme; 
胆大心细,bold but cautious; brave but not reckless
胆小如鼠,as timid as a mouse; chicken-hearted
胆大妄为,reckless; daredevil
胆战心惊,strike terror into the heart of; make one's blood curdle
脍炙人口,win universal praise; please all tastes
卧薪尝胆,nurse vengeance; in determination for revenge
临别赠言,parting advice; words of advice at parting
临渴掘井,do a thing at the 11th hour; lack of forethought
临机应变,cope with any contingency; decide as the situation demands
临阵磨枪,start to prepare only at the last moment; hastily make preparations when the matter is at hand
临阵脱逃,hightail it off at the first contact with the enemy; sneak away at a critical juncture
临深履薄,"""as if on the brink of the abyss, as if treading on thin ice"" - cautions; "
临危不惧,remain calm in the face of a crisis; betray no fear in an hour of danger
临渊羡鱼,one should take practical steps to achieve one's aims; it's better to go back and make a net than to stand by the pond and long for fish
自暴自弃,abandon oneself to despair; self-degradation
自不量力,overreach oneself; put one's arm out further than one can draw it back again
自卖自夸,blow one's own trumpet; indulge in self-glorification
自命不凡,have an unduly high opinion of oneself; priggish
自鸣得意,be puffed up with pride; smug
自鸣清高,imagine oneself to be superior to others; profess to be above polities and worldly considerations
自得其乐,be content with one's lot; get a kick out of it
自讨苦吃,do something which will only cause trouble to oneself; seek out hardships
自投罗网,fall into one's own snare; bite the hook
自力更生,stand on one's own feet; self-dependence
自告奋勇,volunteer; come forward
自高自大,arrogant; self-conceited
自顾不暇,unable to take care of oneself; have enough to do to look after oneself
自给自足,self-sufficiency; autarchy
自掘坟墓,bring ruin upon oneself; dig one's own grave
自觉自愿,voluntarily; of one's own free will
自欺欺人,cheat oneself and others; self-deception
自强不息,constantly strive to become stronger; make unremitting efforts to improve oneself
自取灭亡,head for disaster; cut one's own throat
自取其咎,have only oneself to blame; ask for trouble
自信不疑,be sure of oneself; have self-confidence
自相矛盾,contradict oneself; antilogy
自相惊扰,raise false alarms; create disturbance within one's ranks
自相残杀,mutual annihilation; internecine
自行其是,go one's own way; act wilfully
自寻烦恼,bring vexation on oneself; bring trouble on oneself
自寻死路,bring about one's own destruction; wilfully take the road to one's doom
自知之明,know one's own limitations; self-knowledge
自成一家,found a new school of; develop one's own style of
自吹自擂,blows one's own trumpet; self-glorification
自食其力,self-supporting; earn one's own living
自食其果,face the consequences of one's action; stew in one's own juice
自食其言,break one's own promise; go back on one's own words
自始至终,from start to finish; from A to Z
自生自灭,run its course; emerge of itself and perish of itself
自然而然,naturally; of oneself
自认倒楣,grin and bear it; admit defeat in good grace
自作主张,decide for oneself; act on one's own
自作自受,"suffer the consequences of one's own action; self do, self have"
自作聪明,think oneself clever; pretending to be wise
自惭形秽,have a sense of inferiority or inadequacy; feel cheap
自私自利,selfish; egotistic
自以为得计,fancy oneself clever; fancy oneself resourceful
自以为是,be cocksure; self-righteous
自由泛滥,have free rein; spread unchecked
自由放任,laissez-faire; follow one's own inclination
自由自在,free and unrestrained; leisurely and carefree
自言自语,keep on chattering though to one is listening; soliloquize
自我陶醉,imagine oneself to be better than one really is; narcissism
自我解嘲,console oneself with soothing remarks; pat oneself on the back after one's feelings have been wounded
自我吹嘘,boast smugly; self-praise
自我作故,be the first to do something; do what others have never done before
自圆其说,explain away; self-justification
自怨自艾,be full of remorse; be contrite and reform oneself
臭不可当,give off an unbearable stink; 
臭皮囊,a bag of stinking fluids - the human body; 
臭名远扬,notorious; 
臭气熏天,reek to high heaven; stink to the skies
臭味相投,be two of a hind; like drawn to like
至理名言,maxim; axiom
至高无上,supreme; paramount
至死不变,constant till death; changeless
至死不悟,incorrigibly stubborn; never repent even at death's door
与虎谋皮,ask a tiger for its hide; request somebody to act against his own interests
与众不同,different with the others; out of the ordinary
与世长辞,pass away; depart from the world forever
与世无争,hold oneself aloof from the world; reconcile oneself to one's situation
与日俱增,be steadily on the increase; multiply daily
与人为善,do good for people; help others kind-heartedly
兴风作浪,make waves; fan the flames of disorder
兴利除弊,promote what is beneficial and abolish what is harmful; start the good and weed out the corrupt practices
兴高采烈,in high spirits; jubilant
兴致勃勃,in high spirits; cheerfully
兴师动众,move troops about and stir up the people; drag in many people
兴师问罪,send a punitive expedition against; 
兴妖作怪,conjure up a host of demons to make mischief; raise the devil
兴味索然,dull and uninteresting; uninterested
举不胜举,too numerous to mention; provide countless instances
举目无亲,have no one to turn to; be a stranger in a strange land
举国上下,the whole nation; throughout the nation
举棋不定,be unable to make up one's mind; vacillate
举世瞩目,attract worldwide attention; world spotlight
举世无敌,without an equal in the world; matchless in the world
举世无双,unrivaled; peerless
举世闻名,world-famous; be known to all the world
举足轻重,play a decisive role; tip the scales
举措失当,make false moves; make an ill-advised move
举一反三,infer other things from one fact; draw inferences about other cases from one instance
旧瓶装新酒,new wine in old bottles; 
旧地重游,revisit a once familiar place; 
旧调重弹,harp on the same old tunes; harp on one string
旧恨新仇,new hatred piled on old; 
旧仇宿怨,old grudge inveterate hatred; 
舌敝唇焦,"wear oneself out in pleading, expostulating, etc.; talk till one's tongue and tips are parched"
舞文弄墨,indulge in fancy writing; play on words
良辰美景,beautiful scene on a bright day; 
良师益友,good teachers and helpful friends; 
良药苦口,"good medicine tastes bitter; good advice, like medicine, is hard to take"
良药苦口利于病,"just as bitter medicine cures sickness, so unpalatable advice benefits conduct; "
良莠不齐,the good and the bad are intermingled; 
艰难竭蹶,difficulties and hardships; hardship and destitution
艰难曲折,arduous and tortuous; difficulties and setbacks
艰难险阻,difficulties and dangers; difficulties and obstacles
艰苦朴素,hard work and plain living; hardworking and plain-living
艰苦奋斗,through hard struggle; hard-hitting
艰苦卓绝,extreme hardships and difficulties; most arduous
色厉内荏,be tough-looking outside but really timid within; forcible-feeble
芒刺在背,feel nervous and uneasy; feel prickles down one's back
花天酒地,indulge in gay life and debauchery; guzzle and carouse to one's heart's content
花团锦簇,bouquets of flowers and piles of silks - rich multicolored decorations; confusion and gay bustle
花好月圆,perfect conjugal bliss; blooming flowers and full moon
花花公子,a dandy; a coxcomb
花花世界,this mortal world; a dissolute age
花枝招展,be gorgeously dressed; be seductively dressed
花朝月夕,beautiful days and nights with moon and flowers; delightful weather and beautiful prospects
花言巧语,fair words; blarney
苛捐杂税,exorbitant taxes and miscellaneous levies; 
若明若暗,have a hazy notion about; have only a vague idea of something
若即若离,maintain a lukewarm relationship; half-hearted
若要人不知,the only way to keep people from knowing something is not to do it; what is done by night appears by day
若有所失,feel lost; look distracted
若有所思,seem lost in thought; look pensive
若隐若现,partly hidden and partly visible; appear indistinctly
若无其事,calmly; casually
苦大仇深,suffer bitterly and nurse deep hatred; 
苦口婆心,advise somebody time and again in earnest words and with good intention; be faithful and kind in remonstrance
苦海无边,"escape from the human world of woes and find salvation; boundless is the sea of bitterness, yet a man who will repent can reach the shore nearby"
苦尽甘来,after suffering comes happiness; from foul to fair
苦心孤诣,drive oneself mercilessly to attain one's goal; make notable achievement after extraordinarily persistent and painstaking efforts
苦心经营,work oui with unsparing efforts; elaboration
英雄所见略同,great minds think alike; 
英雄无用武之地,no scope for one's energies; a hero with no scope for displaying his heroism
英姿飒爽,bright and brave; valiant and heroic in bearing
茁壮成长,grow up healthy and strong; steadily mature
苟且偷安,seek momentary ease; seek ease and comfort at the expense of principles
苟延残喘,eke out a meagre life; be on one's last leg
茫无头绪,not know where to begin; be confused like a tangle of flax
茶余饭后,spend one's leisure time doing something; over a cup of tea or after dinner - at one's leisure
茹毛饮血,live the life of a primitive man; eat animal flesh raw and drink its blood
草木皆兵,be afraid of one's own shadow; a state of extreme nervousness
草菅人命,have complete disregard for human life; act with utter disregard for human life
草草了事,get through with something hastily; do something in a perfunctory manner
荒谬绝伦,extremely ludicrous; the height of absurdity
荒诞不经,fantastic; preposterous
荒诞无稽,absurd end unbelievable; fabulous
荒时暴月,lean year; in hard time
荒淫无耻,dissipated and unashamed; be dissolute in conduct
荒无人烟,desolate and uninhabited; no human habitation
荼毒生灵,plunge the people into the depths of suffering; cruelly injure the people
莫名其妙,baffling; without rhyme or reason
莫逆之交,bosom friends; one's intimate friend
莫衷一是,unable to agree or decide which is right; 
莫此为甚,one can expect nothing beyond this; nothing or nobody is capable of exceeding this
莫测高深,enigmatic; unfathomable
华而不实,superficially clever; gewgaw
萍水相逢,"casual, temporary meeting; ships that pass in the night"
萎靡不振,in low spirits; downcast
荆棘载途,a path beset with difficulties; a path overgrown with brambles
万般皆下品,"all occupations are ranked low, only book-learning is exalted; only the learned rank high, all other trades are low"
万变不离其宗,the central theme remains the same; in none of his changes has he departed from his stand
万马奔腾,ten thousand horses galloping ahead; going full steam ahead
万马齐喑,ten thousand horses standing mute; 
万目睽睽,all eyes are fixed on; ail eyes centered on
万籁俱寂,all sounds are hushed; silence reigns supreme
万里长征,a long march of ten thousand li; 
万古流芳,will be remembered throughout the ages; have a niche in the temple of fame
万古千秋,forever; throughout the ages
万古长青,be everlasting; remain fresh forever
万古长存,last forever; be everlasting
万家灯火,a myriad of twinkling lights; 
万劫不复,beyond redemption; doomed eternally
万象更新,everything is fresh again; everything looks fresh and gay
万众一心,all united in one purpose; with one heart and one mind
万事大吉,everything goes off without a hitch; with fortune smiling
万事亨通,everything goes well; sail before the wind
万事俱备,"all is ready except what is crucial; everything is ready, and all that we need is an east wind"
万寿无疆,a long life; 
万水千山,ten thousand crags and torrents; the trails of a long journey
万人空巷,the whole town turns out; 
万紫千红,a riot of color; innumerable flowers of purple and red
万死一生,only one chance in ten thousand of preserving the life; 
万应灵丹,panacea; cure-all
万无一失,perfectly safe; no risk at all
落拓不羁,unconventional and uninhibited; 
落落大方,carry oneself gracefully; natural and graceful
落落寡合,aloof; unsociable
落花流水,be shattered to pieces; beat somebody hollow
落花有意,"unrequited love; shedding petals, the waterside flower pines for love, while the heartless brook babbles on"
落荒而走,take to flight; be defeated and flee the battlefield
落井下石,strike a person when he is down; throw rocks in after somebody has fallen into a well
叶落归根,falling leaves settle on their roots; a person residing elsewhere finally returns to his ancestral home
叶公好龙,professed love of what one really fears; Lord Ye's love of dragons
蒙昧无知,childish ignorance; illiterate
蒙头转向,lose one's bearings; be utterly confused
蒙混过关,slip by; steal away
蒙在鼓里,be kept in the dark; be kept inside a drum
蒸蒸日上,greater and greater prosperity; vigorous and fast developing
盖棺论定,a man's merits or demerits can be finally judged only after his death; final judgement can be passed on a person only when the lid is laid on his coffin
蓬头垢面,with dishevelled hair and a dirty face; unkempt
蔚然成风,become a common practice; come into vogue
蔚为大观,be a sight to behold; make an impressive sight
萧规曹随,follow established rules; Tsao followed the rules set by Hsiao
藏头露尾,speak evasively; get an inkling of
藏龙卧虎,hidden dragons and crouching tigers; talented men still remained in concealment
藏污纳垢,a place infested with bad elements; shelter evil people and countenance evil practices
藕断丝连,the affection cannot be entirely severed; still keep something up
药石之言,unpleasant but needed advice; exhortations
虎背熊腰,stalwart men; backs like tigers and loins like bears
虎头蛇尾,a brave beginning but a weak ending; bathos
虎口余生,a narrow escape from death; be snatched out of the jaws of death
虎视眈眈,glare at fiercely; eye covetously
虎尾春冰,walking on thin ice; full of apprehension
处心积虑,deliberately plan; scheme and use every kind of trick
处之泰然,take it easy; bear
虚怀若谷,have o mind as open as a valley; be very modest
虚己以听,listen patiently; listen with an open mind
虚情假意,false display of affection; hypocritical show of friendship
虚张声势,make an empty show of strength; bluffing
虚有其表,appear better than it is; a penny plain and two pence colored
虚应故事,a mere formality; do something for form's sake only
虚无缥缈,"abstruse, vague, insubstantial; illusory"
虚位以待,a vacant seat awaits; reserve the honored post for somebody competent
虚与委蛇,deal with somebody courteously but without sincerity; hypocrisy
蚍蜉撼树,ridiculously overrating one's own strength; an ant trying to topple a giant tree
蛛丝马迹,"clues, traces; thread of a spider and trail of a horse"
蛟龙得水,a hero gets an opportunity for showing his prowess; the flood-dragon gets to water
蜕化变质,degenerate; degeneration
蜀犬吠日,an ignorant person makes a fuss about something which he alone finds strange; 
蜻蜓点水,touch on something without going into it deeply; like a dragonfly skimming the surface of the water
虾兵蟹将,ineffective troops; shrimp soldiers and crab generals
融会贯通,bring together and understand thoroughly; be well versed in
蚂蚁啃骨头,plod away at a big job bit by bit; a concentration of small machines on a big job
螳臂当车,throw straws against the wind; overrate oneself and try to hold back an overwhelmingly superior force
螳螂捕蝉,"the mantis stalks the cicada, unaware of the oriole behind; the mantis takes the cicada, but behind him lurks the oriole"
蝇头小利,very small profit; petty gains
蝇营狗苟,shamelessly seek personal gain; 
蠢蠢欲动,ready to make trouble; about to make mischief
蚕食鲸吞,seize another country's territory by piecemeal encroachment or wholesale annexation; encroach on
蛊惑人心,blind the minds of the people; blatantly and demagogically
蛮横无理,rude and unreasonable; peremptory and untenable
血流成河,blood flows enough to make a river; massacre
血流如注,shed blood like water; bleed profusely
血口喷人,smite with the tongue; venomously slander
血海深仇,intense and deep-seated hatred; a huge debt of blood
血气方刚,in the prime of youth; full of sap
血肉横飞,bodies blown to bits; blood and flesh flying in every direction - describing a carnage
血肉相联,be related by flesh and blood; bone of the bone and flesh of the flesh
血案如山,with a list of bloody crimes; 
众叛亲离,the masses are in rebellion and one's friends are deserting; forsaken by all
众目睽睽,in the public eye; in the face of the world
众目昭彰,everyone sees it clearly; the masses are sharp-eyed
众怒难犯,you cannot afford to incur public wrath; the anger of a crowd is difficult to oppose
众寡悬殊,not equally matched; a great disparity in numerical strength
众口难调,it is difficult to please everyone; it is very difficult to satisfy everyone's desire
众口铄金,public opinion will fuse metals; public clamor can confound right and wrong
众擎易举,"many hands make light work; if each would sweep before his own door, we should have a clean city"
众志成城,unity is strength; unity of will is an impregnable stronghold
众矢之的,the target of public criticise; under attack on all sides
众说纷纭,"as opinions vary, no unanimous conclusion can be drawn; as opinions vary, no decision can be reached"
众人拾柴火焰高,great things may be done by mass effort; many hands make quick work
众所周知,as everyone knows; it is common knowledge that
众望所归,enjoy popular confidence; the people's hope is centered on
行百里者半九十,one must sustain one's effort when a task is nearing completion; the going is toughest towards the end of a journey
行同狗彘,make a beast of oneself; behave shamelessly
行行出状元,every trade has its master; every profession produces its own leading authority
行将就木,have one foot in the grave; on the verge of extinction
行之有效,effective; effectual
行成于思,success depends on forethought; a deed is accomplished through taking thought
行尸走肉,a walking corpse; be all but dead
行若无事,behave as if nothing had happened; 
行远自迩,step by step; advance in regular order
行云流水,free-flowing style of writing; with natural grace
街头巷尾,streets and lanes; everywhere in the street
街谈巷议,street gossip; common talk
冲锋陷阵,charge forward; press boldly forward
衣不蔽体,be dressed in rags; be in rags
衣冠禽兽,a brute; a dressed-up beast
衣冠楚楚,smartly dressed; put on the ritz
衣架饭囊,useless lazy persons; good-for-nought
衣锦还乡,return home after making good; return to one's hometown in silken robes
表里如一,sincere; true to one's word
袖手旁观,stand by and do nothing; look on unconcerned
被褐怀玉,not show off one's talent; wearing rough garments but carrying a precious gem in the bosom
里应外合,"work in collusion, one from without and the other from within; collaborate from within with forces from without"
补偏救弊,rectify deviation and error; 
装模作样,indulge in histrionics; affectation
装疯卖傻,pretend ignorance; play the fool
装聋作哑,pretend to be ignorant of something; play deaf and dumb
装潢门面,keep up appearances; pretentious
装腔作势,be affected or pretentious; affect
裹足不前,hesitate to proceed; come to a standstill
襟怀坦白,straightforward; largeness of mind
要言不烦,terse; succinct
覆水难收,there is no use crying over spilt milk; what is done cannot be undone
覆巢之下无完卵,all involved; if one section is defeated the whole cannot hold its own
见风转舵,see how the wind blows; see how the cat jumps
见缝插针,make use of every bit of time or space; stick in a pin wherever there's room
见多识广,have seen much of the world; well-read and experienced
见利忘义,forget all moral principles at the sight of profits; actuated by mercenary views
见猎心喜,thrill to see one's favorite sport and itch to have a go; 
见怪不怪,become inured to the unusual; face the fearful with no fears
见机行事,do as one sees fit; take advantage of an opportunity that comes one's way
见仁见智,opinions differ; each according to his own
见所未见,unprecedented; never seen or heard of before
见异思迁,desire to change one's work the moment one sees something different; freakish
见义勇为,never hesitate to do what is right; moral courage
见物不见人,see things but not people; ignore the human factor and see only the material factor
见微知著,from one small clue one can see what is coming; recognize the whole through observation of the part
规矩准绳,"fixed laws; compass, square, level and plumb-line - exact"
规行矩步,follow the beaten track; stick to established practice
视同路人,regard as a stranger; 
视同儿戏,treat as a trifle; trifle with
视如敝屣,cast aside as worthless; regard as worn-out shoes
视如寇仇,regard somebody as one's enemy; 
视若无睹,turn a blind eye to; shut one's eyes to
视死如归,look death calmly in the face; defy death
视而不见,turn a blind eye to; shut one's eyes to
视而不见,"look at but not pay attention to, listen to but hear nothing; look but see not, listen but hear not"
视为知己,regard as a good friend; 
视为畏途,keep away from something; be afraid to undertake
亲密无间,be on very intimate terms; in close coordination
亲痛仇快,sadden one's friends and gladden one's enemies; grieve those dear and near to us and gladden the enemy
解放思想,free oneself from old ideas; 
解囊相助,help somebody generously with money; 
解铃系铃,whoever started the trouble should end it; untie the knot oneself tied
解甲归田,retire from service; be demobilized
触目皆是,can be seen everywhere; meet the eye everywhere
触目惊心,appalling; startling
触类旁通,reason by analogy; single out one thing and bring out its interrelationships
触景生情,recall old memories at familiar sights; memories revive at the sight of familiar places
言必信,always be true in word and resolute in deed; promises must be kept and action must be resolute
言必有中,whenever one says something one hits the nail on the head; speak just to the point
言不及义,talk frivolously; talk nonsense
言不由衷,speak insincerely; speak with one's tongue in one's cheek
言听计从,have implicit faith in somebody; act upon whatever somebody says
言过其实,overstate; bombastic
言归正传,get to business; keep to the record
言归于好,start with a clean slate; bury the hatchet
言简意赅,concise and comprehensive; compendious
言近旨远,some simple words carry a profound meaning; 
言行不一,one's actions are not in keeping with one's promises; one's deeds do not match one's words
言行一致,practise what one preaches; be as good as one's word
言之成理,have sense; hold water
言之凿凿,speak on good grounds; said with definite evidence
言之无物,be devoid of substance; be just empty verbiage
言者无罪,it is not the one who speaks who is culpable; it is up to the one who listens to exercise due caution; do not blame the one who speaks but heed what you hear
言出法随,enforce the regulations to the letter; upon its promulgation the law shall be enforced to the letter
言传身教,teach by personal example as well as verbal instruction; set up examples for others with both precept and practice
言人人殊,different people give different views; each person offers a different version
言而有信,be as good as one's word; 
言而无信,go back on one's word; eat one's words
言犹在耳,the words are still ringing in one's ears; 
言外之意,an implied meaning; implication
言为心声,one's words reflect one's thinking; what the heart thinks the tongue speaks
计日程功,estimate exactly how much time is needed to complete a project; have the completion of a project well in sight
讨好卖乖,curry favor with; play the sycophant
讨价还价,haggle over the price; chaffer
训练有素,well-trained; 
记忆犹新,remain fresh in one's memory; be green in somebody's memory
设身处地,put oneself in somebody else's position; look at something from the angle of others
评头品足,find fault with; be overcritical
词不达意,the language fail to express the idea; 
诡计多端,have the whole bag of tricks; wiliness
诘屈聱牙,difficult to pronounce or comprehend; 
话不投机半句多,"when the conversation gets disagreeable, to say one word more is a waste of breath; "
诛求无厌,"make endless exorbitant demands; make incessant, exorbitant demands"
诛锄异己,wipe out dissenters; eradicate persons not of one's own party
夸大其词,exaggerate; make an overstatement
夸夸其谈,talk big; boastfulness
认贼作父,treat a thief as one's father; take a filial attitude towards the enemy of the people
誓不甘休,swear not to stop; 
誓不两立,be irreconcilable; resolve to destroy the enemy or die in the attempt
誓死不二,swear to be loyal forever; 
诱敌深入,lure the enemy troops in deep; 
语重心长,talk in earnest; meaningfully
语焉不详,not elaborate on; not speak in detail
语无伦次,speak incoherently; ramble in one's statement
诚惶诚恐,with reverence and awe; in fear and trepidation
诚心诚意,whole-heartedly; with one's whole heart
误人子弟,lead young people astray; harm the younger generation
误入歧途,go astray; be misled
诲盗诲淫,propagate violence and sex; stir up the base passions
诲人不倦,teach with tireless zeal; be never tired of teaching people
说到做到,live up to one's word; match one's deeds to one's words
说来话长,it's a long story; 
说长道短,gossip; backbite
说曹操,"talk of the devil and he will appear; speak of angels, and you will hear their wings"
说一不二,mean what one says; never make a promise one cannot keep
调兵遣将,transfer troops; deploy forces
调虎离山,lure the tiger out of the mountains; lure the enemy away from his base
谄上欺下,fawn on those above and bully those below; snobbish
谆谆告诫,tirelessly counsel; earnestly enjoin
谈天说地,talk of anything under the sun; 
谈何容易,easier said than done; by no means easy
谈虎色变,turn pate at the mere mention of something terrible; turn pale at the mention of a tiger
谈笑风生,"talk cheerfully and humorously; a fascinating, lively talk"
谈笑自若,go on talking and laughing as if nothing had happened; undisturbed
谈言微中,use an expression which hits the mark; 
请君入瓮,kindly step into the vat - try what you have devised against others; 
论功行赏,award people according to their contributions; dispense rewards according to one's merit
讳莫如深,not utter a single word about something; keep something shady
讳疾忌医,hide one's sickness for fear of treatment; gloss over one's shortcomings for fear of being criticized
诸如此类,things like that; and so on and so forth
谑而不虐,tease without embarrassing; 
谦谦君子,"a modest, self-disciplined gentleman; a hypocritically modest person"
谦虚谨慎,modest and prudent; 
谢天谢地,thank goodness; thank heavens
谬种流传,the dissemination of error; a school of bastard thoughts
谨小慎微,timid and overcautious; overcautious
谨言慎行,speak and act cautiously; mind one's P's and Q's
哗众取宠,talk big to impress people; play with an eye to the gallery
识途老马,a wise old bird; a person of rich experience
识时务者为俊杰,a brave man knows how to bow to circumstances; timeservers are clever
变本加厉,go even further; go from bad to worse
变化无常,fickle; capricious
变幻莫测,unpredictable; changeable
豁达大度,generous; open-minded and magnanimous
豁然贯通,suddenly see the whole thing in a clear sight; 
豁然开朗,suddenly cleared up; be suddenly enlightened
岂有此理,How unreasonable!; fantastic
丰富多彩,rich and varied; varied and colorful
丰功伟绩,great achievements; valiant records
丰衣足食,well-provided; well-fed and well-clothed
象齿焚身,an elephant is killed because of its ivory - warning against hoarding wealth; the elephant is destroyed for the sake of its tusks
象牙之塔,the ivory tower; 
豪情壮志,lofty sentiments and aspirations; 
